"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Saugatuck, Michigan, United States","42.665","-86.198","Singapore Stable","4","Entire home","5","https://www.airbnb.com/rooms/36277922"
"Oscoda, Michigan, United States","44.45","-83.337","Be Our Guest! Beautiful Van Etten Lake Beach house","8","Entire home","5","https://www.airbnb.com/rooms/23611366"
"East Jordan, Michigan, United States","45.25531","-85.14366","4 plus bedroom 4 Bath 10 Acre  Private Retreat","10","Entire chalet",,"https://www.airbnb.com/rooms/17854239"
"Carsonville, Michigan, United States","43.39961","-82.54197","Charming Beach house on Lake Huron (B)","8","Entire home","3.5","https://www.airbnb.com/rooms/7932229"
"Ironwood, Michigan, United States","46.45255","-90.17678","Trails Edge Escape- On the Ironwood/Hurley Border","16","Entire home","5","https://www.airbnb.com/rooms/53502267"
"Grand Haven, Michigan, United States","43.066","-86.226","Runabout Resort, LLC","10","Entire home","5","https://www.airbnb.com/rooms/24184457"
"South Haven, Michigan, United States","42.39","-86.283","South Beach - 5BR/4ba, sleeps 14+,  updated 2022","16","Entire home","5","https://www.airbnb.com/rooms/13239667"
"Fennville, Michigan, United States","42.62789","-86.08454","Beautiful, private country retreat!","10","Entire home","5","https://www.airbnb.com/rooms/11695007"
"Traverse City, Michigan, United States","44.6826","-85.39976","Fiebings Four Seasons - 40% Off!","6","Entire home","4","https://www.airbnb.com/rooms/24916549"
"South Haven, Michigan, United States","42.39342","-86.28061","Sawgrass of South Haven - Stunning in town South H","12","Entire home","5","https://www.airbnb.com/rooms/18197118"
"Beaver Island, Michigan, United States","45.74537","-85.52365","Just The Tip (formerly Accolades Point)","14","Entire bungalow","5","https://www.airbnb.com/rooms/17747986"
"Traverse City, Michigan, United States","44.67059","-85.49221","The Lake House (#4)","6","Entire home","4.5","https://www.airbnb.com/rooms/17561511"
"Marion, Michigan, United States","44.15562","-85.01462","Clam River Haven on the Clam River, Marion, Mich.","11","Entire cabin","5","https://www.airbnb.com/rooms/8422634"
"Grand Marais, Michigan, United States","46.677","-85.975","Waterfront home in Grand Marais","7","Entire home","4.5","https://www.airbnb.com/rooms/17793600"
"Munising, Michigan, United States","46.42174","-86.62406","Up on the Hill","6","Entire home","5","https://www.airbnb.com/rooms/22201827"
"Mears, Michigan, United States","43.65615","-86.52038","Family Cottage on the Creek","6","Entire home","5","https://www.airbnb.com/rooms/27461987"
"Cedar, Michigan, United States","44.8813","-85.72744","Lake Leelanau Farm Cottage","6","Farm stay","5","https://www.airbnb.com/rooms/22597504"
"Republic Township, Michigan, United States","46.42475","-88.01543","Classic Lodge on Private Lake","8","Entire cabin","5","https://www.airbnb.com/rooms/686084"
"Plainwell, Michigan, United States","42.495","-85.525","Pine Lake, Stay Awhile! Summer dates available!","10","Entire home","5","https://www.airbnb.com/rooms/39510682"
"Traverse City, Michigan, United States","44.79169","-85.64898","Four Season Paradise - Perfect For Couples!","6","Entire home","5","https://www.airbnb.com/rooms/53382420"
"Thompsonville, Michigan, United States","44.50196","-86.01508","Charming Country Home Near Crystal Mountain Resort","8","Entire cottage","5","https://www.airbnb.com/rooms/22795533"
"Saugatuck, Michigan, United States","42.65943","-86.20386","Robyn's Mt.Baldhead Nest #3 WaterView of Mt.Baldy","2","Entire condo","5","https://www.airbnb.com/rooms/29796860"
"Franklin, Michigan, United States","42.51058","-83.30836","Contemporary  3 Bedroom Home in Historic Franklin!","6","Entire home","5","https://www.airbnb.com/rooms/38382424"
"South Haven, Michigan, United States","42.40607","-86.27859","Perfect 2 Bedroom Cottage Steps From the Beach","5","Entire home","5","https://www.airbnb.com/rooms/13361149"
"East Tawas, Michigan, United States","44.28052","-83.4876","Hip Downtown Cottage - Walk to Beach, Pier, Dining","6","Entire home","5","https://www.airbnb.com/rooms/40947035"
"Harbor Springs, Michigan, United States","45.479","-84.934","Cozy, Chic Boyne Highlands Haus. Summer/Winter","8","Entire chalet","5","https://www.airbnb.com/rooms/43214604"
"Elk Rapids, Michigan, United States","44.92769","-85.37395","2 bedroom, wooded cottage across from Elk Lake","6","Entire cottage","5","https://www.airbnb.com/rooms/53621890"
"Traverse City, Michigan, United States","44.68034","-85.48592","The Cabin on Spider Lake","8","Entire cabin","5","https://www.airbnb.com/rooms/35680343"
"Cadillac, Michigan, United States","44.23612","-85.50056","NEW! Waterfront Lake Mitchell Home w/ Sunset Views","8","Entire cottage","5","https://www.airbnb.com/rooms/53699058"
"Grant Township, Michigan, United States","47.385","-88.019","Sleepy John's Lac La Belle Cabin","4","Entire cabin","5","https://www.airbnb.com/rooms/29037634"
"Marquette, Michigan, United States","46.542","-87.392","Historic Harbor Loft- Downtown MQT by the Ore Dock","9","Entire home","5","https://www.airbnb.com/rooms/42425260"
"Kalkaska, Michigan, United States","44.73406","-85.07665","Your Official ""Up North"" Lake House/Cottage!","4","Entire home","5","https://www.airbnb.com/rooms/37985476"
"Ironwood, Michigan, United States","46.49325","-90.10585","Bear Cabin ski in/out on Wolverine Trails","7","Entire cabin","5","https://www.airbnb.com/rooms/21816038"
"Port Austin, Michigan, United States","44.00123","-83.11774","Beautiful beach house in Port Austin","12","Entire cottage","5","https://www.airbnb.com/rooms/53865452"
"Mackinaw City, Michigan, United States","45.74235","-84.65112","The Mackinaw House","8","Entire cottage","4.5","https://www.airbnb.com/rooms/2374479"
"Ludington, Michigan, United States","44.0692","-86.44135","Birch Tree Landing @ Hamlin Lake","5","Entire cottage","5","https://www.airbnb.com/rooms/553846"
"South Haven, Michigan, United States","42.39531","-86.28277","Raintree: A 1960's restored lake view beach house","13","Entire home","5","https://www.airbnb.com/rooms/27009623"
"Trufant, Michigan, United States","43.31296","-85.34953","Fantastic Beach House II","6","Entire cottage","5","https://www.airbnb.com/rooms/30502662"
"Pentwater, Michigan, United States","43.76845","-86.41337","Vacation Haven Pentwater Lake Cottage","5","Entire cottage","5","https://www.airbnb.com/rooms/14415124"
"Cedar, Michigan, United States","44.84534","-85.79643","Cedar Home w/ Fire Pit & Grill ~3 Mi to Lakes","13","Entire home","4.5","https://www.airbnb.com/rooms/36897644"
"Harbor Springs, Michigan, United States","45.448","-84.887","Harbor Springs Sweet Spot. Sleeps 10","10","Entire condo","5","https://www.airbnb.com/rooms/35897687"
"Maple City, Michigan, United States","44.91567","-85.84186","Cheryl & David's Lakefront Cottage","5","Entire cottage","4.5","https://www.airbnb.com/rooms/17647010"
"Deckerville, Michigan, United States","43.51834","-82.57302","Lake Front Cottage Retreat","6","Entire cottage","5","https://www.airbnb.com/rooms/18443660"
"South Haven, Michigan, United States","42.40392","-86.20573","Beautiful ranch on the ravine in South Haven!","8","Entire home","5","https://www.airbnb.com/rooms/45741686"
"Wellston, Michigan, United States","44.24848","-85.926","New Listing! Modern Rustic Year-Round Cabin!","6","Entire cabin","4.5","https://www.airbnb.com/rooms/34143309"
"Honor, Michigan, United States","44.69968","-86.07896","Quiet Lakeside Cottage","4","Entire cottage","4.5","https://www.airbnb.com/rooms/14375630"
"Boyne City, Michigan, United States","45.21768","-85.01502","Boyne City, downtown home, 4 bedroom, sleeps 13","13","Entire home","5","https://www.airbnb.com/rooms/36880022"
"Gaylord, Michigan, United States","44.96278","-84.72166","Nestled in the Nature of Michigan","10","Entire home","5","https://www.airbnb.com/rooms/51917712"
"Northville, Michigan, United States","42.40893","-83.47842","Private, gated, laid back and secluded guesthouse.","2","Entire guesthouse","5","https://www.airbnb.com/rooms/34567668"
"Manistee, Michigan, United States","44.29244","-86.3093","Old Mill Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/12202837"
"New Era, Michigan, United States","43.51618","-86.3621","Adventure Awaits - Log Home at Double JJ Resort!","8","Entire cabin","4.5","https://www.airbnb.com/rooms/17075461"
"Greenbush, Michigan, United States","44.50415","-83.32959","2 bedroom House.  Sleeps 8, Fire pit, Sand beach","8","Entire home","5","https://www.airbnb.com/rooms/54212051"
"Dowagiac, Michigan, United States","42.05472","-86.18169","1970’s A-frame bungalow with panoramic lake views","8","Entire chalet","5","https://www.airbnb.com/rooms/52993326"
"New Buffalo, Michigan, United States","41.79659","-86.73793","New Buffs Mustard beach getaway w/8 person hot tub","10","Entire home","5","https://www.airbnb.com/rooms/34014538"
"Alden, Michigan, United States","44.923","-85.287","Cozy Cabin on Torch Lake - Sunset Views","5","Entire cottage","5","https://www.airbnb.com/rooms/38119796"
"Traverse City, Michigan, United States","44.74786","-85.56508","4 Bed 2 Bath - Near Town and Beach w/ Fenced Yard","9","Entire home","4.5","https://www.airbnb.com/rooms/54015364"
"Three Oaks, Michigan, United States","41.80343","-86.60913","Peaceful Three Oaks Townhouse","8","Entire home","4.5","https://www.airbnb.com/rooms/9489876"
"Traverse City, Michigan, United States","44.75344","-85.62198","Charming house downtown","8","Entire home","5","https://www.airbnb.com/rooms/25364816"
"Union Pier, Michigan, United States","41.8222","-86.7054","A Good Latitude - Beautiful Union Pier Home Steps to Private Beach! 2023 Open!","10","Entire home","5","https://www.airbnb.com/rooms/40152009"
"Baldwin, Michigan, United States","43.87285","-85.85817","Tranquil Riverside Home w/ Wraparound Deck & Views","6","Entire home","4.5","https://www.airbnb.com/rooms/45285271"
"Houghton Township, Michigan, United States","47.4147","-88.29811","Historic Eagle River Home Close to Beach/Trails","10","Entire home","5","https://www.airbnb.com/rooms/30269494"
"Grand Marais , Michigan, United States","46.5383","-86.01499","The Lodge","10","Entire cabin","5","https://www.airbnb.com/rooms/7524229"
"New Buffalo, Michigan, United States","41.79136","-86.73906","The Bright Yellow Retreat","6","Entire home","5","https://www.airbnb.com/rooms/18094868"
"Union Pier, Michigan, United States","41.82067","-86.69187","Cottage Ravine - UNION PIER HOME WITH PRIVATE HEATED POOL! (2023 OPEN!)","8","Entire cottage","4.5","https://www.airbnb.com/rooms/37084323"
"Alden, Michigan, United States","44.88311","-85.2747","Alden Cottage Across from Beautiful Torch Lake","4","Entire cottage","4.5","https://www.airbnb.com/rooms/19495949"
"South Haven, Michigan, United States","42.32232","-86.26365","The joyful White cottage on Forest Lake (New construction 2021)","6","Entire cabin","5","https://www.airbnb.com/rooms/45564976"
"Boyne City, Michigan, United States","45.20711","-85.02043","Large comfortable 5 bedroom home","12","Entire home","5","https://www.airbnb.com/rooms/11524633"
"Indian River, Michigan, United States","45.45666","-84.58343","Make Memories on Mullett Lake","12","Entire cottage","4.5","https://www.airbnb.com/rooms/18607568"
"South Haven, Michigan, United States","42.387","-86.284","Family Vacation home one  block from Lake Michigan","10","Entire home","4.5","https://www.airbnb.com/rooms/48606745"
"Whitmore Lake, Michigan, United States","42.44091","-83.79982","Hamburg Lakefront Getaway House (Ann Arbor Area)","6","Entire cottage","5","https://www.airbnb.com/rooms/24208244"
"South Haven, Michigan, United States","42.41272","-86.27515","You Are My Sunshine","12","Entire home","5","https://www.airbnb.com/rooms/18224205"
"Indian River, Michigan, United States","45.39879","-84.61226","Log Cabin on the Sturgeon River","8","Entire cabin","4.5","https://www.airbnb.com/rooms/49509003"
"Lake Leelanau, Michigan, United States","44.9816","-85.70926","Waterfront Home on Lake Leelanau with Dock/Firepit","10","Entire home","5","https://www.airbnb.com/rooms/3805355"
"Northport, Michigan, United States","45.13527","-85.65811","Vacation home overlooking beautiful Lake Michigan","12","Entire home","5","https://www.airbnb.com/rooms/54362361"
"Williamsburg, Michigan, United States","44.7731","-85.5023","Traverse City East Bay Sunset Getaway!","6","Entire condo","4.5","https://www.airbnb.com/rooms/17036123"
"Saugatuck, Michigan, United States","42.68038","-86.17818","Cedar Creek Lodge Luxury Cabin","8","Entire cabin","5","https://www.airbnb.com/rooms/4136738"
"Roscommon, Michigan, United States","44.43303","-84.67397","The Lake House at Higgins Lake","6","Entire home","5","https://www.airbnb.com/rooms/10739900"
"Petoskey, Michigan, United States","45.37515","-84.95222","Little Bay Retreat: 2 Bedroom Downtown Petoskey!","7","Entire home","4.5","https://www.airbnb.com/rooms/52638808"
