"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Duluth, Minnesota, United States","46.82546","-92.07586","Arrowhead Garden Retreat","4","Entire home","5","https://www.airbnb.com/rooms/29075815"
"Duluth, Minnesota, United States","46.70738","-92.20464","Riverside rooms","4","Entire home","4.5","https://www.airbnb.com/rooms/50865304"
"Duluth, Minnesota, United States","46.82614","-92.11161","Quaint Duluth Hideaway w/ Private Fenced-In Yard!","6","Entire home","5","https://www.airbnb.com/rooms/21392675"
"Superior, Wisconsin, United States","46.70773","-92.09817","Amelia Heritage House","10","Entire home","5","https://www.airbnb.com/rooms/23766035"
"Superior, Wisconsin, United States","46.72143","-92.07713","Northland Vacation House","6","Entire home","5","https://www.airbnb.com/rooms/42619500"
"Duluth, Minnesota, United States","46.78553","-92.11439","Skyline Vacation Rental - Beautiful Views of Duluth and Lake Superior!","9","Entire home","5","https://www.airbnb.com/rooms/5111766"
"Duluth, Minnesota, United States","46.77344","-92.08978","Anchors Away!⚓️","6","Entire rental unit","5","https://www.airbnb.com/rooms/20591450"
"Duluth, Minnesota, United States","46.78884","-92.10256","Tower Suite 2 bedroom Condo in Downtown Best views","6","Entire rental unit","5","https://www.airbnb.com/rooms/45481608"
"Duluth, Minnesota, United States","46.80404","-92.06734","Luxury Two Bedroom Condo on Lake Superior","6","Room in boutique hotel","4","https://www.airbnb.com/rooms/38753820"
"Duluth, Minnesota, United States","46.81157","-92.07432","Beautiful Historic Congdon Meets Modern","6","Entire home","5","https://www.airbnb.com/rooms/43936399"
"Duluth, Minnesota, United States","46.78703","-92.10366","Penthouse Harbor View Suite in Downtown Duluth","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/40394457"
"Superior, Wisconsin, United States","46.48451","-92.05596","“The Beach House” On Lake Amnicon.","6","Entire cabin","5","https://www.airbnb.com/rooms/47977320"
"Duluth, Minnesota, United States","46.76943","-92.12186","EL 321 | Light filled cozy studio loft in art district","2","Entire rental unit","5","https://www.airbnb.com/rooms/53419471"
"Duluth, Minnesota, United States","46.96404","-92.32482","Cedar Creek Retreat","9","Entire home","5","https://www.airbnb.com/rooms/33345611"
"Duluth, Minnesota, United States","46.76827","-92.12098","EL 320 | Cool 70's Retro Kick Studio in LKNPK","2","Entire rental unit","5","https://www.airbnb.com/rooms/53497339"
"Saginaw, Minnesota, United States","46.87791","-92.38541","JJ's on Grand","6","Entire cabin","5","https://www.airbnb.com/rooms/37013464"
