"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Kansas City, Missouri, United States","39.059","-94.578","*5 min to Dntown Plaza Westport, Cable, fast Wi-Fi","10","Entire home","5","https://www.airbnb.com/rooms/22142883"
"Olathe, Kansas, United States","38.8793","-94.8194","Junque 101 Historic Home","14","Entire home","5","https://www.airbnb.com/rooms/28885524"
"Kansas City, Missouri, United States","39.07021","-94.58137","Martini Corner -Vintage Modern Home -Travel Lovers","8","Entire home","4.5","https://www.airbnb.com/rooms/50924092"
"Kansas City, Missouri, United States","39.09951","-94.53527","2 Adjacent Houses on Urban Farm by Downtown 1.9mi","16","Farm stay","5","https://www.airbnb.com/rooms/32023021"
"Kansas City, Kansas, United States","39.05424","-94.61445","Quiet Duplex w/ Big Backyard 29/30","12","Entire home","5","https://www.airbnb.com/rooms/43425089"
"Kansas City, Missouri, United States","39.05695","-94.59689","Westport: Beautiful & Spacious House w/ 4 Bedrooms","8","Entire home","5","https://www.airbnb.com/rooms/39111001"
"Kansas City, Missouri, United States","39.046","-94.606","Perfect Plaza Location entire Terrific Townhome","8","Entire townhouse","5","https://www.airbnb.com/rooms/13762521"
"Kansas City, Missouri, United States","39.08496","-94.59728","Explore Kc From a Mid-Century Home","6","Entire bungalow","5","https://www.airbnb.com/rooms/23253577"
"Kansas City, Missouri, United States","39.04378","-94.58383","Carriage House at Southmoreland on the Plaza","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/48429118"
"Kansas City, Missouri, United States","39.04321","-94.59424","✨ The Perfect Holiday Stay ✨","3","Entire rental unit","4.5","https://www.airbnb.com/rooms/50915086"
"Kansas City, Missouri, United States","39.08686","-94.59331","Comfortable & Modern!  Walk to Boulevard Brewery!","4","Entire bungalow","5","https://www.airbnb.com/rooms/29280652"
"Kansas City, Missouri, United States","39.06995","-94.58479","Midtown Blue: Easy Access to the Best of KC","14","Entire home","5","https://www.airbnb.com/rooms/30504146"
"Kansas City, Missouri, United States","39.09035","-94.59255","Large Home in the heart of Downtown Kansas City!","10","Entire home","5","https://www.airbnb.com/rooms/53493952"
"Kansas City, Missouri, United States","39.04726","-94.60117","Lovely 2/2 blocks from Plaza and Westport","5","Entire serviced apartment","4.5","https://www.airbnb.com/rooms/53886196"
"Kansas City, Kansas, United States","39.10169","-94.62677","Dotte'O Grotto: 4bdrm","8","Entire home","4.5","https://www.airbnb.com/rooms/17824807"
"Stilwell, Kansas, United States","38.79788","-94.67777","Country Retreat Close to the City","14","Entire rental unit","5","https://www.airbnb.com/rooms/16781273"
"Kansas City, Kansas, United States","39.04859","-94.6125","Kansas City charm with an ideal location","9","Entire home","5","https://www.airbnb.com/rooms/30204517"
"Kansas City, Missouri, United States","39.07983","-94.57575","Wow Location/Right at DT/Crown Center/UnionStation","7","Entire home","5","https://www.airbnb.com/rooms/52005263"
"Kansas City, Missouri, United States","39.06442","-94.58758","Walk to Westport & Plaza + Terrace & Patio+ Coffee","10","Entire home","5","https://www.airbnb.com/rooms/51596430"
