"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Gallatin Gateway, Montana, United States","45.465","-111.256","STUDIO  CABIN ON THE GALLATIN RIVER SLEEPS UP TO 4","4","Entire cabin","5","https://www.airbnb.com/rooms/12762433"
"Big Sky, Montana, United States","45.26554","-111.29753","Ski-in/ski-out Mountain Village vacation rental with private hot tub & grill","4","Entire condo","4.5","https://www.airbnb.com/rooms/27921925"
"Big Sky, Montana, United States","45.28929","-111.39359","Condo w/private hot tub, fireplace, great views & community gym - Mountain Lake Luxury Lookout","10","Entire condo","5","https://www.airbnb.com/rooms/49569703"
"Gallatin Gateway, Montana, United States","45.465","-111.256","CABIN WITH KITCHENETTE SLEEPS UP TO 4","4","Entire cabin","4.5","https://www.airbnb.com/rooms/1881850"
"Big Sky, Montana, United States","45.2582","-111.31187","Big Sky Tamarack| Town Center | Mordern Decor!","7","Entire townhouse",,"https://www.airbnb.com/rooms/53739817"
"Gallatin Gateway, Montana, United States","45.26425","-111.32838","Home w/stunning views, private hot tub & fireplace - Pines Family Retreat","6","Entire condo","4","https://www.airbnb.com/rooms/33995082"
"Big Sky, Montana, United States","45.25646","-111.3109","Renovated Townhome | Perfect for Your Winter Yellowstone Vacation","10","Entire home","5","https://www.airbnb.com/rooms/48284491"
"Gallatin Gateway, Montana, United States","45.25636","-111.30943","Town Center Home | Walking Distance to Town Center and Resort Ski Shuttle!","12","Entire townhouse","5","https://www.airbnb.com/rooms/33968778"
"Gallatin Gateway, Montana, United States","45.25725","-111.31023","Town Center | Elegant Townhome in Walking Distance to Shops, Ski Shuttle and More!","8","Entire townhouse",,"https://www.airbnb.com/rooms/53340334"
"Big Sky, Montana, United States","45.25698","-111.30949","Big Sky Pheasant Tail| Town Center| Hot Tub!","10","Entire townhouse","5","https://www.airbnb.com/rooms/36698160"
"Gallatin Gateway, Montana, United States","45.25719","-111.31781","Holiday Availability! Custom-Designed Chalet with Mountain Views Near Town Center with a Lovely Deck","8","Entire chalet",,"https://www.airbnb.com/rooms/51428655"
"Gallatin Gateway, Montana, United States","45.25799","-111.31139","Big Sky Pheasant Tail| Town Center| Hot Tub!","8","Entire townhouse","5","https://www.airbnb.com/rooms/27460446"
"Big Sky, Montana, United States","45.25944","-111.3169","Condo w/hot tub & fireplace, close to Big Sky Town Center & Resort - Deer Run Family Retreat","10","Entire condo","4.5","https://www.airbnb.com/rooms/39201665"
"Big Sky, Montana, United States","45.25519","-111.30865","Renovated Townhome in Town Center | Book Your Family Winter Retreat!","12","Entire townhouse","5","https://www.airbnb.com/rooms/45815314"
"Big Sky, Montana, United States","45.26898","-111.29595","The Moose Run Retreat | Big Sky Golf Course","10","Entire home","5","https://www.airbnb.com/rooms/50170125"
"Big Sky, Montana, United States","45.25649","-111.31031","Pheasant Tail Home | Perfect Soaking in the Hot Tub Apres Ski!","12","Entire townhouse","5","https://www.airbnb.com/rooms/40805463"
"Big Sky, Montana, United States","45.257","-111.311","Big Sky Tamarack| Town Center | Private Hot Tub!","13","Entire townhouse","5","https://www.airbnb.com/rooms/20691174"
"Big Sky, Montana, United States","45.25824","-111.31778","Town Center Condo w/ Views & Private Hot Tub","6","Entire condo","5","https://www.airbnb.com/rooms/40231647"
"Big Sky, Montana, United States","45.25752","-111.31145","Townhouse in Town Center - excellent location!","6","Entire townhouse","5","https://www.airbnb.com/rooms/21945814"
"Big Sky, Montana, United States","45.27494","-111.33388","Big Sky Vacation Rentals: Sleeping Bear Lodge","12","Entire cabin",,"https://www.airbnb.com/rooms/53131846"
"Big Sky, Montana, United States","45.24647","-111.31563","Big Sky Vacation Rentals: Lodgeside 4A","8","Entire condo",,"https://www.airbnb.com/rooms/54262464"
"Big Sky, Montana, United States","45.256","-111.312","Modern Rustic Townhouse - Walk to Town Center","8","Entire townhouse","5","https://www.airbnb.com/rooms/37879212"
"Big Sky, Montana, United States","45.27634","-111.34519","MDW Lone Mountain Lodge","14","Entire cabin","5","https://www.airbnb.com/rooms/54070900"
"Big Sky, Montana, United States","45.26717","-111.30809","The Lone Moose Lookout | Right on the Nordic Ski Trails","10","Entire townhouse","5","https://www.airbnb.com/rooms/53902591"
"Big Sky, Montana, United States","45.271","-111.297","The Little Coyote Retreat- Big Sky Meadow Village","8","Entire home",,"https://www.airbnb.com/rooms/53620983"
"Big Sky, Montana, United States","45.28789","-111.39946","Lodge at Big Sky Master Suite","5","Private room in nature lodge","5","https://www.airbnb.com/rooms/13099214"
"Gallatin Gateway, Montana, United States","45.29022","-111.39147","Luxury 4 Bedroom Chalet Retreat - Big Sky Mountain Village","10","Entire townhouse",,"https://www.airbnb.com/rooms/53760360"
"Big Sky, Montana, United States","45.26","-111.318","The Bear's Den-Hot Tub, Private Patio +Views","12","Entire townhouse","5","https://www.airbnb.com/rooms/22450902"
"Big Sky, Montana, United States","45.25747","-111.31069","Trotwood Townhome | Cozy up to the Fireplace on a Snowy Night!","6","Entire townhouse","5","https://www.airbnb.com/rooms/26530695"
"Big Sky, Montana, United States","45.26497","-111.30215","Golf course condo with WiFi, fireplace - access to pool & hot tub","4","Entire condo","4.5","https://www.airbnb.com/rooms/36764122"
"Big Sky, Montana, United States","45.25933","-111.31005","The Moosehead Lodge - Big Sky Town Center","7","Entire townhouse","5","https://www.airbnb.com/rooms/50072638"
"Big Sky, Montana, United States","45.28739","-111.4031","Ski-in/out condo w/private hot tub, fireplace & Spanish Peak views | Beaverhead Family Getaway","10","Entire condo","4.5","https://www.airbnb.com/rooms/25951570"
"Big Sky, Montana, United States","45.27019","-111.29661","Beautiful home w/firepit, lovely views, and large fireplace - Moose Alley Ranch House","12","Entire home","5","https://www.airbnb.com/rooms/49569729"
"Big Sky, Montana, United States","45.25267","-111.31284","Ski Season Availability! Family-Friendly Home with Hot Tub and Mountain Views Near Town Center","10","Entire home",,"https://www.airbnb.com/rooms/46332744"
"Big Sky, Montana, United States","45.26762","-111.30868","Beautiful Meadow Home with Hot Tub | Cross Country Skiing Heaven!","12","Entire townhouse","5","https://www.airbnb.com/rooms/52568445"
"Big Sky, Montana, United States","45.28746","-111.4031","Big Sky Vacation Rentals: Beaverhead 123 BH 301","14","Entire condo",,"https://www.airbnb.com/rooms/52914827"
"Big Sky, Montana, United States","45.2936","-111.40303","Cute, Cozy & Quaint","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/51600238"
"Big Sky, Montana, United States","45.25717","-111.30853","Town Center | Luxuriously Decorated Ski Retreat, Private Hot Tub, & More!","8","Entire townhouse","5","https://www.airbnb.com/rooms/29879781"
"Big Sky, Montana, United States","45.27014","-111.29781","Comfy 3 bedroom home in Big Sky w/ gas fireplace","6","Entire home","5","https://www.airbnb.com/rooms/54024487"
"Big Sky, Montana, United States","45.26266","-111.32757","Best Location, Pool, Spa, 5 min. to Meadow Village","8","Entire condo","4.5","https://www.airbnb.com/rooms/48398861"
"Big Sky, Montana, United States","45.25651","-111.31799","The Shrub","4","Entire rental unit","5","https://www.airbnb.com/rooms/24081467"
"Big Sky, Montana, United States","45.26568","-111.30234","Mountain views, well stocked condo!","7","Entire condo","5","https://www.airbnb.com/rooms/21781918"
"Gallatin Gateway, Mt, United States","45.2223","-111.25499","The Fisherman's Lodge Big Sky","8","Entire home","5","https://www.airbnb.com/rooms/3716215"
"Big Sky, Montana, United States","45.26333","-111.32677","Cabin-Feel Oasis in the Woods, Easy and Charming","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/52489281"
"Big Sky, Montana, United States","45.26549","-111.30531","Home on Big Sky Golf Course w/private hot tub & nordic skiing access - Curley Bear Retreat","10","Entire home",,"https://www.airbnb.com/rooms/53510781"
"Big Sky, Montana, United States","45.258","-111.319","Great location with view and private hot tub!","6","Entire townhouse","5","https://www.airbnb.com/rooms/52002981"
"Big Sky, Montana, United States","45.29131","-111.39256","Holiday Availability! Modern Ski-Chic, Condo, with Lone Peak Mountain Views; just minutes from Big Sky","8","Entire rental unit","5","https://www.airbnb.com/rooms/31010765"
"Big Sky, Montana, United States","45.26577","-111.29607","Dog-friendly condo with WiFi, fireplace, hot tub, & swimming pool","4","Entire condo","4.5","https://www.airbnb.com/rooms/27921937"
"Big Sky, Montana, United States","45.25534","-111.3094","Big Sky Basecamp","5","Entire home","5","https://www.airbnb.com/rooms/50516447"
"Big Sky, Montana, United States","45.26456","-111.30908","Quiet Ski Getaway indoor pool, hot tub and sauna","5","Entire condo","5","https://www.airbnb.com/rooms/52571616"
"Big Sky, Montana, United States","45.29071","-111.39207","Big Sky Mountain Lake | Fitness| Hot Tub| Resort!","7","Entire home",,"https://www.airbnb.com/rooms/53168297"
"Gallatin Gateway, Montana, United States","45.28984","-111.40584","Big Sky Vacation Rentals: PR Manitou 15","10","Entire cabin",,"https://www.airbnb.com/rooms/46216365"
"Ennis, Montana, United States","45.34744","-111.53292","Trout Cabin at Diamond J Ranch","4","Entire cabin",,"https://www.airbnb.com/rooms/13344769"
"Big Sky, Montana, United States","45.29014","-111.39315","Condo w/private hot tub close to Big Sky Resort w/gorgeous mountain views - Alpenglow Retreat","9","Entire condo","4.5","https://www.airbnb.com/rooms/34910310"
"Gallatin Gateway, Montana, United States","45.25764","-111.25045","Gallatin River House Retreat | Big Sky","10","Entire home",,"https://www.airbnb.com/rooms/52466379"
"Big Sky, Montana, United States","45.26579","-111.25014","GallatinRiverGuestCabin~ BigSky-Yellowstone Park","4","Entire cabin","5","https://www.airbnb.com/rooms/10186313"
"Big Sky, Montana, United States","45.29245","-111.39896","Dreamy Ski Getaway,Easy Ski Access, Lone Peak View","5","Entire condo","5","https://www.airbnb.com/rooms/40678416"
"Gallatin Gateway, Montana, United States","45.465","-111.256","COZY STUDIO  CABIN W/ KITCHENETTE ON THE GALLATIN","2","Entire cabin","5","https://www.airbnb.com/rooms/12763088"
"Big Sky, Montana, United States","45.27215","-111.33606","Spectacular Private Home - BEST Location!","12","Entire home","5","https://www.airbnb.com/rooms/51967053"
"Gallatin Gateway, Montana, United States","45.465","-111.256","COZY STUDIO CABIN W/ KITCHENETTE ON THE GALLATIN","2","Entire cabin","5","https://www.airbnb.com/rooms/12736760"
"Big Sky, Montana, United States","45.24891","-111.32193","Home close to Big Sky Resort & Town Center w/fireplace - Firelight Chalet with Private Hot Tub","8","Entire condo","5","https://www.airbnb.com/rooms/44049260"
"Big Sky, Montana, United States","45.25898","-111.31119","Ski Season Availability! Simple and Charming Townhome with mountain views, Wifi and Garage","8","Entire townhouse","5","https://www.airbnb.com/rooms/46879067"
"Big Sky, Montana, United States","45.26017","-111.31869","Great location in Town Center, close to Big Sky Resort w/views & fireplace! - Deer Run Family Escape","6","Entire condo","4.5","https://www.airbnb.com/rooms/21514499"
"Big Sky, Montana, United States","45.27175","-111.29842","Home on Big Sky Golf Course w/private hot tub & stone fireplace - Little Coyote Lookout","10","Entire home",,"https://www.airbnb.com/rooms/49569719"
"Big Sky, Montana, United States","45.25142","-111.32039","Cozy condo w/private hot tub close to Town Center & Resort | Firelight Cozy Ski Chalet","8","Entire condo",,"https://www.airbnb.com/rooms/52881191"
"Big Sky, Montana, United States","45.24833","-111.32088","Home close to Big Sky Resort & Town Center w/private hot tub - Ousel Falls Chalet","8","Entire condo","5","https://www.airbnb.com/rooms/49569711"
"Big Sky, Montana, United States","45.26158","-111.32989","Home w/beautiful views, fireplace & community hot tub/pool/sauna - Hidden Village Townhome","8","Entire condo","4.5","https://www.airbnb.com/rooms/49569717"
"Big Sky, Montana, United States","45.2634","-111.32684","Condo w/stone fireplace, stunning views & community pool/hot tub - Hidden Village Family Retreat","10","Entire condo","4.5","https://www.airbnb.com/rooms/32843770"
"Big Sky, Montana, United States","45.29009","-111.3923","Big Sky Mountain Lake | Fitness| Hot Tub| Resort!","8","Entire home","5","https://www.airbnb.com/rooms/31649271"
"Big Sky, Montana, United States","45.25109","-111.31907","Home w/private hot tub & fireplace close to Town Center & Resort - Mountain to Meadow Ski Chalet","8","Entire condo","4","https://www.airbnb.com/rooms/49569745"
"Gallatin Gateway, Montana, United States","45.465","-111.256","STUDIO  CABIN 3 ON THE GALLATIN SLEEPS 2","2","Entire cabin","4.5","https://www.airbnb.com/rooms/1881813"
"Gallatin Gateway, Montana, United States","45.28596","-111.39678","Big Sky Paradise - Arrowhead","8","Entire chalet","5","https://www.airbnb.com/rooms/27751908"
"Big Sky, Montana, United States","45.28738","-111.39608","Big Sky Big Horn | Ski In/Out | Wak To Resort!","6","Entire home","5","https://www.airbnb.com/rooms/49689080"
"Big Sky, Montana, United States","45.28551","-111.39632","Big Sky Big Horn | Ski In/Out | Wak To Resort!","10","Entire condo","5","https://www.airbnb.com/rooms/39555616"
"Gallatin Gateway, Montana, United States","45.26427","-111.29735","Large Condo w/ Miles of Views at Big Sky Golf Course, Community Hot Tub/Pool - Park Condo Retreat","8","Entire condo",,"https://www.airbnb.com/rooms/49569725"
"Gallatin Gateway, Montana, United States","45.25854","-111.31704","Condo w/private hot tub close to Big Sky Resort & Town Center | Comfort Awaits At Deer Run","9","Entire condo","4.5","https://www.airbnb.com/rooms/15407489"
"Gallatin Gateway, Montana, United States","45.29213","-111.40946","Big Sky Vacation Rentals: PR Rosebud 7","12","Entire cabin",,"https://www.airbnb.com/rooms/46216553"
"Gallatin Gateway, Montana, United States","45.28946","-111.40567","Big Sky Vacation Rentals: PR Red Cloud 10","8","Entire cabin",,"https://www.airbnb.com/rooms/51865592"
"Big Sky, Montana, United States","45.26298","-111.32872","Home w/fireplace, great views & community hot tub/pool/sauna - Big Game Getaway","8","Entire condo","4.5","https://www.airbnb.com/rooms/53611986"
"Big Sky, Montana, United States","45.2566","-111.31009","Big Sky Tamarack| Town Center | Modern And Hot Tub!","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/46277936"
"Big Sky, Montana, United States","45.29735","-111.42726","Big Sky Vacation Rentals: MMH 6 Mountain Home","12","Entire chalet",,"https://www.airbnb.com/rooms/47358051"
"Big Sky, Montana, United States","45.28723","-111.39866","Gnar House⛷","6","Entire townhouse","5","https://www.airbnb.com/rooms/38521640"
"Big Sky, Montana, United States","45.24949","-111.32044","Condo w/private hot tub close to Town Center & Big Sky Resort - The Hallmark Chalet","7","Entire condo","4.5","https://www.airbnb.com/rooms/49569705"
