"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Beech Mountain, North Carolina, United States","36.22319","-81.89016","Mountain-view home with high-speed WiFi, wood fireplace, W/D & central AC","13","Entire home","4","https://www.airbnb.com/rooms/52774260"
"Banner Elk, North Carolina, United States","36.18003","-81.83967","Mountain Dream Lodge - Amazing Panoramic Mtn Views","8","Entire home","5","https://www.airbnb.com/rooms/38598382"
"Beech Mountain, North Carolina, United States","36.19","-81.875","Highlands hideaway: ski in/ski out with hot tub","13","Entire home","5","https://www.airbnb.com/rooms/45199354"
"Vilas, North Carolina, United States","36.20886","-81.74043","Crosswind -  Hot Tub - Firepit - Mountain Views","12","Entire cabin","5","https://www.airbnb.com/rooms/28953560"
"Blowing Rock, North Carolina, United States","36.13546","-81.67199","King Suite Small at The Manor in Blowing Rock","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/49940365"
"Beech Mountain, North Carolina, United States","36.21549","-81.88126","Sweet Retreat","8","Entire home","5","https://www.airbnb.com/rooms/47506699"
"Beech Mountain, North Carolina, United States","36.20633","-81.88211","Emerald Escape - Theater room, hot tub, ping pong table, by the 5th green of Beech Mtn Golf","8","Entire home","4.5","https://www.airbnb.com/rooms/52775865"
"Vilas, North Carolina, United States","36.20386","-81.7433","Deer Hollow Retreat - Hot Tub -Bumper Pool - Foosball - Mountain Views","8","Entire cabin","5","https://www.airbnb.com/rooms/29342696"
"Boone, North Carolina, United States","36.18689","-81.7251","Mountaintop at Yonahlossee Saddle Club - three suites, private lot, gated, views","6","Entire cabin",,"https://www.airbnb.com/rooms/50461968"
"Beech Mountain, North Carolina, United States","36.20704","-81.86903","5BR/5BA Mountain Lodge, Beech Mountain, Views, Hot Tub, Game Tables, Fire Pit, Near Skiing, Hiking, Attractions","16","Entire home","4.5","https://www.airbnb.com/rooms/51213763"
"Blowing Rock, North Carolina, United States","36.1398","-81.71458","Blowing Rock-Mountain Laurel, Westglow 1 BR","2","Entire home","4.5","https://www.airbnb.com/rooms/43450073"
"Avery County, North Carolina, United States","36.17544","-81.86894","Grey Fox Cabin - Banner Elk home with views, game table, fenced yard","12","Entire cabin",,"https://www.airbnb.com/rooms/52752360"
"Vilas, North Carolina, United States","36.20321","-81.74279","Uncle John's Cabin in peaceful Valle Crucis - Hot Tub - Pool Table - Ping Pong","8","Entire cabin","5","https://www.airbnb.com/rooms/29342683"
"Boone, North Carolina, United States","36.23647","-81.64972","Wildwind Sundream PingPong 5 min to ASU fire pit","12","Entire cabin","5","https://www.airbnb.com/rooms/50912640"
"Vilas, North Carolina, United States","36.21641","-81.74713","3 Peaks Lodge - Charming Pet Friendly Cabin with great views, hot tub and pool table!","10","Entire cabin","5","https://www.airbnb.com/rooms/29342560"
"Seven Devils, North Carolina, United States","36.14823","-81.82394","Spacious Mtn Home, Views, Pool Table, Pet Friendly, Central Location Near Attractions, Steam Room, Near Ski Slopes","14","Entire home","4.5","https://www.airbnb.com/rooms/52112699"
"Spruce Pine, North Carolina, United States","35.94178","-82.05446","The Duke Room with Breakfast & 3-Course Dinner","2","Private room in castle",,"https://www.airbnb.com/rooms/53998233"
"Boone, North Carolina, United States","36.26013","-81.59027","Log Cabin, Hot Tub, MTN view, wood fireplace & pit","8","Entire cabin","5","https://www.airbnb.com/rooms/1507076"
"Boone, North Carolina, United States","36.16086","-81.61412","Upscale 4BR/4BA near Blowing Rock! Hot Tub, Game Room, 4 Suites, EV Charger, Huge Mtn Views!","11","Entire home","5","https://www.airbnb.com/rooms/51967509"
"Blowing Rock, North Carolina, United States","36.135","-81.679","Downtown Hideaway - Green Door","7","Entire rental unit","5","https://www.airbnb.com/rooms/14503495"
"Boone, North Carolina, United States","36.23862","-81.60375","Private 4BR Mountain Home, Hot Tub, Pool Table, Porch Lounge Area, Yard, Amazing Location","14","Entire home","4.5","https://www.airbnb.com/rooms/53277779"
"Beech Mountain, North Carolina, United States","36.21241","-81.87969","Deluxe Custom Mountain Get-a-Way, 4 Bed / 4 bath","10","Entire home","5","https://www.airbnb.com/rooms/13657050"
"Blowing Rock, North Carolina, United States","36.16142","-81.67041","Large Blowing Rock Mountain Home w/ Hot Tub, Views, Foosball, Fire PIt, & More!","10","Entire home","5","https://www.airbnb.com/rooms/44462334"
"Boone, North Carolina, United States","36.1903","-81.71995","Bear Trail","8","Entire chalet",,"https://www.airbnb.com/rooms/43741524"
