"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Broken Bow, Oklahoma, United States","34.16786","-94.77821","NEW On Creek! HUGE Deck- Elegant Luxury! Sleeps 15","15","Entire home","5","https://www.airbnb.com/rooms/47905773"
"Beaufort, North Carolina, United States","34.708","-76.618","Point Lookout Beaufort NC","8","Entire home","5","https://www.airbnb.com/rooms/25375117"
"Lewiston, Michigan, United States","44.86893","-84.33496","Beautiful house on West Twin Lake","10","Entire home","5","https://www.airbnb.com/rooms/33944268"
"Palo Alto, California, United States","37.45094","-122.15999","Palo Alto Modern Retreat","6","Entire home","5","https://www.airbnb.com/rooms/27696747"
"Alpalhão, Portalegre District, Portugal","39.408","-7.625","Countryside House for 16 persons","16","Farm stay","5","https://www.airbnb.com/rooms/1005100"
"Whitsundays, Australia","-20.338","148.953","Bella Azure Oceanview Apartment With Golf Buggy","7","Entire rental unit","5","https://www.airbnb.com/rooms/33201283"
"Praiano, Campania, Italy","40.61","14.526","CalanteLuna Relais - Appartamento Sciabordìo","2","Entire rental unit","5","https://www.airbnb.com/rooms/18454386"
"Honolulu, Hawaii, United States","21.27184","-157.70667","Spacious Home In Hawaii Kai","8","Entire home","5","https://www.airbnb.com/rooms/22553966"
"Bondi, New South Wales, Australia","-33.89523","151.2696","Spectacular 2 bedroom penthouse apartment in Bondi","4","Entire rental unit",,"https://www.airbnb.com/rooms/45930409"
"Brooklyn, New York, United States","40.68641","-73.96187","Stunning 1,600 sqft Full Floor Apartment","4","Entire condo","5","https://www.airbnb.com/rooms/45440273"
"Rome, Lazio, Italy","41.89857","12.49136","Daphne Terrace  - TreasureRome Luxury Collection","5","Entire rental unit","5","https://www.airbnb.com/rooms/9108014"
"Chamblee, Georgia, United States","33.90136","-84.31767","Modern Private Ranch in Beautiful Neighborhood | Ideal for Longer Stays","6","Entire home","5","https://www.airbnb.com/rooms/48339974"
"Cape Town, Western Cape, South Africa","-33.96621","18.38047","Ty Gwyn Villa","6","Entire villa","4.5","https://www.airbnb.com/rooms/14561253"
"Appledore, Devon, United Kingdom","51.051","-4.196","Wintor House","10","Entire home","5","https://www.airbnb.com/rooms/19883661"
"Lahaina, Hawaii, United States","20.96927","-156.6783","Gorgeous 3 bedroom villa at the Sands of Kahana","8","Entire condo","4.5","https://www.airbnb.com/rooms/40054099"
"Betley, near Nantwich, United Kingdom","53.04271","-2.37128","Buddileigh Farm (26951)","8","Entire home","5","https://www.airbnb.com/rooms/30860448"
"Kings Beach, California, United States","39.25178","-120.0626","Timber View Lodge - Beautiful Custom Luxury Home","8","Entire home","4.5","https://www.airbnb.com/rooms/26011554"
"Kent, England, United Kingdom","51.38862","1.3822","Smugglers Cottage (UKC141)","4","Entire home","5","https://www.airbnb.com/rooms/51591706"
"Noord, Aruba","12.57334","-70.03865","NEW! Villa de Leon, suitable for 14 persons. 5 bedrooms, 5 bathrooms","14","Entire villa","5","https://www.airbnb.com/rooms/53314767"
"Chamonix-Mont-Blanc, Rhône-Alpes, France","45.91947","6.86363","Farmhouse  Chalet 6/8pl Town Centre","8","Entire home","5","https://www.airbnb.com/rooms/191397"
"Tamaris, Casablanca-Settat, Morocco","33.52225","-7.8456","Magnifique villa avec piscine","8","Entire villa",,"https://www.airbnb.com/rooms/52130397"
"Cancún, Quintana Roo, Mexico","21.1164","-86.75692","Cancun Luxury Beachfront  Villa","10","Entire villa","5","https://www.airbnb.com/rooms/53163271"
"London, United Kingdom","51.57235","-0.1363","Blue Room near Archway Underground Station: Zone 2","2","Private room in home","5","https://www.airbnb.com/rooms/7600355"
"Saugatuck, Michigan, United States","42.68073","-86.17894","Kingfisher Cabin Retreat.  LGBTQ Friendly","10","Entire cabin","5","https://www.airbnb.com/rooms/30406516"
"Charlottesville, Virginia, United States","38.01728","-78.49259","Spacious, Private, Clean | 4BR Near Downtown/UVA","12","Entire home","5","https://www.airbnb.com/rooms/48286055"
"Fort Lauderdale, Florida, United States","26.108","-80.106","Absolutely the BEST...Location..Residence.. Beach","6","Entire rental unit","5","https://www.airbnb.com/rooms/16709549"
"Cape Town, Western Cape, South Africa","-33.96702","18.37608","Sunset Bay Villa - Camps Bay","6","Entire villa","4.5","https://www.airbnb.com/rooms/46889936"
"Covina, California, United States","34.07065","-117.84993","5ac LUX mountain-view villa minutes drive to I-10","4","Entire guesthouse","5","https://www.airbnb.com/rooms/28107404"
"Marquette, Michigan, United States","46.548","-87.383","Northern Lights Nest","6","Entire home","5","https://www.airbnb.com/rooms/51170266"
"Kilnsey near Grassington, United Kingdom","54.10688","-2.03947","Sikes Laithe (CC212154)","8","Entire home","4.5","https://www.airbnb.com/rooms/30909531"
"Palm Cove, Queensland, Australia","-16.74823","145.67193","5202 Drift - Luxury 3 Bedroom Beachfront Condo","6","Entire condo","5","https://www.airbnb.com/rooms/51109479"
"Bardon Mill, England, United Kingdom","54.98183","-2.37363","Hadrians Garden Cottage - UK3323 (UK3323)","6","Entire home",,"https://www.airbnb.com/rooms/44442970"
"Dillon, Colorado, United States","39.60674","-105.94411","KEYSTONE 1 BED CONDO","2","Entire condo","5","https://www.airbnb.com/rooms/29254131"
"Agios Dimitrios, Greece","35.33859","25.0752","Sea view ON BEACH apartment in Ammoudara Heraklion","5","Entire rental unit","5","https://www.airbnb.com/rooms/34840666"
"Vancouver, British Columbia, Canada","49.27225","-123.17448","Steps to Ocean in Kitsilano","5","Entire home","4.5","https://www.airbnb.com/rooms/6423132"
"Blay, Normandie, France","49.29597","-0.838","Manoir de Cleronde ***** Normandy B&B","15","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/32851803"
"Whitewood, South Dakota, United States","44.49839","-103.4546","Rally Rental close to The Full Throttle Saloon","10","Entire home","5","https://www.airbnb.com/rooms/37917308"
"Defensola, Puglia, Italy, Italy","41.89818","16.15326","Bilocale con piscina, 350 metri dal mare di Vieste","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/14226203"
"Bangkok, Krung Thep Maha Nakhon, Thailand","13.7417","100.54582","Benviar - Three Bedroom Duplex (275 sqm) @Chitlom","6","Room in aparthotel","5","https://www.airbnb.com/rooms/3611516"
"Los Gatos, California, United States","37.23346","-121.91234","*Spacious Los Gatos Home Families/Business/Travel*","12","Entire home","5","https://www.airbnb.com/rooms/46942756"
"Jardim Praiano, São Paulo, Brazil","-23.98012","-46.23965","Mansao Guarujá - Condomínio fechado c/ Vista Mar","16","Entire home","5","https://www.airbnb.com/rooms/53941129"
"Bar Harbor, Maine, United States","44.387","-68.204","Bar Harbor Loft East","4","Entire rental unit","5","https://www.airbnb.com/rooms/48829616"
"Torquay, England, United Kingdom","50.45896","-3.54686","4 The Manor House (BCMH04)","5","Entire home",,"https://www.airbnb.com/rooms/40909671"
"Newton, Wales, United Kingdom","51.57113","-4.0083","Large beautiful coastal house in Mumbles","12","Entire home","5","https://www.airbnb.com/rooms/43981636"
"Paris, Île-de-France, France","48.85687","2.29786","Gorgeous 3BR flat at Eiffel Tower","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/12810933"
"Siesta Key, Florida, United States","27.27671","-82.56768","Luxury 4 bedroom 4 bath Beachfront Home","12","Entire home","4.5","https://www.airbnb.com/rooms/20211168"
"Soustons, Nouvelle-Aquitaine, France","43.773","-1.402","Salty Woods Lodge_Lake and ocean villa, 12p","12","Entire villa","5","https://www.airbnb.com/rooms/49682399"
"Surfers Paradise, Queensland, Australia","-28.00594","153.42848","Lvl 60 4 Bed Sub Penthouse Q1 Resort Sleeps 10","10","Entire rental unit","5","https://www.airbnb.com/rooms/44154643"
"Amsterdam, Noord-Holland, Netherlands","52.36435","4.88095","Leidse Square 5 star Luxury-apartment","4","Entire rental unit","5","https://www.airbnb.com/rooms/41363443"
"Nîmes, Occitanie, France","43.87953","4.34784","Mas des Capitelles avec cuisine d'été, piscine","6","Entire villa","5","https://www.airbnb.com/rooms/49843440"
"Nashville, Tennessee, United States","36.155","-86.775","♥ of Nashville, walk 2 Broadway w/ pool & gym","10","Entire rental unit","5","https://www.airbnb.com/rooms/41878338"
"Hollywood, Florida, United States","26.00483","-80.15609","Hollywood Sunshine Resort","10","Entire home","5","https://www.airbnb.com/rooms/48068436"
"Argegno, Lombardia, Italy","45.942","9.126","Villa Castello with jacuzzi & priceless view","8","Entire villa","5","https://www.airbnb.com/rooms/36999681"
"Steading, Berwick-upon-Tweed, United Kingdom","55.7345","-2.03224","Murton Cottage (MSC)","6","Entire home","5","https://www.airbnb.com/rooms/30881061"
"Elk Rapids, Michigan, United States","44.89416","-85.42254","The Bayshore House on East Grand Traverse Bay","10","Entire home","5","https://www.airbnb.com/rooms/15840761"
"near Wimborne, United Kingdom","50.81574","-1.93196","The Parlour (UKC3108)","4","Entire home",,"https://www.airbnb.com/rooms/30220978"
"Seattle, Wa, United States","47.58409","-122.31842","Stylish Seattle farmhouse - Bonus suite + views","16","Entire home","5","https://www.airbnb.com/rooms/42894717"
"Oxon Hill, Maryland, United States","38.783","-77.015","✦✦SPACIOUS 3 Bedroom Deluxe Suite✦✦","6","Entire guest suite","5","https://www.airbnb.com/rooms/45543156"
"Honolulu, Hawaii, United States","21.27609","-157.82312","Oceanfront Deluxe Waikiki Beach Tower - WBT 503","6","Entire condo","5","https://www.airbnb.com/rooms/48188976"
"Paris, Île-de-France, France","48.87","2.311","Penthouse Champs Elysee Most Amazing View of Paris","4","Entire rental unit","5","https://www.airbnb.com/rooms/29814060"
"Palm Cove, Queensland, Australia","-16.73818","145.6678","Canopy Views 4 Bedroom Holiday Home Palm Cove","8","Entire villa","5","https://www.airbnb.com/rooms/50602373"
"La Manga Club, Cartagena, Murcia, Spain","37.595","-0.8","La Manga Club Resort - Individual Villa 439","8","Entire villa",,"https://www.airbnb.com/rooms/44126019"
"Koloa, Hawaii, United States","21.882","-159.474","Ocean View Poipu Penthouse w/ 1600 SF Private Deck","5","Entire condo","5","https://www.airbnb.com/rooms/51641706"
"Ann Arbor, Michigan, United States","42.2668","-83.75932","Modern Luxurious Home-Steps from the Big House!","4","Entire home","5","https://www.airbnb.com/rooms/38800223"
"Kefallonia, Greece","38.121","20.617","Villa Carisma - Just A Short Stroll To 3 Beaches","6","Entire villa","5","https://www.airbnb.com/rooms/36925858"
"Selluzza, Toscana, Italy","43.371","11.804","VILLA PUCCI 12, Emma Villas Exclusive","12","Entire villa","5","https://www.airbnb.com/rooms/30334265"
"Longboat Key, Florida, United States","27.394","-82.645","LaPlaya 204D-Beach-lovers paradise! 200 feet of private beach along the turquoise Gulf of Mexico.","6","Entire condo",,"https://www.airbnb.com/rooms/47095086"
"Milano, Lombardia, Italy","45.46368","9.18544","Luxury Apartment in the Heart of Milan","8","Entire rental unit","5","https://www.airbnb.com/rooms/49237646"
"Locorotondo, Puglia, Italy, Italy","40.75873","17.36516","Trulli Loco - Villaggio privato con piscina","16","Trullo","5","https://www.airbnb.com/rooms/52894086"
"West Palm Beach, Florida, United States","26.70061","-80.0558","The Grace FitzPatrick    Luxury 4bd/4ba with Pool","8","Entire home","5","https://www.airbnb.com/rooms/18926948"
"Amalfi, Campania, Italy","40.6364","14.5938","Amalfi Coast Villa Knight","13","Entire villa","5","https://www.airbnb.com/rooms/15351326"
"Soorts-Hossegor, Aquitaine, France","43.664","-1.44","Villa Goizeko Izarra - 4* Hossegor Plage centrale","12","Entire villa","5","https://www.airbnb.com/rooms/5989526"
"Austin, Texas, United States","30.26625","-97.73221","Lone Star Sanctuary | Walk to 6th Street & Rainey","11","Entire condo","5","https://www.airbnb.com/rooms/34807587"
"Durango, Colorado, United States","37.29733","-107.87407","Heart Stone House - A Modern, Eco-Friendly Getaway","8","Entire home","5","https://www.airbnb.com/rooms/34810561"
"Lenox, Massachusetts, United States","42.36466","-73.27835","Berkshire Terrace: *NEW* backyard deck & hot tub","8","Entire home","5","https://www.airbnb.com/rooms/50165556"
"Scarperia, Toscana, Italy","43.97552","11.36632","Mugello Country Villa","16","Entire villa","4.5","https://www.airbnb.com/rooms/50629770"
"Los Angeles, California, United States","34.02722","-118.44111","Centrally Located Designer Home With Huge Roofdeck","6","Entire townhouse",,"https://www.airbnb.com/rooms/53447910"
"Siesta Key, Florida, United States","27.26826","-82.55769","Stunning 3Bed Steps from Siesta Key Beach Access!!","9","Entire townhouse","4","https://www.airbnb.com/rooms/54352045"
"Shakopee, Minnesota, United States","44.76726","-93.40844","Sapphire at Glacier Estates","6","Entire home","5","https://www.airbnb.com/rooms/21911952"
"Sevierville, Tennessee, United States","35.77094","-83.66499","Beautiful Views I Theater I Game room I 8Mi to PF!","16","Entire cabin","5","https://www.airbnb.com/rooms/52729166"
"Richmond, California, United States","37.97688","-122.28037","Serene 5 bed 3 Bath SF Bay Home w/ Pool & Spa!","8","Entire home","5","https://www.airbnb.com/rooms/12347473"
