"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Saint-Rémy-de-Provence, Provence-Alpes-Côte d'Azur, France","43.77939","4.86811","Splendide Mas au coeur des Alpilles avec piscine","6","Entire home","4.5","https://www.airbnb.com/rooms/53823197"
"Koloa, Hawaii, United States","21.87446","-159.4425","3 BR Condo w/Ocean views w/2 lanais at Poipu Sands","8","Entire condo","5","https://www.airbnb.com/rooms/49728261"
"New York, United States","40.72381","-73.99257","Cozy two bedroom apt close to Soho and NYU.","4","Entire rental unit","5","https://www.airbnb.com/rooms/35944106"
"Whitewood, South Dakota, United States","44.49839","-103.4546","Rally Rental close to The Full Throttle Saloon","10","Entire home","5","https://www.airbnb.com/rooms/37917308"
"Sunrise Beach, Queensland, Australia","-26.41237","153.10823","ULTIMATE NOOSA Six Bedroom Luxury with WATERSLIDE!","13","Entire home","5","https://www.airbnb.com/rooms/23453341"
"Rava, Croatia","44.02341","15.0604","Ravart Double room with balcony and sea view balcony and summer kitchen","2","Private room in home","5","https://www.airbnb.com/rooms/43352277"
"Southampton, New York, United States","40.96223","-72.39006","Contemporary House in Quiet Bayside Neighborhood","4","Entire home","5","https://www.airbnb.com/rooms/10626248"
"Fayetteville, Arkansas, United States","36.09889","-94.0914","Large 6 bedroom perfect for groups needing space","14","Entire home",,"https://www.airbnb.com/rooms/53068348"
"Zurich, Switzerland","47.375","8.543","3 room apartment in a historic town - S3","5","Entire rental unit","4.5","https://www.airbnb.com/rooms/2920698"
"Whitley Bay, England, United Kingdom","55.04867","-1.45011","Bay View (UK3292)","4","Entire home",,"https://www.airbnb.com/rooms/41484785"
"Paris, Île-de-France, France","48.86811","2.28965","Maison Boissiere | Deluxe apartment Arc de Triomphe","4","Entire rental unit","5","https://www.airbnb.com/rooms/53638244"
"Northowram, England, United Kingdom","53.74212","-1.82101","Sycamore Barn - UK33353 (UK33353)","4","Entire home",,"https://www.airbnb.com/rooms/48858814"
"Brooklyn, New York, United States","40.68641","-73.96187","Stunning 1,600 sqft Full Floor Apartment","4","Entire condo","5","https://www.airbnb.com/rooms/45440273"
"Chamblee, Georgia, United States","33.90136","-84.31767","Modern Private Ranch in Beautiful Neighborhood | Ideal for Longer Stays","6","Entire home","5","https://www.airbnb.com/rooms/48339974"
"Lahaina, Hawaii, United States","20.96927","-156.6783","Gorgeous 3 bedroom villa at the Sands of Kahana","8","Entire condo","4.5","https://www.airbnb.com/rooms/40054099"
"Philadelphia, Pennsylvania, United States","39.97703","-75.13534","4K sqft LOFT | Gym | Pool Table | Ping Pong","14","Entire rental unit","5","https://www.airbnb.com/rooms/48661680"
"Hollywood, Florida, United States","26.01142","-80.19697","Modern 4 bdrm home, spacious outdoors, heated pool","8","Entire home","5","https://www.airbnb.com/rooms/52134615"
"Sevilla, Andalucía, Spain","37.38696","-5.99123","Unique Sevillian Palace-House in Santa Cruz. Abades Terrace","14","Entire home","5","https://www.airbnb.com/rooms/48744387"
"Winsham, near Chard, United Kingdom","50.85822","-2.89963","Whatley Lodge (UKC1650)","4","Entire home",,"https://www.airbnb.com/rooms/30220768"
"Maleny, Queensland, Australia","-26.78243","152.84519","Magnolia","10","Entire home","5","https://www.airbnb.com/rooms/21867168"
"Honolulu, Hawaii, United States","21.27184","-157.70667","Spacious Home In Hawaii Kai","8","Entire home","5","https://www.airbnb.com/rooms/22553966"
"Charlottesville, Virginia, United States","38.01728","-78.49259","Spacious, Private, Clean | 4BR Near Downtown/UVA","12","Entire home","5","https://www.airbnb.com/rooms/48286055"
"Sa Pobla, Illes Balears, Spain","39.81411","3.0212","Rustic Stone Villa Mallorca Style & Swimming Pool","8","Entire villa","5","https://www.airbnb.com/rooms/8561118"
"Brooks Green, England, United Kingdom","51.01644","-0.39303","Well Cottage (UK31660)","5","Entire home","5","https://www.airbnb.com/rooms/45920544"
"Bovec, Tolmin, Slovenia","46.3384","13.55118","One Bedroom Apartment K29 with Mountain View in Bovec","4","Entire rental unit","5","https://www.airbnb.com/rooms/45358255"
"Airlie Beach, Queensland, Australia","-20.27491","148.72173","Elementa Whitsundays House 1 - Coral","6","Entire villa","5","https://www.airbnb.com/rooms/15835910"
"Pollensa / Pollença, Majorca / Mallorca, Spain","39.88398","3.01585","Villa Can Vadell","5","Entire villa","5","https://www.airbnb.com/rooms/21559416"
"Nashville, Tennessee, United States","36.13667","-86.83349","New Pool & Hot Tub!  5.5 Baths Close to Downtown!","12","Entire home","5","https://www.airbnb.com/rooms/31626962"
"Torquay, England, United Kingdom","50.46786","-3.4958","Bishopsgate (BCBGATE)","7","Entire home",,"https://www.airbnb.com/rooms/40963237"
"Mazarrón, Región de Murcia, Spain","37.56619","-1.31985","Fantastic villa with and an amazing view.","16","Entire villa","4.5","https://www.airbnb.com/rooms/49441323"
"Saint Margarets Bay, England, United Kingdom","51.15229","1.38422","Rockmount","5","Entire home",,"https://www.airbnb.com/rooms/50385209"
"West Looe, England, United Kingdom","50.35462","-4.45855","Trebant","5","Entire home","5","https://www.airbnb.com/rooms/49959721"
"Dover, Vermont, United States","42.99231","-72.8899","Chalet 4 bedroom+den Mt Snow","10","Entire home","5","https://www.airbnb.com/rooms/16187019"
"Duck, North Carolina, United States","36.153","-75.742","2150 A Spotted Duck * 4 Min Walk to Beach * Dog Fr","15","Entire home","4.5","https://www.airbnb.com/rooms/32015871"
"Charmouth, near Lyme Regis, England, United Kingdom","50.74838","-2.92261","The Stables - UKC3749 (UKC3749)","5","Entire home",,"https://www.airbnb.com/rooms/40940750"
"Hertfordshire, England, United Kingdom","51.95388","-0.2734","13 Grove Road (UK35205)","6","Entire home","5","https://www.airbnb.com/rooms/51497700"
"Cwrt-newydd, Wales, United Kingdom","52.11263","-4.23282","Cadno - UK32825 (UK32825)","4","Entire home",,"https://www.airbnb.com/rooms/49221450"
"Alford, United Kingdom","57.24852","-2.67932","The Coach House (UK5648)","6","Entire home",,"https://www.airbnb.com/rooms/30888501"
"Clearwater, Florida, United States","27.97285","-82.82546","BEACHSIDE BLISS","10","Entire townhouse","5","https://www.airbnb.com/rooms/20224864"
