"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Baker City, Oregon, United States","44.773","-117.818","Rare Find! Entire Wunder Mine Estate, for 20+","16","Entire home","5","https://www.airbnb.com/rooms/43787461"
"Baker City, Oregon, United States","44.77788","-117.83256","The Wisdom House est. 1878","16","Entire home","5","https://www.airbnb.com/rooms/10473484"
"Baker City, Oregon, United States","44.78161","-117.83095","Blue Door Inn:  Elkhorn Suite","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/51887826"
"Baker City, Oregon, United States","44.80162","-117.8198","Big County Coach -  
Your Modern Day Covered Wagon","4","Camper/RV",,"https://www.airbnb.com/rooms/28460719"
"Baker City, Oregon, United States","44.77662","-117.82911","Deluxe King","2","Room in boutique hotel",,"https://www.airbnb.com/rooms/22244078"
"Baker City, Oregon, United States","44.76826","-117.83989","Adorable! Home at Quail Ridge, Across from Golfing","6","Entire home","4.5","https://www.airbnb.com/rooms/53953379"
"Baker City, Oregon, United States","44.7941","-117.81933","Michelle's MCM  Brand new air conditioning system","8","Entire home","5","https://www.airbnb.com/rooms/26447033"
"Baker City, Oregon, United States","44.777","-117.825","The Homestead Cottage- Just Steps To Downtown!","5","Entire cottage","4.5","https://www.airbnb.com/rooms/20150927"
"Baker City, Oregon, United States","44.77946","-117.831","Blue Door Inn:  Rose Suite","3","Room in boutique hotel","5","https://www.airbnb.com/rooms/52305418"
"Baker City, Oregon, United States","44.777","-117.829","""The Josephine Parlor""","2","Private room in home","5","https://www.airbnb.com/rooms/38557176"
"Baker City, Oregon, United States","44.78072","-117.83027","Blue Door Inn:  Grand Suite","2","Room in boutique hotel","5","https://www.airbnb.com/rooms/51885888"
"Baker City, Oregon, United States","44.78999","-117.83839","Grill, Deck, Sauna,  Near Leo Adler Pathway","3","Entire home","5","https://www.airbnb.com/rooms/53173621"
"Baker City, Oregon, United States","44.78277","-117.82976","Powder River Bungalow","5","Entire bungalow","5","https://www.airbnb.com/rooms/19680739"
