"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Mount Hood, Oregon, United States","45.4757","-121.58804","Cozy B&B Room #1","2","Private room in cottage","5","https://www.airbnb.com/rooms/16253627"
"Government Camp, Oregon, United States","45.3021","-121.75483","Bunk Room at Megumi Chalet","8","Private room in chalet","5","https://www.airbnb.com/rooms/6001961"
"Government Camp, Oregon, United States","45.304","-121.757","Thunderhead Lodge #303 WiFi,  View of Ski Bowl","6","Entire condo",,"https://www.airbnb.com/rooms/53167274"
"Mount Hood, Oregon, United States","45.47553","-121.5886","Cozy B&B Room #3","2","Private room in cottage","5","https://www.airbnb.com/rooms/16253957"
"Government Camp, Oregon, United States","45.303","-121.753","Newly remodeled cabin-style condo near skiing & attractions - dogs welcome","12","Entire condo","4","https://www.airbnb.com/rooms/17072763"
"Government Camp, Oregon, United States","45.304","-121.752","Cozy Mountain Cabin with Full Kitchen - Close to Town, Skiing & Hiking Trails","6","Entire cabin","4.5","https://www.airbnb.com/rooms/17072707"
"Government Camp, Oregon, United States","45.304","-121.75416","Cozy, comfortable cottage in Government Camp!","6","Entire condo","4.5","https://www.airbnb.com/rooms/33372124"
"Mount Hood, Oregon, United States","45.47533","-121.58679","Cozy B&B Room #2","2","Private room in cottage","5","https://www.airbnb.com/rooms/16253900"
"Government Camp, Oregon, United States","45.305","-121.764","Mt Hood base camp get-away!","4","Entire condo","4.5","https://www.airbnb.com/rooms/3279318"
"Government Camp, Oregon, United States","45.30336","-121.76218","Collins condo on the quiet side","3","Entire townhouse","5","https://www.airbnb.com/rooms/21848845"
"Government Camp, Oregon, United States","45.303","-121.751","Charming Dog-Friendly Cabin Close to the Ski Slopes and Town with Free WiFi","6","Entire cabin","4.5","https://www.airbnb.com/rooms/17072737"
"Government Camp, Oregon, United States","45.30421","-121.75581","Downtown Govie!  Pet Friendly Condo (Unit #3)","4","Entire condo","4.5","https://www.airbnb.com/rooms/15378084"
"Government Camp, Oregon, United States","45.30571","-121.75644","Downtown Govy!!! Pet-friendly Condo. (Unit #1)","8","Entire condo","4.5","https://www.airbnb.com/rooms/15041624"
"Government Camp, Oregon, United States","45.30133","-121.75577","The Room with the loft at Megumi Chalet","5","Private room in chalet","5","https://www.airbnb.com/rooms/6013016"
"Government Camp, Oregon, United States","45.30576","-121.75569","Downtown Govie!  Pet-friendly Condo (Unit #2)","7","Entire condo","4.5","https://www.airbnb.com/rooms/15238661"
"Government Camp, Oregon, United States","45.304","-121.749","Cozy, two-level chalet near hiking, lakes, and ski resorts!","8","Entire home","4.5","https://www.airbnb.com/rooms/17072732"
"Government Camp, Oregon, United States","45.30637","-121.75267","Warm & cozy cottage w/ a wood stove in a great Government Camp location!","6","Entire cabin","4","https://www.airbnb.com/rooms/35162248"
"Government Camp, Oregon, United States","45.30628","-121.75407","Huge Deck, Hot Tub, BBQ, Close to Skiing","6","Entire home","5","https://www.airbnb.com/rooms/53364528"
"Government Camp, Oregon, United States","45.30443","-121.75516","Downtown Govie, Pet-friendly Condo (unit 4)","4","Entire condo","4.5","https://www.airbnb.com/rooms/16083160"
"Government Camp, Oregon, United States","45.30137","-121.75603","The East Room at Megumi Chalet","3","Private room in chalet","5","https://www.airbnb.com/rooms/6012895"
"Government Camp, Oregon, United States","45.30103","-121.75506","Govy Camp ""A"" frame, walking distance to Skibowl a","7","Entire cabin","5","https://www.airbnb.com/rooms/30291530"
"Government Camp, Oregon, United States","45.30732","-121.75445","Cozy Studio with Private Hot Tub in Govy","2","Entire rental unit","5","https://www.airbnb.com/rooms/46524848"
"Government Camp, Oregon, United States","45.303","-121.768","Strategically located Condo close to slopes w/ heated outdoor pool,Mt Hood Views","6","Entire condo","4.5","https://www.airbnb.com/rooms/26392952"
"Government Camp, Oregon, United States","45.30596","-121.76466","Thunderhead Lodge #201: cozy condo near Gov. Camp","4","Entire condo","5","https://www.airbnb.com/rooms/45400827"
"Government Camp, Oregon, United States","45.30379","-121.75293","Rustic & Cozy Cabin w/ Wood Stove, Free WiFi, Partial A/C -  Close to Slopes!","6","Entire home","5","https://www.airbnb.com/rooms/49708107"
"Government Camp, Oregon, United States","45.30534","-121.7549","Cozy & comfortable mountain cabin with great Government Camp location!","5","Entire cabin","4.5","https://www.airbnb.com/rooms/40970542"
"Government Camp, Oregon, United States","45.30349","-121.75203","Pet friendly cabin with big deck + wood fire place","8","Entire home","5","https://www.airbnb.com/rooms/43267467"
"Government Camp, Oregon, United States","45.30237","-121.75914","The Official Collins Lake Resort - Building G Chalet 145","8","Entire home",,"https://www.airbnb.com/rooms/43278769"
"Government Camp, Oregon, United States","45.30413","-121.75059","Adorable studio with modern amenities - close to slopes & restaurants","3","Entire home","5","https://www.airbnb.com/rooms/31267670"
"Government Camp, Oregon, United States","45.303","-121.762","Lakeside Chalet on Mt. Hood with Pool and Hot Tubs","8","Entire townhouse","5","https://www.airbnb.com/rooms/26169000"
"Government Camp, Oregon, United States","45.30234","-121.76083","The Official Collins Lake Resort - Building N Chalet 68","8","Entire home","4.5","https://www.airbnb.com/rooms/43278081"
