"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Pittsburgh, Pennsylvania, United States","40.524","-80.013","Cozy Pittsburgh Home","6","Entire home","5","https://www.airbnb.com/rooms/48672880"
"Pittsburgh, Pennsylvania, United States","40.455","-80.01","*City Getaway! Self Check-in*Safe* Spotless*Stay!*","5","Entire rental unit","5","https://www.airbnb.com/rooms/21623580"
"Pittsburgh, Pennsylvania, United States","40.43211","-79.96074","Two Double Beds Guest Room  at Hotel Indigo Pittsburgh University-Oakland","4","Entire rental unit","5","https://www.airbnb.com/rooms/51211184"
"Pittsburgh, Pennsylvania, United States","40.43714","-79.91449","heart of Squirrel Hill","5","Entire rental unit","4.5","https://www.airbnb.com/rooms/35230490"
"Pittsburgh, Pennsylvania, United States","40.42336","-79.97889","Southside ‘Burgh - 2 off street parking spots","8","Entire townhouse","5","https://www.airbnb.com/rooms/28437728"
"Pittsburgh, Pennsylvania, United States","40.42734","-80.01224","A  private cozy room with NETFLIX to relax","2","Private room in home","5","https://www.airbnb.com/rooms/37751010"
"Pittsburgh, Pennsylvania, United States","40.42179","-79.98394","Urban Chic Open Concept on the Southside Slopes","10","Entire home","5","https://www.airbnb.com/rooms/53256240"
"Pittsburgh, Pennsylvania, United States","40.43551","-80.01266","Mt. Washington on Grandview @ McArdle Rdwy","6","Entire rental unit","5","https://www.airbnb.com/rooms/40596463"
"Natrona Heights, Pennsylvania, United States","40.6392","-79.70208","Natrona Heights hidden secret!","8","Entire home","4.5","https://www.airbnb.com/rooms/41336145"
"Pittsburgh, Pennsylvania, United States","40.429","-79.993","Four Twins Room at Traveler’s Rest Hotel","4","Room in hotel","5","https://www.airbnb.com/rooms/51166437"
"Pittsburgh, Pennsylvania, United States","40.429","-79.993","Byers' Suite at Traveler’s Rest Hotel","5","Room in boutique hotel","5","https://www.airbnb.com/rooms/33993209"
"Pittsburgh, Pennsylvania, United States","40.47173","-79.96351","Private Room in the heart of Lawrenceville.","2","Private room in home","5","https://www.airbnb.com/rooms/16061351"
"Pittsburgh, Pennsylvania, United States","40.47284","-79.92795","Penthouse unit","4","Entire guesthouse",,"https://www.airbnb.com/rooms/38522361"
"Pittsburgh, Pennsylvania, United States","40.45955","-79.9224","Lux 2BR Shadyside 3rd Floor by Everything+Parking!","7","Private room in townhouse","5","https://www.airbnb.com/rooms/23892195"
"Pittsburgh, Pennsylvania, United States","40.45663","-79.9195","Peaceful & Sunny in Shadyside","8","Entire home","4","https://www.airbnb.com/rooms/53115772"
"Pittsburgh, Pennsylvania, United States","40.429","-79.993","Two Fulls Room at Traveler’s Rest Hotel","4","Room in hotel","5","https://www.airbnb.com/rooms/51193140"
"Pittsburgh, Pennsylvania, United States","40.429","-79.993","Two Queens Room at Traveler’s Rest Hotel","4","Room in hotel","5","https://www.airbnb.com/rooms/51193691"
"Pittsburgh, Pennsylvania, United States","40.42495","-79.99948","Light and Bright! Renovated Farmhouse in the City!","12","Entire home","4.5","https://www.airbnb.com/rooms/24117124"
"Pittsburgh, Pennsylvania, United States","40.429","-79.993","The Family Room at Traveler’s Rest Hotel","4","Room in hotel","5","https://www.airbnb.com/rooms/40918175"
"Pittsburgh, Pennsylvania, United States","40.45861","-80.00775","Northside Home with Skyline View","10","Entire home","5","https://www.airbnb.com/rooms/19790073"
"Pittsburgh, Pennsylvania, United States","40.4746","-79.92977","Private 3/F Unit","7","Entire guesthouse","4","https://www.airbnb.com/rooms/10696975"
"Pittsburgh, Pennsylvania, United States","40.47282","-79.92963","2/F unit w/ 3 bed rooms","6","Entire guesthouse","4","https://www.airbnb.com/rooms/38510839"
"Pittsburgh, Pennsylvania, United States","40.428","-79.985","Home away from Home in South Side Flats","7","Entire home","5","https://www.airbnb.com/rooms/15086655"
"Hampton Township, Pennsylvania, United States","40.56426","-79.94425","Pittsburgh Entire Home Gorgeous Backyard Retreat","10","Entire home","5","https://www.airbnb.com/rooms/10283108"
"Pittsburgh, Pennsylvania, United States","40.45471","-79.9953","2 Br Modern Urban Loft 1.1 Mi to Downtown","4","Entire loft","5","https://www.airbnb.com/rooms/3455057"
"Pittsburgh, Pennsylvania, United States","40.43139","-80.00637","The Bridges! Mt. Washington! Sleeps 12!","12","Entire rental unit","5","https://www.airbnb.com/rooms/31689691"
"Pittsburgh, Pennsylvania, United States","40.44771","-79.90643","Trillium: 3 airy rooms: $200.","7","Private room in home","5","https://www.airbnb.com/rooms/19875229"
