"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Clifford, Pennsylvania, United States","41.71843","-75.61929","Cozy cabin near Elk Mountain","10","Entire cabin","5","https://www.airbnb.com/rooms/31358695"
"Herrick Township, Pennsylvania, United States","41.73583","-75.56681","3 Bedroom Mountain House Near Elk Mountain","8","Entire cabin","5","https://www.airbnb.com/rooms/53357107"
"Union Dale, Pennsylvania, United States","41.77324","-75.57626","Elk Mountain Home w/ Waterfalls, Hiking, Fishing","6","Entire home","5","https://www.airbnb.com/rooms/24521034"
"Clifford, Pennsylvania, United States","41.64735","-75.59786","Cozy escape near Elk Mountain & Scranton Pa","6","Entire home","5","https://www.airbnb.com/rooms/48709794"
"Lenoxville, Pennsylvania, United States","41.65817","-75.64046","Seneca 2 Bedroom Apt & Hot Tub near Elk Mountain","6","Entire rental unit","5","https://www.airbnb.com/rooms/54368909"
"Union Dale, Pennsylvania, United States","41.78383","-75.48605","Close to  NEPA RAIL TRAIL and Elk Mountain","2","Entire rental unit","5","https://www.airbnb.com/rooms/40746728"
"Union Dale, Pennsylvania, United States","41.76534","-75.56618","“The Loft” of Elk Mountain Area","4","Entire loft","5","https://www.airbnb.com/rooms/26948655"
"Union Dale, Pennsylvania, United States","41.7433","-75.49363","Elk Mountain Ski Resort: Home on 21 Acres","6","Entire cabin","5","https://www.airbnb.com/rooms/53706685"
"Greenfield Township, Pennsylvania, United States","41.63334","-75.54699","Shady Lake Cabin near Elk Mountain","6","Entire cabin","5","https://www.airbnb.com/rooms/45976001"
"Union Dale, Pennsylvania, United States","41.74813","-75.53009","Duster Jacks Elkwood Inn at Elk Mountain","16","Entire home","5","https://www.airbnb.com/rooms/24445098"
