"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Worcestershire, England, United Kingdom","52.33902","-2.15003","The Stables - UK36596 (UK36596)","8","Entire home","5","https://www.airbnb.com/rooms/53915694"
"Sainte-Maxime, Provence-Alpes-Côte d'Azur, France","43.302","6.62","Propriété Sainte-Maxime avec piscine, proche plage","10","Entire villa","5","https://www.airbnb.com/rooms/26119315"
"Tenby, United Kingdom","51.67184","-4.69468","Island View","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/41761334"
"brooklyn, New York, United States","40.68083","-73.97","Magnificent Brooklyn Townhome to Shelter in Place","10","Entire home","5","https://www.airbnb.com/rooms/31120563"
"Robin Hood's Bay, United Kingdom","54.43157","-0.53334","Meadowcroft","6","Entire home","4.5","https://www.airbnb.com/rooms/21228281"
"Skeldergate, York, United Kingdom","53.95551","-1.08288","Jorvik- Woodsmill Quay (IKA)","3","Entire home","5","https://www.airbnb.com/rooms/30823017"
"Norfolk, England, United Kingdom","52.66879","0.95831","Maytree Cottage (29011)","10","Entire home","4.5","https://www.airbnb.com/rooms/47952023"
"San Diego, California, United States","32.85623","-117.24844","Enjoy one of the best views in La Jolla Shores!","7","Entire home","5","https://www.airbnb.com/rooms/27108297"
"Powys, Wales, United Kingdom","52.48324","-3.46822","Upper Gwerneirin (UK31627)","8","Entire home","5","https://www.airbnb.com/rooms/45706876"
"Winsham, near Chard, United Kingdom","50.85822","-2.89963","Whatley Lodge (UKC1650)","4","Entire home",,"https://www.airbnb.com/rooms/30220768"
"Whitby, United Kingdom","54.48714","-0.61591","Midships Cottage","4","Entire home",,"https://www.airbnb.com/rooms/23268028"
"Dover, Vermont, United States","42.99231","-72.8899","Chalet 4 bedroom+den Mt Snow","10","Entire home","5","https://www.airbnb.com/rooms/16187019"
"Montauroux, Provence-Alpes-Côte d'Azur, France","43.61534","6.78296","Spacious villa just a stroll away from Montauroux","8","Entire home","5","https://www.airbnb.com/rooms/47559929"
"POKOLBIN, New South Wales, Australia","-32.73","151.318","Cotton House","8","Entire home","5","https://www.airbnb.com/rooms/29689998"
"Rocky Point, Prince Edward Island, Canada","46.194","-63.17801","Coastal Golf Cottage with Beach Access, Sleeps 14","14","Entire cottage","5","https://www.airbnb.com/rooms/26322540"
"Leicester, England, United Kingdom","52.635","-1.152","R7 Very Q, Double Room + Study Area WiFi & Parking","3","Private room in home","4.5","https://www.airbnb.com/rooms/17589040"
"Long Marston, England, United Kingdom","53.94931","-1.29914","The Granary, near York with Hot Tub","12","Entire home","5","https://www.airbnb.com/rooms/36993336"
"Philadelphia, Pennsylvania, United States","39.97703","-75.13534","4K sqft LOFT | Gym | Pool Table | Ping Pong","14","Entire rental unit","5","https://www.airbnb.com/rooms/48661680"
"Paris, Île-de-France, France","48.883","2.329","Le Celeste, 2 balconies with a view on Montmartre","4","Entire rental unit","5","https://www.airbnb.com/rooms/24705472"
"Saugatuck, Michigan, United States","42.68073","-86.17894","Kingfisher Cabin Retreat.  LGBTQ Friendly","10","Entire cabin","5","https://www.airbnb.com/rooms/30406516"
"Kings Beach, California, United States","39.25178","-120.0626","Timber View Lodge - Beautiful Custom Luxury Home","8","Entire home","4.5","https://www.airbnb.com/rooms/26011554"
"Portland, Maine, United States","43.66454","-70.24935","Elegant, Stunning Condo with Sunny Patio","4","Entire condo","5","https://www.airbnb.com/rooms/18433978"
"Greater London, England, United Kingdom","51.5145","-0.1883","Modern 3BR 2Bath Hyde Park & Bayswater +AIR CON","9","Entire condo","5","https://www.airbnb.com/rooms/38118626"
"Charleston, South Carolina, United States","32.789","-79.949","Boutique Hotel Home w/ Pool 'The Nantucket'","8","Entire home","5","https://www.airbnb.com/rooms/43913463"
"Rothbury, New South Wales, Australia","-32.74651","151.32262","Belle Bleue","8","Entire home","5","https://www.airbnb.com/rooms/47940246"
"Cancún, Quintana Roo, Mexico","21.1164","-86.75692","Cancun Luxury Beachfront  Villa","10","Entire villa","5","https://www.airbnb.com/rooms/53163271"
"Positano, Campania, Italy","40.62791","14.48575","Breathtaking view - Casa Caldiero Il Riccio #1","4","Entire rental unit","5","https://www.airbnb.com/rooms/15250119"
"Mount Desert, Maine, United States","44.305","-68.24043","Perfect location! Walk to Acadia trails and Beach","7","Entire home","5","https://www.airbnb.com/rooms/16504237"
"Marquette, Michigan, United States","46.548","-87.383","Northern Lights Nest","6","Entire home","5","https://www.airbnb.com/rooms/51170266"
"Kilnsey near Grassington, United Kingdom","54.10688","-2.03947","Sikes Laithe (CC212154)","8","Entire home","4.5","https://www.airbnb.com/rooms/30909531"
