"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Rockwood, Pennsylvania, United States","39.97364","-79.22546","Cabin close to 7 Springs and Hidden Valley","6","Entire cabin","5","https://www.airbnb.com/rooms/45470424"
"Mill Run, Pennsylvania, United States","39.8788","-79.46132","Ohiopyle Cozy 2 Bedroom Cabin","4","Entire cottage","5","https://www.airbnb.com/rooms/46046270"
"Jennerstown, Pennsylvania, United States","40.16243","-79.06222","Fair Oaks","4","Entire cottage","4.5","https://www.airbnb.com/rooms/2434933"
"Ligonier, Pennsylvania, United States","40.24256","-79.23915","Stylish Studio Historic Fairfield House Ligonier","2","Entire rental unit","5","https://www.airbnb.com/rooms/22793784"
"Ohiopyle, Pennsylvania, United States","39.84271","-79.52012","Schaefer House at Ohiopyle","6","Entire home","4.5","https://www.airbnb.com/rooms/33338639"
"Rockwood, Pennsylvania, United States","39.9093","-79.16047","Karlie’s room","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/51507164"
"Garrett, Pennsylvania, United States","39.86347","-79.06311","Verda's room 600 ft from GAP Bike Trail","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/49822704"
"Garrett, Pennsylvania, United States","39.86487","-79.06103","Charlottes Room is 600 ft from GAP  Bike Trails","4","Private room in guest suite",,"https://www.airbnb.com/rooms/50489790"
"Jennerstown, Pennsylvania, United States","40.16236","-79.06305","Hideaway","2","Entire rental unit","5","https://www.airbnb.com/rooms/2435072"
"Garrett, Pennsylvania, United States","39.86317","-79.06189","Nells room 600 ft from GAP","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/50489623"
"Jennerstown, Pennsylvania, United States","40.16069","-79.06174","Harvest","2","Entire rental unit","5","https://www.airbnb.com/rooms/2435133"
"Ligonier, Pennsylvania, United States","40.22399","-79.21791","#4 Sunset Cottage ROOM","4","Private room in home","5","https://www.airbnb.com/rooms/34924370"
"Mount Pleasant, Pennsylvania, United States","40.14997","-79.54201","1200 SF   2 Bedroom   OUTDOOR ACTIVITY/ HISTORICAL","6","Entire rental unit","5","https://www.airbnb.com/rooms/3721389"
"Garrett, Pennsylvania, United States","39.86483","-79.0619","Ida's Room, 600 ft from GAP Bike Trail","2","Private room in bed and breakfast",,"https://www.airbnb.com/rooms/49817725"
"Laughlintown, Pennsylvania, United States","40.21127","-79.18496","Laurel Highlands Cottage Vacation Rental","4","Entire cottage","5","https://www.airbnb.com/rooms/44278029"
"Confluence, Pennsylvania, United States","39.901","-79.401","Mtn Getaway - Ohiopyle, Rafting, Fallingwater","6","Entire cabin","5","https://www.airbnb.com/rooms/14739659"
"Ohiopyle, Pennsylvania, United States","39.87012","-79.49196","Stay In Ohiopyle - closest place to the GAP Trail","6","Entire bungalow","5","https://www.airbnb.com/rooms/49693454"
"Ligonier, Pennsylvania, United States","40.22416","-79.21676","#5 COTTAGE 2 Bedroom Couples Getaway Ligonier","4","Entire cottage","5","https://www.airbnb.com/rooms/23324562"
"Jennerstown, Pennsylvania, United States","40.16209","-79.06205","Roost","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/2435228"
"Rockwood, Pennsylvania, United States","39.90893","-79.15906","Carson's Room ~ The Gingerbread House","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/19691432"
"Ligonier, Pennsylvania, United States","40.22577","-79.2181","#2 Sunset COTTAGE  Ligonier two bedroom Idlewild","4","Entire cottage","5","https://www.airbnb.com/rooms/22101561"
"Garrett, Pennsylvania, United States","39.86318","-79.06248","George's Room, 600 ft from GAP & Flight 93 Trails","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/50489541"
"Meyersdale, Pennsylvania, United States","39.8206","-79.02627","4 bed room 1.5 bath in quiet neighborhood.","4","Entire home","5","https://www.airbnb.com/rooms/52182534"
"Normalville, Pennsylvania, United States","39.987","-79.451","Private house near Ohiopyle and Seven Springs !","10","Entire home","5","https://www.airbnb.com/rooms/36206211"
"Confluence, Pennsylvania, United States","39.8168","-79.39183","Rustic Confluence Cabin with Private Stream.","8","Entire cabin","4.5","https://www.airbnb.com/rooms/43060311"
"Jones Mills, Pennsylvania, United States","40.09532","-79.3532","Prestige House -your Mountain Home away from Home!","12","Entire home","4.5","https://www.airbnb.com/rooms/46919135"
"Mount Pleasant, Pennsylvania, United States","40.15009","-79.54051","WORLD FAMOUS OUTDOOR, HISTORY, and CULTURE","2","Entire condo","4.5","https://www.airbnb.com/rooms/14076154"
"Ligonier, Pennsylvania, United States","40.24236","-79.23783","#5 Sunset Cottage ROOM","4","Entire rental unit","5","https://www.airbnb.com/rooms/34924351"
"Confluence, Pennsylvania, United States","39.90358","-79.40671","Rustic Paradise- Ohiopyle, Rafting, Fallingwater","6","Entire cabin","5","https://www.airbnb.com/rooms/14817833"
"Markleton, Pennsylvania, United States","39.86943","-79.26737","Mountain Escape","6","Entire home","5","https://www.airbnb.com/rooms/16699607"
"Davidsville, Pennsylvania, United States","40.22156","-78.9386","Adorable 2 bedroom, 1 bathroom guest house.","4","Entire guesthouse","5","https://www.airbnb.com/rooms/51260973"
"Ligonier, Pennsylvania, United States","40.22431","-79.21552","# 4 Sunset COTTAGE great for families 2 bedroom","4","Entire cottage","5","https://www.airbnb.com/rooms/22124851"
"Ohiopyle, Pennsylvania, United States","39.86725","-79.49389","Hidden Gem - Ohiopyle","6","Entire home","5","https://www.airbnb.com/rooms/43828906"
"Rockwood, Pennsylvania, United States","39.9092","-79.15964","Jared's Room ~ The Gingerbread House","2","Private room in bed and breakfast","4.5","https://www.airbnb.com/rooms/19692348"
"Latrobe, Pennsylvania, United States","40.22435","-79.43591","The Willow House Cottage Suite","2","Entire guesthouse","5","https://www.airbnb.com/rooms/885877"
"Ligonier, Pennsylvania, United States","40.25371","-79.2855","Buckstrail Cottage Creekside","6","Entire cottage","5","https://www.airbnb.com/rooms/44314572"
"Ligonier, Pennsylvania, United States","40.22409","-79.21761","Lovely room with loft bedroom and kitchen","2","Private room in rental unit","5","https://www.airbnb.com/rooms/34971544"
"Ohiopyle, Pennsylvania, United States","39.86958","-79.49178","Stay In Ohiopyle near the GAP Trail","4","Entire home","4.5","https://www.airbnb.com/rooms/49001402"
