"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Parrano, Umbria, Italy","42.868","12.117","Villa Casale Silvia: Large Private Pool, A/C, WiFi","16","Entire villa","5","https://www.airbnb.com/rooms/30813309"
"Coahuila de Zaragoza, Mexico","25.23879","-100.43978","Increíble cabaña en Bosques de Monterreal","12","Hut",,"https://www.airbnb.com/rooms/47452904"
"Amsterdam, Noord-Holland, Netherlands","52.36435","4.88095","Leidse Square 5 star Luxury-apartment","4","Entire rental unit","5","https://www.airbnb.com/rooms/41363443"
"Los Gatos, California, United States","37.23346","-121.91234","*Spacious Los Gatos Home Families/Business/Travel*","12","Entire home","5","https://www.airbnb.com/rooms/46942756"
"Woodside, California, United States","37.43118","-122.24914","Secluded, Modern, sunny and gated estate. 2 BR +","6","Entire home","5","https://www.airbnb.com/rooms/26928860"
"Nashville, Tennessee, United States","36.13667","-86.83349","New Pool & Hot Tub!  5.5 Baths Close to Downtown!","12","Entire home","5","https://www.airbnb.com/rooms/31626962"
"Henllan Amgoed, near Narberth, United Kingdom","51.84768","-4.64515","Llanlliwe Cottage (OY2)","8","Entire home","5","https://www.airbnb.com/rooms/30914132"
"Brooklyn, New York, United States","40.68641","-73.96187","Stunning 1,600 sqft Full Floor Apartment","4","Entire condo","5","https://www.airbnb.com/rooms/45440273"
"Cascais, Estoril, Lisboa, Portugal","38.70522","-9.41988","Family vila overviewing Cascais bay","14","Entire home","5","https://www.airbnb.com/rooms/12726178"
"Southbank, Victoria, Australia","-37.82581","144.96051","50th Floor Sub-Penthouse in front of Crown!","6","Entire rental unit","5","https://www.airbnb.com/rooms/48871850"
"Bromfield Industrial Estate, Cymru, United Kingdom","53.1103","-3.20226","Top Y Nant","6","Entire home","5","https://www.airbnb.com/rooms/45341573"
"Greencastle, Indiana, United States","39.6014","-86.82317","Peaceful country home by DePauw and Monon Bell!","13","Entire home","5","https://www.airbnb.com/rooms/33525076"
"Driggs, Idaho, United States","43.731","-111.116","Tributary 4 BR Home in Driggs, ID","8","Entire home","5","https://www.airbnb.com/rooms/43908989"
"Lahaina, Hawaii, United States","20.96927","-156.6783","Gorgeous 3 bedroom villa at the Sands of Kahana","8","Entire condo","4.5","https://www.airbnb.com/rooms/40054099"
"Vrsine, Croatia","43.52779","16.15396","Dvije zajedničke seoske kucice s bazenom","6","Entire townhouse","5","https://www.airbnb.com/rooms/33936767"
"Sevilla, Andalucía, Spain","37.38696","-5.99123","Unique Sevillian Palace-House in Santa Cruz. Abades Terrace","14","Entire home","5","https://www.airbnb.com/rooms/48744387"
"Paris, Île-de-France, France","48.86811","2.28965","Maison Boissiere | Deluxe apartment Arc de Triomphe","4","Entire rental unit","5","https://www.airbnb.com/rooms/53638244"
"Hollywood, Florida, United States","26.01142","-80.19697","Modern 4 bdrm home, spacious outdoors, heated pool","8","Entire home","5","https://www.airbnb.com/rooms/52134615"
"Queenstown, Otago, New Zealand","-45.028","168.687","A Travellers Haven! Great Location! Great Views!","10","Entire home","5","https://www.airbnb.com/rooms/30023449"
"Honolulu, Hawaii, United States","21.27184","-157.70667","Spacious Home In Hawaii Kai","8","Entire home","5","https://www.airbnb.com/rooms/22553966"
"Near Drummore, Scotland, United Kingdom","54.6734","-4.95848","Slockmill Farmhouse (UK5948)","8","Entire home","5","https://www.airbnb.com/rooms/40909982"
"Winsham, near Chard, United Kingdom","50.85822","-2.89963","Whatley Lodge (UKC1650)","4","Entire home",,"https://www.airbnb.com/rooms/30220768"
"Noord, Aruba","12.57334","-70.03865","NEW! Villa de Leon, suitable for 14 persons. 5 bedrooms, 5 bathrooms","14","Entire villa","5","https://www.airbnb.com/rooms/53314767"
"Rocky Point, Prince Edward Island, Canada","46.194","-63.17801","Coastal Golf Cottage with Beach Access, Sleeps 14","14","Entire cottage","5","https://www.airbnb.com/rooms/26322540"
