"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Whitefield, New Hampshire, United States","44.34582","-71.66335","The Lake House on Forest Lake","6","Entire home","5","https://www.airbnb.com/rooms/25543022"
"North Conway, New Hampshire, United States","44.05337","-71.11803","Timber Home: Walk to Slopes & N Conway Shops!","8","Entire home","5","https://www.airbnb.com/rooms/26414623"
"Wakefield, New Hampshire, United States","43.54208","-70.98896","Lakefront studio with private dock, fast WiFi & full kitchen - dog-friendly","4","Entire home","5","https://www.airbnb.com/rooms/50872560"
"Bradford, New Hampshire, United States","43.28574","-71.93969","#301 - Serenity Shores on Blaisdell Lake","8","Entire home","5","https://www.airbnb.com/rooms/46523162"
"Gilmanton, New Hampshire, United States","43.45253","-71.40909","Entire Lakefront Home with Dock on Sawyer Lake","10","Entire home","5","https://www.airbnb.com/rooms/49631781"
"Warren, New Hampshire, United States","43.91948","-71.88885","River House Guest House of Rustic Gatherings Lodge","14","Entire home","5","https://www.airbnb.com/rooms/44139915"
"Lincoln, New Hampshire, United States","44.05252","-71.65147","2 Bedroom Condo at Pollard Brook. 5 min to Loon","6","Entire condo",,"https://www.airbnb.com/rooms/51836745"
"Spofford, New Hampshire, United States","42.92229","-72.43935","The Blue House: on the LAKE with multiple decks","8","Entire home","5","https://www.airbnb.com/rooms/41692997"
"Thornton, New Hampshire, United States","43.87351","-71.60848","White Mountains 3 BR private cabin pool&fireplace.","10","Entire cabin","5","https://www.airbnb.com/rooms/38292039"
"Franconia, New Hampshire, United States","44.18212","-71.71193","Mittersill Alpine Resort #7","3","Entire rental unit",,"https://www.airbnb.com/rooms/43893195"
"Meredith, New Hampshire, United States","43.64088","-71.42942","Waterfront cabin near Fish Cove with private dock, water access, firepit, grill","6","Entire home",,"https://www.airbnb.com/rooms/22953800"
"Peterborough, New Hampshire, United States","42.884","-71.948","Hazelhurst Vacation House","8","Entire home","5","https://www.airbnb.com/rooms/5679696"
"Conway, New Hampshire, United States","44.04745","-71.1116","Spacious Family N.Conway Home Close to all the Fun","10","Entire condo","5","https://www.airbnb.com/rooms/47564481"
"Tuftonboro, New Hampshire, United States","43.68984","-71.31111","Lake Winnipesaukee Waterfront Lake House","8","Entire home","5","https://www.airbnb.com/rooms/51260656"
"Ossipee, New Hampshire, United States","43.7609","-71.13532","Ossipee Lake Waterfront Home w/ Private Boat Dock","8","Entire home","5","https://www.airbnb.com/rooms/47316779"
"North Conway, New Hampshire, United States","44.04576","-71.10395","40 acre Animal farm w/best views in N Conway!","4","Entire guesthouse","5","https://www.airbnb.com/rooms/21330326"
"Lincoln, New Hampshire, United States","44.04426","-71.66145","South Peak 4F","8","Entire condo",,"https://www.airbnb.com/rooms/47973554"
"Jackson, New Hampshire, United States","44.16349","-71.21411","Cozy Log Cabin in Jackson NH","6","Entire cabin","5","https://www.airbnb.com/rooms/7336606"
"Barnstead, New Hampshire, United States","43.38414","-71.25017","Cozy A-frame. Pet friendly, Lakes region,","8","Entire home","5","https://www.airbnb.com/rooms/52489926"
