"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"El Prado, New Mexico, United States","36.47023","-105.59398","Kivas, Vigas and Views! Oh My! - Full Condo","6","Entire condo","5","https://www.airbnb.com/rooms/48623883"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, 1 Bedroom Z #1","4","Entire condo",,"https://www.airbnb.com/rooms/30170767"
"Taos, New Mexico, United States","36.41042","-105.56674","Taos 1 bed/studio","4","Entire condo",,"https://www.airbnb.com/rooms/48462693"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, 1 Bedroom SN #2","4","Entire condo",,"https://www.airbnb.com/rooms/41153467"
"Taos, New Mexico, United States","36.40956","-105.56866","Taos studio unit","2","Entire rental unit",,"https://www.airbnb.com/rooms/47254854"
"Taos, New Mexico, United States","36.41","-105.568","Taos - 2BR","6","Entire serviced apartment",,"https://www.airbnb.com/rooms/11736772"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, Studio Deluxe #2","4","Entire condo",,"https://www.airbnb.com/rooms/11083888"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, 2 Bedroom SN #1","6","Entire condo",,"https://www.airbnb.com/rooms/11084504"
"El Prado, New Mexico, United States","36.46418","-105.65911","Frida - Hotel Luna Mystica","5","Room in boutique hotel",,"https://www.airbnb.com/rooms/40235759"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, 2 Bedroom #1","6","Entire condo","5","https://www.airbnb.com/rooms/11084400"
"Arroyo Seco, New Mexico, United States","36.51779","-105.57286","Casa Seco -  Close to Taos Ski Valley and Town","5","Earthen home","5","https://www.airbnb.com/rooms/262307"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, Studio Deluxe Z #1","4","Entire condo",,"https://www.airbnb.com/rooms/30172976"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, Studio #1","2","Entire condo","4.5","https://www.airbnb.com/rooms/11083424"
"Arroyo Seco, New Mexico, United States","36.52018","-105.56889","Casa Sofia-Safe and Disinfected refuge awaits you","6","Entire home","5","https://www.airbnb.com/rooms/8427086"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, Studio Deluxe Z #2","4","Entire condo",,"https://www.airbnb.com/rooms/32909686"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, 1 Bedroom Z #2","4","Entire condo",,"https://www.airbnb.com/rooms/30171606"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, Studio Z #1","2","Entire condo",,"https://www.airbnb.com/rooms/25256716"
"El Prado, New Mexico, United States","36.46908","-105.59512","Mountain View Condo w/ Private Sauna, Balcony, Fireplace, & High-Speed WiFi","6","Entire condo","4.5","https://www.airbnb.com/rooms/53718146"
"El Prado, New Mexico, United States","36.46371","-105.66044","Rosie - Hotel Luna Mystica","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/23309110"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, 1 Bedroom #2","4","Entire condo","5","https://www.airbnb.com/rooms/11084176"
"El Prado, New Mexico, United States","36.465","-105.66","Jazzy - Hotel Luna Mystica","3","Room in boutique hotel","5","https://www.airbnb.com/rooms/19028304"
"Arroyo Seco, New Mexico, United States","36.51827","-105.58663","""The Casa Carmen""","5","Entire chalet","5","https://www.airbnb.com/rooms/12309518"
"Taos, New Mexico, United States","36.4044","-105.56321","Beautiful Adobe Home near Taos Plaza","6","Entire home","5","https://www.airbnb.com/rooms/13239922"
"Taos, New Mexico, United States","36.41","-105.568","Taos, NM, Studio #2","2","Entire condo",,"https://www.airbnb.com/rooms/41146840"
