"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Union Pier, Michigan, United States","41.82691","-86.70341","A Summerhaven - Union Pier Beauty With Private Heated Pool! 2023 Open!","7","Entire home","5","https://www.airbnb.com/rooms/45784247"
"Saint Augustine, Florida, United States","29.79345","-81.26091","Large Ocean Beach House with Pool for 12","12","Entire home","5","https://www.airbnb.com/rooms/8113621"
"Bar Harbor, Maine, United States","44.386","-68.20301","Bar Harbor Loft West","6","Entire rental unit","5","https://www.airbnb.com/rooms/24463642"
"Llan-non, United Kingdom","52.28241","-4.16881","Ty Jim","6","Entire home","5","https://www.airbnb.com/rooms/23197865"
"Albuquerque, New Mexico, United States","35.17278","-106.62051","North Valley Hideaway near Balloon Fiesta Park","8","Entire home","5","https://www.airbnb.com/rooms/25841222"
"Frampton-on-Severn, near Stroud, United Kingdom","51.76455","-2.36899","Highbury Annexe (UKC2989)","4","Entire home",,"https://www.airbnb.com/rooms/30822391"
"Fritton, near Great Yarmouth, United Kingdom","52.555","1.65155","The Shed (UKC1774)","4","Entire home","5","https://www.airbnb.com/rooms/30889869"
"Flims Dorf, Switzerland","46.83813","9.27711","Guarda Flem, (Flims Dorf), 3.5 room apartment","8","Entire rental unit","5","https://www.airbnb.com/rooms/34523383"
"Cape Town, Western Cape, South Africa","-33.9331","18.37679","Clifton Views","6","Entire rental unit",,"https://www.airbnb.com/rooms/34303004"
"Fort Lauderdale, Florida, United States","26.08903","-80.18937","OASIS Villas on the water. Close Hrock &the beach!","12","Entire home","5","https://www.airbnb.com/rooms/52221756"
"Antibes, Provence-Alpes-Côte d'Azur, France","43.61722","7.11953","Modern Seaside Villa A/C","6","Entire villa","5","https://www.airbnb.com/rooms/53333203"
"Escunhau, Catalonia, Spain","42.69837","0.8261","El Jardi Secret by FeelFree Rentals","10","Entire home",,"https://www.airbnb.com/rooms/52179549"
"Vescovado, Toscana, Italy","43.17","11.392","VILLA ANGELINI 14+7, Emma Villas Exclusive","16","Entire villa",,"https://www.airbnb.com/rooms/30248926"
"Seabrook Island, South Carolina, United States","32.56467","-80.17879","1310 Pelican Watch - SWEETGRASS","8","Entire condo",,"https://www.airbnb.com/rooms/14739740"
"Brandesburton, England, United Kingdom","53.91257","-0.35902","Farriers Lodge (UK31728)","7","Entire home",,"https://www.airbnb.com/rooms/48050580"
"Albufeira, Algarve, Portugal","37.10409","-8.20223","Villa Sol","6","Entire villa","5","https://www.airbnb.com/rooms/40368806"
"Kissimmee, Florida, United States","28.29245","-81.46293","Moradda Magnificent 12 Bedrooms with 10 Suites 428","16","Entire home","4.5","https://www.airbnb.com/rooms/47185267"
"Croyde, England, United Kingdom","51.12995","-4.22832","Fabulous 5 bedroom house, large garden, HOT TUB, pet friendly & direct access to beach footpath! - Sunny Sands","9","Entire home","5","https://www.airbnb.com/rooms/50789253"
"Captiva, Florida, United States","26.52764","-82.18999","Your Relaxing Getaway Awaits! Free Parking, Onsite Seaside Golf, Tennis Court, 3 Pools","6","Entire rental unit",,"https://www.airbnb.com/rooms/45626140"
"Tupungato, Mendoza, Argentina","-33.25756","-69.19982","Valle de Uco - Tupungato - Hotel de Cielo","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/53107128"
"Escazu, San José Province, Costa Rica","9.92474","-84.15868","Luxury Home con vista, en las montañas de Escazu","6","Entire villa",,"https://www.airbnb.com/rooms/51021377"
"Lansford, Pennsylvania, United States","40.82848","-75.88564","Extended Stay ✫ Poconos ✫ Geisinger ✫ St. Luke's","8","Entire home","5","https://www.airbnb.com/rooms/46764634"
"Santa Rosa Beach, Florida, United States","30.28955","-86.05099","Mistral 18 - 1977161","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/48717669"
"Saulce sur Rhône, Auvergne-Rhône-Alpes, France","44.70994","4.79433","Maison entière Drôme provençale - 350 m2","16","Entire home","5","https://www.airbnb.com/rooms/42790615"
"Los Angeles, California, United States","34.108","-118.389","Wonderland Haus 🏡 Laurel Canyon","6","Entire home",,"https://www.airbnb.com/rooms/52556787"
"Goodwick, near Fishguard, United Kingdom","52.01174","-4.98971","View at the Peak (UK6498)","2","Entire home",,"https://www.airbnb.com/rooms/30910821"
"Baysville, Ontario, Canada","45.15908","-79.10676","Luxury cottage in Muskoka","8","Entire cottage",,"https://www.airbnb.com/rooms/51722825"
