"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Michiana, Michigan, United States","41.76327","-86.80873","Romantic Getaway in the Dunes for a Couple—Hüüsli","4","Entire cabin","5","https://www.airbnb.com/rooms/44595920"
"Douglas, Michigan, United States","42.6428","-86.22596","9's Lake Hse, hot tub, fireplace, Lk MI  beach","7","Entire home","5","https://www.airbnb.com/rooms/51304125"
"Manistee, Michigan, United States","44.2451","-86.32235","Downtown Manistee Historic Home Near Lake Michigan","16","Entire home","5","https://www.airbnb.com/rooms/51888072"
"Alden, Michigan, United States","44.9273","-85.28696","Classic Lake Cottage","8","Entire home","4.5","https://www.airbnb.com/rooms/23899306"
"Holland, Michigan, United States","42.81292","-86.20609","Quiet setting close to Tunnel Park","6","Entire home","5","https://www.airbnb.com/rooms/20664599"
"Seney, Michigan, United States","46.501","-85.954","Haymeadow Creek","6","Entire cabin","5","https://www.airbnb.com/rooms/41701798"
"New Buffalo, Michigan, United States","41.79524","-86.75664","Remodeled Home close to Lake Michigan - Walk to the Beach, One Dog OK!","8","Entire home","4.5","https://www.airbnb.com/rooms/18561238"
"Caseville, Michigan, United States","43.9709","-83.26112","Jenz Beach Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/23810497"
"Pinckney, Michigan, United States","42.4282","-83.88611","Beautiful Waterfront Lake House 25 min - Ann Arbor","12","Entire home","5","https://www.airbnb.com/rooms/30508096"
"Mackinaw City, Michigan, United States","45.76258","-84.7074","50 Tip of the Mitten","6","Entire condo","5","https://www.airbnb.com/rooms/19161852"
"Traverse City, Michigan, United States","44.72256","-85.72841","Renovated Long Lake Cottage 150 feet of frontage","7","Entire cottage","5","https://www.airbnb.com/rooms/51754298"
"Grayling, Michigan, United States","44.6491","-84.73842","Grayling House for large group. 5 bed/4bath","16","Entire home","5","https://www.airbnb.com/rooms/27308954"
"Harbor Springs, Michigan, United States","45.46157","-85.03826","4 Seasons Birchwood Golf and Country Club Home","9","Entire home","5","https://www.airbnb.com/rooms/50500661"
"Saugatuck, Michigan, United States","42.65666","-86.19909","The Palmer House","10","Entire home","5","https://www.airbnb.com/rooms/9293088"
"Traverse City, Michigan, United States","44.76429","-85.57491","Ideal family home!","8","Entire home",,"https://www.airbnb.com/rooms/42687053"
"Gay, Michigan, United States","47.23141","-88.15005","Keweenaw Camp a Rustic A-frame","6","Entire cabin","5","https://www.airbnb.com/rooms/40090220"
"Leland, Michigan, United States","45.07351","-85.69999","Birch Cove","12","Entire cottage","5","https://www.airbnb.com/rooms/17156547"
"Muskegon, Michigan, United States","43.21699","-86.32796","Keaton Corner Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/33365786"
"Pentwater, Michigan, United States","43.74381","-86.46515","Large Beachfront Home on Lake Michigan","6","Entire home","5","https://www.airbnb.com/rooms/27194428"
"Houghton, Michigan, United States","47.08957","-88.51567","The 10th Hole!","11","Entire home","5","https://www.airbnb.com/rooms/16650451"
"Empire, Michigan, United States","44.811","-86.063","Dune Life","6","Entire home","5","https://www.airbnb.com/rooms/25678027"
"Traverse City, Michigan, United States","44.76142","-85.60717","Kash's Kottage - A modern retreat in downtown TC!","11","Entire home","5","https://www.airbnb.com/rooms/48736019"
"Fennville, Michigan, United States","42.58274","-86.14197","Secluded Mid-Century Modern Lake House on 12 Acres","6","Entire home","5","https://www.airbnb.com/rooms/49138150"
"Manitou Beach-Devils Lake, Michigan, United States","41.96344","-84.26514","Spacious Round Lake Home","8","Entire home","5","https://www.airbnb.com/rooms/48363915"
"Carsonville, Michigan, United States","43.3998","-82.54074","Luxurious & Elegant Lake Huron Home (A)","8","Entire home","5","https://www.airbnb.com/rooms/7931023"
"Rapid River, Michigan, United States","45.86914","-86.95191","Adventure U.P - Entire home and property","10","Entire home","5","https://www.airbnb.com/rooms/21383752"
"Frankfort, Michigan, United States","44.63696","-86.24537","Great Frankfort Getaway","10","Entire home","5","https://www.airbnb.com/rooms/17531499"
"Saugatuck , Michigan, United States","42.65146","-86.19545","Cute Cottage in Downtown Saugatuck with Water view","6","Entire home","4.5","https://www.airbnb.com/rooms/13417632"
"Holland, Michigan, United States","42.82735","-86.20353","Lake Michigan Beach Getaway!","8","Entire home","5","https://www.airbnb.com/rooms/36078707"
"Traverse City, Michigan, United States","44.67059","-85.49221","The Lake House (#4)","6","Entire home","4.5","https://www.airbnb.com/rooms/17561511"
"Newaygo, Michigan, United States","43.3962","-85.65581","Renovated (2020)Lakefront getaway on Bills Lake","8","Entire cottage","5","https://www.airbnb.com/rooms/43626684"
"Traverse City, Michigan, United States","44.7921","-85.64769","Charming Marina/Restaurant District Home","4","Entire home","5","https://www.airbnb.com/rooms/18579495"
"Traverse City, Michigan, United States","44.78069","-85.72624","Harry’s Road","6","Entire home","5","https://www.airbnb.com/rooms/22085496"
"South Haven, Michigan, United States","42.39055","-86.28154","All In - Large Modern Home, Pool & Trail Access","12","Entire home","5","https://www.airbnb.com/rooms/34804454"
"Northport, Michigan, United States","45.14918","-85.63824","Majestic Lake Michigan sunsets - hilltop retreat","6","Entire home","5","https://www.airbnb.com/rooms/41310031"
"Plainwell, Michigan, United States","42.49915","-85.51864","Entire 4 bedroom lake house w/ sunset Lake views","10","Entire cottage","5","https://www.airbnb.com/rooms/51679849"
"New Buffalo, Michigan, United States","41.79136","-86.73906","The Bright Yellow Retreat","6","Entire home","5","https://www.airbnb.com/rooms/18094868"
"Grand Haven, Michigan, United States","43.067","-86.224","Come enjoy the holidays in this beautiful home!","10","Entire home","5","https://www.airbnb.com/rooms/45892419"
"Oscoda, Michigan, United States","44.49278","-83.33842","Acorn Alley - Near Downtown Oscoda (sleeps 10+)","10","Entire cabin","5","https://www.airbnb.com/rooms/53953307"
"Saugatuck, Michigan, United States","42.658","-86.199","Main Stay Cottage","9","Entire home","5","https://www.airbnb.com/rooms/40671341"
"Boyne City, Michigan, United States","45.21961","-85.01227","Park Street Cottage","8","Entire home","5","https://www.airbnb.com/rooms/19736076"
"Saugatuck, Michigan, United States","42.65958","-86.20261","Bootleggers: Pet Friendly Downtown Saugatuck Cottage with Great Deck and Outside Space","9","Entire home","4.5","https://www.airbnb.com/rooms/31413318"
"Saugatuck, Michigan, United States","42.65367","-86.19939","Harbor House: Upscale Waterfront Downtown Saugatuck Home, Amazing Views, Boat Slip","6","Entire home","5","https://www.airbnb.com/rooms/48693654"
"Paradise, Michigan, United States","46.62597","-85.03633","Simply Superior Lakefront Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/42778009"
"Traverse City, Michigan, United States","44.82754","-85.56484","Great View of West Traverse Bay!","4","Entire guesthouse","5","https://www.airbnb.com/rooms/25394951"
"Thompsonville, Michigan, United States","44.51727","-85.99397","Rustic Retreat with Fireplace, Deck, Grill, Game Room, & Free WiFi","10","Entire home","3.5","https://www.airbnb.com/rooms/53628910"
"Republic, Michigan, United States","46.40742","-87.97997","Michigamme River Retreat","6","Entire cabin","5","https://www.airbnb.com/rooms/50064899"
"Bellaire, Michigan, United States","44.95812","-85.17914","Chief Golf Cottage l 5 Star l Fall, Torch & Golf","8","Entire condo","5","https://www.airbnb.com/rooms/36976126"
"Harbor Springs, Michigan, United States","45.671","-84.995","Cross Village Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/47497596"
"Thompsonville, Michigan, United States","44.53016","-85.9459","Cozy, dog-friendly getaway with 650-feet of private river frontage, patio, WiFi","8","Entire home","5","https://www.airbnb.com/rooms/52983724"
"Thompsonville, Michigan, United States","44.50196","-86.01508","Charming Country Home Near Crystal Mountain Resort","8","Entire cottage","5","https://www.airbnb.com/rooms/22795533"
"Gaylord, Michigan, United States","44.96278","-84.72166","Nestled in the Nature of Michigan","10","Entire home","5","https://www.airbnb.com/rooms/51917712"
"Cedar, Michigan, United States","44.864","-85.82622","Fieldhouse Leelanau County Michigan","11","Entire home","5","https://www.airbnb.com/rooms/1301506"
"Grand Beach, Michigan, United States","41.77427","-86.79343","Steps to Ridge Road Beach! Renovated Home w/ Private Hot Tub, Firepit & Porch!","6","Entire home","4.5","https://www.airbnb.com/rooms/51323384"
"Harbor Beach, Michigan, United States","43.75332","-82.62071","Lovely home on Lake Huron -  just opened for 2022","8","Entire home","4.5","https://www.airbnb.com/rooms/43555771"
"Boyne City, Michigan, United States","45.16587","-84.95123","Cozy 4 BDR Log Cabin at Boyne Mountain","9","Entire cabin","5","https://www.airbnb.com/rooms/45756346"
"Marquette, Michigan, United States","46.4908","-87.19297","Just a hop, skip and a jump from Lake Superior","4","Entire guesthouse","5","https://www.airbnb.com/rooms/11390853"
"Township of Branch, Michigan, United States","43.84394","-86.04141","Log Cabin 4 br 2,5 ba on trails in Manistee Forest","10","Entire cabin","5","https://www.airbnb.com/rooms/50610169"
"Saugatuck, Michigan, United States","42.66059","-86.20348","Butler`s Landing: Enjoy your morning coffee on the screen porch or an evening soak in the hot tub after a full day of shopping in town","8","Entire home","4.5","https://www.airbnb.com/rooms/29588014"
"Petoskey, Michigan, United States","45.39495","-84.82287","Petoskey Crooked Lake beautiful home  w boat slip","10","Entire home","5","https://www.airbnb.com/rooms/13410112"
"Germfask, Michigan, United States","46.21834","-85.82102","The Taylor Cottage: Most Breath-Taking View On The Lake","10","Entire home","5","https://www.airbnb.com/rooms/53873811"
"New Buffalo, Michigan, United States","41.79659","-86.73793","New Buffs Mustard beach getaway w/8 person hot tub","10","Entire home","5","https://www.airbnb.com/rooms/34014538"
"Traverse City, Michigan, United States","44.7143","-85.54723","Entire 5 Bedroom Home Near Town & East Bay!","10","Entire home","5","https://www.airbnb.com/rooms/48269996"
"Saint Clair Shores, Michigan, United States","42.47597","-82.88544","Lake home on the Nautical Mile","4","Entire home","5","https://www.airbnb.com/rooms/17075791"
"Harrietta, Michigan, United States","44.30939","-85.83222","The Boonie House","12","Entire cabin","5","https://www.airbnb.com/rooms/41288307"
"St. Ignace, Michigan, United States","45.84784","-84.73388","Fieldstone Cottage on Lake Michigan","8","Entire home","5","https://www.airbnb.com/rooms/1121199"
"South Haven, Michigan, United States","42.46322","-86.25208","Mermaid Bliss - South Haven, MI","12","Entire home","5","https://www.airbnb.com/rooms/26621790"
"Hancock Township, Michigan, United States","47.258","-88.554","Soothing Superior Sunsets","11","Entire home","5","https://www.airbnb.com/rooms/25375122"
"Elk Rapids, Michigan, United States","44.89788","-85.41207","Beautiful Home just steps to Downtown Elk Rapids!","8","Entire home","5","https://www.airbnb.com/rooms/32138627"
"Holland, Michigan, United States","42.76949","-86.19168","Charming Cozy Cottage - Holland/Saugatuck","6","Entire cottage","5","https://www.airbnb.com/rooms/46809599"
"Mears, Michigan, United States","43.65406","-86.53707","SheriDune - a lake Michigan cottage.","8","Entire cottage",,"https://www.airbnb.com/rooms/52528628"
"Pigeon, Michigan, United States","43.91026","-83.35513","Lone Eagle Lodge at Beadle Bay","7","Entire cabin","5","https://www.airbnb.com/rooms/48565959"
"Shelby, Michigan, United States","43.61799","-86.53188","Tatum's Lighthouse Cottage","4","Entire home","5","https://www.airbnb.com/rooms/49211325"
"Ontonagon, Michigan, United States","46.86895","-89.31283","Pull toys inside. Trails close. Great for groups","10","Entire place","5","https://www.airbnb.com/rooms/49792411"
"Grayling, Michigan, United States","44.6817","-84.57643","Au Sable Busted Grouse Cabin","7","Entire cabin","5","https://www.airbnb.com/rooms/48601960"
"Three Oaks, Michigan, United States","41.80205","-86.60746","Cute, Family-Friendly Home w/ Fast WiFi, Screened-In Patio, Grassy Yard, Firepit","4","Entire home","5","https://www.airbnb.com/rooms/52509790"
"Colon, Michigan, United States","41.9574","-85.32376","Beautiful home on Palmer Lake in Colon","10","Entire home","5","https://www.airbnb.com/rooms/32845452"
"Williamsburg, Michigan, United States","44.75775","-85.34467","Warm, Private, Traverse City Home","8","Entire home","5","https://www.airbnb.com/rooms/53685039"
"Charlevoix, Michigan, United States","45.33237","-85.24045","North Side Gem","8","Entire home","5","https://www.airbnb.com/rooms/44203975"
"Traverse City, Michigan, United States","44.76714","-85.63368","WALKABLE TO CHERRY FEST! 2nd Street Dream","10","Entire home","5","https://www.airbnb.com/rooms/40559595"
"Union Pier, Michigan, United States","41.83139","-86.69547","Cute Cottage with Private Hot Tub, Free WiFi, & Central A/C - Walk to the Beach","4","Entire cottage","4.5","https://www.airbnb.com/rooms/53969144"
"Suttons Bay, Michigan, United States","44.93522","-85.60351","Strawberry Hill waterfront cabin near Suttons Bay","2","Entire cabin","5","https://www.airbnb.com/rooms/24861281"
"Bridgman, Michigan, United States","41.9562","-86.57368","Quaint Dunewood Cabin with Private Beach Access","10","Entire home","4.5","https://www.airbnb.com/rooms/18487145"
"Traverse City, Michigan, United States","44.79169","-85.64898","Four Season Paradise - Perfect For Couples!","6","Entire home","5","https://www.airbnb.com/rooms/53382420"
"Union Pier, Michigan, United States","41.8304","-86.69829","Driftwood Inn - Union Pier Beauty Close To Beach and Downtown! 2023 Open!","8","Entire home","5","https://www.airbnb.com/rooms/48587821"
"Grand Beach, Michigan, United States","41.77167","-86.79975","Lake Michigan Waterfront Rental in Grand Beach","6","Entire home","5","https://www.airbnb.com/rooms/31235137"
"Alanson, Michigan, United States","45.48002","-84.77428","Good Times in the Pines - 15 mins to Boyne/Nubs","10","Entire home","5","https://www.airbnb.com/rooms/13157561"
"Traverse City, Michigan, United States","44.75997","-85.5983","ModernTownhouse in Traverse City's Midtown area","6","Entire townhouse","5","https://www.airbnb.com/rooms/45114612"
"Bellaire, Michigan, United States","44.97975","-85.2125","Bellaire Home on the Intermediate River","10","Entire home","5","https://www.airbnb.com/rooms/41342573"
"Mears, Michigan, United States","43.67525","-86.47854","Cozy cottage on Upper Silver Lake!","5","Entire cottage","4.5","https://www.airbnb.com/rooms/42987704"
"Cheboygan, Michigan, United States","45.48466","-84.32094","Charming Cottage on Beautiful Black Lake","10","Entire home","5","https://www.airbnb.com/rooms/46347480"
"Gaylord, Michigan, United States","44.95747","-84.64994","Cedar Vacation Home","12","Entire home","5","https://www.airbnb.com/rooms/32350725"
"Traverse City, Michigan, United States","44.70256","-85.70953","We Love Pets So Much ~ They're Free!","4","Entire cottage","5","https://www.airbnb.com/rooms/1118609"
"Douglas, Michigan, United States","42.64497","-86.2009","Captains Cove","8","Entire villa","5","https://www.airbnb.com/rooms/52686583"
"Hancock, Michigan, United States","47.12587","-88.58387","Olde Vic.  An experience. Overlooks Portage Canal.","10","Entire home","5","https://www.airbnb.com/rooms/50207284"
