"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Antrim, New Hampshire, United States","43.09941","-71.94456","The Cozy Place","6","Entire home","5","https://www.airbnb.com/rooms/13681554"
"Madison, New Hampshire, United States","43.9364","-71.13931","Renovated Modern Chalet - Swim, Hike, Shop, Dine!","10","Entire chalet","4.5","https://www.airbnb.com/rooms/48467327"
"Albany, New Hampshire, United States","43.98757","-71.16254","Upscale Cabin in the White Mountains","8","Entire cabin","5","https://www.airbnb.com/rooms/31620594"
"Conway, New Hampshire, United States","44.02995","-71.1187","Gorgeous Townhouse in the heart of North Conway","12","Entire townhouse","5","https://www.airbnb.com/rooms/47019596"
"Gilford, New Hampshire, United States","43.55827","-71.36557","The Getaway - 2 mins to Gunstock, 5 mins to Winni","12","Entire home","5","https://www.airbnb.com/rooms/51176657"
"Ossipee, New Hampshire, United States","43.7609","-71.13532","Ossipee Lake Waterfront Home w/ Private Boat Dock","8","Entire home","5","https://www.airbnb.com/rooms/47316779"
"Intervale, New Hampshire, United States","44.10718","-71.15544","Family friendly home with great theatre room and g","12","Entire home","5","https://www.airbnb.com/rooms/47437778"
"Lebanon, New Hampshire, United States","43.64413","-72.23597","Benton House, Sleeps 10, King Bed Primary","10","Entire home","5","https://www.airbnb.com/rooms/53779200"
"Jackson, New Hampshire, United States","44.16998","-71.16298","NEW! All-Season Slopeside Chalet on Black Mountain","8","Entire townhouse","5","https://www.airbnb.com/rooms/51506594"
"Sugar Hill, New Hampshire, United States","44.22609","-71.771","Peckett's on Sugar Hill Historic Yellow Blinds","8","Entire home","5","https://www.airbnb.com/rooms/2678788"
"Holderness, New Hampshire, United States","43.73207","-71.59228","The Barn at Holderness C","4","Entire home","5","https://www.airbnb.com/rooms/39871435"
"North Conway, New Hampshire, United States","44.05633","-71.1092","2BR Ski-in/out Condo at Cranmore Mountain #1303","6","Entire condo","5","https://www.airbnb.com/rooms/28803970"
"North Conway, New Hampshire, United States","44.04576","-71.10395","40 acre Animal farm w/best views in N Conway!","4","Entire guesthouse","5","https://www.airbnb.com/rooms/21330326"
"Intervale, New Hampshire, United States","44.08467","-71.13116","Newly built home, 2018, in desirable location","8","Entire home","5","https://www.airbnb.com/rooms/31040589"
