"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Park City, Utah, United States","40.645","-111.488","Dual Master in Deer Valley - Sleeps 6!","6","Entire townhouse","5","https://www.airbnb.com/rooms/53646892"
"Park City, Utah, United States","40.65001","-111.50684","Marriott's MountainSide","8","Entire resort",,"https://www.airbnb.com/rooms/16174183"
"Park City, Utah, United States","40.65039","-111.50837","1BDR Ski-In/Out Condo; Stunning Mountain Location!","4","Entire condo","5","https://www.airbnb.com/rooms/42271032"
"Park City, Utah, United States","40.64764","-111.49992","Brand New Remodel, Bottom of Main Street (walk to restaurants and shops) just around the corner from Park City Mountain's Town Lift","6","Entire condo","5","https://www.airbnb.com/rooms/53973846"
"Park City, Utah, United States","40.65492","-111.51085","Snow Flower #130, SKI-IN/SKI-OUT to Park City Mountain","8","Entire condo",,"https://www.airbnb.com/rooms/46673136"
"Park City, Utah, United States","40.65508","-111.50972","Snow Flower #103, SKI-IN/SKI-OUT to Park City Mountain","6","Entire condo",,"https://www.airbnb.com/rooms/46676596"
"Park City, Utah, United States","40.65077","-111.5027","The Victorian | 2BR Walk to Park City Mountain","5","Entire townhouse","5","https://www.airbnb.com/rooms/46849425"
"Park City, Utah, United States","40.66493","-111.48572","NEW! Townhome w/ Hot Tub ~ 2 Mi to Park City Mtn!","5","Entire townhouse","4.5","https://www.airbnb.com/rooms/43238836"
"Park City, Utah, United States","40.649","-111.499","Park Station Condo Steps to Main Street and Town Lift","6","Entire condo","4.5","https://www.airbnb.com/rooms/15071722"
"Park City, Utah, United States","40.649","-111.499","Walk to Slopes on Historic Main Street","8","Entire condo","4.5","https://www.airbnb.com/rooms/15071810"
"Park City, Utah, United States","40.646","-111.497","Main Street Condo Walking Distance to Town Lift","4","Entire rental unit","5","https://www.airbnb.com/rooms/15071681"
"Park City, Utah, United States","40.64517","-111.49125","Settler's Ridge #7 - On Deer Valley Drive - Easy Shuttle to Skiing and Main street","6","Entire townhouse",,"https://www.airbnb.com/rooms/53399627"
"Park City, Utah, United States","40.655","-111.507","Heated Pool, Hot Tub &amp; Sauna Seconds Away From Park City Mountain","6","Entire condo","4.5","https://www.airbnb.com/rooms/15071673"
"Park City, Utah, United States","40.65642","-111.50617","Charming Remodeled 1-Bed Condo--Walk to Ski Lift","4","Entire condo","5","https://www.airbnb.com/rooms/40615170"
"Park City, Utah, United States","40.66257","-111.49912","Ski Resorts Open Nov 22nd in Park City, Utah!","4","Entire condo","4.5","https://www.airbnb.com/rooms/30270609"
"Park City, Utah, United States","40.643","-111.497","Woodside Place - Newly renovated | near ski run!!!","4","Entire rental unit","5","https://www.airbnb.com/rooms/36367410"
"Park City, Utah, United States","40.64903","-111.50463","Park City 2BR/2BA-Hot Tub-Walk to PCMR & Main St","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/57318"
"Park City, Utah, United States","40.65226","-111.50514","Gorgeous 3bdr, 2.5.Bth Near Main St","6","Entire condo","5","https://www.airbnb.com/rooms/3729789"
"Park City, Utah, United States","40.65619","-111.51329","Three Kings Townhome 1-Bedroom Loft - -Walk to Park City Mountain Ski Resort","5","Entire rental unit","4.5","https://www.airbnb.com/rooms/19388035"
"Heber City, Utah, United States","40.68057","-111.43441","Luxury Park City 2BR Ski Condo, Vaulted Ceilings+","4","Entire condo","5","https://www.airbnb.com/rooms/52967694"
"Park City, Utah, United States","40.64066","-111.49542","Perfect Park City Basecamp 1-Bedroom Condo","4","Entire condo","5","https://www.airbnb.com/rooms/21663267"
"Park City, Utah, United States","40.64226","-111.49436","Chic 1-bedroom Main Street Condo","6","Entire condo","4.5","https://www.airbnb.com/rooms/21679472"
"Park City, Utah, United States","40.649","-111.499","Condo with Heated Pool &amp; Hot Tub, Steps from Park City Mountain's Town Lift","6","Entire condo","5","https://www.airbnb.com/rooms/15071765"
"Park City, Utah, United States","40.649","-111.499","Main Street Condo Walk to Park City Mountain Town Lift","6","Entire condo","5","https://www.airbnb.com/rooms/15071757"
"Park City, Utah, United States","40.64861","-111.49918","Deluxe Main Street Condo Walk to Town Lift","5","Entire condo","4.5","https://www.airbnb.com/rooms/44132774"
"Park City, Utah, United States","40.649","-111.499","Walk to Main Street and Town Lift, on Free Shuttle Line to Deer Valley and Canyons Village","7","Entire condo","4.5","https://www.airbnb.com/rooms/15071742"
"Park City, Utah, United States","40.65511","-111.50641","Ideal location in Old Town. Walk to Park City Mountain!","8","Entire condo","4.5","https://www.airbnb.com/rooms/22481658"
