"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Eden, Utah, United States","41.32218","-111.82601","Pineview & Powder Mountain Condo | Pool | Hot Tub","7","Entire condo","4.5","https://www.airbnb.com/rooms/49999226"
"Eden, Utah, United States","41.32991","-111.8248","Beautiful One-Bedroom Condo - WorldMark Wolf Creek","4","Entire serviced apartment","5","https://www.airbnb.com/rooms/11754028"
"Eden, Utah, United States","41.3286","-111.83257","6 Bedrooms for an Amazing Price!","12","Entire home","5","https://www.airbnb.com/rooms/5729117"
"Eden, Utah, United States","41.32582","-111.82829","2 BR 2 BA Wolf Lodge Mountain Condo","4","Entire condo","5","https://www.airbnb.com/rooms/52469475"
"Eden, Utah, United States","41.32472","-111.83031","Wolf Lodge Condo on Golf Course | Pool | Hot Tub","6","Entire condo","5","https://www.airbnb.com/rooms/50403427"
"Eden, Utah, United States","41.32818","-111.82379","Beautiful 3BR Condo at Wolf Creek 5 Beds/Sleeps 8","4","Entire serviced apartment","4.5","https://www.airbnb.com/rooms/7932905"
"Ogden, Utah, United States","41.16652","-111.94298","Best secret to destination oasis","10","Entire home","5","https://www.airbnb.com/rooms/9808824"
"South Ogden, Utah, United States","41.15127","-111.94311","Treeo South Ogden","2","Entire rental unit","5","https://www.airbnb.com/rooms/21395371"
"Huntsville, Utah, United States","41.27664","-111.71813","8 beds, HOT TUB, + Best Basin View!","12","Entire home","5","https://www.airbnb.com/rooms/11519"
"Eden, Utah, United States","41.327","-111.826","Wolf Creek, UT, 2 Bedroom P #1","8","Entire condo",,"https://www.airbnb.com/rooms/30200855"
"Eden, Utah, United States","41.329","-111.825","Wolf Creek, UT, 2 Bedroom Plus #1","8","Entire condo","4.5","https://www.airbnb.com/rooms/11087384"
"Eden, Utah, United States","41.32294","-111.82379","Moose Hollow 102!","8","Entire townhouse",,"https://www.airbnb.com/rooms/49652940"
"Ogden, Utah, United States","41.16987","-111.98888","MountainValley: Lagoon, Hospitals, Ski, WSU, HAFB","12","Entire home","5","https://www.airbnb.com/rooms/40481845"
"Huntsville, Utah, United States","41.25004","-111.79401","1 Bedroom Huntsville, Utah Lodging Option Sleeps 5 - Snowbasin Vacation LS 40A","4","Entire condo","5","https://www.airbnb.com/rooms/21043621"
"Perry, Utah, United States","41.48105","-112.02004","Stunning Sunsets Entire guest suite 3 beds/2 baths","4","Entire rental unit","5","https://www.airbnb.com/rooms/43280051"
"Eden, Utah, United States","41.329","-111.825","Wolf Creek 2 Bdrm Condo Resort","6","Entire serviced apartment",,"https://www.airbnb.com/rooms/6379100"
"Huntsville, Utah, United States","41.25104","-111.79339","2 Bedroom Snowbasin Vacation Rental - Huntsville, Utah Lodging LS63","6","Entire condo",,"https://www.airbnb.com/rooms/21043618"
