"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Park City, Utah, United States","40.64285","-111.4931","Old Town Ctr. Restored Historic Beauty !","8","Entire home","4.5","https://www.airbnb.com/rooms/1855521"
"Park City, Utah, United States","40.64425","-111.49359","Walk to Town lift - Hot Tub - 2 blocks to Main St","6","Entire home","5","https://www.airbnb.com/rooms/48143056"
"Hideout, Utah, United States","40.64066","-111.39859","Brand newly constructed 4 bedroom in Deer Springs.","8","Entire townhouse","5","https://www.airbnb.com/rooms/54083525"
"Park City, Utah, United States","40.73757","-111.49519","Park City Apt w/Utah Olympic Park & Mtn Views","6","Entire rental unit","5","https://www.airbnb.com/rooms/27163313"
"Heber City, Utah, United States","40.51415","-111.41617","Heber Studio - Mountain Views - Quiet Neighborhood","6","Entire guesthouse","5","https://www.airbnb.com/rooms/43505683"
"Park City, Utah, United States","40.66508","-111.49534","Park Plaza 2 bedroom Presidential suite","8","Entire serviced apartment",,"https://www.airbnb.com/rooms/53801894"
"Heber City, Utah, United States","40.506","-111.419","The Murdock Room at the Heber Senator B & B - ADA","2","Room in bed and breakfast","5","https://www.airbnb.com/rooms/35942577"
"Daniel, Utah, United States","40.66201","-111.41836","Gorgeous Jordanelle Lake Property - New Construction (2021) - 4BD/3.5BA","10","Entire townhouse",,"https://www.airbnb.com/rooms/53752205"
"Park City, Utah, United States","40.642","-111.496","Luxury Duplex Walk to Main St & PCMR (Lower Unit)","5","Entire home","5","https://www.airbnb.com/rooms/45850843"
"Park City, Utah, United States","40.64","-111.495","Top rated private home in the heart of Old Town Pa","8","Entire home","4.5","https://www.airbnb.com/rooms/15506735"
"Park City, Utah, United States","40.649","-111.51","Mountain Views! Hot Tub/Pool Walk to Lifts & Main2","4","Entire condo","5","https://www.airbnb.com/rooms/2135669"
"Park City , Utah, United States","40.67008","-111.42748","Retreat 811 by Moose Mgmt.-Pvt. Hot Tub-BBQ-Garage","12","Entire townhouse","4.5","https://www.airbnb.com/rooms/21748690"
"Park City, Utah, United States","40.64446","-111.49195","Old Town Studio- Super short walk to Main Street","4","Entire guesthouse","5","https://www.airbnb.com/rooms/29633528"
"Park City, Utah, United States","40.64137","-111.48178","Modern Mountain Home - Minutes to DV and PC Skiing - Sleeps up to 8","8","Entire condo","5","https://www.airbnb.com/rooms/46395254"
"Park City, Utah, United States","40.641","-111.496","S. Claus House, Heart of Old Town 🎄❤️🎄","5","Entire rental unit","5","https://www.airbnb.com/rooms/14819985"
"Park City, Utah, United States","40.636","-111.496","Corduroy by AvantStay | Cute & Cozy Mountainside Cabin-Duplex","11","Entire townhouse","5","https://www.airbnb.com/rooms/45579425"
"Park City, Utah, United States","40.6529","-111.50825","Cozy Studio in the Village with WiFi & Easy Slope Access","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/48397632"
"Midway, Utah, United States","40.512","-111.467","Judy's! Beautiful, convenient, comfortable  & new!","6","Entire guest suite","5","https://www.airbnb.com/rooms/31837262"
"Park City, Utah, United States","40.64063","-111.48101","Lakeside Town-home - Lower Deer Valley - 4 BD/3BA","8","Entire townhouse","5","https://www.airbnb.com/rooms/44616799"
"Park City, Utah, United States","40.65766","-111.50878","Luxe Park City Condo w/Pool & Hot Tub: Mins to Ski","7","Entire condo","5","https://www.airbnb.com/rooms/28610781"
"Midway, Utah, United States","40.52547","-111.49141","Villa 3049 2 Bed 2 Bath Full Kitchen","6","Entire villa",,"https://www.airbnb.com/rooms/51037730"
