"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Plattsburgh, New York, United States","44.62792","-73.44656","Cozy Peaceful Lakeshore Home: Hike, Ski, Snowshoe","6","Entire home","5","https://www.airbnb.com/rooms/18444465"
"South Hero, Vermont, United States","44.60772","-73.31362","Summer's End","4","Entire cabin","4.5","https://www.airbnb.com/rooms/20093254"
"Saint Albans Town, Vermont, United States","44.82992","-73.18919","Lakeside 1960s Mobile Home Cottage","6","Entire chalet","5","https://www.airbnb.com/rooms/7051320"
"Colchester, Vermont, United States","44.57808","-73.18488","Summer home with private lake front","6","Entire cottage","5","https://www.airbnb.com/rooms/34178219"
"South Hero, Vermont, United States","44.64745","-73.2722","Charming new two Bedroom cabin w/porch.","4","Entire cabin",,"https://www.airbnb.com/rooms/31585388"
"Plattsburgh, New York, United States","44.69694","-73.44939","Historic Apartment - Half Mi to Lake Champlain!","9","Entire rental unit","5","https://www.airbnb.com/rooms/52145184"
"South Hero, Vermont, United States","44.6","-73.299","Spacious & Classic Lakeside Getaway with Lake Views & Boat Moorage","8","Entire cottage","5","https://www.airbnb.com/rooms/17135333"
"Milton, Vermont, United States","44.60739","-73.21173","Fun and Relaxation at The River Cottage!","6","Entire cottage","5","https://www.airbnb.com/rooms/13478692"
"South Hero, Vermont, United States","44.65356","-73.30712","Two Cozy Cabins at Wally’s Point","6","Entire cottage","4.5","https://www.airbnb.com/rooms/32473818"
"South Hero, Vermont, United States","44.61433","-73.28779","South BayView cottage at Tree Tops Cottages","6","Entire cottage","5","https://www.airbnb.com/rooms/22935873"
"Peru, New York, United States","44.5995","-73.43953","Amazing Lake Champlain View at Valcour Cottage","7","Entire cottage","5","https://www.airbnb.com/rooms/37958454"
"Alburgh, Vermont, United States","44.87577","-73.28078","Aurora House ... Town water for next season?","8","Entire home","4.5","https://www.airbnb.com/rooms/41961260"
"South Hero, Vermont, United States","44.61329","-73.28909","North BayView cottage at Tree Tops Cottages","5","Entire cabin","5","https://www.airbnb.com/rooms/22936300"
"South Hero, Vermont, United States","44.65497","-73.30956","Gone Fishing!  Is Pet Friendly!","7","Entire cottage","4.5","https://www.airbnb.com/rooms/45623083"
"Plattsburgh, New York, United States","44.68824","-73.4726","2 bedroom home in a quiet neighborhood","4","Entire home","5","https://www.airbnb.com/rooms/50456081"
"Isle La Motte, Vermont, United States","44.85826","-73.35893","One bedroom suite with full kitchen","4","Entire rental unit",,"https://www.airbnb.com/rooms/53916109"
"Plattsburgh, New York, United States","44.71604","-73.44248","Lake-side whole suite","5","Entire townhouse","4.5","https://www.airbnb.com/rooms/36569212"
"Grand Isle, Vermont, United States","44.72442","-73.29152","Cozy Cottage on the Lake","4","Entire cottage","4.5","https://www.airbnb.com/rooms/4767146"
"South Hero, Vermont, United States","44.64891","-73.30207","Lake Champlain Islands South Hero Glamping Cottage","5","Entire cottage","5","https://www.airbnb.com/rooms/43915024"
"Colchester, Vermont, United States","44.59065","-73.21734","Charming Award-winning Garden and Artist Retreat","4","Entire guest suite","5","https://www.airbnb.com/rooms/28368364"
"Alburgh, Vermont, United States","44.87627","-73.30846","Lake Champlain cottage - Water front","4","Entire cottage","5","https://www.airbnb.com/rooms/20674930"
"Milton, Vermont, United States","44.66154","-73.2124","Rustic cabin on Lake Champlain","3","Entire cabin","5","https://www.airbnb.com/rooms/6937119"
"Grand Isle, Vermont, United States","44.7321","-73.26838","16’ Airstream glamping on Lake Champlain","2","Camper/RV","4.5","https://www.airbnb.com/rooms/48327955"
"Isle La Motte, Vermont, United States","44.85631","-73.3591","Lake Champlain Home's King Bed Main level Bedroom","2","Private room in home","4.5","https://www.airbnb.com/rooms/38414577"
"Plattsburgh, New York, United States","44.709","-73.382","Beautiful Lake Champlain Retreat - 4 bedrooms","8","Entire home","5","https://www.airbnb.com/rooms/19728251"
"Alburgh, Vermont, United States","44.8812","-73.30303","#21 Isle View - Fishing, Sunsets, Beaches, Golfing","4","Entire cottage","5","https://www.airbnb.com/rooms/47882587"
"North Hero, Vermont, United States","44.89105","-73.23326","Lakefront Getaway Near Private Beach & Park, State Boat Launch & Dock Nearby","2","Entire rental unit","5","https://www.airbnb.com/rooms/43656787"
"Peru, New York, United States","44.59968","-73.48191","North Country Pines","4","Entire home","4.5","https://www.airbnb.com/rooms/50237977"
"Plattsburgh, New York, United States","44.69154","-73.45016","Located in the City of Plattsburgh complete house.","8","Entire home","5","https://www.airbnb.com/rooms/43970672"
"Colchester, Vermont, United States","44.59314","-73.22516","Private Suite close to Burlington","2","Private room in home","5","https://www.airbnb.com/rooms/2263484"
