"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Jamaica, Vermont, United States","43.07505","-72.7492","Vermont Log Cabin near Stratton / Mount Snow","8","Entire cabin","5","https://www.airbnb.com/rooms/25137144"
"Dover, Vermont, United States","42.955","-72.878","Mount Snow Chalet - room for the whole family!","8","Entire chalet","5","https://www.airbnb.com/rooms/46657863"
"Dover, Vermont, United States","42.95638","-72.87906","The Mountain A-Frame at Mount Snow","6","Entire chalet","5","https://www.airbnb.com/rooms/44334653"
"Wilmington, Vermont, United States","42.91327","-72.81679","Snug Chalet - Wi-Fi + Close to Mount Snow","6","Entire chalet","5","https://www.airbnb.com/rooms/50654317"
"Newfane, Vermont, United States","42.93925","-72.70885","Vermont Cabin - Amazing Views, Close to Mount Snow","6","Entire cabin","5","https://www.airbnb.com/rooms/31693313"
"Wilmington, Vermont, United States","42.88303","-72.89029","Sleek Cabin w/ Deck, 8 Miles to Mount Snow & Hikes","8","Entire cabin","5","https://www.airbnb.com/rooms/44045828"
"Dover, Vermont, United States","42.955","-72.843","Grey Wolf's Den: 5 miles to Mount Snow w/HOT TUB","10","Entire chalet","5","https://www.airbnb.com/rooms/21746215"
"Wardsboro, Vermont, United States","43.04582","-72.83676","Mountain house near Mount Snow & Stratton","14","Entire cabin","5","https://www.airbnb.com/rooms/52113221"
"Dover, Vermont, United States","42.97297","-72.89424","Timber Frame Contemporary w/ Hot Tub at Mount Snow","10","Entire home","5","https://www.airbnb.com/rooms/51153549"
"Dover, Vermont, United States","42.94999","-72.87204","Winter Fun 5 Star @ The Batwing house Mount Snow","14","Entire home","5","https://www.airbnb.com/rooms/28436810"
"Wardsboro, Vermont, United States","43.05044","-72.83357","Perfect location between Mount Snow and Stratton","12","Entire cottage","5","https://www.airbnb.com/rooms/50222284"
