"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Warren, Vermont, United States","44.14079","-72.89293","Sugarbush Mountainside Retreat - Ski in Ski out","4","Entire condo","5","https://www.airbnb.com/rooms/40210253"
"Northfield, Vermont, United States","44.15438","-72.72906","The Crow's Nest on Scrag Mt: Sugarbush, Waitsfield","15","Entire home","5","https://www.airbnb.com/rooms/28252197"
"Warren, Vermont, United States","44.13788","-72.8431","House on Mad River near Sugarbush","7","Entire home","5","https://www.airbnb.com/rooms/104188"
"Warren, Vermont, United States","44.12885","-72.87902","Private studio apartment adjacent to Sugarbush","2","Entire rental unit","5","https://www.airbnb.com/rooms/17447275"
"Warren, Vermont, United States","44.1199","-72.81344","HYGGE HAUS - Mountain Views Minutes from Sugarbush","10","Entire home","5","https://www.airbnb.com/rooms/53252922"
"Waitsfield, Vermont, United States","44.18294","-72.87971","The Wolf's Den at Sugarbush Mt Ellen","3","Entire rental unit","5","https://www.airbnb.com/rooms/26991453"
"Northfield, Vermont, United States","44.13016","-72.72979","Cozy Cabin Minutes From Sugarbush","7","Entire cabin","5","https://www.airbnb.com/rooms/4733975"
"Roxbury, Vermont, United States","44.12334","-72.76602","Off Grid Romantic Cabin near Sugarbush ski resort","2","Entire cabin","5","https://www.airbnb.com/rooms/42138440"
"Warren, Vermont, United States","44.11354","-72.85236","4-minutes to Sugarbush, steps to Warren Village!","11","Entire home","5","https://www.airbnb.com/rooms/43247719"
"Rochester, Vermont, United States","43.8859","-72.80913","Sugarbush, Killington VT farmhouse","8","Entire home","5","https://www.airbnb.com/rooms/6421996"
"Waitsfield, Vermont, United States","44.18476","-72.84513","Mid century modern gem with views of Sugarbush","8","Entire home","5","https://www.airbnb.com/rooms/13863640"
"Waitsfield, Vermont, United States","44.18","-72.904","Slopeside Luxury at Sugarbush. Best of the Valley","12","Entire home","5","https://www.airbnb.com/rooms/38026137"
"Waitsfield, Vermont, United States","44.20284","-72.87267","5 BR minutes to Sugarbush & Mad River Glen","10","Entire home","5","https://www.airbnb.com/rooms/9998625"
