"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Manigod, Haute Savoie, France","45.86257","6.37249","Enjoy pool and spa at 5 star ski chalet for 14","14","Entire chalet",,"https://www.airbnb.com/rooms/15244533"
"Christian Malford, Wiltshire, United Kingdom","51.51486","-2.02763","Superb Farmhouse with pool, hot tub and fast wifi","9","Entire home","5","https://www.airbnb.com/rooms/37445083"
"State College, Pennsylvania, United States","40.8365","-77.8769","WE ARE...2.6 miles from Beaver Stadium PENN STATE!","8","Entire home","5","https://www.airbnb.com/rooms/31254440"
"Marathon, Florida, United States","24.69992","-81.0845","W10 - NEW 102 Calle Ensueno","10","Entire home","5","https://www.airbnb.com/rooms/39647771"
"Joucas, Provence-Alpes-Côte d'Azur, France","43.91978","5.25227","THE BASTIDE: VILLA WITH PRIVATE GARDEN AND POOL","6","Entire home",,"https://www.airbnb.com/rooms/47109483"
"Waterhouses, United Kingdom","53.04134","-1.85774","Pine Cottage - RCHP140 (RCHP140)","12","Entire home","5","https://www.airbnb.com/rooms/30922140"
"San Diego, California, United States","32.704","-117.138","3.  Family Reunion 4BR+Den+2.5BA Designer’s dream","7","Entire home","5","https://www.airbnb.com/rooms/36352550"
"Rhiwlas, Wales, United Kingdom","53.16978","-4.12621","Carreg Y Garth Isaf (CC612054)","8","Entire home",,"https://www.airbnb.com/rooms/51646983"
"Denver, Colorado, United States","39.76742","-105.00676","Private LOHI Home, Large Backyard, Game room,Grill","12","Entire home","5","https://www.airbnb.com/rooms/52558612"
"Metato, Tuscany, Italy","43.952","10.33","Il Podere di Metato, Restored Tuscan Farmhouse with Pool with Views of Hills and Sea","8","Entire home",,"https://www.airbnb.com/rooms/42447383"
"West Sussex, England, United Kingdom","50.80689","-0.52724","Lamorna (UK36310)","4","Entire home",,"https://www.airbnb.com/rooms/54069285"
"St. Augustine, Florida, United States","29.895","-81.31408","Colonial Quarter Hideaway w/ Modern Comforts & Private Balcony - Near Beach","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/45005553"
"Ponzano Monferrato, Piemonte, Italy","45.083","8.294","Cascina La Valle 10+2, Emma Villas Exclusive","12","Entire villa",,"https://www.airbnb.com/rooms/49555182"
"Austin, Texas, United States","30.26497","-97.73007","6th Street Suite: 4BR/11Beds, Pool, Roofdeck (U4)","13","Room in aparthotel","5","https://www.airbnb.com/rooms/28184779"
"Amsterdam, Noord-Holland, Netherlands","52.35457","4.89479","Apartment in city centre with a great garden","4","Entire townhouse","5","https://www.airbnb.com/rooms/18523486"
"Palma, Illes Balears, Spain","39.559","2.611","Villa Isabel, Palma de Mallorca","8","Entire villa","5","https://www.airbnb.com/rooms/31340559"
"Sivati, Croatia","45.113","13.868","Amazing home in Sivati with 3 Bedrooms, WiFi and","8","Entire home",,"https://www.airbnb.com/rooms/36186186"
"Breckenridge, Colorado, United States","39.4789","-106.05154","Large Condo Great for Families w/ Shared Pool/Hot Tub + Ski-In/Ski-Out Location!","10","Entire condo","5","https://www.airbnb.com/rooms/43487618"
"Mijas Costa , Andalucía, Spain","36.511","-4.655","Large Luxury Family Villa 500m From Beach","14","Entire villa","5","https://www.airbnb.com/rooms/31163701"
"Brandesburton, England, United Kingdom","53.91257","-0.35902","Farriers Lodge (UK31728)","7","Entire home",,"https://www.airbnb.com/rooms/48050580"
"Llanymawddwy, Wales, United Kingdom","52.75666","-3.62958","Ty Gillwood (UK13244)","6","Entire home",,"https://www.airbnb.com/rooms/40702550"
"Sarasota, Florida, United States","27.32034","-82.57804","Huge Home with Pool, Home Office, & Sunroom | Walk to Lido Beach","8","Entire home","5","https://www.airbnb.com/rooms/23318291"
"Surfers Paradise, Queensland, Australia","-28.00025","153.42817","5-Star Panoramic Oceanview Sub-Penthouse","8","Entire rental unit","5","https://www.airbnb.com/rooms/45628511"
