"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Charlottesville, Virginia, United States","38.03665","-78.47611","The Carriage House at Wine Cellar Circle","4","Entire home","5","https://www.airbnb.com/rooms/45652261"
"Crozet, Virginia, United States","38.163","-78.685","#8 Sassafras 2 BD Cabin Mnt Lake, Hike & Fish","6","Entire cottage","5","https://www.airbnb.com/rooms/18305931"
"Charlottesville, Virginia, United States","38.02948","-78.4821","Oversized Downtown Mall stunning loft apt~~~~","2","Entire rental unit","5","https://www.airbnb.com/rooms/16788993"
"Charlottesville, Virginia, United States","38.06004","-78.48499","City convenience, cozy privacy","4","Private room in home","5","https://www.airbnb.com/rooms/19840754"
"Charlottesville, Virginia, United States","38.02072","-78.47595","Cozy Cottage minutes from downtown!","2","Entire bungalow","5","https://www.airbnb.com/rooms/10983225"
"Stanardsville, Virginia, United States","38.27224","-78.52903","The Loft at Kilaurwen Winery","4","Entire loft","5","https://www.airbnb.com/rooms/27729257"
"Charlottesville, Virginia, United States","38.06751","-78.4953","Enjoy the Cavalier Life-Uber to events & wineries!","4","Entire condo","5","https://www.airbnb.com/rooms/43756760"
"Charlottesville, Virginia, United States","38.0408","-78.46504","Bright Private apt (Separate entrance) near DT","2","Entire rental unit","5","https://www.airbnb.com/rooms/1334381"
"Crozet, Virginia, United States","38.07606","-78.71415","Cozy Crozet Artist Farmhouse circa 1929","6","Entire cottage","5","https://www.airbnb.com/rooms/14968786"
"Charlottesville, Virginia, United States","38.0444","-78.4798","NEW! Cozy Charlottesville Home w/ Yard, Near Dtwn!","4","Entire home","4.5","https://www.airbnb.com/rooms/53272311"
"Charlottesville, Virginia, United States","38.05","-78.499","UVA Area Tree Top Apt","2","Entire rental unit","5","https://www.airbnb.com/rooms/19459526"
"Ruckersville, Virginia, United States","38.241","-78.363","The Franklin Estate - Suite E- Private Apt-KingBed","2","Entire home","5","https://www.airbnb.com/rooms/45424730"
"Keswick, Virginia, United States","38.05869","-78.31634","Beautiful 1 bedroom apartment to enjoy Keswick","2","Farm stay","5","https://www.airbnb.com/rooms/52988467"
"Ruckersville, Virginia, United States","38.241","-78.363","The Franklin Estate - Suite D-Private Apt-King Bed","2","Entire home","5","https://www.airbnb.com/rooms/45091257"
"Charlottesville, Virginia, United States","38.02509","-78.47825","Very Zen Studio","2","Entire guesthouse","5","https://www.airbnb.com/rooms/22815865"
"Charlottesville, Virginia, United States","38.06014","-78.5057","The Stone Abode","2","Entire condo","5","https://www.airbnb.com/rooms/27872896"
"Charlottesville, Virginia, United States","38.02948","-78.46754","Meade Cottage","4","Entire cottage","5","https://www.airbnb.com/rooms/40121564"
"Charlottesville, Virginia, United States","38.02531","-78.51284","Studio suite/UVA area/Walk to Scott Stadium","2","Entire guesthouse","5","https://www.airbnb.com/rooms/49561308"
"Charlottesville, Virginia, United States","38.04","-78.47","Studio Guest ""Cottage""","2","Entire place","5","https://www.airbnb.com/rooms/9985512"
"Charlottesville, Virginia, United States","38.01811","-78.51687","Close to UVA/Private Outdoor Entry","2","Entire guest suite","5","https://www.airbnb.com/rooms/3730726"
"Charlottesville, Virginia, United States","37.99937","-78.48736","Spacious guest suite - Scenic views","2","Entire guest suite","5","https://www.airbnb.com/rooms/39962641"
