"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Oroville, Washington, United States","48.90395","-119.24665","Wilderness Cabin","4","Entire villa",,"https://www.airbnb.com/rooms/46268829"
"Oroville, Washington, United States","48.90511","-119.24666","Highlander Cabin","4","Entire villa",,"https://www.airbnb.com/rooms/46268728"
"Oroville, Washington, United States","48.9027","-119.24283","Hideaway Cabin","4","Entire villa",,"https://www.airbnb.com/rooms/25267830"
"Oroville, Washington, United States","48.90409","-119.24497","Homestead Cabin","4","Entire villa","5","https://www.airbnb.com/rooms/25270400"
"Oroville, Washington, United States","48.90452","-119.24619","Cosmos Cabin","4","Entire villa",,"https://www.airbnb.com/rooms/25270401"
"Oroville, Washington, United States","48.90406","-119.24481","Mountaineer Cabin","4","Entire villa",,"https://www.airbnb.com/rooms/46268760"
"Oroville, Washington, United States","48.90471","-119.24683","Sportsman Cabin","4","Entire villa","5","https://www.airbnb.com/rooms/25270402"
"Manson, Washington, United States","47.91763","-120.14667","Chelan area farm, estate winery and cidery!","6","Entire home","4.5","https://www.airbnb.com/rooms/14318064"
"Winthrop, Washington, United States","48.55038","-120.33763","Methow Rolling Huts 
Hut #2","4","Tiny home","4.5","https://www.airbnb.com/rooms/53258031"
"Oroville, Washington, United States","48.90328","-119.24445","Frontier Cabin","3","Entire villa","5","https://www.airbnb.com/rooms/25274681"
"Okanogan County, Washington, United States","48.59352","-120.40668","Fir - double queen bedroom at The Inn At Mazama","4","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/47196016"
"Riverside, Washington, United States","48.50701","-119.3742","Tunk Valley Ranch Bunkhouse","6","Farm stay","5","https://www.airbnb.com/rooms/46173633"
"Manson, Washington, United States","47.913","-120.16079","Wapato Lake Water Front Home w/ Private Dock","8","Entire home","5","https://www.airbnb.com/rooms/41802722"
"Chelan, Washington, United States","47.91039","-120.21212","Gorgeous House near Lake Chelan w/Deck, Great Views, Dock, & Beach Access","4","Entire home","3.5","https://www.airbnb.com/rooms/50330177"
"Manson, Washington, United States","47.93327","-120.1916","The Tree House","6","Entire home","5","https://www.airbnb.com/rooms/20256799"
"Mazama, Washington, United States","48.56268","-120.34653","Fawn Creek Hideaway-Great Retreat!","6","Entire home","4.5","https://www.airbnb.com/rooms/8386593"
"Chelan, Washington, United States","47.96066","-120.20918","Apricot Cottage","6","Entire cabin","4.5","https://www.airbnb.com/rooms/18732915"
"Washington, United States","48.58399","-120.40404","Cozy Cute Cabin!","6","Entire cottage","5","https://www.airbnb.com/rooms/21242405"
"Manson, Washington, United States","47.90911","-120.13181","Wapato Point #2","5","Entire rental unit",,"https://www.airbnb.com/rooms/45236453"
"Chelan, Washington, United States","47.9465","-120.20892","Sunny, lakefront home with huge patio, floating dock & 2 buoys","6","Entire home","4.5","https://www.airbnb.com/rooms/35577793"
"Winthrop, Washington, United States","48.57508","-120.39507","Alpine Loft in Mazama","2","Entire guesthouse","5","https://www.airbnb.com/rooms/13603537"
"Mazama, Washington, United States","48.586","-120.401","Deer Run Chalet-A Short Walk to Ski trail & River!","8","Entire chalet","5","https://www.airbnb.com/rooms/41403507"
"Manson, Washington, United States","47.90499","-120.13776","Private, top floor loft w/ views of the valley & two lakes - dogs ok!","4","Entire bungalow","4.5","https://www.airbnb.com/rooms/33640032"
"Winthrop, Washington, United States","48.57648","-120.39593","Alpine View (Side A)","5","Entire cabin",,"https://www.airbnb.com/rooms/49969624"
"Winthrop, Washington, United States","48.499","-120.264","Happy Cabin:  Two Bedroom","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/12085663"
"Mazama, Washington, United States","48.58323","-120.37837","Mazama Trails Cabin-200 ft away from the Ski Trail","5","Entire cabin","5","https://www.airbnb.com/rooms/52752923"
"Mazama, Washington, United States","48.5849","-120.38079","Mazama Trails Duplex 2B-Steps away from Ski Trail","4","Entire cabin","5","https://www.airbnb.com/rooms/52754924"
"Winthrop, Washington, United States","48.57591","-120.39772","Alpine View (Side B)","5","Entire cabin","4.5","https://www.airbnb.com/rooms/49969636"
"Winthrop, Washington, United States","48.54878","-120.33782","Methow Rolling Huts 
Hut #6","4","Tiny home","5","https://www.airbnb.com/rooms/53261911"
"Mazama, Washington, United States","48.5831","-120.38027","Mazama Trails Laundry House..Close to Ski Trail!","4","Entire cabin","4.5","https://www.airbnb.com/rooms/52738207"
"Winthrop, Washington, United States","48.50879","-120.19559","Guest Cabin w/ Sweeping Views","2","Entire guesthouse","5","https://www.airbnb.com/rooms/49817528"
"Okanogan County, Washington, United States","48.59535","-120.40458","Pine - garden room at The Inn At Mazama","3","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/47345661"
"Okanogan County, Washington, United States","48.59359","-120.40477","Birch - loft room w/queen bed at The Inn At Mazama","3","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/47196078"
"Winthrop, Washington, United States","48.47727","-120.18199","Riverside King Deluxe","4","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/24247850"
"Winthrop, Washington, United States","48.47626","-120.18492","'Park Place Apt, at Purple Sage, on the river","4","Entire rental unit","5","https://www.airbnb.com/rooms/4513082"
"Mazama, Washington, United States","48.58297","-120.37929","Mazama Trails Duplex 2A-200 ft away from Ski Trail","4","Entire cabin","5","https://www.airbnb.com/rooms/52753886"
"Okanogan County, Washington, United States","48.59372","-120.40497","Aspen - queen bedroom w/deck at The Inn At Mazama","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/47196001"
"Winthrop, Washington, United States","48.58473","-120.37869","Mazama Trails Kidds Cabin! 200 ft from Ski Trail!","4","Entire cabin","5","https://www.airbnb.com/rooms/52631797"
"Winthrop, Washington, United States","48.55069","-120.33758","Methow Valley Rolling Huts Hut #1","4","Tiny home","5","https://www.airbnb.com/rooms/53257732"
"Twisp, Washington, United States","48.37698","-120.29799","Riverside Retreat for All Seasons #2","3","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/9945010"
"Winthrop, Washington, United States","48.499","-120.264","Happy Cabin:  One Bedroom at Wolfridge Resort","3","Entire rental unit","5","https://www.airbnb.com/rooms/12084799"
"Winthrop, Washington, United States","48.499","-120.264","Sleeping Wolf: Spacious Studio w/ ski trail & river access, pool/hot tub","4","Entire loft","4.5","https://www.airbnb.com/rooms/7932904"
"Winthrop, Washington, United States","48.47616","-120.18532","'Boardwalk' Apt, at the Purple Sage, on the river","2","Entire rental unit","5","https://www.airbnb.com/rooms/16648905"
"Winthrop, Washington, United States","48.48035","-120.18193","Moon River Suite-River Views, Walk to Winthrop!","4","Entire rental unit","5","https://www.airbnb.com/rooms/9088517"
"Winthrop, Washington, United States","48.48088","-120.18382","Bunk House Inn, Rm #3  Artistic/Cool Space","3","Room in boutique hotel","5","https://www.airbnb.com/rooms/6365507"
"Winthrop, Washington, United States","48.498","-120.265","Running Wolf Cabin (1 BR)   ski trail access, pool/hot tub, and playground","5","Entire rental unit","5","https://www.airbnb.com/rooms/8209302"
"Winthrop, Washington, United States","48.46177","-120.17384","Modern Alpine Condo w/ Fireplace Near Ski Trails!","5","Entire condo","5","https://www.airbnb.com/rooms/41803756"
"Twisp, Washington, United States","48.37472","-120.30104","Riverside Retreat for All Seasons","2","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/9910124"
"Winthrop, Washington, United States","48.55807","-120.36613","*Peaceful cabin in the woods* near Mazama/Winthrop","7","Entire cabin","5","https://www.airbnb.com/rooms/16516055"
"Pateros, Washington, United States","48.10324","-119.96574","High Valley House","8","Entire home","5","https://www.airbnb.com/rooms/32842722"
"Pateros, Washington, United States","48.10085","-120.01153","Cozy Cottage at The Lazy Daisy Ranch","4","Entire cottage","5","https://www.airbnb.com/rooms/49733739"
"Winthrop, Washington, United States","48.498","-120.265","Running Wolf Cabin  2 BR w/trail access, pool/hot tub","9","Entire rental unit","5","https://www.airbnb.com/rooms/7802426"
"Mazama, Washington, United States","48.557","-120.367","★ Cozy Cabin in the Woods ★ near Mazama/Winthrop","5","Entire home","5","https://www.airbnb.com/rooms/2380731"
"Chelan, Washington, United States","47.94948","-120.21038","Lake-Chelan-view home with large deck, new hot tub, Ping-Pong & foosball table","4","Entire home","4.5","https://www.airbnb.com/rooms/20083796"
"Twisp, Washington, United States","48.36758","-120.12283","Twisp Pub House","6","Entire home","5","https://www.airbnb.com/rooms/14195654"
"Chelan, Washington, United States","47.98976","-120.2541","Modern Cabin with Private Pool","8","Entire home","5","https://www.airbnb.com/rooms/52939535"
"Winthrop, Washington, United States","48.43179","-120.24747","Winthrop Cabin with fantastic view and privacy","4","Entire cabin","4.5","https://www.airbnb.com/rooms/24284073"
"Winthrop, Washington, United States","48.48084","-120.18533","Bunkhouse Inn Room 2--Walk to town!","3","Room in boutique hotel","5","https://www.airbnb.com/rooms/24471614"
"Manson, Washington, United States","47.91","-120.13394","Wapato Point #6","3","Entire rental unit",,"https://www.airbnb.com/rooms/45236609"
