"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Croyde, United Kingdom","51.133","-4.205","Streamways | Sleeps 12-16 | Hot Tub* | Valley Views, Garden Cabin & Log Burner","16","Entire home","5","https://www.airbnb.com/rooms/22521267"
"Singapore, Singapore","1.29914","103.86103","1-Bedroom Premium Suite","2","Entire serviced apartment",,"https://www.airbnb.com/rooms/39119415"
"Cabo San Lucas, Baja California Sur, Mexico","22.88368","-109.90789","Luxury 1 BR Beachfront Condo, Five Star Service","3","Entire rental unit",,"https://www.airbnb.com/rooms/51747614"
"Dornoch, near Tain, Scotland, United Kingdom","57.87889","-4.02777","Burnside (UK13469)","10","Entire home",,"https://www.airbnb.com/rooms/40702730"
"Green Bay, Wisconsin, United States","44.524","-88.039","☀️ Family Friendly, 5 LARGE Rooms, Hot Tub: 9 Beds","14","Entire home","4.5","https://www.airbnb.com/rooms/15095834"
"Llan-non, United Kingdom","52.28241","-4.16881","Ty Jim","6","Entire home","5","https://www.airbnb.com/rooms/23197865"
"Elton, England, United Kingdom","53.14416","-1.66837","Elton House","10","Entire home","5","https://www.airbnb.com/rooms/51833518"
"Brooklyn, New York, United States","40.71379","-73.9488","Sweet Magnolia in Williamsburg","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/54343414"
"Friston, United Kingdom","52.18714","1.523","Alde Cottage","6","Entire home",,"https://www.airbnb.com/rooms/33328002"
"Kilmaurs, near Kilmarnock, Scotland, United Kingdom","55.64296","-4.52755","Wheatfield House (UK12688)","9","Entire home",,"https://www.airbnb.com/rooms/40992499"
"Los Angeles, California, United States","34.13746","-118.47818","Dream Home , Spectacular City & Mountain Views","8","Entire home","5","https://www.airbnb.com/rooms/22128076"
"Park City, Utah, United States","40.649","-111.505","Mountainside 4BR Treasure Hollow Park City Home","10","Entire home","5","https://www.airbnb.com/rooms/20933724"
"Marinella, Sardinia, Italy","41.025","9.544","VILLA LE ROCCE - Heated Swimming Pool","10","Entire villa","4.5","https://www.airbnb.com/rooms/974406"
"Denver, Colorado, United States","39.76583","-105.00046","Modern Home in Denver's Hot LoHi Neighborhood","10","Entire home","5","https://www.airbnb.com/rooms/48185431"
"Torbay, England, United Kingdom","50.46256","-3.53006","9 Marina Court","4","Entire home",,"https://www.airbnb.com/rooms/53929050"
"Aynho, England, United Kingdom","51.9912","-1.2579","The Hayloft - NAB (NAB)","6","Entire home","5","https://www.airbnb.com/rooms/49522158"
"Porthcawl, United Kingdom","51.49142","-3.70296","The Clock House, with a hot tub, great location.","14","Entire home","5","https://www.airbnb.com/rooms/34051310"
"POKOLBIN, New South Wales, Australia","-32.731","151.323","Wine Down","9","Entire home","4.5","https://www.airbnb.com/rooms/24430313"
"Port-Saint-Louis-du-Rhône, Provence-Alpes-Côte d'Azur, France","43.39729","4.79323","Charming villa in Camargue with private pool","4","Entire villa",,"https://www.airbnb.com/rooms/53352368"
"Poundstock, Bude, England, United Kingdom","50.77297","-4.52045","CIDER BARN (23865)","6","Entire home","4","https://www.airbnb.com/rooms/33893082"
"Puerto Vallarta, Jalisco, Mexico","20.59702","-105.23577","WOW! Two Penthouses-Entire Floor at Luxury Resort","10","Room in boutique hotel","5","https://www.airbnb.com/rooms/52234556"
"Orlando, Florida, United States","28.5216","-81.40366","Orlando's Hidden Gem: Lake, Pool, Hot Tub, Boating","16","Entire home","4.5","https://www.airbnb.com/rooms/10342217"
"Tunbridge Wells, England, United Kingdom","51.152","0.24054","Salomans Country Cottage (UK30364)","6","Entire home",,"https://www.airbnb.com/rooms/42268564"
"Endon, near Stoke-on-Trent, England, United Kingdom","53.07134","-2.12088","Spring Cottage (UK13389)","6","Entire home","5","https://www.airbnb.com/rooms/40702960"
"New Quay, Wales, United Kingdom","52.21798","-4.35959","Seadrift (UK6689)","6","Entire home","5","https://www.airbnb.com/rooms/38337611"
"Alicante, Spain","38.35456","-0.41268","IMPRESSIVE DELUXE VILLA LA FAVORITA","16","Entire villa","5","https://www.airbnb.com/rooms/22564306"
"Ann Arbor, Michigan, United States","42.28135","-83.76271","Secluded, Cozy 4BR, A2 Old West Side","16","Entire home","4.5","https://www.airbnb.com/rooms/37089471"
"North Sunderland, England, United Kingdom","55.57672","-1.66434","Southfield House","8","Entire home",,"https://www.airbnb.com/rooms/53391337"
"Porto-Vecchio, Corse, France","41.63231","9.3324","Cala Di Mare","4","Entire home","4.5","https://www.airbnb.com/rooms/48222565"
"Destin, Florida, United States","30.38447","-86.41982","Large home near the beach w/ four master suites plus pool & basketball court","14","Entire home","5","https://www.airbnb.com/rooms/31446784"
"Southwold, United Kingdom","52.32535","1.6821","2 Trinity Street","4","Entire home",,"https://www.airbnb.com/rooms/24954587"
"Cardiff, Wales, United Kingdom","51.47644","-3.18383","Taff Penfro Cardiff Apartment","6","Entire rental unit","4","https://www.airbnb.com/rooms/44453465"
"Ceredigion, Wales, United Kingdom","52.20573","-4.34645","Belvedere","6","Entire home",,"https://www.airbnb.com/rooms/51227624"
"Isle of Palms, South Carolina, United States","32.803","-79.739","Grand Pavilion 29- Wild Dunes Amenities!","12","Entire home","4.5","https://www.airbnb.com/rooms/16444126"
"Bol, Splitsko-dalmatinska županija, Croatia","43.264","16.662","Spacious family 2BR apt near sea&center•parking","5","Entire rental unit","5","https://www.airbnb.com/rooms/31158454"
"Hlavní město Praha, Czechia","50.07416","14.45353","Large luxury villa in central Prague","16","Private room","5","https://www.airbnb.com/rooms/35833491"
"Pornichet, Pays de la Loire, France","47.24472","-2.30832","Villa récente, piscine chauffée, proche plage.","12","Entire home","4.5","https://www.airbnb.com/rooms/15777341"
"Southwold, United Kingdom","52.32738","1.68028","Rose Cottage","4","Entire home",,"https://www.airbnb.com/rooms/24170393"
"Puerto Vallarta, Jalisco, Mexico","20.59711","-105.23728","Rent 5th Floor at Luxury Resort: Amazing Suites","10","Room in boutique hotel","5","https://www.airbnb.com/rooms/52570571"
"Greater London, England, United Kingdom","51.52508","-0.11528","Lux Hidden Oasis 2-Bed Flat in Bloomsbury","4","Entire rental unit","5","https://www.airbnb.com/rooms/21887960"
"Uzzano, Toscana, Italy","43.889","10.712","CASANIVI 14+2, Emma Villas Exclusive","16","Entire villa",,"https://www.airbnb.com/rooms/30139227"
"Southwold, United Kingdom","52.32652","1.67974","Twitten Cottage","4","Entire home",,"https://www.airbnb.com/rooms/24966011"
"Dolgellau, United Kingdom","52.75438","-3.86973","Berthlwyd","5","Entire home",,"https://www.airbnb.com/rooms/21601719"
"Down Thomas, England, United Kingdom","50.32982","-4.1039","The Cockle (UK33058)","6","Entire home","5","https://www.airbnb.com/rooms/48647836"
"Bright, Australia","-36.718","146.944","Bright River Rest","10","Entire home","4.5","https://www.airbnb.com/rooms/34482372"
"Dicomano, Tuscany, Italy","43.89371","11.52742","Residenza Villa Lilia","8","Entire villa",,"https://www.airbnb.com/rooms/40052280"
"Saxmundham, United Kingdom","52.18788","1.55703","Varley House (UKC324)","10","Entire home",,"https://www.airbnb.com/rooms/30884045"
"Galveston, Texas, United States","29.19344","-94.98245","Island Life: Canal Home with Underwater Fishing Lights, a Fisherman's Dream!","14","Entire home","4.5","https://www.airbnb.com/rooms/34180076"
"Magnisia, Greece","35.37982","24.60532","Zen luxury home,pool,Near beach & amenities","16","Entire home",,"https://www.airbnb.com/rooms/53322616"
"Kaukana, Sicilia, Italy","36.78719","14.52415","Stunning home in Casuzze-Finaiti with Sauna, WiFi","9","Entire home",,"https://www.airbnb.com/rooms/53479949"
"Split, Splitsko-dalmatinska županija, Croatia","43.505","16.447","Apartment Boticelle next to the beach Bacvice","5","Entire rental unit","4.5","https://www.airbnb.com/rooms/6503190"
"Tenby, United Kingdom","51.67107","-4.70099","Ashford Villa","8","Entire home","4.5","https://www.airbnb.com/rooms/41757573"
"Hollingbourne, near Maidstone, England, United Kingdom","51.26856","0.64129","Moorhen Cottage (M555100)","6","Entire home",,"https://www.airbnb.com/rooms/40992507"
"Low Row, England, United Kingdom","54.37777","-2.02996","Swale View, traditional dales cottage in Low Row","5","Entire cottage","5","https://www.airbnb.com/rooms/36012790"
"Newport, Rhode Island, United States","41.47342","-71.31566","At Home In Newport","5","Entire home","5","https://www.airbnb.com/rooms/20146408"
"Devon, England, United Kingdom","50.23249","-3.7791","ST ELMO COURT 7 (SHELMO7)","6","Entire home",,"https://www.airbnb.com/rooms/51638028"
"Greater London, England, United Kingdom","51.49005","-0.16752","Fabulous 3-bed house w/ roof terrace near King’s Road in Chelsea, London","6","Entire home","4.5","https://www.airbnb.com/rooms/47016500"
"Llandwrog, near Caernarfon, United Kingdom","53.1002","-4.30669","White Towers - HW7625 (HW7625)","6","Entire home","4.5","https://www.airbnb.com/rooms/30858025"
"Cave Creek, Arizona, United States","33.80101","-111.97776","The Carefree Quail with fireplace, alfresco dining, hot tub & poolside paradise","16","Entire home","4","https://www.airbnb.com/rooms/51366263"
"Milano, Lombardia, Italy","45.50948","9.17359","Camera Doppia uso Singola","1","Room in hotel",,"https://www.airbnb.com/rooms/50627428"
"Snape, United Kingdom","52.17078","1.50311","Mermaid Cove","6","Entire home",,"https://www.airbnb.com/rooms/24071007"
"St Lawrence, England, United Kingdom","50.58461","-1.24763","Elm Cottage (UK11348)","6","Entire home","4.5","https://www.airbnb.com/rooms/37400237"
"Cornwall, England, United Kingdom","50.53472","-4.93933","Blueskies","4","Entire home","5","https://www.airbnb.com/rooms/49084593"
"Port Aransas, Texas, United States","27.79894","-97.08428","Beach-View Luxe Home | Palmilla Beach Resort | Poolside Paradise","13","Entire home","4.5","https://www.airbnb.com/rooms/17172004"
"Staithes, near Whitby, United Kingdom","54.55887","-0.79311","One Beckside Cottage (UK2219)","4","Entire home","5","https://www.airbnb.com/rooms/30920416"
"Rudford, near Gloucester, England, United Kingdom","51.88366","-2.32672","Holders Cottage (UKC3919)","2","Entire home",,"https://www.airbnb.com/rooms/34719175"
"Quarteira, Faro, Portugal","37.10605","-8.10471","SPECTACULAR VILLA,WIFI,POOL,TENNIS, CLOSE TO GOLF","16","Entire villa",,"https://www.airbnb.com/rooms/53092207"
"Somerford Keynes, England, United Kingdom","51.64448","-1.96958","Lower Mill Estate - Firecrest (UK33339)","10","Entire home","5","https://www.airbnb.com/rooms/48893706"
"Staithes, United Kingdom","54.55883","-0.79104","Hillsover","4","Entire home","4.5","https://www.airbnb.com/rooms/21227650"
"Dubai, United Arab Emirates","25.14048","55.13646","Luxury Villa 450m2 Private Pool,Parking,Beach,Gym","16","Entire townhouse","4.5","https://www.airbnb.com/rooms/47571895"
"Miramar Beach, Florida, United States","30.37293","-86.35538","Surfin Sea: Major Remodel in 2023! Gulf Front Home with Incredible Views! Pet Friendly! Private Pool, Gated Community, Carriage House and Game Room!","16","Entire home","5","https://www.airbnb.com/rooms/16214077"
"Labin, Croatia","45.05707","14.15273","Roinizza in Prtlog (Haus für 4-5 Personen)","5","Entire home","4.5","https://www.airbnb.com/rooms/31456085"
"Oak Park, Illinois, United States","41.88316","-87.8107","4D5ih1 Deluxe Comfy Queen Bedroom Near Chicago","2","Private room in bungalow","4.5","https://www.airbnb.com/rooms/46546372"
"Merseyside, England, United Kingdom","53.36574","-3.11614","Redstones Cottage (UK35178)","6","Entire home","5","https://www.airbnb.com/rooms/51569234"
"Cape Coral, Florida, United States","26.55718","-82.03289","Stunning waterfront home on canal with dock and private pool","12","Entire home","4.5","https://www.airbnb.com/rooms/29216592"
"Rye Foreign, near Rye, United Kingdom","50.9701","0.70688","The Shearing Shed (30991)","4","Entire home","4.5","https://www.airbnb.com/rooms/30880491"
"Porthleven, United Kingdom","50.081","-5.312","Morwenna","5","Entire rental unit",,"https://www.airbnb.com/rooms/22117049"
"Mousehole, United Kingdom","50.084","-5.539","Ten Steps","6","Entire home","5","https://www.airbnb.com/rooms/22117774"
"Saint Ives, United Kingdom","50.21205","-5.47899","Sunnyside, Street an Pol","4","Entire home",,"https://www.airbnb.com/rooms/34500354"
"London, United Kingdom","51.52317","-0.11065","Sonder Back Hill | One-Bedroom Apartment w/ Terrace","2","Entire rental unit","4.5","https://www.airbnb.com/rooms/37390895"
"Los Angeles, California, United States","33.98243","-118.46774","Ocean Front  New House 3 bedrooms,  large terrace.","6","Entire townhouse",,"https://www.airbnb.com/rooms/54290810"
"Port Aransas, Texas, United States","27.80207","-97.08446","Stylish Palmilla House with Gulf Views, 2 Decks & Resort Amenities","11","Entire home","5","https://www.airbnb.com/rooms/30973936"
"Puerto Morelos, Quintana Roo, Mexico","20.856","-86.872","Exclusive Stay at The Diving Lodge Downtown","16","Private room in resort","5","https://www.airbnb.com/rooms/21289958"
"Suffolk, England, United Kingdom","52.10819","1.53855","Lodge Farm Barn","4","Entire home",,"https://www.airbnb.com/rooms/51342882"
"Cercedilla, Comunidad de Madrid, Spain","40.73775","-4.06703","Casa Rural del SXVIII","16","Entire cottage",,"https://www.airbnb.com/rooms/41530816"
"Horning, near Norwich, United Kingdom","52.69769","1.47038","Puddle Inn Duck (27799)","7","Entire home",,"https://www.airbnb.com/rooms/30877701"
"Shap, near Penrith, United Kingdom","54.53365","-2.67913","The Rockery (UK1040)","10","Entire home","5","https://www.airbnb.com/rooms/30822736"
"Middletown, Rhode Island, United States","41.48948","-71.27994","BRAND NEW WALK TO BEACH SUMMER RETL LG YARD","14","Entire home","4.5","https://www.airbnb.com/rooms/47935161"
"La Couarde-sur-Mer, Aquitaine Limousin Poitou-Charentes, France","46.1988","-1.42396","Jolie maison réthaise **** - Grand jardin privatif","6","Entire rental unit","5","https://www.airbnb.com/rooms/13824140"
"Winster, United Kingdom","54.34195","-2.91633","The Main House (30863)","7","Entire home","4.5","https://www.airbnb.com/rooms/30828945"
"Edinburgh, Scotland, United Kingdom","55.93632","-3.19466","Thirlestane Apartment (UK32877)","6","Entire home","5","https://www.airbnb.com/rooms/48292370"
"Massa Lubrense, Campania, Italy","40.6121","14.34058","Large private villa walking distance from the sea and town","12","Entire villa",,"https://www.airbnb.com/rooms/50864711"
"La Croix-Valmer, Provence-Alpes-Côte d'Azur, France","43.19828","6.55555","GULF OF ST.TROPEZ | POOL | SEA VIEW | VILLA 300sqm","16","Entire villa","5","https://www.airbnb.com/rooms/49287762"
"Alella, Barcelona, Spain","41.4916","2.31244","Olala Sea&City View Family Villa | 5000m2 garden","12","Entire villa","4.5","https://www.airbnb.com/rooms/18580782"
"San Juan, Puerto Rico","18.454","-66.071","Casa Sevilla, Main House","12","Entire home","5","https://www.airbnb.com/rooms/45229893"
"Llanbedrog, Wales, United Kingdom","52.85033","-4.49008","1 Fron Dirion","8","Entire home","4","https://www.airbnb.com/rooms/53871434"
"Saratoga Springs, New York, United States","43.11422","-73.75223","Saratoga Springs Family House with pool & Hot Tub","10","Entire home","5","https://www.airbnb.com/rooms/16718932"
"Blythburgh, near Southwold, United Kingdom","52.31964","1.59777","Hogsnorting Villa (UKC2421)","4","Entire home","5","https://www.airbnb.com/rooms/30858920"
"Cornwall, England, United Kingdom","50.33864","-4.63306","Penvorder","6","Entire home",,"https://www.airbnb.com/rooms/52913683"
"Summerset, South Dakota, United States","44.22013","-103.36644","Great location and house with open floor plan","8","Entire home",,"https://www.airbnb.com/rooms/44899461"
"ALLANDALE, New South Wales, Australia","-32.729","151.396","Noble Willow Estate Lovedale. Super Spacious, with views and pool","12","Entire home","4.5","https://www.airbnb.com/rooms/34948191"
"Anstruther, United Kingdom","56.22697","-2.69751","Ben The Hoose (UK5388)","6","Entire home","5","https://www.airbnb.com/rooms/30220360"
"Gloucestershire, England, United Kingdom","51.88689","-2.45011","Yartleton Farm (UK36237)","4","Entire home",,"https://www.airbnb.com/rooms/53090288"
"Bangalow, New South Wales, Australia","-28.68641","153.53111","Bangalow Queenslander & Pool","9","Entire home","5","https://www.airbnb.com/rooms/27065168"
"Central Point, Oregon, United States","42.32994","-122.96133","BookStayHop - Rellik House~Pool~ Winery and Alpaca Farm ~ One Mile to Jacksonville","14","Entire home","5","https://www.airbnb.com/rooms/31742291"
"Somerford Keynes , Lower Mill Estate, Cotswolds, United Kingdom","51.64781","-1.96791","Lakeside property with spa on a nature reserve, Bryony (HM35)","10","Entire home","5","https://www.airbnb.com/rooms/26076829"
"Loomis, California, United States","38.82746","-121.17933","CHATEAU LOOMIS ~ European Getaway in Northern CA!!","12","Entire home",,"https://www.airbnb.com/rooms/42208155"
"White Colne, near Colchester, United Kingdom","51.92895","0.71927","Toad Hall Cottage (UKC3457)","2","Entire home","4.5","https://www.airbnb.com/rooms/30909674"
"Paris, Île-de-France, France","48.87322","2.31385","Fancy Designer Flat on Saint-Honoré With Concierge","5","Entire rental unit","5","https://www.airbnb.com/rooms/13051365"
"Linguizzetta, Corse, France","42.1994","9.55662","6-person Seaview Apartment (5 adults max.) N36","5","Entire rental unit",,"https://www.airbnb.com/rooms/50693310"
"Twin Mountain, New Hampshire, United States","44.27854","-71.57431","67ML Privacy in beautiful setting - close to Santa's Village, Franconia Notch, and just a few minutes from Bretton Woods! Large fireplace. AIR CONDITIONED! EARN REWARD POINTS WITH YOUR BOOKING!","13","Entire home","5","https://www.airbnb.com/rooms/21814701"
"Snape, United Kingdom","52.18089","1.49151","The Granary","5","Entire home",,"https://www.airbnb.com/rooms/24964060"
"Catskill, New York, United States","42.17085","-73.97981","Secluded, kid friendly, workspace, great Wi-Fi","12","Entire chalet","5","https://www.airbnb.com/rooms/29353082"
"Veyrier-du-Lac, Auvergne-Rhône-Alpes, France","45.88659","6.18031","Villa sur les hauteurs du lac d'Annecy","10","Entire home","5","https://www.airbnb.com/rooms/42901344"
"Bassaleg, United Kingdom","51.56849","-3.06304","Caban Cwm Hedd","5","Entire home","5","https://www.airbnb.com/rooms/36744514"
"Florence, Toscana, Italy","43.76579","11.24981","Luxury Apartment with view on Piazza Pitti","10","Entire condo","5","https://www.airbnb.com/rooms/53841208"
"Rio de Janeiro, Brazil","-22.99739","-43.27499","Combo 3 Apts: Private use of Pool & Grill","16","Entire townhouse","5","https://www.airbnb.com/rooms/52818797"
"Bangkok, Krung Thep Maha Nakhon, Thailand","13.74222","100.54396","Benviar - Four Bedroom Suite (300 Sqm) @Chitlom","8","Room in aparthotel","5","https://www.airbnb.com/rooms/14459513"
"Sennen, United Kingdom","50.07644","-5.70377","The Lookout","2","Entire rental unit","5","https://www.airbnb.com/rooms/23531411"
"Stonesfield, Oxfordshire, United Kingdom","51.85187","-1.43591","Hollyhock House Idyllic Cotswold House for 11","11","Entire cottage","5","https://www.airbnb.com/rooms/11809999"
"Boughton Monchelsea, England, United Kingdom","51.23756","0.52154","Salts Barn","4","Entire home",,"https://www.airbnb.com/rooms/50559740"
"Santa Cruz do Douro, Porto, Portugal","41.11954","-8.00315","Impeccable 6 Bed House in Santa Cruz do Douro","12","Entire home",,"https://www.airbnb.com/rooms/49187291"
"Upper Poppleton, near York, United Kingdom","53.97719","-1.14898","The Station House (UK2557)","6","Entire home","5","https://www.airbnb.com/rooms/30858680"
"Kingsland, Texas, United States","30.67383","-98.41924","Waterfront house with private pool, kayaks, ping-pong, boat slip, & paddleboards","10","Entire home",,"https://www.airbnb.com/rooms/53731269"
"Mudgee, New South Wales, Australia","-32.49646","149.61208","Stags Head Retreat - Peppertree Hill","15","Entire home","5","https://www.airbnb.com/rooms/20623376"
"Wembury, United Kingdom","50.32892","-4.09131","Langdon Barton Cottage (15482)","6","Entire home",,"https://www.airbnb.com/rooms/29371424"
"Bondi Beach, New South Wales, Australia","-33.88875","151.27449","Jet Flamingo: Beach House","16","Entire villa","4.5","https://www.airbnb.com/rooms/17909413"
"Nuits, Bourgogne-Franche-Comté, France","47.73223","4.21258","Gite de 27 couchages (+ 9  en option)","16","Entire home","4","https://www.airbnb.com/rooms/34461903"
"Kingston, near Corfe Castle, United Kingdom","50.61714","-2.06361","The Old Forge (DTP)","7","Entire home","4.5","https://www.airbnb.com/rooms/30198651"
"Tequisquiapan, Querétaro, Mexico","20.53157","-99.88838","CASA BLANCA TEQUISQUIAPAN, QRO.","15","Entire home","5","https://www.airbnb.com/rooms/13750834"
"Edisto Island, South Carolina, United States","32.49134","-80.33573","Edisto 4BR House w/Beach Access & Resort Amenities","14","Entire home","5","https://www.airbnb.com/rooms/50371615"
"Rome, Lazio, Italy","41.89476","12.51494","Casa Particular 25Rooms","3","Private room in rental unit","4.5","https://www.airbnb.com/rooms/10031508"
"Galveston, Texas, United States","29.12038","-95.0737","Beachfront Melody: Beachfront, Unobstructed Gulf Views, Expansive Balcony!","16","Entire home","5","https://www.airbnb.com/rooms/48671148"
"Illes Balears, Spain","39.55309","3.31888","V - Lovely apartment in Boutique Hotel","3","Room in boutique hotel","5","https://www.airbnb.com/rooms/34773129"
"Montefiore Conca, Emilia Romagna, Italy","43.88199","12.61919","Villa Ambasciata Azzurra - Holiday Rental with swimming pool in Montefiore Conca, Emilia-Romagna","16","Entire villa","5","https://www.airbnb.com/rooms/29973838"
"Tias, Canarias, Spain","28.95444","-13.6484","village location with sea views, amenities nearby","6","Entire villa",,"https://www.airbnb.com/rooms/42256744"
"Vars, Provence-Alpes-Côte d'Azur, France","44.601","6.69265","Chalet with pool, hot tub, mountain view 19 people","16","Entire chalet","5","https://www.airbnb.com/rooms/21765208"
"Kihei, Hawaii, United States","20.764","-156.445","Prime Oceanfront 3BD Menehune Shores 414!","8","Entire condo","5","https://www.airbnb.com/rooms/35285107"
"Siesta Key, Florida, United States","27.27515","-82.56825","4 Bedroom/ 4 Bath Beach House-Directly on Beach!","12","Entire home","4.5","https://www.airbnb.com/rooms/24098709"
"Brooklyn, New York, United States","40.70797","-73.95188","Authentic Brooklyn Artist Loft Experience","6","Entire loft","5","https://www.airbnb.com/rooms/36065361"
"Wimberley, Texas, United States","29.99442","-98.10038","Wimberley Waters | Blanco River Property Sleeps 16+","16","Entire home","5","https://www.airbnb.com/rooms/53184360"
"Brampton, Ontario, Canada","43.6312","-79.75567","Cheerful 6 Bedroom Villa on LARGE 4 ACRE PROPERTY!","12","Entire villa",,"https://www.airbnb.com/rooms/52305403"
"Rozalin, mazowieckie, Poland","52.0589","20.74956","Atmosfera Pokój 4-osobowy typu standard nr.4","4","Private room in home",,"https://www.airbnb.com/rooms/41564270"
"Mawgan Porth, England, United Kingdom","50.46389","-5.02848","Pool and Valley View","4","Entire rental unit","5","https://www.airbnb.com/rooms/49871626"
"Houston, Texas, United States","29.72408","-95.30011","*Entire house + 4 apartments- sleeps 14","14","Entire home","5","https://www.airbnb.com/rooms/54163582"
"Cape Town, Western Cape, South Africa","-33.95764","18.37748","Stylish villa with unobstructed sea views & pool","10","Entire villa","5","https://www.airbnb.com/rooms/19360026"
"Westleton, United Kingdom","52.26692","1.57485","Easter Cottage","6","Entire home",,"https://www.airbnb.com/rooms/24957540"
"Florence, Toscana, Italy","43.768","11.253","[PONTE VECCHIO] Charm and Awesome view of Florence","4","Entire condo","5","https://www.airbnb.com/rooms/50956328"
"Lincolnshire, England, United Kingdom","53.22642","0.29993","The Nook (UK30920)","8","Entire home",,"https://www.airbnb.com/rooms/43591465"
"Amsterdam, Noord-Holland, Netherlands","52.378","4.907","Spacious Serviced Apartment with River View","7","Entire serviced apartment","5","https://www.airbnb.com/rooms/42446371"
"Whistler, British Columbia, Canada","50.07666","-123.04179","Elegant townhouse for a couple or small family","4","Entire townhouse",,"https://www.airbnb.com/rooms/3576506"
"Galveston, Texas, United States","29.13821","-95.05428","Sol of the Sea: Canal Home w/Private Pool","11","Entire home","4.5","https://www.airbnb.com/rooms/23123480"
"Cilmery, United Kingdom","52.15754","-3.45785","Canoldy","7","Entire home","5","https://www.airbnb.com/rooms/25767428"
"Cincinnati, Ohio, United States","39.107","-84.498","Tranquil • Luxe • Celebrity Stay • Designer","8","Entire condo","5","https://www.airbnb.com/rooms/13796962"
"Charleston, South Carolina, United States","32.79134","-79.94195","❤️ of Charleston - Luxurious & Rustic -Near King!","8","Entire home","5","https://www.airbnb.com/rooms/38559798"
"St Ives, United Kingdom","50.21513","-5.47639","Pendynas, luxury home, heart of St Ives. Beaches, shops, restaurants all very close. Free parking for 2 cars. Free WiFi.","6","Entire home","5","https://www.airbnb.com/rooms/24879017"
"Saint-Rémy-de-Provence, Provence-Alpes-Côte d'Azur, France","43.79072","4.82813","Art Deco Villa - Center of Saint Rémy","6","Entire home","5","https://www.airbnb.com/rooms/11319706"
"Punta Ballena, Departamento de Maldonado, Uruguay","-34.895","-55.04","Ocean Front Villa, Private Pool, & Majestic Views","11","Entire villa","5","https://www.airbnb.com/rooms/44293111"
