"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Montville, Queensland, Australia","-26.68924","152.90786","The Farm on Razorback Ridge","10","Entire home","4.5","https://www.airbnb.com/rooms/52287260"
"Greater London, England, United Kingdom","51.56909","0.05893","Relax at this specious Edwardian semi  (Room 2)","1","Private room in home","5","https://www.airbnb.com/rooms/30942554"
"Looe, United Kingdom","50.35738","-4.45851","Number One The Creekside","4","Entire rental unit",,"https://www.airbnb.com/rooms/37731531"
"Cornwall, England, United Kingdom","50.53472","-4.93933","Blueskies","4","Entire home","5","https://www.airbnb.com/rooms/49084593"
"Wortegem-Petegem, Vlaanderen, Belgium","50.864","3.516","De Oude Klei - Logeren in rust en stijl - 22 pers","16","Entire villa","5","https://www.airbnb.com/rooms/13817293"
"Southwold, United Kingdom","52.32652","1.67974","Twitten Cottage","4","Entire home",,"https://www.airbnb.com/rooms/24966011"
"Devon, England, United Kingdom","50.23562","-3.77322","Ecila","5","Entire home",,"https://www.airbnb.com/rooms/53929640"
"East Sussex, England, United Kingdom","50.95436","0.73305","Juniper House","6","Entire home","5","https://www.airbnb.com/rooms/50385247"
"New York, United States","40.80062","-73.94772","Lovely 2-bedroom in New York","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/50548558"
"Cave Creek, Arizona, United States","33.80101","-111.97776","The Carefree Quail with fireplace, alfresco dining, hot tub & poolside paradise","16","Entire home","4","https://www.airbnb.com/rooms/51366263"
"Southwold, United Kingdom","52.32626","1.68057","Horseshoe Cottage","4","Entire home","5","https://www.airbnb.com/rooms/24959170"
"West Sussex, England, United Kingdom","50.79217","-0.6","Beachwood (UK30574)","10","Entire home",,"https://www.airbnb.com/rooms/42733788"
"Braunton, United Kingdom","51.11034","-4.15978","Wyndham Villa","8","Entire home","4.5","https://www.airbnb.com/rooms/24789772"
"Rimini, Emilia-Romagna, Italy","44.03548","12.54736","Amazing home in Rimini with 6 Bedrooms and WiFi","11","Entire home","4.5","https://www.airbnb.com/rooms/53553717"
"Craven Arms, United Kingdom","52.45345","-2.80879","Grove Sprightly Barn (13951)","12","Entire home","4.5","https://www.airbnb.com/rooms/30830050"
"Rosebud, Victoria, Australia","-38.37932","144.92739","Stunning family home with bay views & games room!","6","Entire home",,"https://www.airbnb.com/rooms/10394402"
"Whitby, United Kingdom","54.48931","-0.61227","Borough House","7","Entire home","3.5","https://www.airbnb.com/rooms/42238063"
"Agios Georgios, Paphos, Cyprus","34.78269","32.65275","Luxury 6 bedroom villa with privet pool in Paphos","12","Entire villa",,"https://www.airbnb.com/rooms/52000681"
