"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Duluth, Minnesota, United States","46.78262","-92.09578","Canal Park","6","Entire loft",,"https://www.airbnb.com/rooms/21923861"
"Superior, Wisconsin, United States","46.70756","-92.10466","⭐️Close to Hospitals⭐️Sanitized⭐️1st Responders","6","Entire rental unit","5","https://www.airbnb.com/rooms/43141836"
"Superior, Wisconsin, United States","46.71987","-92.12908","Pleasant convenient location.","2","Entire home","4.5","https://www.airbnb.com/rooms/25904025"
"Superior, Wisconsin, United States","46.58953","-92.13745","Comfort and style in the great outdoors.","7","Camper/RV","5","https://www.airbnb.com/rooms/36311347"
"Duluth, Minnesota, United States","46.80339","-92.09695","The Most Centrally Located Rental in Duluth!","7","Entire home","4.5","https://www.airbnb.com/rooms/6118826"
"Superior, Wisconsin, United States","46.70661","-92.10386","St Marys 6Min⭐️St Lukes 9Min⭐️Sanitized⭐️RNs LVN","6","Entire rental unit","5","https://www.airbnb.com/rooms/43142810"
"Duluth, Minnesota, United States","46.80356","-92.10305","Duluth 3 bedroom Lakeview home","6","Entire home","4.5","https://www.airbnb.com/rooms/52583096"
"Duluth, Minnesota, United States","46.80073","-92.0896","Original Hillside Home","6","Entire home","5","https://www.airbnb.com/rooms/25342254"
"Duluth, Minnesota, United States","46.77335","-92.13721","Historic 3-Bedroom Home","5","Entire home",,"https://www.airbnb.com/rooms/7049465"
"Duluth, Minnesota, United States","46.82504","-92.07744","Entire home sleeps 7, convenient location","7","Entire home","5","https://www.airbnb.com/rooms/18657103"
"Superior, Wisconsin, United States","46.72699","-92.0978","NEW! Trendy Superior Home: Perfect for Groups!","6","Entire home","4.5","https://www.airbnb.com/rooms/609311288702329900"
"Duluth, Minnesota, United States","46.87629","-92.09941","Home Away From Home 2 Bedroom 1 Bath Whole Home","4","Entire home","5","https://www.airbnb.com/rooms/13263854"
"Duluth, Minnesota, United States","46.78728","-92.10301","LakeView Suite in Downtown Duluth","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/43356308"
"Superior, Wisconsin, United States","46.71834","-92.09524","★Superior Classic★ 5 miles to Canal Park!★","6","Entire home","5","https://www.airbnb.com/rooms/37140936"
"Duluth, Minnesota, United States","46.80263","-92.07885","Manor House | Main Floor","4","Entire rental unit","5","https://www.airbnb.com/rooms/50485866"
"Duluth, Minnesota, United States","46.78474","-92.10775","Mesaba 1B | City Condo with Stunning Lake Superior & City Views","5","Entire home","5","https://www.airbnb.com/rooms/44694824"
"Duluth, Minnesota, United States","46.78884","-92.10256","Tower Suite 2 bedroom Condo in Downtown Best views","6","Entire rental unit","5","https://www.airbnb.com/rooms/45481608"
"Duluth, Minnesota, United States","46.80774","-92.07676","Sunny second story 2 BR","4","Entire home",,"https://www.airbnb.com/rooms/53198274"
"Duluth, Minnesota, United States","46.79171","-92.10286","Downtown Duplex","4","Entire guest suite","5","https://www.airbnb.com/rooms/49193361"
"Superior, Wisconsin, United States","46.71311","-92.10771","🌟⚓️Centrally Located-Lake Superior minutes away!⚓️🌟","10","Entire home","5","https://www.airbnb.com/rooms/51603261"
"Duluth, Minnesota, United States","46.763","-92.137","NewS  SALE!  Modern 4bed House close to Lake &Hwy","8","Entire home","4.5","https://www.airbnb.com/rooms/42352718"
"Duluth, Minnesota, United States","46.76943","-92.12186","EL 321 | Light filled cozy studio loft in art district","2","Entire rental unit","5","https://www.airbnb.com/rooms/53419471"
"Duluth, Minnesota, United States","46.80137","-92.07936","Walkable Urban Studio Close to Lake Superior","2","Entire rental unit","5","https://www.airbnb.com/rooms/44700169"
"Duluth, Minnesota, United States","46.763","-92.137","2723L-Clean, Cozy and Modern House","8","Entire home","4.5","https://www.airbnb.com/rooms/53903471"
"Superior, Wisconsin, United States","46.72178","-92.09703","(Downstairs)The House on Hammond *Near Everything*","5","Entire rental unit","5","https://www.airbnb.com/rooms/44850142"
"Superior, Wisconsin, United States","46.71889","-92.12498","Midwest Mountain Home! The location for adventure!","6","Entire home","4.5","https://www.airbnb.com/rooms/39861758"
"Superior, Wisconsin, United States","46.72379","-92.09732","(Upstairs) The House on Hammond Near Everything*","3","Entire rental unit","5","https://www.airbnb.com/rooms/51471567"
"Superior, Wisconsin, United States","46.7207","-92.09029","Effie Building Unit A","6","Entire rental unit","5","https://www.airbnb.com/rooms/38545559"
"Duluth, Minnesota, United States","46.79073","-92.10087","Bright & beautiful lakeview 2BR, near downtown - 1","6","Entire rental unit","5","https://www.airbnb.com/rooms/37289567"
"Duluth, Minnesota, United States","46.76827","-92.12098","EL 320 | Cool 70's Retro Kick Studio in LKNPK","2","Entire rental unit","5","https://www.airbnb.com/rooms/53497339"
"Duluth, Minnesota, United States","46.80016","-92.08061","City View Condo | Duluth City Living","5","Entire rental unit","5","https://www.airbnb.com/rooms/35739840"
"Duluth, Minnesota, United States","46.7973","-92.1045","Traverse Motel 1 | Adventure Near, Simple Space","2","Entire rental unit","5","https://www.airbnb.com/rooms/53377883"
"Hermantown, Minnesota, United States","46.82454","-92.21902","The Hermantown Hangout","10","Entire cottage","5","https://www.airbnb.com/rooms/52454049"
"Duluth, Minnesota, United States","46.79878","-92.10276","Traverse Motel 2 | Cozy Studio | Biking Near","2","Entire rental unit","5","https://www.airbnb.com/rooms/53375994"
"Duluth, Minnesota, United States","46.7834","-92.10943","Mesaba View | Downtown with Gorgeous Lake Views","7","Entire condo","5","https://www.airbnb.com/rooms/35737677"
"Superior, Wisconsin, United States","46.71224","-92.13488","Entire Family-Friendly Billings Park Home!","6","Entire home","5","https://www.airbnb.com/rooms/53381335"
