"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Greene, Maine, United States","44.22632","-70.15855","The Way Life Should Be....UPTA CAMP","10","Entire cottage","5","https://www.airbnb.com/rooms/33429272"
"Fort Lauderdale, Florida, United States","26.1786","-80.10765","Heated Pool Home/Coral Ridge Country Club Estates","10","Entire home","5","https://www.airbnb.com/rooms/51651533"
"Dubai, United Arab Emirates","25.19684","55.27553","Address Fountain Views Apartments|| Burj View","4","Entire rental unit","5","https://www.airbnb.com/rooms/53666103"
"Big Bear Lake, California, United States","34.243","-116.873","Moonridge Ski Chalet w/Jacuzzi & Incredible Views!","8","Entire cabin",,"https://www.airbnb.com/rooms/54209184"
"Bibinje, Croatia","44.06813","15.27944","Luxury penthouse with jacuzzi and sea view","6","Entire rental unit","5","https://www.airbnb.com/rooms/33314286"
"Highworth, United Kingdom","51.63455","-1.71453","GATEWAY TO THE COTSWOLDS.","4","Private room in home","5","https://www.airbnb.com/rooms/814916"
"Le Touquet-Paris-Plage, Hauts-de-France, France","50.51448","1.58335","**Beach, Dunes&Sea** Exceptional Panoramic Views","14","Entire home","4.5","https://www.airbnb.com/rooms/8954946"
"Noosa Heads, Queensland, Australia","-26.385","153.095","The Cove Noosa - Apartment 23 with Spa","5","Entire rental unit",,"https://www.airbnb.com/rooms/33621500"
"Lanton, Nouvelle-Aquitaine, France","44.71409","-1.04585","Villa Palmaé luxueuse Cassy Bassin d Arcachon","10","Entire villa",,"https://www.airbnb.com/rooms/23717199"
"Southwest Harbor, Maine, United States","44.266","-68.328","Marsden Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/22938626"
"New Orleans, Louisiana, United States","29.95949","-90.09044","*Elegant* 5 Bedroom Home near *French Quarter*","10","Entire home","4.5","https://www.airbnb.com/rooms/40735949"
"Nantucket, Massachusetts, United States","41.26783","-70.11132","Newly Renovated Cottage, Comfortable and Clean","6","Entire cottage","5","https://www.airbnb.com/rooms/36449573"
"Blue Point, New York, United States","40.7397","-73.03253","Great South Bay overlook","7","Entire home","5","https://www.airbnb.com/rooms/22262570"
"Regina, Saskatchewan, Canada","50.49464","-104.62467","Beautiful Bungalow with a great office space","5","Entire home","5","https://www.airbnb.com/rooms/632741990447874400"
"Oxfordshire, England, United Kingdom","51.76655","-1.23219","Females Only!Bright and airy room  in Headley Way","1","Private room in home","5","https://www.airbnb.com/rooms/36513525"
"South Kingstown, Rhode Island, United States","41.3763","-71.54448","Entire House-Walk To The Beach -Great for families","7","Entire home","5","https://www.airbnb.com/rooms/43843776"
"Llucmajor, Balearic Islands, Spain","39.48522","2.81982","New modern Finca wit pool near beach & Palma","10","Entire villa","5","https://www.airbnb.com/rooms/16639675"
"Limonta, Lombardia, Italy","45.96111","9.26467","Beach Villa near Bellagio","6","Entire villa","5","https://www.airbnb.com/rooms/24222165"
"Las Vegas, Nevada, United States","36.11511","-115.21338","2.5mi to strip, Multi month discounts available !","10","Entire home","5","https://www.airbnb.com/rooms/42793471"
"South Haven, Michigan, United States","42.36835","-86.29063","Our South Haven Retreat","15","Entire home","5","https://www.airbnb.com/rooms/29853847"
"Ivómezeje, Hargita, Romania","46.45216","25.44415","Fabulous Chalet in Transylvania (Hargita, Dracula)","16","Entire chalet","5","https://www.airbnb.com/rooms/6666737"
"Ubud, Bali, Indonesia","-8.497","115.267","Luxury 3 BR Villa Matha_Few mints to Ubud Center","6","Entire villa","5","https://www.airbnb.com/rooms/20487050"
"Sonoma, California, United States","38.29301","-122.45087","Sip & Swim by the Sonoma Plaza","4","Entire home","5","https://www.airbnb.com/rooms/51782815"
"Heveningham, near Halesworth, England, United Kingdom","52.29742","1.41722","Napier-UK12455 (UK12455)","8","Entire home","4","https://www.airbnb.com/rooms/41284288"
"Telluride, Colorado, United States","37.93707","-107.82069","Telluride Lodge 538","7","Entire condo","4.5","https://www.airbnb.com/rooms/25667558"
"Princeville, Hawaii, United States","22.21903","-159.48294","PARADISE DELIVERED - RAINBOWS, WATERFALLS, SUNSETS","5","Entire condo","5","https://www.airbnb.com/rooms/21306657"
"St Margaret&rsquo;s Bay, England, United Kingdom","51.14723","1.38433","Headland (M492600)","4","Entire home","5","https://www.airbnb.com/rooms/40993296"
