"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Driggs, Idaho, United States","43.768","-111.061","Rustic Retreat in the Heart of the Tetons","15","Entire home","5","https://www.airbnb.com/rooms/40134452"
"Lecci, Corse, France","41.62353","9.34162","Villa avec vue exceptionnelle, domaine Cala-Rossa","8","Entire home","5","https://www.airbnb.com/rooms/33956425"
"Mismaloya, Jalisco, Mexico","20.534","-105.289","Villa 4 bedroom ocean view and jungle","7","Entire villa",,"https://www.airbnb.com/rooms/18245480"
"Mountain Village, Colorado, United States","37.93808","-107.84899","Peaks Penthouse 644","4","Entire home",,"https://www.airbnb.com/rooms/37014476"
"Chilmark, Massachusetts, United States","41.355","-70.758","Charming  Ocean View Cottage  Fireplace &  kitchen","2","Entire cottage","5","https://www.airbnb.com/rooms/45653133"
"San Diego, California, United States","32.85623","-117.24844","Enjoy one of the best views in La Jolla Shores!","7","Entire home","5","https://www.airbnb.com/rooms/27108297"
"Catfield, United Kingdom","52.71177","1.57359","Mint - E4322 (E4322)","6","Entire home","4","https://www.airbnb.com/rooms/30921204"
"Paris, Île-de-France, France","48.863","2.357","Vivaldi, In Paris' Marais District in an Historic Palace, Artfully Restored 4 Bedroom, 3 Bathroom Ap","8","Entire condo","4.5","https://www.airbnb.com/rooms/21722339"
"Terrigal, New South Wales, Australia","-33.44273","151.43239","1 km to the beach from this 4 b/r beach house.","12","Entire home",,"https://www.airbnb.com/rooms/52800004"
"Positano, Campania, Italy","40.628","14.486","Villino Sarno - Amazing sea view terrace Positano","6","Earthen home","4.5","https://www.airbnb.com/rooms/17039021"
"Mikonos, Greece","37.44422","25.32975","Mykonos Town Suites - Two Bedroom House","6","Entire guesthouse","5","https://www.airbnb.com/rooms/23511707"
"Bidart, Nouvelle-Aquitaine, France","43.43118","-1.59584","Maison moderne a la plage avec vue sur la mer","8","Entire home","5","https://www.airbnb.com/rooms/42971513"
"Zürich, Switzerland","47.38293","8.53491","Zh Anna I - HITrental Central Station Apartments","3","Entire rental unit","5","https://www.airbnb.com/rooms/51760867"
"Basel, Basel-Stadt, Switzerland","47.55706","7.58773","Bs Dali I - Town Hall HITrental Apartments","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/38719729"
