"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Clearwater, Florida, United States","27.968","-82.823","Sandpiper's Cove 503 Sandpiper's Cove Waterfront 3 Bedroom 2 Bathroom","6","Entire rental unit","5","https://www.airbnb.com/rooms/33633542"
"South Bend, Indiana, United States","41.61636","-86.24125","5 BR Family Home Great for ND Football Weekends","10","Entire home","5","https://www.airbnb.com/rooms/27760049"
"Chicago, Illinois, United States","41.947","-87.654","4 Bedroom Across from Wrigley Field Legend Suite","9","Entire rental unit","5","https://www.airbnb.com/rooms/1773025"
"Porto Santa Margherita, Veneto, Italy","45.588","12.855","Apartment For 4 People With Swimming pool","4","Entire rental unit",,"https://www.airbnb.com/rooms/53906619"
"Edinburgh, City of Edinburgh, United Kingdom","55.949","-3.182","Quiet OldTown apartment parking","9","Entire condo","5","https://www.airbnb.com/rooms/4100608"
"Ramazzano - Le Pulci, Umbria, Italy","43.17","12.466","Podere Caldaruccio La Pineta for 18 people","16","Entire home",,"https://www.airbnb.com/rooms/43582071"
"Palermo, Buenos Aires, Argentina","-34.5875","-58.42853","Fliphaus + 15 pax 6 Bd Pool & BBQ Palermo Soho","15","Entire condo","4.5","https://www.airbnb.com/rooms/51516600"
"Wülfrath, Nordrhein-Westfalen, Germany","51.27451","7.01461","1st Floor","16","Entire home","5","https://www.airbnb.com/rooms/29871208"
"New York, United States","40.80111","-73.95658","Townhouse steps to Central Park & 15 min Times Sq","12","Entire townhouse",,"https://www.airbnb.com/rooms/42265787"
"Near Bamburgh, United Kingdom","55.6026","-1.76815","The Maltings (MKZ)","5","Entire home",,"https://www.airbnb.com/rooms/30880121"
"Pula, Croatia","44.88654","13.84482","Bright and spacious apartment with grill ***","5","Entire rental unit","5","https://www.airbnb.com/rooms/35145981"
"Oshkosh, Wisconsin, United States","44.01521","-88.60847","House with Pool 2.3 miles from EAA","8","Entire home",,"https://www.airbnb.com/rooms/30997806"
