"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Dorset, England, United Kingdom","50.90338","-1.95437","Grooms Cottage - Scullery","4","Entire cottage","4.5","https://www.airbnb.com/rooms/47915748"
"San Diego, California, United States","32.71673","-117.24075","Wooded Area Gem; Sleeps 6","6","Entire home",,"https://www.airbnb.com/rooms/54073717"
"Pollença, Illes Balears, Spain","39.897","3.052","☼Rosaleda Impressive Finca with XXL pool & jacuzzi","12","Entire home","5","https://www.airbnb.com/rooms/16983687"
"Brookline, Massachusetts, United States","42.33559","-71.13731","Luxurious Townhouse Close to Coolidge Corner","8","Entire condo","5","https://www.airbnb.com/rooms/25180348"
"Jūrmala, Latvia","56.979","23.856","Jurmala in bright colors","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/33594648"
"Bald Head Island, North Carolina, United States","33.85835","-77.99043","Luxurious Forest Home","8","Entire home","5","https://www.airbnb.com/rooms/31563626"
"Guilherand-Granges, Auvergne-Rhône-Alpes, France","44.93314","4.88012","Appartement fonctionnel à 5mn à pied de Valence","3","Entire rental unit","4.5","https://www.airbnb.com/rooms/47115236"
"Kuta Utara, Bali, Indonesia","-8.661","115.136","300 mts walking to BERAWA BEACH! BRAND NEW","12","Entire villa","5","https://www.airbnb.com/rooms/23241554"
"Porto Santo Stefano, Toscana, Italy","42.43658","11.10938","Villa IL PANORAMA, POOL-YOGA RETREAT COOKING CLASS","10","Entire villa","5","https://www.airbnb.com/rooms/6025576"
"Cascais, Lisboa, Portugal","38.69728","-9.42618","Cascais center dream house","8","Entire home","5","https://www.airbnb.com/rooms/24439295"
"Oshkosh, Wisconsin, United States","44.00846","-88.60624","Quiet & close to EAA!","6","Entire home",,"https://www.airbnb.com/rooms/48848255"
"New Orleans, Louisiana, United States","29.95994","-90.08851","Breathtaking! 5 Bedroom home near *French Quarter*","10","Entire home","4.5","https://www.airbnb.com/rooms/40483882"
"Kihei, Hawaii, United States","20.76312","-156.4571","Hibiscus Hideaway: 4 bedroom 3 bath condo on Maui","10","Entire condo","5","https://www.airbnb.com/rooms/50597658"
"Hawton, England, United Kingdom","53.03263","-0.81498","Angel Lodge (UK35978)","2","Entire home",,"https://www.airbnb.com/rooms/52576002"
"Cantalice (RI), Italy","42.449","12.895","Nice home in Cantalice (RI) with 10 Bedrooms","16","Entire home",,"https://www.airbnb.com/rooms/22137494"
"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France","43.60066","5.40218","Villa provencale piscine clôturée jardin 5000 m2","12","Entire cottage","4.5","https://www.airbnb.com/rooms/40436655"
"Paris, Île-de-France, France","48.86074","2.34075","Sublime apartment Louvre Museum","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/46084501"
"Islamorada, Florida, United States","24.85657","-80.73158","The Salt & Light House Sleeps 24 dock, pool, beach","16","Entire home",,"https://www.airbnb.com/rooms/38360512"
"Sa Font Seca, Illes Balears, Spain","39.66779","2.66771","Villa with pool & views by Palma Valldemosa Soller","6","Entire home","5","https://www.airbnb.com/rooms/13145918"
"Santa Rosa Beach, Florida, United States","30.317","-86.12","Under 5 min. walk to beach, Private pool, & courty","8","Entire home","5","https://www.airbnb.com/rooms/50394116"
"Princeville, Hawaii, United States","22.21529","-159.47829","Blue Hawaii villa on Princeville golf course","6","Entire home","5","https://www.airbnb.com/rooms/36936290"
"Stowe, Vermont, United States","44.507","-72.736","Edson Hill Homestead - Peaceful, Family, Restore","8","Entire home","5","https://www.airbnb.com/rooms/6789916"
"Bergamo, Lombardia, Italy","45.69173","9.65197","CityWalls Guest House Room 3","2","Room in bed and breakfast","5","https://www.airbnb.com/rooms/29788526"
"Paris, Île-de-France, France","48.87471","2.35074","LivinParis | Luxury 3 Bedrooms Opera II","8","Entire rental unit","5","https://www.airbnb.com/rooms/41576944"
"Bethany Beach, Delaware, United States","38.52972","-75.07135","Beautiful beach home in  Sea Colony West","10","Entire townhouse","5","https://www.airbnb.com/rooms/34444766"
"La Spezia, Liguria, Italy","44.12143","9.84509","Casa Letizia.0 - moderno [CITRA 011015-LT-0881]","2","Entire rental unit","5","https://www.airbnb.com/rooms/28953377"
"Split, Split-Dalmatia County, Croatia","43.51906","16.50245","AAA DELUXE Apartments","16","Entire home","5","https://www.airbnb.com/rooms/37702972"
"Saint Ignace, Michigan, United States","45.8753","-84.72498","Michigan Upper Peninsula St. Ignace Lake View Home","6","Entire home","5","https://www.airbnb.com/rooms/28073933"
"Paris, Île-de-France, France","48.863","2.357","Vivaldi, In Paris' Marais District in an Historic Palace, Artfully Restored 4 Bedroom, 3 Bathroom Ap","8","Entire condo","4.5","https://www.airbnb.com/rooms/21722339"
"Paris, Île-de-France, France","48.87212","2.34953","Luxurious and new apartment in the center of Paris","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/53120782"
"Middletown, Rhode Island, United States","41.48714","-71.27488","Beach House meets Farmhouse Unit 1","6","Entire home","5","https://www.airbnb.com/rooms/33812337"
"Positano, Campania, Italy","40.628","14.486","Villino Sarno - Amazing sea view terrace Positano","6","Earthen home","4.5","https://www.airbnb.com/rooms/17039021"
"Basel, Basel-Stadt, Switzerland","47.55706","7.58773","Bs Dali I - Town Hall HITrental Apartments","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/38719729"
"Zürich, Switzerland","47.38293","8.53491","Zh Anna I - HITrental Central Station Apartments","3","Entire rental unit","5","https://www.airbnb.com/rooms/51760867"
"Paris, Île-de-France, France","48.85264","2.29761","NEW Eiffel Tour ! Splendid 2BR & 1 BR Apt in Paris","8","Entire rental unit","4","https://www.airbnb.com/rooms/51259313"
"Paris, Île-de-France, France","48.846","2.311","5C EIFFEL TOWER TERRACE 3 BEDROOMS","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/5681532"
"Loborika, Croatia","44.91692","13.90514","New apartment with lovely terrace and swing","4","Entire rental unit","5","https://www.airbnb.com/rooms/35304188"
"Dublin 7, County Dublin, Ireland","53.34783","-6.27985","The 3 Bed Smithfield Penthouse","6","Entire condo","4.5","https://www.airbnb.com/rooms/46524711"
"Vescovado, Toscana, Italy","43.17","11.392","VILLA ANGELINI 14+7, Emma Villas Exclusive","16","Entire villa",,"https://www.airbnb.com/rooms/30248926"
"South Haven, Michigan, United States","42.36835","-86.29063","Our South Haven Retreat","15","Entire home","5","https://www.airbnb.com/rooms/29853847"
"Bovec, Tolmin, Slovenia","46.3384","13.55118","One Bedroom Apartment K29 with Mountain View in Bovec","4","Entire rental unit","5","https://www.airbnb.com/rooms/45358255"
"Austin, Texas, United States","30.26","-97.736","Blocks to Convention Center and Rainey with Pool!","13","Entire home","5","https://www.airbnb.com/rooms/16236845"
"Capoliveri, Toscana, Italy","42.748","10.407","150mtdallaspiaggiadistraccoligno N2accesso privato","5","Entire home","5","https://www.airbnb.com/rooms/12750843"
"Sunshine Beach, Queensland, Australia","-26.40463","153.10997","Sunshine Beach Tropical Resort Living","8","Entire home","5","https://www.airbnb.com/rooms/27683004"
