"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Casper, Wyoming, United States","42.83519","-106.37949","On the River","5","Entire home","4.5","https://www.airbnb.com/rooms/20172737"
"Casper, Wyoming, United States","42.84643","-106.31357","Home Sweet Home in the Big Tree Area","3","Entire guesthouse","5","https://www.airbnb.com/rooms/27162623"
"Casper, Wyoming, United States","42.84262","-106.31805","Lovely 1 bedroom brand new luxury apartment","2","Entire vacation home",,"https://www.airbnb.com/rooms/53384784"
"Casper, Wyoming, United States","42.83765","-106.28667","Ranch Style Home","6","Entire home","5","https://www.airbnb.com/rooms/20382284"
"Casper, Wyoming, United States","42.8282","-106.33656","Casper Comfort 2: Rooms for a few!","8","Private room in home","5","https://www.airbnb.com/rooms/42882230"
"Casper, Wyoming, United States","42.84785","-106.31404","Home Away From Home","2","Entire rental unit","5","https://www.airbnb.com/rooms/39083705"
"Evansville, Wyoming, United States","42.861","-106.267","Clean family friendly 3 bedroom 2 bath home.","6","Entire home","5","https://www.airbnb.com/rooms/46713893"
"Casper, Wyoming, United States","42.84093","-106.33001","1911 Renovated Victorian Retreat","8","Entire home/apt","5","https://www.airbnb.com/rooms/50200231"
"Casper, Wyoming, United States","42.836","-106.339","Cozy & Convenient 2 Bedroom","5","Entire rental unit","4.5","https://www.airbnb.com/rooms/47978127"
"Casper, Wyoming, United States","42.819","-106.316","The Big Red House in Casper with Mountain views!","6","Entire condo","5","https://www.airbnb.com/rooms/17220319"
"Casper, Wyoming, United States","42.83262","-106.30815","Cozy & Convenient 2 bedroom","4","Entire home","5","https://www.airbnb.com/rooms/20283297"
"Casper, Wyoming, United States","42.8488","-106.31642","Modern Downtown Bungalow","4","Entire bungalow","5","https://www.airbnb.com/rooms/51067801"
"Casper, United States","42.716","-106.321","Adventure Dome Geodesic Cabin","4","Dome","5","https://www.airbnb.com/rooms/43489133"
"Casper, Wyoming, United States","42.82093","-106.31135","The Aspen House","4","Entire townhouse","5","https://www.airbnb.com/rooms/36756666"
"Casper, Wyoming, United States","42.82192","-106.30927","Home Sweet Home","5","Entire townhouse","5","https://www.airbnb.com/rooms/47756247"
"Mills, Wyoming, United States","42.84301","-106.36356","🐟Wild Fish🎣 - 2 Bedroom Bungalow that can sleep 8","8","Entire bungalow","5","https://www.airbnb.com/rooms/50423954"
"Casper, Wyoming, United States","42.84022","-106.32467","Downtown Casper- Big Tree- Wyoming Medical center","3","Entire home","5","https://www.airbnb.com/rooms/40030482"
"Casper, Wyoming, United States","42.82337","-106.29618","Spacious 5 Bed 3 Bath with Beautiful Mountain View","9","Entire home","5","https://www.airbnb.com/rooms/45455356"
"Casper, Wyoming, United States","42.84113","-106.31822","Downtown Craftsman Home","8","Entire home","5","https://www.airbnb.com/rooms/36806834"
"Casper, Wyoming, United States","42.74011","-106.35189","Modern Mountain Vacation Home","6","Entire cabin","5","https://www.airbnb.com/rooms/20295342"
"Casper, Wyoming, United States","42.77144","-106.34633","Casper Mountain Escape-Entire home- close to town","8","Entire home","5","https://www.airbnb.com/rooms/51411968"
"Casper, Wyoming, United States","42.832","-106.334","Mid-Century Charmer on a Tree Lined Street","6","Entire home","5","https://www.airbnb.com/rooms/28105562"
"Casper, United States","42.823","-106.295","Beautiful Home w/Amazing Mtn Views  4 B/4BA","10","Entire home","5","https://www.airbnb.com/rooms/43103499"
"Casper, Wyoming, United States","42.80867","-106.33104","Space for Casper Eclipse","1","Camper/RV",,"https://www.airbnb.com/rooms/20185444"
"Casper, Wyoming, United States","42.82372","-106.40119","Beautiful Casper Home on Golf Course 3 bed, 3 bath","6","Entire home","4.5","https://www.airbnb.com/rooms/26471260"
"Casper, Wyoming, United States","42.81682","-106.39979","Randy & Dawn's Home","6","Entire home","5","https://www.airbnb.com/rooms/18154976"
"Casper, Wyoming, United States","42.76999","-106.46769","Buffalo Ranch and Spa","8","Farm stay","5","https://www.airbnb.com/rooms/49690835"
"Casper, Wyoming, United States","42.8482","-106.31411","Gorgeous NEWLY Renovated Home in downtown Casper","6","Entire home","5","https://www.airbnb.com/rooms/52532359"
"Evansville, Wyoming, United States","42.86161","-106.21394","Little R&R, entire house farm, 1908 train station","15","Farm stay","5","https://www.airbnb.com/rooms/24576181"
"Casper, Wyoming, United States","42.76397","-106.34443","Pine Grove:
A mountain cabin.","6","Entire cabin","5","https://www.airbnb.com/rooms/52668717"
"Casper, Wyoming, United States","42.78324","-106.39561","Arts & Crafts Summer Guesthouse on Prairie","4","Entire cottage","5","https://www.airbnb.com/rooms/34642643"
"Casper, Wyoming, United States","42.73459","-106.35724","Secluded Casper Mtn Cabin: Fire Pit, 12 Mi to Town","5","Entire cabin","5","https://www.airbnb.com/rooms/45595888"
"Casper, Wyoming, United States","42.8135","-106.34418","LIVE
LAUGH
LEAVE","9","Entire home","5","https://www.airbnb.com/rooms/51692754"
"Casper, Wyoming, United States","42.80183","-106.28675","Property 1/2 mile off epicenter of eclipse path","13","Camper/RV",,"https://www.airbnb.com/rooms/20175226"
"Casper, Wyoming, United States","42.83212","-106.30704","Artist's Cozy Colorful Home","2","Private room in home",,"https://www.airbnb.com/rooms/18910563"
"Casper, Wyoming, United States","42.81435","-106.34544","The Kugler House","10","Entire home","5","https://www.airbnb.com/rooms/17446584"
"Casper, Wyoming, United States","42.74735","-106.32458","Large Log Home on Casper Mountain","6","Entire home",,"https://www.airbnb.com/rooms/16415382"
"Casper, Wyoming, United States","42.81223","-106.34598","Harley's Haven","2","Private room in home",,"https://www.airbnb.com/rooms/16531780"
"Casper, Wyoming, United States","42.81063","-106.33221","Eclipse Ready","7","Private room in camper/rv",,"https://www.airbnb.com/rooms/20264110"
"Casper, Wyoming, United States","43.01045","-106.30428","Rowe Ranch Bed and Breakfast for solar eclipse","8","Private room in home",,"https://www.airbnb.com/rooms/19326775"
"Bar Nunn, Wyoming, United States","42.92023","-106.34781","ECLIPSE August 2017!","6","Entire home",,"https://www.airbnb.com/rooms/15818610"
"Casper, Wyoming, United States","42.82948","-106.30142","Entire House/Casper Eclipse","6","Entire home",,"https://www.airbnb.com/rooms/15297367"
"Casper, Wyoming, United States","42.8037","-106.33281","2017 Total Solar Eclipse","6","Entire home",,"https://www.airbnb.com/rooms/15973458"
"Casper, Wyoming, United States","42.86057","-106.32217","Solar Eclipse Rental","10","Entire home",,"https://www.airbnb.com/rooms/16843280"
"Casper, Wyoming, United States","42.8053","-106.34478","Casper Condo Great Location! Sleeps 4","4","Entire condo","5","https://www.airbnb.com/rooms/20394314"
"Casper, Wyoming, United States","42.8434","-106.32312","Cozy Casper Home","8","Entire home","5","https://www.airbnb.com/rooms/18154449"
"Casper, Wyoming, United States","42.848","-106.30595","Convenient home just one block from hospital!","4","Entire home","5","https://www.airbnb.com/rooms/53129734"
"Casper, Wyoming, United States","42.8603","-106.44416","Eclipse fest 2017 campers rvs","10","Shared room",,"https://www.airbnb.com/rooms/16824013"
"Casper, Wyoming, United States","42.83312","-106.31139","Camper","4","Camper/RV",,"https://www.airbnb.com/rooms/16999524"
"Casper, Wyoming, United States","42.84025","-106.25265","Casper Eastside Home","10","Entire home",,"https://www.airbnb.com/rooms/19475543"
