"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Buffalo, Wyoming, United States","44.15666","-106.70086","The Cattle Baron Suite","4","Private room in farm stay",,"https://www.airbnb.com/rooms/48826733"
"Story, Wyoming, United States","44.57304","-106.89547","Story Cottage","4","Entire cottage","5","https://www.airbnb.com/rooms/48700711"
"Buffalo, Wyoming, United States","44.39302","-106.71133","U2 Horse Glamping","2","Tent","5","https://www.airbnb.com/rooms/44205562"
"Buffalo, Wyoming, United States","44.347","-106.699","Converted 1894 Historic Hotel, Antelope Suite","6","Entire serviced apartment","5","https://www.airbnb.com/rooms/7237021"
"Buffalo, Wyoming, United States","44.34967","-106.7005","Hollyhock House on Fort","6","Entire home","5","https://www.airbnb.com/rooms/36228833"
"Buffalo, Wyoming, United States","44.46902","-106.80876","Cozy Shell Creek Bunkhouse 15 minutes from Buffalo","6","Entire home","5","https://www.airbnb.com/rooms/51148796"
"Sheridan, Wyoming, United States","44.71266","-106.96826","New Modern Getaway!!","4","Entire rental unit","5","https://www.airbnb.com/rooms/25315978"
"Buffalo, Wyoming, United States","44.15664","-106.70091","TA Guest Ranch - Owen Wister","2","Private room in farm stay",,"https://www.airbnb.com/rooms/48827463"
"Thermopolis, Wyoming, United States","43.7097","-108.19068","Walker's B and B","3","Entire home","5","https://www.airbnb.com/rooms/50305965"
"Worland, Wyoming, United States","43.91868","-108.05626","RIVER DREAMS 1 bedroom w/  connected 1 bathroom","2","Private room in home","5","https://www.airbnb.com/rooms/53028388"
"Thermopolis, Wyoming, United States","43.6492","-108.21016","Motel, fly shop, river shuttles, river trips","4","Room in hotel",,"https://www.airbnb.com/rooms/35355703"
"Buffalo, Wyoming, United States","44.15822","-106.70025","TA Guest Ranch - Hans Kleiber","2","Private room in farm stay",,"https://www.airbnb.com/rooms/48827467"
"Buffalo, Wyoming, United States","44.15718","-106.69964","TA Guest Ranch - Colonel Carrington Room","2","Private room in farm stay",,"https://www.airbnb.com/rooms/48826739"
"Thermopolis, Wyoming, United States","43.64159","-108.21266","Historic Hot Springs Haven -Thermopolis","12","Entire home",,"https://www.airbnb.com/rooms/725616779201424800"
"Buffalo, Wyoming, United States","44.15856","-106.70115","TA Guest Ranch - Butch Cassidy","2","Private room in farm stay",,"https://www.airbnb.com/rooms/48827301"
"Sheridan, Wyoming, United States","44.74468","-106.99417","One Bedroom apartment in a quiet country setting.","2","Entire rental unit","5","https://www.airbnb.com/rooms/38878527"
"Buffalo, Wyoming, United States","44.15843","-106.7001","TA Guest Ranch - Jack Schaefer","2","Private room in farm stay",,"https://www.airbnb.com/rooms/48827419"
"Sheridan, Wyoming, United States","44.74339","-106.99472","Roberts Roost studio garage apartment","3","Entire rental unit","5","https://www.airbnb.com/rooms/39113154"
"Worland, Wyoming, United States","43.92065","-108.05528","RIVER DREAMS 2 Bedroom, 2 Bathroom(Suite and Room)","4","Private room in home",,"https://www.airbnb.com/rooms/52222153"
"Buffalo, Wyoming, United States","44.15701","-106.69974","TA Guest Ranch - Della Gammon Room","2","Private room in farm stay",,"https://www.airbnb.com/rooms/48826729"
"Buffalo, Wyoming, United States","44.1587","-106.70173","TA Guest Ranch - Nate Champion Room","2","Private room in farm stay",,"https://www.airbnb.com/rooms/48826915"
"Thermopolis, Wyoming, United States","43.64499","-108.21445","*Hot Spot’s, Top Spot*","16","Entire home","5","https://www.airbnb.com/rooms/42759778"
"Buffalo, Wyoming, United States","44.15732","-106.70121","TA Guest Ranch - John Tisdale Room","2","Private room in farm stay",,"https://www.airbnb.com/rooms/48826742"
"Sheridan, Wyoming, United States","44.68579","-107.00424","Quiet, Cozy Cottage in Big Horn, WY","2","Entire guesthouse","5","https://www.airbnb.com/rooms/39421053"
"Greybull, Wyoming, United States","44.48746","-108.05204","Adorable 4 bedroom Getaway","8","Entire home","5","https://www.airbnb.com/rooms/53810880"
"Worland, Wyoming, United States","43.93406","-108.01223","Log Home 8 miles south of Worland, Wyoming","1","Private room in home","5","https://www.airbnb.com/rooms/32399926"
"Thermopolis, Wyoming, United States","43.71938","-108.14849","Olive Branch Guest House","10","Entire cabin","5","https://www.airbnb.com/rooms/18933206"
"Story, Wyoming, United States","44.57534","-106.87894","Quaint Corner Stone Guest House","5","Entire cottage","5","https://www.airbnb.com/rooms/39793718"
"Buffalo, Wyoming, United States","44.351","-106.699","Mansion Motel - Rooms w/ One King Bed","2","Room in boutique hotel","5","https://www.airbnb.com/rooms/53699569"
"Buffalo, Wyoming, United States","44.1581","-106.70146","TA Guest Ranch - Helena Huntington Smith","2","Private room in farm stay","5","https://www.airbnb.com/rooms/48827655"
"Buffalo, Wyoming, United States","44.347","-106.698","ADULTS ONLY,Creekside, Downtown, City Approved","4","Entire rental unit","5","https://www.airbnb.com/rooms/44608772"
"Buffalo, Wyoming, United States","44.34931","-106.70796","Rustic cabins with modern amenities 2Q Kitchen","4","Room in hotel","5","https://www.airbnb.com/rooms/41770372"
"Buffalo, Wyoming, United States","44.347","-106.699","ADULTS ONLY Creekside Downtown Suite,City approved","4","Entire rental unit","5","https://www.airbnb.com/rooms/44608750"
"Worland, Wyoming, United States","43.93234","-108.01796","River Rock Ranch, Log home south of Worland, Wyo.","9","Private room in home","5","https://www.airbnb.com/rooms/3395643"
"Story, Wyoming, United States","44.57448","-106.88535","Cabin W/ Optional Bunkhouse for cost in Story, WY","11","Entire cabin","5","https://www.airbnb.com/rooms/49095737"
"Ten Sleep, Wyoming, United States","44.03601","-107.44897","Ten Sleep Base Camp","6","Entire home","5","https://www.airbnb.com/rooms/11605305"
"Buffalo, Wyoming, United States","44.34887","-106.70857","Rustic cabins with modern amenities - 2Q Kitchen","4","Room in hotel","4.5","https://www.airbnb.com/rooms/41769661"
"Buffalo, Wyoming, United States","44.34763","-106.70824","Rustic mountain cabins with modern amenities","2","Room in hotel",,"https://www.airbnb.com/rooms/41769622"
"Buffalo, Wyoming, United States","44.39159","-106.71308","Buffalo Tent Glamping","2","Tent","5","https://www.airbnb.com/rooms/49345405"
"Buffalo, Wyoming, United States","44.346","-106.699","Converted 1894 Historic Hotel, The Western Buffalo","6","Entire rental unit","5","https://www.airbnb.com/rooms/7236464"
"Buffalo, Wyoming, United States","44.34798","-106.70772","Rustic cabins with modern amenities King Cabin","2","Room in hotel","4.5","https://www.airbnb.com/rooms/41769705"
"Buffalo, Wyoming, United States","44.3487","-106.69995","The Loft on Main","6","Entire rental unit","5","https://www.airbnb.com/rooms/49464286"
"Ten Sleep, Wyoming, United States","44.03284","-107.44569","Cozy room with two Queen Beds w/private bath","4","Room in boutique hotel",,"https://www.airbnb.com/rooms/54005844"
"Shell, Wyoming, United States","44.534","-107.781","Family Size Cabin","6","Room in hotel","4.5","https://www.airbnb.com/rooms/7781863"
"Buffalo, Wyoming, United States","44.32363","-106.72986","Cozy Cabin on Upper Clear Creek","2","Private room in ranch","5","https://www.airbnb.com/rooms/19828709"
"Ten Sleep, Wyoming, United States","44.03875","-107.45077","Triangle House-Great house on the edge of town","4","Entire home","5","https://www.airbnb.com/rooms/43207112"
"Basin, Wyoming, United States","44.32149","-108.025","Cottonwood Cabin Country Guest House","5","Entire guesthouse","5","https://www.airbnb.com/rooms/51486632"
