"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Star Valley Ranch, Wyoming, United States","42.9811","-110.97043","Get away for recreation and relaxation!","6","Private room in home","5","https://www.airbnb.com/rooms/20165844"
"Afton, Wyoming, United States","42.727","-110.925","Star of the Valley","8","Entire home","4.5","https://www.airbnb.com/rooms/3843023"
"Afton, Wyoming, United States","42.75158","-110.96616","Spring Creek Meadows Cabin","5","Entire cabin","5","https://www.airbnb.com/rooms/3277228"
"Afton, Wyoming, United States","42.70204","-110.93306","Mountain Inn #10: 2 BR Condo - Afton WY","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/12018801"
"Thayne, Wyoming, United States","42.876","-110.961","Escape the city. Rustic, remote, luxury big cabin.","12","Entire home","5","https://www.airbnb.com/rooms/30568611"
"Star Valley Ranch, Wyoming, United States","42.98288","-110.96537","New Home with 2 Master Suites","6","Entire home","5","https://www.airbnb.com/rooms/24730958"
"Afton, Wyoming, United States","42.69329","-110.93164","Johnson's Country Cabin, One price rents the home!","11","Entire cabin","5","https://www.airbnb.com/rooms/19643303"
"Alpine, Wyoming, United States","43.11819","-111.0342","Double R Riverside Retreat Vacation Home","4","Entire home","5","https://www.airbnb.com/rooms/18568188"
"Alpine, Wyoming, United States","43.11637","-111.01528","Enjoy Mountain Cabin in Private Neighborhood","5","Entire home","5","https://www.airbnb.com/rooms/20426993"
"Star Valley Ranch, Wyoming, United States","42.99219","-110.97648","Entire home at base of Star Valley Ranch","15","Entire home","4.5","https://www.airbnb.com/rooms/46623753"
"Alpine, Wyoming, United States","43.106","-111.017","A-Frame of Mind -Great view-Hiking-Fishing-Firepit","10","Entire home","4.5","https://www.airbnb.com/rooms/47096820"
"Thayne, Wyoming, United States","42.96054","-110.98245","Sleeps 18!  Family Getaway on Star Valley Ranch","16","Entire home",,"https://www.airbnb.com/rooms/50932897"
"Bedford, Wyoming, United States","42.84811","-110.89186","Turnerville Retreat","16","Entire cabin","5","https://www.airbnb.com/rooms/6741870"
"Alpine, Wyoming, United States","43.1637","-111.01065","Alpine Hideaway w/ Panoramic Mountain Views!","8","Entire home","5","https://www.airbnb.com/rooms/46411510"
"Thayne, Wyoming, United States","42.96018","-110.9777","Charming newer home in Star Valley Wyoming","6","Entire home","5","https://www.airbnb.com/rooms/51003057"
"Alpine, Wyoming, United States","43.178","-111.015","2 bed 1 bath luxury rental in Alpine","4","Entire home","5","https://www.airbnb.com/rooms/39861530"
"Star Valley Ranch, Wyoming, United States","43.00405","-110.9743","Deer Park Ranch - Immaculate, Spacious and Views!","10","Entire home","5","https://www.airbnb.com/rooms/17188481"
"Star Valley Ranch, Wyoming, United States","42.97361","-110.95111","Moosejaw Trading Post","8","Entire cabin","5","https://www.airbnb.com/rooms/16255251"
"Alpine, Wyoming, United States","43.15918","-111.00867","Alpine Adventures: Cozy Log Cabin w/ Deck & Views!","8","Entire cabin","5","https://www.airbnb.com/rooms/44592657"
"Alpine, Wyoming, United States","43.1591","-111.00991","Buffalo Cabin -charming Alpine retreat w/ king bed","9","Entire cabin","5","https://www.airbnb.com/rooms/51943036"
"Star Valley Ranch, Wyoming, United States","42.98514","-110.96286","Beautiful Aspen Cabin—Golf Course & Valley Views!","10","Entire home","5","https://www.airbnb.com/rooms/16796267"
"Star Valley Ranch, Wyoming, United States","42.95718","-110.95688","Spacious Star Valley Retreat","16","Entire home","5","https://www.airbnb.com/rooms/49562838"
"Thayne, Wyoming, United States","42.97376","-111.01403","Freedom Cabin","12","Entire cabin","5","https://www.airbnb.com/rooms/41160400"
"Star Valley Ranch, Wyoming, United States","42.96274","-110.9503","Cedar Creek Chalet | on golf course | Hot tub","8","Entire home","5","https://www.airbnb.com/rooms/52501130"
"Star Valley Ranch, Wyoming, United States","42.99139","-110.95622","Spectacular Prater Canyon cabin retreat","8","Entire cabin","5","https://www.airbnb.com/rooms/48544259"
"Star Valley Ranch, Wyoming, United States","42.95589","-110.95474","Aspen Grove,  Elite Farmhouse with Full Concierge","8","Entire home","5","https://www.airbnb.com/rooms/47006001"
"Alpine, Wyoming, United States","43.195","-111.042","Main Cabin on Palisades West Wind Trail","4","Ranch","4.5","https://www.airbnb.com/rooms/20306946"
"Alpine , Wy, United States","43.1975","-111.04085","Cowboy Cabin on PalisadesWest Wind Trail","4","Entire cabin","4","https://www.airbnb.com/rooms/20959015"
"Alpine, Wyoming, United States","43.15672","-111.00619","Spacious 1-bedroom suite, with lots of parking","2","Entire guest suite","5","https://www.airbnb.com/rooms/53573213"
"Freedom, Idaho, United States","42.96904","-111.27126","The Deer Cabin A Family Cabin","4","Entire cabin",,"https://www.airbnb.com/rooms/51287088"
"Afton, Wyoming, United States","42.70104","-110.93218","Mountain Inn #15: 1 BR w/ Loft Condo - Afton WY","6","Entire townhouse","5","https://www.airbnb.com/rooms/13525871"
"Alpine, Wyoming, United States","43.16011","-111.03253","Alpine Home by lake, hiking, camping,  GT Nat Park","4","Entire home","5","https://www.airbnb.com/rooms/36265805"
"Alpine, Wyoming, United States","43.18594","-111.02586","NEW! Charming Alpine Apartment w/ Stunning Views!","4","Entire rental unit","5","https://www.airbnb.com/rooms/53752498"
"Afton, Wyoming, United States","42.70259","-110.9326","Mountain Inn #11: 1 BR Condo – Afton WY","4","Entire townhouse","5","https://www.airbnb.com/rooms/48241627"
"Etna, Wyoming, United States","43.03451","-111.01302","Red Farmhouse with Star Valley Views","10","Entire home","5","https://www.airbnb.com/rooms/52164004"
"Freedom, Idaho, United States","43.00599","-111.09364","“ The Elk Cabin” at Tin Cup Mountain Guest Ranch","4","Entire cabin","5","https://www.airbnb.com/rooms/50289688"
"Afton, Wyoming, United States","42.70202","-110.93234","Mountain Inn #5: 1 BR Condo – Afton WY","4","Entire townhouse","4.5","https://www.airbnb.com/rooms/48241166"
"Freedom, Idaho, United States","42.9669","-111.27097","The Moose Room a rustic Cabin room","2","Private room in farm stay",,"https://www.airbnb.com/rooms/51286819"
"Afton, Wyoming, United States","42.70133","-110.93217","Mountain Inn #12: 1 BR Condo – Afton WY","4","Entire townhouse",,"https://www.airbnb.com/rooms/48241719"
"Afton, Wyoming, United States","42.70254","-110.93353","Mountain Inn #16: 1 BR w/ Loft Condo - Afton WY","6","Entire townhouse","5","https://www.airbnb.com/rooms/48241799"
"Afton, Wyoming, United States","42.70192","-110.93357","Mountain Inn #3: 1 BR Condo – Afton WY","4","Entire townhouse","4.5","https://www.airbnb.com/rooms/48241097"
"Alpine, Wyoming, United States","43.16169","-111.01014","Alpine, Grey’s River, Snake River, Jackson & Teton","5","Entire rental unit","4.5","https://www.airbnb.com/rooms/47534921"
"Bedford, Wyoming, United States","42.86613","-110.90785","Round House Serenity in Beautiful Star Valley","7","Entire home","5","https://www.airbnb.com/rooms/52740644"
"Alpine, Wyoming, United States","43.17587","-111.00955","Amazing views from this custom made 1 bedroom.","4","Entire serviced apartment","4.5","https://www.airbnb.com/rooms/50613308"
"Alpine, Wyoming, United States","43.187","-111.02","Bear cabin at Palisades West Wind Trail","4","Entire place","4.5","https://www.airbnb.com/rooms/26740780"
