"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Hancock, Massachusetts, United States","42.55425","-73.2894","Mountainside Condo @ Jiminy Peak in the Berkshires","5","Entire townhouse","5","https://www.airbnb.com/rooms/50279399"
"Hancock, Massachusetts, United States","42.55835","-73.2869","Berkshires Jiminy Peak Mountainside Condo","6","Entire condo","5","https://www.airbnb.com/rooms/37296374"
"Hancock, Massachusetts, United States","42.55814","-73.29635","Slice of Paradise At Jiminy Peak","5","Entire townhouse","5","https://www.airbnb.com/rooms/51433213"
"Hancock, Massachusetts, United States","42.57696","-73.30106","Hancock Log Cabin Retreat: 2 Miles to Jiminy Peak!","6","Entire home","5","https://www.airbnb.com/rooms/40898467"
"Hancock, Massachusetts, United States","42.554","-73.286","Reunion paradise! Private 4 BR Home on Jiminy Peak","12","Entire home","5","https://www.airbnb.com/rooms/30930243"
"New Lebanon, New York, United States","42.44947","-73.37729","Mountain Views; 16 min to Jiminy Peak","6","Entire home","5","https://www.airbnb.com/rooms/42014538"
"Lanesborough, Massachusetts, United States","42.51601","-73.21916","Cozy Cottage in Berkshires: Minutes to Jiminy Peak","6","Entire home","5","https://www.airbnb.com/rooms/46452865"
"Hancock, Massachusetts, United States","42.55545","-73.28814","Berkshire family getaway at Jiminy Peak!","12","Entire townhouse","5","https://www.airbnb.com/rooms/39646513"
"Hancock, Massachusetts, United States","42.558","-73.287","Jiminy Peak's Mountain Getaway in the Berkshires","8","Entire townhouse","5","https://www.airbnb.com/rooms/50421361"
"North Adams, Massachusetts, United States","42.706","-73.16672","North Adams Modern Home- Close to Jiminy Peak Mt.","6","Entire home","5","https://www.airbnb.com/rooms/43632774"
"Pittsfield, Massachusetts, United States","42.49945","-73.25274","❤❤Lake House@Pontoosuc, near Jiminy Peak,Berkshire","8","Entire cottage","5","https://www.airbnb.com/rooms/42557140"
"Averill Park, New York, United States","42.61466","-73.52851","Majestic Lake Lodge - 20 Minutes to Jiminy Peak!","10","Entire home","5","https://www.airbnb.com/rooms/48192414"
