"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Carbis Bay, United Kingdom","50.19845","-5.46824","Rosen, 7 Godrevy Court","4","Entire home",,"https://www.airbnb.com/rooms/34519956"
"Devon, England, United Kingdom","50.23562","-3.77322","Ecila","5","Entire home",,"https://www.airbnb.com/rooms/53929640"
"Dover, Vermont, United States","42.99231","-72.8899","Chalet 4 bedroom+den Mt Snow","10","Entire home","5","https://www.airbnb.com/rooms/16187019"
"Corridonia, Marche, Italy","43.24827","13.49051","Villa Chibo","11","Entire home",,"https://www.airbnb.com/rooms/48222205"
"Mykonos , Mykonos, Greece","37.415","25.346","Bay Bees Sea View 3- Bedroom House","9","Entire home","5","https://www.airbnb.com/rooms/7213264"
"Big Bear Lake, California, United States","34.23984","-116.91971","⛰Mountain Lodge & Retreat Center for Large Groups","14","Entire cabin","4.5","https://www.airbnb.com/rooms/39443908"
"Muddiford, nr. Barnstaple, United Kingdom","51.15426","-4.06481","Woodland View - HMR (HMR)","4","Entire home",,"https://www.airbnb.com/rooms/29371563"
"Alvechurch, United Kingdom","52.34815","-1.97172","Fenn House (29685)","8","Entire home",,"https://www.airbnb.com/rooms/30909973"
"Blaenau Ffestiniog, United Kingdom","52.99914","-3.94084","The Old Quarry Hospital - HW7677 (HW7677)","15","Entire home","5","https://www.airbnb.com/rooms/30814078"
"Dubrovnik, Dubrovačko-neretvanska županija, Croatia","42.64429","18.11408","Apartment Above Old Town","3","Entire rental unit","5","https://www.airbnb.com/rooms/24416941"
"Three Legged Cross, England, United Kingdom","50.84382","-1.86066","Oakdene Lodge (UKC2213)","7","Entire home",,"https://www.airbnb.com/rooms/48259225"
"Abersoch, United Kingdom","52.82301","-4.50892","45 Cae Du","4","Entire home",,"https://www.airbnb.com/rooms/24527955"
"Orford, United Kingdom","52.0927","1.53555","Lismore Cottage","4","Entire home",,"https://www.airbnb.com/rooms/24959684"
"St. Pete Beach, Florida, United States","27.72181","-82.74137","Amazing 2 Beach Front Units. Pool, Bar, Parking!","8","Private room in resort",,"https://www.airbnb.com/rooms/46057290"
"Paris, Île-de-France, France","48.86836","2.34844","LivinParis | Luxury 4 Bedrooms Le Louvre","10","Entire rental unit","5","https://www.airbnb.com/rooms/40101267"
"Springfield, Ohio, United States","39.92343","-83.71967","Emma's Bed and Breakfast","14","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/20124428"
"Golden, Colorado, United States","39.75597","-105.22382","The Golden Guest House — Downtown Golden","10","Entire home","5","https://www.airbnb.com/rooms/20802046"
"Somerford Keynes, England, United Kingdom","51.64636","-1.96971","Nuthatch (UKC158)","10","Entire home","5","https://www.airbnb.com/rooms/49537652"
"Cranford, near Clovelly, NJ, United Kingdom","50.96817","-4.35783","Cranford House (UK10938)","11","Entire home","5","https://www.airbnb.com/rooms/37399677"
"Les Gets, France","46.159","6.67","OZIGO - Modern apartment in luxury residence","12","Entire rental unit",,"https://www.airbnb.com/rooms/43515265"
"Bethany Beach, Delaware, United States","38.52972","-75.07135","Beautiful beach home in  Sea Colony West","10","Entire townhouse","5","https://www.airbnb.com/rooms/34444766"
"Saint Ives, United Kingdom","50.21152","-5.4786","Penguin Apartment, 2 Crab Rock","2","Entire home",,"https://www.airbnb.com/rooms/34519797"
