"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Keystone, Colorado, United States","39.588","-105.993","63 Forget Me Not Lane","14","Entire home","4.5","https://www.airbnb.com/rooms/23411770"
"Keystone, Colorado, United States","39.603","-105.972","Northstar 1964- Premier 3 bedroom townhome with a private balcony for enjoying the summer breeze and grill!","9","Entire home/apt",,"https://www.airbnb.com/rooms/47093333"
"Dillon, Colorado, United States","39.59562","-106.01097","Sunlight Retreat- Treasured Family Memories!","8","Entire home","5","https://www.airbnb.com/rooms/41155719"
"Keystone, Colorado, United States","39.60705","-105.95375","Ski view condo with pool & hot tub, 2 fireplaces - walk to lifts","5","Entire condo","4.5","https://www.airbnb.com/rooms/30674543"
"Breckenridge, Colorado, United States","39.604","-105.933","Alders 24 - Stylish Townhome, 2 Car Heated Garage, 1 Mile from River Run Village! Close to Trails.","10","Entire home/apt",,"https://www.airbnb.com/rooms/47080249"
"Keystone, Colorado, United States","39.60987","-105.97328","Keystone CO | North Ridge Condos | 3 Bedroom","8","Entire condo",,"https://www.airbnb.com/rooms/49565499"
"Dillon, Colorado, United States","39.60908","-106.02149","Moose Cabin","9","Entire home","4.5","https://www.airbnb.com/rooms/14317361"
"Dillon, Colorado, United States","39.62362","-106.03229","Great Family Condo by Lake Dillon w/ Views!","6","Entire townhouse","5","https://www.airbnb.com/rooms/3095389"
"Keystone, Colorado, United States","39.60666","-105.94405","Keystone CO | River Run Village Condos | 3 Bedroom","8","Entire condo",,"https://www.airbnb.com/rooms/16993662"
"Keystone, Colorado, United States","39.60748","-105.93917","SPDW Springs 2 bed 3 bath Murphy River Run","8","Entire condo","4","https://www.airbnb.com/rooms/1864453"
"Keystone, Colorado, United States","39.60449","-105.9725","Keystone CO | Northstar Townhomes | 3 Bedroom","8","Entire townhouse",,"https://www.airbnb.com/rooms/49776840"
"Breckenridge, Colorado, United States","39.48","-106.033","Sunshine Mtn Home with Amazing views of ski resort","7","Entire home","5","https://www.airbnb.com/rooms/18749551"
"Keystone, Colorado, United States","39.60819","-105.96733","Keystone | Lakeside Village Condos | 3 Bedroom","8","Entire condo",,"https://www.airbnb.com/rooms/38578703"
"Keystone, Colorado, United States","39.60654","-105.94071","Platinum rated 3 Bed/3 Bath at The Springs","6","Entire condo",,"https://www.airbnb.com/rooms/14758740"
"Breckenridge, Colorado, United States","39.53196","-106.03222","Sunrise Point Family Skiing Retreat","9","Entire home","5","https://www.airbnb.com/rooms/9319472"
