"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Snowmass Village, Colorado, United States","39.20435","-106.95639","🌲Hot Tub~Pool~WiFi~Ski-in/out~Local Shuttle~Timberline 1 bedroom, Deluxe~Condo A2C🌲","4","Entire condo",,"https://www.airbnb.com/rooms/45670167"
"Snowmass Village, Colorado, United States","39.21362","-106.94098","Updated 3 BR, 2 BA Condo w/ Pool & Hot Tub - Stunn","6","Entire condo","5","https://www.airbnb.com/rooms/53872368"
"Snowmass Village, Colorado, United States","39.207","-106.952","Snowmass Mtn, Views, Balconies, Pool/HT, Wood FP","8","Entire condo","5","https://www.airbnb.com/rooms/43148638"
"Glenwood Springs, Colorado, United States","39.54186","-107.32568","Downtown Glenwood Retreat","10","Entire home","5","https://www.airbnb.com/rooms/24360016"
"Carbondale, Colorado, United States","39.40805","-107.17097","Family/Dog-Friendly Fly Fishing Retreat w/ High-Speed WiFi, Patio, & Fireplace","6","Entire home","5","https://www.airbnb.com/rooms/53416598"
"Leadville, Colorado, United States","39.30575","-106.25761","Zuni Cabin","2","Entire cabin","5","https://www.airbnb.com/rooms/31904139"
"Glenwood Springs, Colorado, United States","39.44324","-107.31747","Newly remodeled! 1 Bedroom+Den Min away Hot Spring","2","Entire guesthouse","5","https://www.airbnb.com/rooms/47133255"
"Gypsum, Colorado, United States","39.49028","-106.86619","Cross Creek Ranch Log Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/18470789"
"Glenwood Springs, Colorado, United States","39.545","-107.326","🏔MOUNTAIN CHARM - 2 BDR Apt KITCHEN Downtown GWS","6","Entire rental unit","5","https://www.airbnb.com/rooms/20762679"
"Redstone, Colorado, United States","39.231","-107.225","Riverside cabin with natural spring hot tubs - close to skiing & fishing","2","Entire home","4.5","https://www.airbnb.com/rooms/22576471"
"Glenwood Springs, Colorado, United States","39.54767","-107.33191","Close to Everything - Downtown Glenwood in Comfort","10","Entire townhouse",,"https://www.airbnb.com/rooms/52987665"
"Glenwood Springs, Colorado, United States","39.51944","-107.32587","RIVER PARADISE (Kid's Welcome!)
permit #18-064","6","Entire home","5","https://www.airbnb.com/rooms/1170376"
"Carbondale, Colorado, United States","39.39933","-107.21275","Luxury Artists Loft Downtown","6","Entire rental unit","5","https://www.airbnb.com/rooms/10880501"
"Carbondale, Colorado, United States","39.31546","-107.20888","Two-level home on one acre w/ mountain views and deck on Crystal River","6","Entire home","4.5","https://www.airbnb.com/rooms/29926663"
"Glenwood Springs, Colorado, United States","39.56809","-107.36701","Dog & Kid Friendly Airbnb in Glenwood Springs, CO","6","Entire vacation home","5","https://www.airbnb.com/rooms/52637201"
"Leadville, Colorado, United States","39.11098","-106.33797","Beautiful log cabin","5","Entire cabin","5","https://www.airbnb.com/rooms/42433856"
"Carbondale, Colorado, United States","39.39833","-107.21502","Location is great...","6","Entire home","5","https://www.airbnb.com/rooms/3353122"
"Snowmass Village, Colorado, United States","39.209","-106.948","Capitol Peak Lodge 3123 - Western contemporary, On","4","Entire condo",,"https://www.airbnb.com/rooms/34207451"
"Glenwood Springs, Colorado, United States","39.54529","-107.32264","Cozy Central Glenwood Springs Condo w/ 2 Decks!","6","Entire condo","5","https://www.airbnb.com/rooms/18446790"
"Red Cliff, Colorado, United States","39.47036","-106.34656","Snow Cross Inn House","12","Entire home","5","https://www.airbnb.com/rooms/23322658"
"Aspen, Colorado, United States","39.25288","-106.90366","Mountain Cabin","5","Entire cabin","4.5","https://www.airbnb.com/rooms/45484533"
"Glenwood Springs, Colorado, United States","39.554","-107.335","New Condo 309@ Iron Mt Hot Springs, Near Downtown!","4","Entire rental unit","5","https://www.airbnb.com/rooms/52622956"
"Redstone Historic District, Colorado, United States","39.16075","-107.24581","Cool, Comfortable and Spectacular","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/50050942"
"Leadville, Colorado, United States","39.24752","-106.32367","'Rocky Bear Lodge' on 2+ Acres Near Turquoise Lake","12","Entire home","5","https://www.airbnb.com/rooms/35225973"
