"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Edwards, Colorado, United States","39.6336","-106.5611","Ski-In/Ski-Out Townhome at Arrowhead Village w/ Pool, Hot Tubs & Golf","8","Entire townhouse","3.5","https://www.airbnb.com/rooms/30164774"
"Avon, Colorado, United States","39.63186","-106.52514","Sleek & Charming Condo w/ Mountain Views, Shared Pools, & Gym - Near the Slopes!","4","Entire condo","4","https://www.airbnb.com/rooms/45769876"
"Beaver Creek, Colorado, United States","39.627","-106.528","125 - Platinum Rated Mountain Home","8","Entire townhouse","5","https://www.airbnb.com/rooms/16268323"
"Edwards, Colorado, United States","39.63258","-106.56234","Mountain Condo + Fireplace & Private Balcony","4","Entire condo","5","https://www.airbnb.com/rooms/23629344"
"East Vail, Colorado, United States","39.63567","-106.29736","Modern Duplex w/Balcony, Fireplace, Gas Grill, Hot Tub — Bus to Slopes","8","Entire home","5","https://www.airbnb.com/rooms/39091372"
"Vail, Colorado, United States","39.642","-106.374","Austrian Condo In Vail With Breakfast and Parking!","6","Room in boutique hotel","5","https://www.airbnb.com/rooms/48344026"
"Vail, Colorado, United States","39.6485","-106.31985","Deep Powder Hut - Ski and sun in Vail, CO","6","Entire chalet","5","https://www.airbnb.com/rooms/22823248"
"Edwards, Colorado, United States","39.6348","-106.53994","Cool Avon Penthouse Along the Eagle River with Room to Stretch Out!","8","Entire condo","5","https://www.airbnb.com/rooms/48765944"
"Vail, Colorado, United States","39.64169","-106.39195","Great Location! Spacious Studio with FREE Shuttle, Rentals and More","2","Entire serviced apartment",,"https://www.airbnb.com/rooms/34402668"
"Vail, Colorado, United States","39.64224","-106.39197","VB | Spacious 2 BR Condo in Lionshead - Near Lifts","4","Entire condo",,"https://www.airbnb.com/rooms/41719792"
"Avon, Colorado, United States","39.62004","-106.49545","Easy access to Vail and Beaver Creek, Private Hot","8","Entire townhouse","5","https://www.airbnb.com/rooms/40805340"
"Vail, Colorado, United States","39.62068","-106.48222","4Bed Townhome Easy Access to Vail or Beaver Creek!","8","Entire townhouse",,"https://www.airbnb.com/rooms/51643151"
"Vail, Colorado, United States","39.639","-106.367","Two Bedroom, Two Bath Condominium @ Golden Peak","6","Entire condo","5","https://www.airbnb.com/rooms/34622996"
"Vail, Colorado, United States","39.64","-106.368","Clean & Comfortable One Bedroom @ Golden Peak","4","Entire condo","5","https://www.airbnb.com/rooms/41100718"
"Avon, Colorado, United States","39.63849","-106.52527","Modern BC West Condo- Skier Shuttle","8","Entire condo","5","https://www.airbnb.com/rooms/16426463"
"Vail, Colorado, United States","39.641","-106.369","VAIL, CO CHRISTMAS & NEW YEAR DEC 23-JAN 6 309A AP","6","Entire rental unit","5","https://www.airbnb.com/rooms/7903800"
"Avon, Colorado, United States","39.63121","-106.51887","Dream ski 3 BD condo on River & base of BC Resort.","6","Entire rental unit","5","https://www.airbnb.com/rooms/22248994"
"Avon, Colorado, United States","39.63423","-106.53392","Beaver Creek Landing Condo 206","10","Entire rental unit",,"https://www.airbnb.com/rooms/7710664"
"Avon, Colorado, United States","39.63379","-106.52366","Wyndham Avon Resort- 2 bdrm Presidential","8","Entire condo",,"https://www.airbnb.com/rooms/31201018"
"Vail, Colorado, United States","39.64381","-106.39124","VB | Beautiful 2 BR Condo in Lionshead - Hot Tub","4","Entire condo",,"https://www.airbnb.com/rooms/41714092"
"Avon, Colorado, United States","39.62683","-106.51029","Noisy Angel Lodge - Two Master Suites - 5 BD/4.5BA","12","Entire home","5","https://www.airbnb.com/rooms/10382152"
"Vail, Colorado, United States","39.64419","-106.39739","2 Bedroom Apartment PRICE DROP","8","Entire serviced apartment",,"https://www.airbnb.com/rooms/16505166"
"Edwards, Colorado, United States","39.66589","-106.65863","The Eagle's Nest- A Mountain Getaway","6","Entire guest suite","5","https://www.airbnb.com/rooms/51900860"
"Avon, Colorado, United States","39.633","-106.533","Beaver Creek Landing A308 - Spacious Western Motif","5","Entire condo","4.5","https://www.airbnb.com/rooms/11301422"
"Avon, Colorado, United States","39.638","-106.526","Beaver Creek West Condo with Pool, Hot Tub, & Shuttle to Slopes","8","Entire condo","5","https://www.airbnb.com/rooms/16880613"
"Avon, Colorado, United States","39.638","-106.527","Luxury 2bd/2ba Fam friendly on Lake w/ shuttle","7","Entire condo","5","https://www.airbnb.com/rooms/47758975"
"Vail, Colorado, United States","39.63426","-106.29737","Unwind & Relax, On Gore Creek, Private Hot Tub,","6","Entire townhouse","5","https://www.airbnb.com/rooms/16124644"
