"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Winter Park, Colorado, United States","39.91","-105.793","Brand new creek side chateau.  Now with Hot Tub!","6","Entire guest suite","5","https://www.airbnb.com/rooms/47233942"
"Clear Creek County, Colorado, United States","39.76382","-105.64066","Two Bedroom cabin","5","Entire cabin","4.5","https://www.airbnb.com/rooms/21748938"
"Boulder, Colorado, United States","40.00025","-105.22954","Modern 2BR/2BA Boulder condo with Flatirons views!","4","Entire condo","5","https://www.airbnb.com/rooms/43495985"
"Fraser, Colorado, United States","39.93039","-105.78799","Gorgeous, modern house with patio, fireplace, private hot tub, & mountain views!","6","Entire home","5","https://www.airbnb.com/rooms/40617784"
"Winter Park, Colorado, United States","39.92","-105.783","Heart of Downtown WP | Trailhead Lodges 133 | Pet-Friendly Condo | Close To Park, Skiing & Playground","7","Entire condo","5","https://www.airbnb.com/rooms/20947113"
"Winter Park, Colorado, United States","39.92788","-105.78136","Luxury Villa #106 Near Resort/Hot Tub & Great Views - FREE Activities & Equipment Rentals Daily","10","Entire villa","5","https://www.airbnb.com/rooms/29134727"
"Fraser, Colorado, United States","39.93923","-105.80795","Brand New Condo Near Winter Park-Private Hot Tub","4","Entire condo","5","https://www.airbnb.com/rooms/52333057"
"Boulder, Colorado, United States","40.02689","-105.25284","Boulder Luxury Modern Furnished Townhouse","6","Entire townhouse","5","https://www.airbnb.com/rooms/42354757"
"Winter Park, Colorado, United States","39.92","-105.783","Downtown Digs | Right By The Park & Skiing! | Trailhead Lodges 424 | Walk Everywhere","7","Entire condo","5","https://www.airbnb.com/rooms/14569604"
"Winter Park, Colorado, United States","39.885","-105.762","Zephyr Mountain Lodge, Condo | 2 Bedroom (value-Rated Condo 1309)","6","Entire condo",,"https://www.airbnb.com/rooms/53963307"
"Boulder, Colorado, United States","40.01737","-105.27167","Downtown Boulder Condo!","2","Entire condo","4.5","https://www.airbnb.com/rooms/2386106"
"Winter Park, Colorado, United States","39.88858","-105.76428","Private Hot Tub! Mtn Views! Walk/Bike to Resort","8","Entire townhouse","5","https://www.airbnb.com/rooms/46396285"
"Boulder, Colorado, United States","40.01379","-105.26549","Boulder Guest House: West Wing - Room 2","4","Room in boutique hotel","5","https://www.airbnb.com/rooms/49888947"
"Winter Park, Colorado, United States","39.92075","-105.78216","300 Sawmill Station Winter Park CO","10","Entire townhouse","5","https://www.airbnb.com/rooms/15123872"
"Winter Park, Colorado, United States","39.91778","-105.78939","2BR Townhome - Pet Friendly - Views - Downtown WP!","4","Entire townhouse","5","https://www.airbnb.com/rooms/46336225"
"Boulder, Colorado, United States","40.06731","-105.19965","Boulder Hideaway: Views + Brews + Pets + Hot Tub","6","Entire condo","5","https://www.airbnb.com/rooms/49710897"
"Fraser, Colorado, United States","39.939","-105.811","Gorgeous Mountain Home, Minutes to ski Winter Park","8","Entire home","5","https://www.airbnb.com/rooms/34039726"
"Fraser, Colorado, United States","39.94599","-105.79989","Newly remodeled 3 bedroom, perfect Colorado vacation rental","7","Entire condo","5","https://www.airbnb.com/rooms/40258596"
"Fraser, Colorado, United States","39.92976","-105.78407","Luxury! Modern, Wi-Fi, Hot Tub, Well-Equipped, EV","8","Entire townhouse","5","https://www.airbnb.com/rooms/47025945"
"Golden, Colorado, United States","39.80467","-105.21316","Great Views-Big Hot Tub-Red Rocks-Pets-Fenced Yard","10","Entire home","5","https://www.airbnb.com/rooms/46041296"
"Boulder, Colorado, United States","40.01888","-105.26645","Urban Refuge Steps from Pearl Street","5","Entire condo","5","https://www.airbnb.com/rooms/27548136"
"Winter Park, Colorado, United States","39.911","-105.794","Cozy Winter Park Townhome","5","Entire townhouse","5","https://www.airbnb.com/rooms/17929549"
"Golden, Colorado, United States","39.92539","-105.39577","Cozy vintage cottage in Wondervu","4","Entire cabin","5","https://www.airbnb.com/rooms/19719765"
"Boulder, Colorado, United States","40.029","-105.291","Deluxe 1BD, Full Kitchen, Licensed","2","Entire guest suite","5","https://www.airbnb.com/rooms/6106601"
"Boulder, Colorado, United States","40.00784","-105.26047","Hidden Gem near CU Boulder","5","Entire home","5","https://www.airbnb.com/rooms/39023322"
"Golden, Colorado, United States","39.7953","-105.18931","Mountainside Suite-Trail access & Patio w/ Views!","8","Entire guest suite","5","https://www.airbnb.com/rooms/24755907"
"Morrison, Colorado, United States","39.65354","-105.19112","Canterbury (Morrison Hot Tub Cottage)","2","Room in boutique hotel","5","https://www.airbnb.com/rooms/29827578"
"Longmont, Colorado, United States","40.101","-105.173","The Historic Willowdale Schoolhouse. Wow Location!","4","Entire townhouse","5","https://www.airbnb.com/rooms/41182949"
"Winter Park, Colorado, United States","39.89262","-105.76351","New Luxury Condo On River/Hot Tub/Next to Ski Resort - FREE Activities & Equipment Rentals Daily","6","Entire condo","5","https://www.airbnb.com/rooms/51125317"
"Winter Park, Colorado, United States","39.885","-105.762","Fraser Crossing/founders Pointe, Condo | 2 Bedroom W/ Gondola Access (value Rated Condo 3402)","6","Entire condo",,"https://www.airbnb.com/rooms/53963224"
"Silver Plume, Colorado, United States","39.69645","-105.7281","The Victorian on Water St.","6","Entire home","5","https://www.airbnb.com/rooms/53239921"
"Fraser, Colorado, United States","39.937","-105.807","Cozens Pointe I-302 | Private Deck With Views! | Pet Friendly | Sweeping Vistas","6","Entire condo","5","https://www.airbnb.com/rooms/21472687"
"Silver Plume, Colorado, United States","39.69769","-105.72606","The Bread House in Silver Plume","6","Entire home","5","https://www.airbnb.com/rooms/45621115"
"Winter Park, Colorado, United States","39.92628","-105.78692","New Luxury Loft #5 Near Resort/Huge Hot Tub & Views - FREE Activities & Equipment Rentals Daily","8","Entire condo","5","https://www.airbnb.com/rooms/43805374"
"Winter Park, Colorado, United States","39.885","-105.762","Zephyr Mountain Lodge 2307 | Newly Updated | Walk To Everything! | High End Condo","6","Entire condo","5","https://www.airbnb.com/rooms/14569640"
"Fraser, Colorado, United States","39.92995","-105.77904","Beautiful All-Season Mountain Home","8","Entire home","5","https://www.airbnb.com/rooms/8762326"
"Boulder, Colorado, United States","39.99827","-105.27797","Tranquil Luxury  Home Steps away from Chautauqua","6","Entire home","5","https://www.airbnb.com/rooms/32091514"
"Boulder, Colorado, United States","40.04555","-105.28498","Boulder Summer Home near Wonderland Lake","5","Entire townhouse","5","https://www.airbnb.com/rooms/18628207"
"Winter Park, Colorado, United States","39.92577","-105.78818","New Luxury Loft #101 Near Resort/Huge Hot Tub & Views - FREE Activities & Equipment Rentals Daily","6","Entire condo","5","https://www.airbnb.com/rooms/46444657"
"Fraser, Colorado, United States","39.94954","-105.81278","Stylish townhome with private hot tub & foosball-near skiing, dogs OK","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/31146991"
"Boulder, Colorado, United States","39.98864","-105.2706","Modern suite w/ private yard, near CU & open space","2","Private room in home","5","https://www.airbnb.com/rooms/48662542"
"Winter Park, Colorado, United States","39.92207","-105.7861","Rooftop Hot Tub, Downtown, walk to bars, Free shuttle route","9","Entire townhouse","5","https://www.airbnb.com/rooms/39440680"
"Winter Park, Colorado, United States","39.88475","-105.76223","Ski-In/Ski-out Slope side 1420 stay at the Winter Park Resort base","6","Entire condo","5","https://www.airbnb.com/rooms/49532167"
"Fraser, Colorado, United States","39.93707","-105.80593","Quiet Fraser Family Escape: Hot Tub & Front Porch!","8","Entire home","5","https://www.airbnb.com/rooms/51902887"
"Winter Park, Colorado, United States","39.92172","-105.78704","Winter Park, CO - 3BR","8","Entire serviced apartment",,"https://www.airbnb.com/rooms/53493468"
"Evergreen, Colorado, United States","39.71465","-105.40614","The Loft at Floyd Hill 2 bed/1 bath Evergreen, CO","4","Entire guest suite","5","https://www.airbnb.com/rooms/44101704"
"Winter Park, Colorado, United States","39.87922","-105.75879","Ski in/Ski Out  Iron Horse beautifully appointed 2 bedroom","6","Entire condo",,"https://www.airbnb.com/rooms/28456266"
"Georgetown, Colorado, United States","39.72083","-105.69205","Clear Creek Retreat","8","Entire home","5","https://www.airbnb.com/rooms/25074691"
"Boulder, Colorado, United States","40.02446","-105.26613","Sunny artist's home near Pearl St","4","Entire home","5","https://www.airbnb.com/rooms/4350298"
"Fraser, Colorado, United States","39.94498","-105.7913","Colorado Lodge w/ Mtn Views - 3 Mi to Winter Park!","12","Entire townhouse","5","https://www.airbnb.com/rooms/26232525"
"Morrison, Colorado, United States","39.65382","-105.19051","Rose (Morrison Hot Tub Cottage)","2","Room in boutique hotel","5","https://www.airbnb.com/rooms/36420585"
"Fraser, Colorado, United States","39.95035","-105.81581","2 bdrm Condo next to soothing Fraser River!","6","Entire condo",,"https://www.airbnb.com/rooms/16178784"
"Winter Park, Colorado, United States","39.92602","-105.78647","New Luxury Loft #308 Near Resort/Huge Hot Tub & Views - FREE Activities & Equipment Rentals Daily","8","Entire condo","4.5","https://www.airbnb.com/rooms/43515167"
"Boulder, Colorado, United States","40.02","-105.268","Walnut Mews - Downtown Living in Quiet Creekside Townhome","4","Entire townhouse","5","https://www.airbnb.com/rooms/24582099"
"Winter Park, Colorado, United States","39.91418","-105.79274","Townhouse with Hot Tub & Jetted Tub, Views of Continental Divide","10","Entire townhouse","4.5","https://www.airbnb.com/rooms/16887796"
"Boulder, Colorado, United States","39.98951","-105.26858","Updated 4 BR w/ Patio, Tub and Open Space Access","7","Entire home","4.5","https://www.airbnb.com/rooms/18915530"
"Winter Park, Colorado, United States","39.92126","-105.78288","Beautiful Townhome in Downtown Winter Park!","10","Entire townhouse","5","https://www.airbnb.com/rooms/21184186"
"Fraser, Colorado, United States","39.94498","-105.79203","Beautiful Cozy Mountain Get Away","10","Entire condo","4.5","https://www.airbnb.com/rooms/48828125"
"Fraser, Colorado, United States","39.95257","-105.79918","Private Fraser House w/ Mtn Views & Grill Near WP","6","Entire home","4.5","https://www.airbnb.com/rooms/22463590"
"Winter Park, Colorado, United States","39.89692","-105.76084","Ideally Located Winter Park Townhouse w/ Hot Tub!","8","Entire townhouse","5","https://www.airbnb.com/rooms/31464012"
"Boulder, Colorado, United States","40.04483","-105.25669","Nicely remodeled townhouse - Boulder","4","Entire condo","5","https://www.airbnb.com/rooms/16287389"
"Boulder, Colorado, United States","40.02316","-105.28354","Modern, beautifully-lit downtown Boulder Condo","5","Entire condo","5","https://www.airbnb.com/rooms/47518994"
"Winter Park, Colorado, United States","39.89124","-105.76625","Slopeside Sanctuary - Penthouse < 1 Mi to Lifts!","10","Entire condo","5","https://www.airbnb.com/rooms/49649425"
"Fraser, Colorado, United States","39.9375","-105.80545","Wonderful 3 bedroom, pet friendly, mt view, covered deck","8","Entire condo","5","https://www.airbnb.com/rooms/51063473"
"Fraser, Colorado, United States","39.94112","-105.8005","Modern, open floor plan, on shuttle, great view","8","Entire townhouse","5","https://www.airbnb.com/rooms/14908299"
"Fraser, Colorado, United States","39.94879","-105.79991","Newer High-End Mountain Cabin 12-14","16","Entire home","5","https://www.airbnb.com/rooms/1647046"
"Evergreen, Colorado, United States","39.71658","-105.415","The Cabin with the Yellow Couch","8","Entire home","5","https://www.airbnb.com/rooms/40121454"
"Evergreen, Colorado, United States","39.716","-105.421","8500'HotTubMtnViews|KingBeds|PoolTable|PetsKids","10","Entire home","5","https://www.airbnb.com/rooms/52041698"
"Idaho Springs, Colorado, United States","39.742","-105.50309","Smithrock Bed and Breakfast","8","Entire cabin","4.5","https://www.airbnb.com/rooms/36281902"
"Winter Park, Colorado, United States","39.92683","-105.78741","Luxury Winter Park condo with mountain views","6","Entire condo","5","https://www.airbnb.com/rooms/46052724"
"Fraser, Colorado, United States","39.97899","-105.81171","The Silver Lining Lodge near Devil’s Thumb","9","Entire home","5","https://www.airbnb.com/rooms/44324202"
"Fraser, Colorado, United States","39.92737","-105.78359","Rendezvous 99 at Winter Park - With Hot Tub!","10","Entire townhouse","5","https://www.airbnb.com/rooms/40581671"
"Granby, Colorado, United States","39.93891","-105.78708","New Luxury Chalet #94 Near Resort/Hot Tub & Great Views - FREE Activities & Equipment Rentals Daily","10","Entire home","5","https://www.airbnb.com/rooms/52539094"
"Winter Park, Colorado, United States","39.885","-105.762","Sunny Base Area Condo | Zephyr Mountain Lodge 1303 | Direct Slope Views! | Convenient Location","6","Entire condo","4.5","https://www.airbnb.com/rooms/21566330"
"Golden, Colorado, United States","39.81941","-105.40077","Mountain Sanctuary LUX (Secluded, prvt apt)","4","Entire guest suite","5","https://www.airbnb.com/rooms/43488026"
"Winter Park, Colorado, United States","39.913","-105.79383","Wonderful, luxurious 2 bedroom home, close to downtown","4","Entire condo",,"https://www.airbnb.com/rooms/41787737"
"Fraser, Colorado, United States","39.94812","-105.80781","3-Bed/3-Bath Condo - 30+ night minimum rental","7","Entire condo","4.5","https://www.airbnb.com/rooms/4651741"
"Boulder, Colorado, United States","40.03406","-105.26471","Light + Bright Boulder Midcentury 30+ day Rental","6","Entire home","5","https://www.airbnb.com/rooms/47027970"
"Winter Park, Colorado, United States","39.94689","-105.78689","Modern Mountain Home with Private Hot Tub, Wood Stove, WiFi, Washer & Dryer","8","Entire home","4.5","https://www.airbnb.com/rooms/53232955"
"Fraser, Colorado, United States","39.947","-105.81","Mountain Views from Your own Private Hot Tub!","8","Entire townhouse","5","https://www.airbnb.com/rooms/33853661"
"Winter Park, Colorado, United States","39.89265","-105.76109","Winter Park Townhome w/ Stunning Slope Views!","8","Entire townhouse","5","https://www.airbnb.com/rooms/28778503"
