"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Breckenridge, Colorado, United States","39.48635","-106.06615","Christmas  Week Peak 7, Five Star Mountain Retreat","4","Entire resort",,"https://www.airbnb.com/rooms/20885895"
"Keystone, Colorado, United States","39.60757","-105.94977","Keystone 4br4ba, walk to lifts & more","13","Entire rental unit","4.5","https://www.airbnb.com/rooms/2560089"
"Silverthorne, Colorado, United States","39.68058","-106.10661","Sage Lodge  - New Rocky Mountain Luxury Rental","8","Entire home","4.5","https://www.airbnb.com/rooms/51194956"
"Breckenridge, Colorado, United States","39.46216","-106.03882","Breckenridge home 1 mile from town","8","Entire home","5","https://www.airbnb.com/rooms/18706077"
"Keystone, Colorado, United States","39.60796","-105.93399","Lovely Alpine Getaway 1/2 mile from Gondola w/Shared Hot Tub, WiFi, & Fireplace","7","Entire home","5","https://www.airbnb.com/rooms/38421142"
"Breckenridge, Colorado, United States","39.48","-106.057","Pines at Four O'clock - 97","8","Entire townhouse",,"https://www.airbnb.com/rooms/6095082"
"Dillon, Colorado, United States","39.63473","-106.04278","Fantastic home w/ view of Gore Range, two large decks, & walkable location!","14","Entire home","4.5","https://www.airbnb.com/rooms/38157329"
"Silverthorne, Colorado, United States","39.61724","-106.08189","Dog-Friendly Mountain-View Townhome w/Private Hot Tub, Free WiFi - Near Resorts","8","Entire townhouse","5","https://www.airbnb.com/rooms/19785744"
"Breckenridge, Colorado, United States","39.482","-106.059","Hike, Bike, Ski & Work from the Base of Peak Eight","7","Entire condo","5","https://www.airbnb.com/rooms/21513872"
"Breckenridge, Colorado, United States","39.47286","-106.01201","4 Bedroom/4.5 Bathroom with Fantastic Ski Area Views!","14","Entire home","5","https://www.airbnb.com/rooms/45774415"
"Breckenridge, Colorado, United States","39.482","-106.057","DAILY WILDLIFE - BEAR, MOOSE, FOX, DEER - 3BR/3BA","10","Entire chalet","5","https://www.airbnb.com/rooms/6915159"
"Breckenridge, Colorado, United States","39.47633","-106.04649","Downtown Hyatt Residence Club steps to Peak 9","6","Entire villa","5","https://www.airbnb.com/rooms/50277555"
"Breckenridge, Colorado, United States","39.43495","-106.0427","Gorgeous updated mountain home minutes from the slopes, hot tub, pool table!","12","Entire home","5","https://www.airbnb.com/rooms/38961484"
"Breckenridge, Colorado, United States","39.48521","-106.05282","Idyllic Forested Breck Home: Hot Tub & Ski Shuttle","10","Entire home","5","https://www.airbnb.com/rooms/20215496"
"Silverthorne, Colorado, United States","39.64388","-106.07824","2200sf Luxury Condo on Blue River! w/Garage","4","Entire condo","5","https://www.airbnb.com/rooms/46029945"
"Keystone, Colorado, United States","39.6052","-105.94468","Hot! 2 Bedroom Ski-in/Ski-out Condo at Lone Eagle","6","Entire condo",,"https://www.airbnb.com/rooms/14931420"
"Frisco, Colorado, United States","39.57601","-106.09612","Private Garage & Hot Tub Half Block to Main Street","6","Entire home","5","https://www.airbnb.com/rooms/25010066"
"Breckenridge, Colorado, United States","39.478","-106.049","3BR Townhome - Walk to Lifts/Main St - Hot Tub","10","Entire townhouse","5","https://www.airbnb.com/rooms/27108946"
"Breckenridge, Colorado, United States","39.46954","-106.02587","Stormbunker Paradise: Come to Play, Come to Work,","12","Entire home","4","https://www.airbnb.com/rooms/52403469"
"Dillon, Colorado, United States","39.60622","-105.94496","Dakota Keyston","2","Entire condo","5","https://www.airbnb.com/rooms/28966222"
"Frisco, Colorado, United States","39.57375","-106.09875","Luxury 2 Bedroom Townhouse Close to Main Street -","6","Entire home","4.5","https://www.airbnb.com/rooms/52515659"
"Breckenridge, Colorado, United States","39.47519","-106.04128","Right in town, Stunning Remodeled Home,Great Views","10","Entire home","5","https://www.airbnb.com/rooms/22143939"
"Silverthorne, Colorado, United States","39.62573","-106.0808","Rocky Mountain Dream Vista Chateau","10","Entire home","5","https://www.airbnb.com/rooms/13830879"
"Breckenridge, Colorado, United States","39.4768","-106.05365","Feb 12-19, 2023 One Bdr Master Ski in/out 5star","4","Private room in rental unit","5","https://www.airbnb.com/rooms/15629610"
"Breckenridge, Colorado, United States","39.37425","-106.06537","Breckenridge Hideaway Cabin","8","Entire cabin","5","https://www.airbnb.com/rooms/21470797"
"Silverthorne, Colorado, United States","39.61737","-106.08516","Beautiful & modern mountain home w/private hot tub, grill, fireplace - Dogs ok!","10","Entire home","5","https://www.airbnb.com/rooms/43068999"
"Breckenridge, Colorado, United States","39.4699","-106.01705","3 Bedroom Penthouse Condo.  Feb 25-March 4, 2022","10","Entire condo",,"https://www.airbnb.com/rooms/54406073"
"Breckenridge, Colorado, United States","39.47594","-106.04444","Downtown Hyatt Main Street Station - 3 bedroom/ 3","10","Entire condo",,"https://www.airbnb.com/rooms/52899074"
"Keystone, Colorado, United States","39.604","-105.929","Settlers Creek 6565- Large 4bdm Townhome, Mountain Views, Pool & Hot Tub access, Close to Trails!","11","Entire home/apt",,"https://www.airbnb.com/rooms/46902999"
"Breckenridge, Colorado, United States","39.48591","-106.06573","Grand Lodge on Peak 7 Two-Bed Condo's","8","Private room in resort",,"https://www.airbnb.com/rooms/48847874"
"Breckenridge, Colorado, United States","39.47454","-106.04563","Luxury condo with private balcony + shared pool and hot tub!","4","Entire condo","4.5","https://www.airbnb.com/rooms/43487810"
"Breckenridge, Colorado, United States","39.485","-106.067","Luxury & Modern 2 Bdrm/2 Bath on Peak 7","6","Entire condo",,"https://www.airbnb.com/rooms/36847904"
"Montezuma, Colorado, United States","39.6007","-105.97529","Condo with Mountain Views Minutes from Ski Slopes","6","Entire condo",,"https://www.airbnb.com/rooms/28840917"
"Breckenridge, Colorado, United States","39.50456","-106.0573","Beautiful Breckenridge Mountain Home on Peak 7! Aspen Lookout","10","Entire home","5","https://www.airbnb.com/rooms/45221654"
"Breckenridge, Colorado, United States","39.46717","-106.01133","Grand Colorado 8; 1 BR Suite Sleeps 4; Ski In/Out","4","Entire condo","5","https://www.airbnb.com/rooms/47748366"
"Fairplay, Colorado, United States","39.355","-106.061","Spacious Log Cabin w/ Hot Tub, Game Room, Fireplace, Endless Decks - Shangri-La","10","Entire cabin","4.5","https://www.airbnb.com/rooms/11563217"
"Keystone, Colorado, United States","39.6061","-105.94436","Lovely Condo W/ Mtn Views & Shared Hot Tub - Walk to Keystone Gondola & Village","8","Entire condo","5","https://www.airbnb.com/rooms/40921962"
"Keystone, Colorado, United States","39.60806","-105.94334","BLCD2 Buffalo Lodge 2 Bed 2 bath Deluxe","6","Entire condo",,"https://www.airbnb.com/rooms/53310211"
"Breckenridge, Colorado, United States","39.375","-106.065","Enormous Gathering Home — Hot Tub, Pets,","8","Entire cabin","5","https://www.airbnb.com/rooms/54292282"
"Breckenridge, Colorado, United States","39.48235","-106.06618","One Ski Hill Place! Ski In/Out.Premier Resort","4","Entire condo","5","https://www.airbnb.com/rooms/9897865"
"Breckenridge, Colorado, United States","39.48321","-106.05824","White Wolf Townhome-Close to Slopes&Nordic Center","11","Entire townhouse","5","https://www.airbnb.com/rooms/53162267"
"Frisco, Colorado, United States","39.59351","-106.093","Quiet 3 Bedroom, 3 Bath End Unit Condo with Privat","9","Entire home","5","https://www.airbnb.com/rooms/22866452"
"Breckenridge, Colorado, United States","39.47253","-106.04267","59 Maggie Point. In Town! Walk to lift. Hot tub.","9","Entire townhouse","5","https://www.airbnb.com/rooms/14469945"
"Dillon, Colorado, United States","39.62396","-106.02935","Modern Lakeside Retreat","8","Entire home","5","https://www.airbnb.com/rooms/47815136"
"Silverthorne, Colorado, United States","39.67987","-106.10868","Lazy Bear Lodge - Luxury Rental","8","Entire home","5","https://www.airbnb.com/rooms/45271819"
"Keystone, Colorado, United States","39.60898","-105.94978","Lovely Resort Escape w/Shared Pool & Hot Tub, WiFi - Walk to Lifts/Activities","12","Entire condo","4.5","https://www.airbnb.com/rooms/49095426"
"Dillon, Colorado, United States","39.60632","-105.94603","Top Floor Condo: The Best of Keystone","8","Entire condo","5","https://www.airbnb.com/rooms/47218855"
