"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Boulder, Colorado, United States","40.02292","-105.28521","Unbeatable Location and Charm","5","Entire home","5","https://www.airbnb.com/rooms/17795857"
"Boulder, Colorado, United States","40.02507","-105.27617","ART RANCH Book 2 Adjacent Rooms - easy walk dwntwn","4","Private room in home","5","https://www.airbnb.com/rooms/48315237"
"Boulder, Colorado, United States","40.03361","-105.27218","Near Downtown and the Mountains - WFH Equipped","7","Entire home","4.5","https://www.airbnb.com/rooms/50190152"
"Fort Collins, Colorado, United States","40.54616","-105.04478","Private bath, Quiet, Comfortable","2","Private room in home","5","https://www.airbnb.com/rooms/5562398"
"Boulder, Colorado, United States","40.03778","-105.27537","Beautiful Ranch Style Home","4","Entire home","5","https://www.airbnb.com/rooms/8954347"
"Boulder, Colorado, United States","40.02439","-105.28169","Easy Living in Boulder's Premier Location","4","Entire rental unit","5","https://www.airbnb.com/rooms/6955923"
"Boulder, Colorado, United States","40.04618","-105.25768","2 Bedroom Townhome in Palo Park","4","Entire townhouse",,"https://www.airbnb.com/rooms/51962678"
"Boulder, Colorado, United States","40.04127","-105.25864","Spacious Updated Boulder Condo with Pool & Tennis!","3","Entire condo","5","https://www.airbnb.com/rooms/41401046"
"Boulder, Colorado, United States","40.02849","-105.26279","1 Bedroom Apt Close to Downtown","3","Entire condo","5","https://www.airbnb.com/rooms/7198490"
"Boulder, Colorado, United States","40.02642","-105.27523","Charming Private 2BDR Near All Things Downtown","4","Entire home",,"https://www.airbnb.com/rooms/52054611"
"Boulder, Colorado, United States","40.036","-105.252","Cozy Boulder escape","3","Entire condo","5","https://www.airbnb.com/rooms/28885809"
"Boulder, Colorado, United States","40.03656","-105.26212","Candy’s Casa- your north boulder retreat","5","Entire home","5","https://www.airbnb.com/rooms/12281893"
"Boulder, Colorado, United States","40.10912","-105.30187","Sacred Boulder Retreat Zen Room","2","Private room in home","5","https://www.airbnb.com/rooms/23042534"
"Lyons, Colorado, United States","40.2255","-105.27255","Tiny Home Experience in The CO Rocky Mountains","5","Tiny home","5","https://www.airbnb.com/rooms/8190495"
"Boulder, Colorado, United States","40.03501","-105.24628","Spacious 3 BR 2 BA Boulder Townhome","6","Entire townhouse","5","https://www.airbnb.com/rooms/31167594"
"Boulder, Colorado, United States","40.035","-105.25","A cozy place to rest, relax and recharge","4","Entire townhouse","5","https://www.airbnb.com/rooms/46334109"
