"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Breckenridge, Colorado, United States","39.48658","-106.03821","Morningstar Trailside Manor","12","Entire home","5","https://www.airbnb.com/rooms/11530665"
"Breckenridge, Colorado, United States","39.484","-106.056","Ideal location on Peak 8!","12","Entire home","5","https://www.airbnb.com/rooms/16395926"
"Breckenridge, Colorado, United States","39.47829","-106.05364","Bright Condo w/ Gorgeous Views of Mountains & Town + Outdoor Pool/Hot Tub!","6","Entire condo","4.5","https://www.airbnb.com/rooms/43487634"
"Frisco, Colorado, United States","39.4999","-106.1422","Spacious mountain townhome near the slopes w/gas fireplace, deck, & free WiFi","13","Entire townhouse",,"https://www.airbnb.com/rooms/45769927"
"Frisco, Colorado, United States","39.502","-106.151","NEW LISTING! Cirque 2 Bedroom Condo #202","6","Entire condo",,"https://www.airbnb.com/rooms/639273233684680200"
"Breckenridge, Colorado, United States","39.52459","-106.04245","Spacious 3 bdr + bonus rm home with stunning views","8","Entire home","5","https://www.airbnb.com/rooms/21434172"
"Breckenridge, Colorado, United States","39.47482","-106.04598","Modern mountain condo with private balcony - shared pool and hot tub!","6","Entire condo","4.5","https://www.airbnb.com/rooms/43487837"
"Breckenridge, Colorado, United States","39.46948","-106.04941","4-Story Ski-In/Out Townhouse w/Private Hot Tub, Sauna, Fireplace, Grill, Views","10","Entire townhouse",,"https://www.airbnb.com/rooms/53718220"
"Frisco, Colorado, United States","39.4986","-106.16771","The Cirque","6","Entire condo",,"https://www.airbnb.com/rooms/11010833"
"Breckenridge, Colorado, United States","39.484","-106.05","Premier 2-Story Townhome Minutes from Winter Activities","7","Entire townhouse","5","https://www.airbnb.com/rooms/22096877"
"Breckenridge, Colorado, United States","39.47585","-106.05115","Ski In/ Ski Out 2 Bedroom, Hot Tub, Patio","6","Entire condo","5","https://www.airbnb.com/rooms/8609473"
"Breckenridge, Colorado, United States","39.479","-106.043","Viola Oak - Two Blocks to Main Street","6","Entire home","5","https://www.airbnb.com/rooms/28331603"
"Frisco, Colorado, United States","39.49889","-106.14797","Lovely ski-in/ski-out home w/free WiFi/full kitchen/wood-burning fireplace/view!","10","Entire condo","3.5","https://www.airbnb.com/rooms/45100390"
"Breckenridge, Colorado, United States","39.47481","-106.04567","Luxury condo, great for families and skiers, w/shared outdoor pool & hot tub","6","Entire condo",,"https://www.airbnb.com/rooms/43487850"
"Breckenridge, Colorado, United States","39.47497","-106.04416","Penthouse Mountain Condo! Steps from slopes&town!","8","Entire condo","5","https://www.airbnb.com/rooms/21364768"
"Breckenridge, Colorado, United States","39.47667","-106.05203","Ski-in/ski-out home w/shared hot tub & pool + private balcony near downtown!","6","Entire condo","5","https://www.airbnb.com/rooms/43487651"
"Frisco, Colorado, United States","39.50017","-106.14218","Spacious townhome w/large outside deck, gas fireplace, and outdoor dining area","12","Entire townhouse",,"https://www.airbnb.com/rooms/45769889"
"Breckenridge, Colorado, United States","39.52645","-106.0346","Mountain Retreat Overlooking Breck Golf Course w/Private Hot Tub, Free WiFi, W/D","10","Entire home","5","https://www.airbnb.com/rooms/24549849"
"Breckenridge, Colorado, United States","39.47519","-106.04453","Luxury condo w/Maggie Pond views, shared steam room, hot tubs, and pool!","8","Entire condo","5","https://www.airbnb.com/rooms/40257950"
"Breckenridge, Colorado, United States","39.47463","-106.04467","Penthouse condo with gorgeous view & shared pool/hot tubs - walk to lifts!","6","Private room in home","4.5","https://www.airbnb.com/rooms/43487877"
"Breckenridge, Colorado, United States","39.48154","-106.0579","Breck Luxury Ski House  3 BR 3BA Private Hot Tub","8","Entire home","5","https://www.airbnb.com/rooms/873744"
"Breckenridge, Colorado, United States","39.47762","-106.05153","Ski-In/Ski-Out Home with Vaulted Ceilings in Living Room + Shared Pool/Hot Tub!","6","Entire condo","4.5","https://www.airbnb.com/rooms/43487617"
"Breckenridge, Colorado, United States","39.48542","-106.04376","Mountain Chalet Just Blocks from Gondola & Main St","14","Entire home","5","https://www.airbnb.com/rooms/43479203"
"Breckenridge, Colorado, United States","39.46353","-106.04755","Pemberley - Ski In/Out 2 Master Suites + 2 BDRMS","12","Entire home","5","https://www.airbnb.com/rooms/13489025"
"Breckenridge, Colorado, United States","39.4854","-106.06786","Breckenridge CO | Crystal Peak Lodge | 2 Bedroom Ski-In, Ski-Out","6","Entire condo",,"https://www.airbnb.com/rooms/45564695"
"Breckenridge, Colorado, United States","39.47514","-106.01253","Pine View Haus","10","Entire home","4.5","https://www.airbnb.com/rooms/7712481"
"Breckenridge, Colorado, United States","39.43521","-106.03778","Blue River Cabin - your base camp for Breckenridge","8","Entire cabin","5","https://www.airbnb.com/rooms/40113749"
"Breckenridge, Colorado, United States","39.502","-106.062","“The Apres Chalet” Amazing Views, Hot Tub","10","Entire chalet","5","https://www.airbnb.com/rooms/25979967"
"Breckenridge, Colorado, United States","39.48366","-106.05672","The Settlement #132","8","Entire home","4.5","https://www.airbnb.com/rooms/54125147"
"Breckenridge, Colorado, United States","39.5225","-106.04225","Silver Circle Cottage","8","Entire home","5","https://www.airbnb.com/rooms/8850177"
"Breckenridge, Colorado, United States","39.47802","-106.05163","Ski-in/ski-out retreat with large, private balcony, shared pool, & hot tub!","6","Entire condo","4.5","https://www.airbnb.com/rooms/43487641"
"Breckenridge, Colorado, United States","39.481","-106.062","FREE SkyCard Activities - Luxury Home, Close to Sk","16","Entire home","5","https://www.airbnb.com/rooms/34581027"
"Breckenridge, Colorado, United States","39.52413","-106.04343","Summit Solitude Lodge","10","Entire home","5","https://www.airbnb.com/rooms/42136652"
"Frisco, Colorado, United States","39.50095","-106.15596","Spacious Condo w/Fireplace Free WiFi , Shared Hot Tub & Grill","6","Entire condo",,"https://www.airbnb.com/rooms/53828514"
"Breckenridge, Colorado, United States","39.39755","-106.04821","Classic mountain home w/free WiFi, fireplaces, deck, & patio - in quiet location","8","Entire home","4.5","https://www.airbnb.com/rooms/41457298"
"Breckenridge, Colorado, United States","39.46989","-106.02291","Sunset Chalet: Stunning Mtn views! 2542","12","Entire home","5","https://www.airbnb.com/rooms/15394095"
"Breckenridge, Colorado, United States","39.50129","-106.04303","Breckenridge Home with a View . The  Highlands","8","Entire home",,"https://www.airbnb.com/rooms/25405417"
"Frisco, Colorado, United States","39.501","-106.145","Gold 2br/2ba ski in/out! Views! Sleeps 8. 6 beds!","8","Entire condo","5","https://www.airbnb.com/rooms/6865108"
"Breckenridge, Colorado, United States","39.38838","-106.04557","La Barranca=privacy, views and hot tub...oh my!","4","Entire home","3.5","https://www.airbnb.com/rooms/3622048"
"Breckenridge, Colorado, United States","39.47456","-106.04493","Spacious downtown condo w/ great location + shared pool & hot tub!","6","Entire condo","5","https://www.airbnb.com/rooms/50176755"
"Breckenridge, Colorado, United States","39.46874","-106.04213","Mountain Chic Retreat, River Front, 180 degrees of WOW views of the Rockies","9","Entire townhouse",,"https://www.airbnb.com/rooms/52151412"
"Breckenridge, Colorado, United States","39.47515","-106.0433","Mountain chalet w/shared hot tubs, pool, fitness center + WiFi!","6","Entire condo","5","https://www.airbnb.com/rooms/43487845"
"Breckenridge, Colorado, United States","39.47983","-106.05469","Creekside Condo with Fast WiFi, Gas Fireplace, & Shared Hot Tubs - Walk to Lifts","10","Entire condo","5","https://www.airbnb.com/rooms/53232970"
"Breckenridge, Colorado, United States","39.47572","-106.04579","Hyatt Breckenridge Studio - Feb 18-25, 2023","4","Entire serviced apartment",,"https://www.airbnb.com/rooms/702115104261220900"
"Breckenridge, Colorado, United States","39.47927","-106.05333","Luxury Skiin/Ski Out condo-steps from lift","6","Entire condo",,"https://www.airbnb.com/rooms/51241935"
