"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Granby, Colorado, United States","40.05041","-105.90738","Entire home In Granby Ranch close to ski hill!","9","Entire home","5","https://www.airbnb.com/rooms/45622282"
"Granby, Colorado, United States","40.047","-105.902","Stunning 3B/3B ski in/out mtn retreat w/ view!","10","Entire condo","5","https://www.airbnb.com/rooms/52330368"
"Granby, Colorado, United States","40.04714","-105.89993","Ski in Ski out House with stunning mountain views!","8","Entire cabin","5","https://www.airbnb.com/rooms/29097857"
"Granby, Colorado, United States","40.047","-105.898","Spacious  5bd+Loft 3/bath Ski-in/out HotTub & deck","16","Entire home","5","https://www.airbnb.com/rooms/38729549"
"Granby, Colorado, United States","40.0465","-105.90095","True Ski-In, Ski-Out Granby Ranch Private Home!","11","Entire home","5","https://www.airbnb.com/rooms/20697939"
"Granby, Colorado, United States","40.04829","-105.89929","Ski-in/out Granby Ranch Home 4BR/3BA Sleeps 13","13","Entire home","5","https://www.airbnb.com/rooms/36805090"
"Granby, Colorado, United States","40.0464","-105.89553","Magnificent Granby Ski-In/Ski-Out Home w/ Hot Tub!","16","Entire home","5","https://www.airbnb.com/rooms/20995342"
"Granby, Colorado, United States","40.04513","-105.90249","Gorgeous 4bd/4ba Ski-in/out on Main Lift at GR","8","Entire home","5","https://www.airbnb.com/rooms/26450214"
"Granby, Colorado, United States","40.05102","-105.90685","Granby Home w/Patio, Fire Pit & Ski Mountain Views","14","Entire home","5","https://www.airbnb.com/rooms/20634909"
"Granby, Colorado, United States","40.04448","-105.90446","Ski-In/Ski-Out Granby Ranch Condo w/ Balcony!","5","Entire condo","5","https://www.airbnb.com/rooms/39359412"
