"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Aspen, Colorado, United States","39.18682","-106.81398","Downtown Cozy & Charming One- Bedroom Apartment","2","Entire rental unit","5","https://www.airbnb.com/rooms/48213579"
"Snowmass Village, Colorado, United States","39.20509","-106.95774","🌲Hot Tub~Pool~WiFi~Ski-in/out~Local Shuttle~Timberline 1 bedroom, Deluxe~Condo A2G🌲","4","Entire condo",,"https://www.airbnb.com/rooms/45670239"
"Snowmass Village, Colorado, United States","39.20423","-106.95709","🌲Hot Tub~Pool~WiFi~Ski-in/out~Local Shuttle~Timberline 1 bedroom, Standard~Condo C1C🌲","4","Entire condo","5","https://www.airbnb.com/rooms/45671152"
"Snowmass Village, Colorado, United States","39.209","-106.948","Capitol Peak Lodge 3316 - Light and Bright One Bed","6","Entire condo",,"https://www.airbnb.com/rooms/34206924"
"Carbondale, Colorado, United States","39.3986","-107.22079","Happy Home -  Sunny and Clean House near Downtown","4","Entire home","5","https://www.airbnb.com/rooms/38855059"
"Basalt, Colorado, United States","39.38396","-106.95105","2 Bdrm Guest Suite w/ breathtaking views | Basalt","4","Entire guest suite","5","https://www.airbnb.com/rooms/6346238"
"Carbondale, Colorado, United States","39.42418","-107.0947","Carbondale / Missouri Heights Getaway","4","Entire guest suite","5","https://www.airbnb.com/rooms/27801146"
"Carbondale, Colorado, United States","39.39933","-107.21275","Luxury Artists Loft Downtown","6","Entire rental unit","5","https://www.airbnb.com/rooms/10880501"
"Glenwood Springs, Colorado, United States","39.567","-107.368","MTN Shadows Chateau, 3 mi to Dwntown! Dog Friendly","7","Entire home","4.5","https://www.airbnb.com/rooms/51870160"
"Glenwood Springs, Colorado, United States","39.55451","-107.33113","Don't Look Any Longer! Near Glenwood Caverns Adventure Park! Indoor Pool, Hot Tub, Fitness Center, Free Parking & Breakfast","2","Room in hotel","5","https://www.airbnb.com/rooms/52415072"
"Glenwood Springs, Colorado, United States","39.55375","-107.33056","Pool, Parking & Breakfast, Minutes to Hanging Lake","4","Room in hotel",,"https://www.airbnb.com/rooms/50178625"
"Glenwood Springs, Colorado, United States","39.54115","-107.32628","Spacious home  in downtown Glenwood Springs","6","Entire home","5","https://www.airbnb.com/rooms/44195127"
"Glenwood Springs, Colorado, United States","39.51604","-107.31543","Charming 3/2 Hill House betw Glenwood & Carbondale","8","Entire home","4.5","https://www.airbnb.com/rooms/51807863"
"Glenwood Springs, Colorado, United States","39.54049","-107.32173","Downtown Home w/Mtn Views& Media Room, Near Pools!","6","Entire home","5","https://www.airbnb.com/rooms/50403277"
"Glenwood Springs, Colorado, United States","39.56553","-107.36078","Comfortable Mtn Home Near Dwntwn Glenwood & Pools!","6","Entire home","4.5","https://www.airbnb.com/rooms/49342527"
"Glenwood Springs, Colorado, United States","39.545","-107.326","🏔MOUNTAIN CHARM - 2 BDR Apt KITCHEN Downtown GWS","6","Entire rental unit","5","https://www.airbnb.com/rooms/20762679"
"Glenwood Springs, Colorado, United States","39.44324","-107.31747","Newly remodeled! 1 Bedroom+Den Min away Hot Spring","2","Entire guesthouse","5","https://www.airbnb.com/rooms/47133255"
"Glenwood Springs, Colorado, United States","39.53389","-107.32681","Family Home Close to Downtown, Dog Friendly","6","Entire home","4.5","https://www.airbnb.com/rooms/27393745"
