"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Steamboat Springs, Colorado, United States","40.46189","-106.80123","BT405 by Mountain Resorts ~ PANORAMIC VIEWS ~ Steps to Trails","8","Entire condo",,"https://www.airbnb.com/rooms/35190003"
"Steamboat Springs, Colorado, United States","40.45217","-106.80444","BL6118 Perfect Getaway 4 POOLS! Short walk to the slopes!","2","Entire condo","5","https://www.airbnb.com/rooms/28278749"
"Steamboat Springs, Colorado, United States","40.46016","-106.80331","Rustic-Chic Condo Steps to Steamboat’s Slopes w/Shared On-Site Hot Tubs","8","Entire condo","4.5","https://www.airbnb.com/rooms/52733938"
"Steamboat Springs, Colorado, United States","40.46212","-106.82122","Easier than ski-in/2stops to Gondi/Amzg Rental","4","Entire condo","5","https://www.airbnb.com/rooms/9570436"
"Steamboat Springs, Colorado, United States","40.45335","-106.79836","Upscale condo w/ mountain view & shared hot tubs, fitness & winter shuttle","6","Entire condo","4","https://www.airbnb.com/rooms/43438208"
"Steamboat Springs, Colorado, United States","40.4465","-106.80784","Direct Unit Access, Garage, Weber BBQ, 2 decks","6","Entire condo","5","https://www.airbnb.com/rooms/18209683"
"Steamboat Springs, Colorado, United States","40.446","-106.809","Steps 2 FreeBus-HotTub-W/D in Unit-Monthly Deals","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/47081835"
"Steamboat Springs, Colorado, United States","40.45154","-106.80386","TR1211 WINTER SPECIALS! Phenomenal Mountain Getaway!","5","Entire condo",,"https://www.airbnb.com/rooms/28278958"
"Steamboat Springs, Colorado, United States","40.456","-106.817","Steamboat Springs, CO, 3 Bedroom Deluxe Z #1","8","Entire condo","5","https://www.airbnb.com/rooms/29659219"
"Steamboat Springs, Colorado, United States","40.462","-106.795","True Ski In/Out+Shuttle-Views-HotTub-Pool-Gym-W/D","8","Entire townhouse","5","https://www.airbnb.com/rooms/23004180"
"Steamboat Springs, Colorado, United States","40.45578","-106.80225","Spacious Mountain Home Next to Gondola & Spa #1006","12","Entire condo","4.5","https://www.airbnb.com/rooms/30377406"
"Steamboat Springs, Colorado, United States","40.45227","-106.8034","CL3303 Gorgeous Updated TOP FLOOR Condo! A/C! 4 POOLS!","6","Entire condo",,"https://www.airbnb.com/rooms/35033687"
"Steamboat Springs, Colorado, United States","40.45175","-106.80422","TL2311 Great Views in this Beautiful Top Floor Home!","4","Entire condo","5","https://www.airbnb.com/rooms/28278917"
"Steamboat Springs, Colorado, United States","40.45574","-106.80264","P105 by Mountain Resorts: Premier Unit ~ Walk to Winter Activities ~ Pool ~ Exercise Center","6","Entire condo",,"https://www.airbnb.com/rooms/39700837"
"Steamboat Springs, Colorado, United States","40.45196","-106.80513","TL2306 Top floor and Amenities Galore! Beautuful Residence! WINTER SPECIALS!","8","Entire condo","5","https://www.airbnb.com/rooms/28278909"
"Steamboat Springs, Colorado, United States","40.46563","-106.80173","RA407 by Mtn Resorts: Remodeled in Oct 2019 ~ Gorgeous finishes throughout","6","Entire condo","5","https://www.airbnb.com/rooms/39969801"
"Steamboat Springs, Colorado, United States","40.4523","-106.80571","TL2211 Mountain Condo Steps From The Base Area! Winter Specials!","4","Entire condo","4.5","https://www.airbnb.com/rooms/28278898"
"Steamboat Springs, Colorado, United States","40.46167","-106.80041","BT606 by Mountain Resorts: Brilliant Views + Excellent amenities!","8","Entire condo","4.5","https://www.airbnb.com/rooms/28279988"
"Steamboat Springs, Colorado, United States","40.44965","-106.80795","Fun & Stylish Mountain Condo Near the Slopes W/ Fast WiFi & Shared Pool/Hot Tub!","6","Entire condo","4.5","https://www.airbnb.com/rooms/53861873"
"Steamboat Springs, Colorado, United States","40.4901","-106.82569","Old Town Loft at Stehley Park","4","Entire guest suite","5","https://www.airbnb.com/rooms/47125714"
"Steamboat Springs, Colorado, United States","40.44905","-106.80764","Shadow Run Condo w/All-New Interior, Shared Pool & Hot Tub, Near Steamboat Lift","6","Entire condo","4.5","https://www.airbnb.com/rooms/46802178"
