"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Winter Park, Colorado, United States","39.91149","-105.79591","Perfect family vacation home! Bear Trail Winter Park Colorado 835","10","Entire townhouse","5","https://www.airbnb.com/rooms/48210163"
"Winter Park, Colorado, United States","39.91417","-105.78631","Plush living room couch to relax in a remodeled condo","6","Entire condo",,"https://www.airbnb.com/rooms/25011059"
"Granby, Colorado, United States","40.04789","-105.90237","Beat the Holiday Crowd! Book this Ski-In/Out Condo","5","Entire condo",,"https://www.airbnb.com/rooms/52734451"
"Winter Park, Colorado, United States","39.92689","-105.79436","Comfortable 3 bedroom private indoor hot tub, walking distance to Main Street","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/25010991"
"Winter Park, Colorado, United States","39.91415","-105.78594","Great 2 bedroom remodeled, in floor radiant heat, new kitchen","6","Entire condo",,"https://www.airbnb.com/rooms/25011114"
"Fraser, Colorado, United States","39.95087","-105.81208","4Bdrm /2Bath Home; Sleeps 8; On town bus route","8","Entire home","4.5","https://www.airbnb.com/rooms/9959024"
"Granby, Colorado, United States","40.07103","-105.93436","2bdm-Granby WM Resort-Rocky Mountain","6","Entire villa","4.5","https://www.airbnb.com/rooms/23124856"
"Granby, Colorado, United States","40.071","-105.934","Granby, CO, 3 Bedroom #2","10","Entire rental unit",,"https://www.airbnb.com/rooms/10619929"
"Granby, Colorado, United States","40.07199","-105.93538","Granby one bedroom","4","Entire condo","4.5","https://www.airbnb.com/rooms/838838"
"Granby, Colorado, United States","40.07221","-105.93585","2bdm-Granby WM Resort-Rocky Mountain###","6","Entire condo",,"https://www.airbnb.com/rooms/47295458"
"Granby, Colorado, United States","40.099","-105.958","Sun Outdoors Rocky Mountains Lookout Lodge V27","8","Entire villa",,"https://www.airbnb.com/rooms/48258363"
"Granby, Colorado, United States","40.07113","-105.93377","Rocky Mountain Resort, Granby Colorado- 2 Bd","6","Entire condo",,"https://www.airbnb.com/rooms/51862398"
"Granby, Colorado, United States","40.09972","-105.95771","Sun Outdoors Rocky Mountains Lookout Lodge V11","8","Entire villa",,"https://www.airbnb.com/rooms/49095331"
"Granby, Colorado, United States","40.07254","-105.93507","1bdm-Granby WM Resort-Rocky Mountain","4","Entire condo",,"https://www.airbnb.com/rooms/31190891"
"Granby, Colorado, United States","40.099","-105.958","Sun Outdoors Rocky Mountains Lookout Lodge V05","8","Entire villa",,"https://www.airbnb.com/rooms/48257617"
"Granby, Colorado, United States","40.099","-105.958","Sun Outdoors Rocky Mountains Lookout Lodge V30","8","Entire villa",,"https://www.airbnb.com/rooms/48257097"
"Granby, Colorado, United States","40.099","-105.958","Sun Outdoors Rocky Mountains Lookout Lodge V33","8","Entire villa",,"https://www.airbnb.com/rooms/48244053"
"Granby, Colorado, United States","40.071","-105.934","Granby - RMP 3 Bdrm Pres Casita Condo Resort","10","Entire serviced apartment",,"https://www.airbnb.com/rooms/16602492"
"Grand County, Colorado, United States","40.099","-105.958","Sun Outdoors Rocky Mountains Lookout Lodge V17","8","Entire villa",,"https://www.airbnb.com/rooms/49777885"
"Granby, Colorado, United States","40.099","-105.958","Sun Outdoors Rocky Mountains Mountain Hideaway V12","8","Entire cabin",,"https://www.airbnb.com/rooms/48278020"
"Granby, Colorado, United States","40.099","-105.958","Mountain Hideaway V18 @ River Run Resort Granby CO","6","Entire villa",,"https://www.airbnb.com/rooms/48278401"
"Granby, Colorado, United States","40.099","-105.958","Sun Outdoors Rocky Mountains Mountain Hideaway V06","8","Entire villa",,"https://www.airbnb.com/rooms/48265063"
"Granby, Colorado, United States","40.099","-105.958","Sun Outdoors Rocky Mountains Lookout Lodge V14","8","Entire villa",,"https://www.airbnb.com/rooms/48258267"
"Grand County, Colorado, United States","40.10003","-105.95787","Sun Outdoors Rocky Mountains Lookout Lodge V19","8","Entire villa",,"https://www.airbnb.com/rooms/52651054"
"Granby, Colorado, United States","40.099","-105.958","Sun Outdoors Rocky Mountains Mountain Hideaway V20","6","Entire villa",,"https://www.airbnb.com/rooms/48278547"
"Granby, Colorado, United States","40.07269","-105.93455","Rocky Mountain Resort, Granby Colorado- 2 Bd Dlx","6","Entire condo",,"https://www.airbnb.com/rooms/51863685"
"Granby, Colorado, United States","40.01775","-105.8939","Secluded Log Home with View","9","Entire home",,"https://www.airbnb.com/rooms/21399421"
"Granby, Colorado, United States","40.099","-105.958","Sun Outdoors Rocky Mountains Lookout Lodge V36","8","Entire villa","5","https://www.airbnb.com/rooms/53030087"
"Fraser, Colorado, United States","39.92913","-105.78497","Brand new 3 bedroom, 3.5 bath with hot tub","10","Entire townhouse",,"https://www.airbnb.com/rooms/54126323"
"Fraser, Colorado, United States","39.94117","-105.79687","NEW! Luxurious Fraser Townhome w/ Private Hot Tub!","11","Entire townhouse","5","https://www.airbnb.com/rooms/53188310"
"Winter Park, Colorado, United States","39.92609","-105.78705","New Luxury Loft #12 Near Resort/Huge Hot Tub & Views - FREE Activities & Equipment Rentals Daily","8","Entire condo","5","https://www.airbnb.com/rooms/29134728"
"Tabernash, Colorado, United States","40.00484","-105.8814","Beautiful Mountain Home w/Hot Tub!","10","Entire home","5","https://www.airbnb.com/rooms/51976721"
"Fraser, Colorado, United States","39.95065","-105.79128","Deal$! Stunning Condo w/Mtn Views-near Winter Park","7","Entire condo","4.5","https://www.airbnb.com/rooms/34221868"
"Winter Park, Colorado, United States","39.92865","-105.78578","Beautiful 3 bed 2.5 bath vacation condo rental at HCH","6","Entire condo","4.5","https://www.airbnb.com/rooms/25011151"
"Winter Park, Colorado, United States","39.91144","-105.79544","Three-Level Townhome with Stunning Mountain Views, Fireplace, Deck & Balcony","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/53164369"
"Granby, Colorado, United States","40.04448","-105.90446","Ski-In/Ski-Out Granby Ranch Condo w/ Balcony!","5","Entire condo","5","https://www.airbnb.com/rooms/39359412"
"Fraser, Colorado, United States","39.93","-105.78","Exclusive neighborhood only 10 minutes from Winter Park Resort - Campfire","10","Entire home","5","https://www.airbnb.com/rooms/22043842"
"Granby, Colorado, United States","40.08066","-105.92604","Pristine Home on River ~17 Mi to Grand Lake + RMNP","6","Entire home","5","https://www.airbnb.com/rooms/23545055"
"Fraser, Colorado, United States","39.946","-105.79083","Clean, newer, spacious condo with garage sleeps 8","8","Entire condo","5","https://www.airbnb.com/rooms/45418670"
"Granby, Colorado, United States","40.04586","-105.90486","Beautiful home in complex w/ski-in/ski-out access + shared pool & hot tub/WiFi","7","Entire condo","4.5","https://www.airbnb.com/rooms/28284600"
"Georgetown, Colorado, United States","39.70533","-105.69873","The Fair House, Ski Loveland, walk to Georgetown","7","Entire cottage","5","https://www.airbnb.com/rooms/29303506"
"Granby, Colorado, United States","40.04429","-105.90615","Ideally located mountain getaway w/ shared pool, gas grill, & scenic balcony","6","Entire condo",,"https://www.airbnb.com/rooms/45750920"
"Winter Park, Colorado, United States","39.92219","-105.78381","Modern townhome w/ hot tub & fireplace - walk to shops & restaurants, dogs OK!","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/39200866"
"Granby, Colorado, United States","40.099","-105.958","Sun Outdoors Rocky Mountains Lookout Lodge V04","8","Entire villa","5","https://www.airbnb.com/rooms/48147165"
"Grand County, Colorado, United States","40.10011","-105.95775","Sun Outdoors Rocky Mountains Mountain Hideaway V09","8","Entire bungalow",,"https://www.airbnb.com/rooms/52649149"
"Granby, Colorado, United States","40.04446","-105.90571","Wonderful mountain view home w/free WiFi, shared outdoor heated pool & hot tub","8","Entire condo",,"https://www.airbnb.com/rooms/50176693"
"Fraser, Colorado, United States","39.95078","-105.80224","Fraser Townhome w/Deck, 7 Mi to Winter Park Resort","14","Entire townhouse","4.5","https://www.airbnb.com/rooms/28639178"
"Idaho Springs, Colorado, United States","39.8135","-105.64342","Cozy Log Cabin with Hot Tub","6","Entire cabin","5","https://www.airbnb.com/rooms/49002099"
"Grand County, Colorado, United States","40.10028","-105.95809","Sun Outdoors Rocky Mountains Lookout Lodge V31","8","Entire villa",,"https://www.airbnb.com/rooms/52385878"
"Granby, Colorado, United States","40.07091","-105.93537","Attractive & Spacious Countryside Home w/Firepit, Private W/D, Free WiFi, Patio","10","Entire townhouse","5","https://www.airbnb.com/rooms/49744791"
"Granby, Colorado, United States","40.02188","-105.92015","The Po' Cabin in the Woods!","10","Entire chalet","5","https://www.airbnb.com/rooms/27402372"
"Winter Park, Colorado, United States","39.91377","-105.78766","Downtown HCH 3 bedroom remodeled & perfect escape for WP vacation","8","Entire condo",,"https://www.airbnb.com/rooms/48485178"
"Granby, Colorado, United States","40.0479","-105.89858","Beautiful mountain home w/ private grill, hot tub & great views - walk to lifts!","11","Entire home","4","https://www.airbnb.com/rooms/42662794"
"Idaho Springs, Colorado, United States","39.79158","-105.64334","Cozy Idaho Springs Cottage w/ Mill Creek Views!","2","Entire home","5","https://www.airbnb.com/rooms/20633453"
"Granby, Colorado, United States","40.099","-105.958","Sun Outdoors Rocky Mountains' Alpine Retreat V13","10","Entire villa","5","https://www.airbnb.com/rooms/52383104"
"Granby, Colorado, United States","40.052","-105.916","Mountain View Camp Granby","8","Entire home","4.5","https://www.airbnb.com/rooms/46430240"
"Granby, Colorado, United States","40.08089","-105.92511","Granby Cabin w/ Scenic Views on Fraser River","6","Entire cabin","5","https://www.airbnb.com/rooms/43590384"
"Granby, Colorado, United States","40.00405","-105.89537","Moore's Mountain Cabin","8","Entire cabin","5","https://www.airbnb.com/rooms/40682663"
"Winter Park, Colorado, United States","39.9204","-105.78345","Pet Friendly Downtown Winter Park! TH 812","7","Entire condo","5","https://www.airbnb.com/rooms/35491810"
"Fraser, Colorado, United States","39.94759","-105.80993","Scenic Mountain Townhouse Fraser","8","Entire townhouse","5","https://www.airbnb.com/rooms/9546146"
"Granby, Colorado, United States","40.04775","-105.92511","Mountain House - near Granby Ranch","10","Entire home","5","https://www.airbnb.com/rooms/52106568"
"Granby, Colorado, United States","40.06702","-105.94175","Stunning Alpine Home w/ Hot Tub - Hike & Ski!","6","Entire home","5","https://www.airbnb.com/rooms/569493280259685900"
"Idaho Springs, Colorado, United States","39.83","-105.639","Lakeside cabin with St. Mary’s Glacier views","5","Entire cabin",,"https://www.airbnb.com/rooms/52094786"
"Granby, Colorado, United States","40.04567","-105.89831","Ski-In/Ski-Out Home w/ Gas Fireplace, WiFi, Laundry & Shared Pool/Hot Tub!","8","Entire home","4.5","https://www.airbnb.com/rooms/49121642"
"Granby, Colorado, United States","40.04382","-105.90488","New!!! Beautiful Ground Floor Ski-in/out  3bd/3ba Condo at GR","10","Entire condo","4.5","https://www.airbnb.com/rooms/46295603"
"Fraser, Colorado, United States","39.93309","-105.79885","4 Bedrooms, Family Friendly, Private Hot Tub","11","Entire home","5","https://www.airbnb.com/rooms/31358915"
"Granby, Colorado, United States","40.0558","-105.91742","Indian Trails Lodge","12","Entire home","4.5","https://www.airbnb.com/rooms/30354557"
"Winter Park, Colorado, United States","39.92407","-105.78385","Premium 3 bedroom Unit!","7","Entire condo","4.5","https://www.airbnb.com/rooms/25011248"
"Fraser, Colorado, United States","39.93902","-105.80971","Ski and Bike Winter Park Colorado","7","Entire home","5","https://www.airbnb.com/rooms/19532556"
"Winter Park, Colorado, United States","39.92647","-105.78691","Stunning BRAND NEW Lux condo in heart of WP","10","Entire condo","5","https://www.airbnb.com/rooms/41524619"
"Winter Park, Colorado, United States","39.92","-105.782","Downtown Winter Park  spacious, backs up to open space Trailhead Lodge 524","8","Entire condo","5","https://www.airbnb.com/rooms/23751416"
"Silver Plume, Colorado, United States","39.6941","-105.77058","Silver Plume Mountain Haven with Views & Deck!","7","Entire home","5","https://www.airbnb.com/rooms/52145009"
"Fraser, Colorado, United States","39.949","-105.81","Spacious Townhouse with Gorgeous Mountain Views!!","10","Entire townhouse","5","https://www.airbnb.com/rooms/40696186"
"Tabernash, Colorado, United States","40.00375","-105.89397","Vista Ridge - Cozy Cabin, Hot Tub, Awesome Views","8","Entire home","5","https://www.airbnb.com/rooms/49448713"
"Granby, Colorado, United States","40.04554","-105.90024","Amazing home directly on the Ski Lift!","11","Entire home",,"https://www.airbnb.com/rooms/49398935"
"Winter Park, Colorado, United States","39.91791","-105.78869","Colorado Ski Country Condo-Family Friendly","6","Entire condo",,"https://www.airbnb.com/rooms/40058286"
"Granby, Colorado, United States","40.04857","-105.89066","Scenic Mtn Getaway sleeps 8 - w/ Hot Tub & VIEWS!","8","Entire home","5","https://www.airbnb.com/rooms/26139692"
"Granby, Colorado, United States","40.0469","-105.89865","Four-bedroom home with private hot tub, deck, patio, and gas grill + free WiFi!","8","Entire home","5","https://www.airbnb.com/rooms/45750917"
"Granby, Colorado, United States","40.0514","-105.90661","Deluxe Granby Ranch Hillside Home: Private Hot Tub","12","Entire home","5","https://www.airbnb.com/rooms/39935501"
"Tabernash, Colorado, United States","39.98629","-105.85808","Gorgeous Mountain Townhome w/Mountain Views, Private Hot Tub, Fireplace, & Deck","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/52774362"
"Grand County, Colorado, United States","40.09887","-105.95741","Sun Outdoors Rocky Mountains' Lookout Lodge V34","8","Entire villa","5","https://www.airbnb.com/rooms/52648608"
"Winter Park, Colorado, United States","39.91409","-105.78542","2 bedroom/2 bath condo. Close to town and lifts.","7","Entire condo","5","https://www.airbnb.com/rooms/38045696"
"Fraser, Colorado, United States","39.948","-105.812","Fraser: Family and Friendly Dogs Welcome","8","Entire townhouse","5","https://www.airbnb.com/rooms/29128045"
"Tabernash, Colorado, United States","39.98433","-105.85518","Fun 4 bedroom with Air Conditioning to Stay Cool Pet Friendly","10","Entire condo","5","https://www.airbnb.com/rooms/49363674"
"Fraser, Colorado, United States","39.94214","-105.78873","Moose Lodge: Peaceful & private!","6","Entire home","5","https://www.airbnb.com/rooms/8773572"
"Winter Park, Colorado, United States","39.91352","-105.78219","New kitchen, second floor condo with clubhouse access","6","Entire condo",,"https://www.airbnb.com/rooms/25011100"
"Granby, Colorado, United States","40.06468","-105.93249","New! Grand Elk Getaway - Mountain Views & 7 Beds!","12","Entire home","5","https://www.airbnb.com/rooms/33870957"
"Winter Park, Colorado, United States","39.9279","-105.79291","NEW! Woodsy Townhome, 5 Mi to Winter Park Resort!","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/53479019"
"Granby, Colorado, United States","40.06584","-105.93347","Granby Getaway mins from RMNP, WP, & Granby Ranch!","10","Entire townhouse","5","https://www.airbnb.com/rooms/41319981"
"Winter Park, Colorado, United States","39.91306","-105.78777","4 bedroom - sleeps 10, remodeled new flooring, furnishings, bathrooms!","10","Entire condo","4.5","https://www.airbnb.com/rooms/46331629"
"Winter Park, Colorado, United States","39.91376","-105.78407","Updated 3 bedroom Condo Close to Winter Park Resort","6","Entire condo",,"https://www.airbnb.com/rooms/25011095"
"Dumont, Colorado, United States","39.78952","-105.63574","Mountain Cabin w/ Deck & Backyard on Mill Creek!","6","Entire cabin","5","https://www.airbnb.com/rooms/28106739"
"Fraser, Colorado, United States","39.93203","-105.79976","Family friendly, spacious  3 bedroom w/private hot tub","9","Entire townhouse",,"https://www.airbnb.com/rooms/52531823"
"Fraser, Colorado, United States","39.92775","-105.78283","Winter Park/Fraser Rendezvous Condo","8","Entire condo","5","https://www.airbnb.com/rooms/11064223"
"Tabernash, Colorado, United States","40.00575","-105.91229","Quiet family mountain home near skiing and lakes","8","Entire home",,"https://www.airbnb.com/rooms/54307605"
"Winter Park , Colorado, United States","39.917","-105.784","LOCATION! DOWNTOWN WINTER PARK WALK TO EVERYTHING","6","Entire condo","4.5","https://www.airbnb.com/rooms/28617971"
"Granby, Colorado, United States","40.05102","-105.90685","Granby Home w/Patio, Fire Pit & Ski Mountain Views","14","Entire home","5","https://www.airbnb.com/rooms/20634909"
"Fraser, Colorado, United States","39.93653","-105.80614","Chalet at Cozen's Pointe! 2 bed 2 bath sleeps 6","6","Entire condo","5","https://www.airbnb.com/rooms/52717909"
"Tabernash, Colorado, United States","39.99778","-105.88581","Mountain Hideaway Near Town & Skiing W/ Private Hot Tub, Free WiFi & Deck!","10","Entire home",,"https://www.airbnb.com/rooms/52774194"
"Fraser, Colorado, United States","39.94871","-105.82072","Sleeps 7!  Condo with tandem garage. W/D. WiFi.","7","Entire condo","5","https://www.airbnb.com/rooms/53292683"
"Tabernash, Colorado, United States","39.9868","-105.85638","Panoramic Mountain Views - with Hot Tub","10","Entire home","5","https://www.airbnb.com/rooms/45549788"
"Fraser, Colorado, United States","39.94653","-105.79787","Modern Mountain Escape Near the Slopes W/ Shared Pool/Hot Tub, Free WiFi & More!","10","Entire townhouse","4.5","https://www.airbnb.com/rooms/50287886"
"Granby, Colorado, United States","40.04814","-105.90391","Ski Condo Available for Christmas at Granby Ranch!","5","Entire condo",,"https://www.airbnb.com/rooms/52606477"
"Fraser, Colorado, United States","39.94445","-105.78977","Spacious Condo! 2br, 5 min to Winter Park Town","8","Entire condo","5","https://www.airbnb.com/rooms/53328850"
"Winter Park, Colorado, United States","39.92227","-105.78697","New Luxury Villa #290 Near Resort/Rooftop Hot Tub - FREE Activities & Equipment Rentals Daily","8","Entire townhouse","5","https://www.airbnb.com/rooms/43556309"
"Fraser, Colorado, United States","39.93842","-105.80519","Beautiful 5 BR Winter Park Mountain Home","12","Entire home","5","https://www.airbnb.com/rooms/47479648"
"Fraser, Colorado, United States","39.947","-105.8","MeadowRidge Townhome; Winter Park, Fraser Colorado","8","Entire townhouse","5","https://www.airbnb.com/rooms/14397379"
"Granby, Colorado, United States","40.05229","-105.89256","Mountain-View Lodge w/Shared Pool & Private Hot Tub - Near Skiing & Granby Ranch","10","Entire cabin","5","https://www.airbnb.com/rooms/36160809"
"Granby, Colorado, United States","40.13658","-105.88217","Stylish A-Frame Getaway W/ Two Decks, Fast WiFi, Full Kitchen & Wood Stove!","8","Entire home","5","https://www.airbnb.com/rooms/50084567"
"Winter Park, Colorado, United States","39.91664","-105.79367","Luxury Penthouse #2 Near Resort / Spectacular Views - FREE Activities & Equipment Rentals Daily","8","Entire condo",,"https://www.airbnb.com/rooms/51958566"
"Winter Park, Colorado, United States","39.93003","-105.78475","New Luxury Villa #139 Near Resort/Hot Tub & Great Views - FREE Activities & Equipment Rentals Daily","10","Entire villa","5","https://www.airbnb.com/rooms/30083176"
