"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Breckenridge, Colorado, United States","39.50111","-106.01432","Countryside Ski Chateau with Outdoor Hot Tub","10","Entire home","5","https://www.airbnb.com/rooms/7563588"
"Breckenridge, Colorado, United States","39.476","-106.053","Come spend a magical New Year's in Breckenridge","8","Private room in resort",,"https://www.airbnb.com/rooms/15494082"
"Dillon, Colorado, United States","39.58732","-105.99094","Keystone Ranch Beauty- Secluded & Great For Groups","14","Entire home","5","https://www.airbnb.com/rooms/21728481"
"Avon, Colorado, United States","39.618","-106.546","Ski In/Ski Out Luxury Bachelor Gulch 4 Bedroom Condo","10","Entire condo",,"https://www.airbnb.com/rooms/53138900"
"Snowmass, Colorado, United States","39.295","-107.008","""Fishbrain Resort at Adam's Return"" Resort & Event","7","Entire home","5","https://www.airbnb.com/rooms/45806461"
"Vail, Colorado, United States","39.64432","-106.38979","Vail CO | The Arrabelle at Vail Square | Deluxe King Hotel Room","2","Entire condo",,"https://www.airbnb.com/rooms/43096712"
"Vail, Colorado, United States","39.644","-106.391","The Lion Vail - E506","6","Entire condo",,"https://www.airbnb.com/rooms/43633789"
"Boulder, Colorado, United States","40.036","-105.279","Beautiful Modern Bright and Spacious!","6","Entire home","5","https://www.airbnb.com/rooms/44477199"
"Breckenridge, Colorado, United States","39.48133","-106.04991","Twin Elk Lodge - Ski-in 3 bedroom/3bath, Sleeps 8.","8","Entire condo",,"https://www.airbnb.com/rooms/53342195"
"Avon, Colorado, United States","39.63","-106.522","Ascent 408 - Top floor four bedroom residence with","8","Entire condo",,"https://www.airbnb.com/rooms/47347459"
"Granby, Colorado, United States","40.05019","-105.89679","High-End Granby Ranch Estate near Slopes w/Spacious Deck & Private Hot Tub","10","Entire home","5","https://www.airbnb.com/rooms/47087972"
"Steamboat Springs, Colorado, United States","40.48995","-106.82399","Charming Old Town Steamboat Chalet","6","Entire chalet",,"https://www.airbnb.com/rooms/46073278"
"Breckenridge, Colorado, United States","39.38196","-106.05211","Views, Hot Tub, 4BR/4BA, private, close to resorts","8","Entire home","5","https://www.airbnb.com/rooms/40777149"
"Vail, Colorado, United States","39.644","-106.391","The Lion Vail - W405","6","Entire condo",,"https://www.airbnb.com/rooms/43999958"
"Vail, Colorado, United States","39.644","-106.391","The Lion Vail - E207","6","Entire condo",,"https://www.airbnb.com/rooms/43999896"
"Estes Park, Colorado, United States","40.35729","-105.56246","Big Colorado Cabin w/Character","16","Entire cabin","4.5","https://www.airbnb.com/rooms/38257289"
"Mountain Village, Colorado, United States","37.93639","-107.8493","NEW! Luxurious Ski-In/Ski-Out Telluride MTN Escape","8","Entire townhouse","5","https://www.airbnb.com/rooms/46486277"
"Breckenridge, Colorado, United States","39.4789","-106.05154","Large Condo Great for Families w/ Shared Pool/Hot Tub + Ski-In/Ski-Out Location!","10","Entire condo","5","https://www.airbnb.com/rooms/43487618"
"Vail, Colorado, United States","39.64265","-106.3886","Ski-in/out condo w/ mountain view, fireplace, fast WiFi, shared pool/hot tub/WD!","4","Entire condo","5","https://www.airbnb.com/rooms/21092308"
"Vail, Colorado, United States","39.64192","-106.38806","Luxe condo w/fireplace, fast WiFi & shared pool, hot tubs, W/D - walk to gondola","7","Entire condo",,"https://www.airbnb.com/rooms/43945448"
"Vail, Colorado, United States","39.64415","-106.38127","Unique mountain retreat w/ private balcony and near Vail Ski Resort!","3","Entire condo",,"https://www.airbnb.com/rooms/38130714"
"Aspen, Colorado, United States","39.19129","-106.82449","Aspen 2BR Pres. Dwntn. Prime location w/Amenities","6","Entire condo","5","https://www.airbnb.com/rooms/51691538"
