"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Cropwell, Alabama, United States","33.47934","-86.31705","Logan Martin Lake House","16","Entire home","5","https://www.airbnb.com/rooms/8667689"
"Alpine, Alabama, United States","33.4421","-86.3175","The Captain's Cabin on Logan Martin lake","12","Entire home","5","https://www.airbnb.com/rooms/24216757"
"Birmingham, Alabama, United States","33.5488","-86.66791","The Cabin of Birmingham","11","Entire cabin","5","https://www.airbnb.com/rooms/54103452"
"Pell City, Alabama, United States","33.57004","-86.22342","Lakefront Home/Pontoon for Unforgettable Vacation","8","Entire home","5","https://www.airbnb.com/rooms/49088227"
"Birmingham, Alabama, United States","33.40922","-86.67788","Oak Mountain Oasis","13","Entire home",,"https://www.airbnb.com/rooms/44243669"
"Birmingham, Alabama, United States","33.62521","-86.65901","It’s the Apartment Downstairs for me!","10","Entire vacation home","4.5","https://www.airbnb.com/rooms/25780211"
"Birmingham, Alabama, United States","33.57733","-86.71101","Historical 1900s Farmhouse (owners on premises)","8","Private room in home","5","https://www.airbnb.com/rooms/12209030"
"Ashland, Alabama, United States","33.25106","-85.86555","Whiskey River","8","Tent",,"https://www.airbnb.com/rooms/42864119"
"Birmingham, Alabama, United States","33.6733","-86.68436","Home Away From Home","4","Entire home",,"https://www.airbnb.com/rooms/42883747"
"Woodland, Alabama, United States","33.43516","-85.48056","Beautiful Cabin Minutes from Lake Wedowee!","2","Entire cabin",,"https://www.airbnb.com/rooms/47386298"
"Wedowee, Alabama, United States","33.34312","-85.51277","Wedowee, waterfront ,kayaks,pedal,pontoon prv ramp","10","Entire home","5","https://www.airbnb.com/rooms/8657198"
"Lincoln, Alabama, United States","33.60017","-86.16193","Beach house on Logan Martin Lake","5","Entire cottage","5","https://www.airbnb.com/rooms/14563875"
"Birmingham, Alabama, United States","33.5903","-86.69041","NEW! Birmingham Tudor-Style Chalet on Over 2 Acres","15","Entire home","4.5","https://www.airbnb.com/rooms/52279425"
"Birmingham, Alabama, United States","33.532","-86.657","Bright & quiet home on nearly 4 acres in Irondale","6","Entire home","4.5","https://www.airbnb.com/rooms/54144450"
"Birmingham, Alabama, United States","33.57582","-86.69769","Convenient| Executive & Family Friendly Home","10","Entire home","5","https://www.airbnb.com/rooms/51558301"
"Shelby, Alabama, United States","33.09135","-86.51573","Lake Chillin’ at its finest!","16","Entire home","5","https://www.airbnb.com/rooms/32316308"
"Wedowee, Alabama, United States","33.35856","-85.50951","4/3.5b Waterfront w/spectacular views - boat renta","8","Entire home","5","https://www.airbnb.com/rooms/34083428"
"Wedowee, Alabama, United States","33.375","-85.515","Lake Wedowee Paradise, Lake front & Private pool!","6","Entire guest suite","4.5","https://www.airbnb.com/rooms/32016492"
"Birmingham, Alabama, United States","33.61701","-86.65397","Jess' Haven❤️ ~ *arcade games*","10","Entire home","5","https://www.airbnb.com/rooms/53482353"
"Shelby, Alabama, United States","33.09609","-86.52292","Perrydise Lakehouse","16","Entire home","5","https://www.airbnb.com/rooms/43603970"
"Lineville, Alabama, United States","33.40724","-85.59941","Beautiful Lakefront Cabin for a Family Getaway","8","Entire cabin","5","https://www.airbnb.com/rooms/49884899"
"Wilsonville, Alabama, United States","33.33194","-86.55316","Pet Friendly 1800’s cabin! Stay with us for Weddin","10","Entire cabin",,"https://www.airbnb.com/rooms/19571707"
"Lincoln, Alabama, United States","33.60012","-86.16238","Lake house minutes from Talladega Superspeedway","6","Entire cottage","5","https://www.airbnb.com/rooms/48054542"
"Shelby, Alabama, United States","33.06742","-86.51032","P*Jinx & Grace, Peaceful Lake Front 3BR/2b","10","Entire home","5","https://www.airbnb.com/rooms/51726534"
"Birmingham, Alabama, United States","33.57254","-86.69094","The Terrace House Eat, Drink, Be Merry Getaway","16","Entire home","4.5","https://www.airbnb.com/rooms/45588484"
"Alpine, Alabama, United States","33.44712","-86.29384","Luxurious Lake house~ Panoramic Retreat ~WOW!","8","Entire home","5","https://www.airbnb.com/rooms/73820"
"Riverside, Alabama, United States","33.6062","-86.20377","No Stress Aunt Mary","6","Entire home","5","https://www.airbnb.com/rooms/42687944"
"Sylacauga, Alabama, United States","33.10079","-86.48979","The Sawyer House at Lay Lake","6","Entire home","5","https://www.airbnb.com/rooms/48417717"
"Shelby, Alabama, United States","33.05513","-86.52919","Waterfront Lay Lake Retreat w/Dock & 3 Piers!","12","Entire home","5","https://www.airbnb.com/rooms/43924866"
"St. Clair County, Alabama, United States","33.46949","-86.32236","Heaven on Logan Martin Lake!","11","Entire home","5","https://www.airbnb.com/rooms/53141476"
"Pell City, Alabama, United States","33.56698","-86.22291","The Waterfront  Logan Martin Lake","6","Entire home","5","https://www.airbnb.com/rooms/35901252"
"Wedowee, Alabama, United States","33.3094","-85.48393","Lakefront Log Cabin with a Million-Dollar View","8","Entire cabin","5","https://www.airbnb.com/rooms/39672417"
"Talladega, Alabama, United States","33.47832","-86.29216","Beautiful Lakefront Home on Logan Martin Lake","8","Entire home","5","https://www.airbnb.com/rooms/48540201"
"Talladega, Alabama, United States","33.50118","-86.22656","Talladega Area Condo w/ Lake Views & Pool!","8","Entire condo","4.5","https://www.airbnb.com/rooms/35905938"
"Talladega, Alabama, United States","33.54654","-86.18185","Cozy Lake Logan Martin getaway with large yard","8","Entire home","5","https://www.airbnb.com/rooms/47422560"
"Talladega, Alabama, United States","33.51567","-86.22739","*Sunset Escape on Logan Martin Lake*","7","Entire home","5","https://www.airbnb.com/rooms/33556807"
"Talladega, Alabama, United States","33.53356","-86.19187","Cabin on Logan Martin Lake","6","Entire guesthouse","5","https://www.airbnb.com/rooms/6284832"
"Odenville, Alabama, United States","33.69872","-86.50295","Large  Hme .
3 BR 2 BTH","6","Entire home","5","https://www.airbnb.com/rooms/8962933"
"Columbiana, Alabama, United States","33.17503","-86.60588","Shelby County! Stay with us for Weddings, Wineries","7","Entire home","5","https://www.airbnb.com/rooms/47563991"
"Heflin, Alabama, United States","33.64061","-85.60179","Barn House chic--cozy getaway","12","Entire home","5","https://www.airbnb.com/rooms/21862700"
"Shelby County, Alabama, United States","33.1001","-86.50523","NEW! Authentic Coosa River Retreat w/ Private Dock","10","Entire cabin","4.5","https://www.airbnb.com/rooms/49054347"
"Riverside, Alabama, United States","33.63698","-86.16871","Waterfront Riverside Home w/ Grill & On-Site Dock!","12","Entire home","5","https://www.airbnb.com/rooms/50788666"
"Talladega, Alabama, United States","33.47357","-86.29485","Relaxing Lakefront Retreat with spectacular views","6","Entire vacation home","5","https://www.airbnb.com/rooms/623794888702684000"
"Jacksonville, Alabama, United States","33.79024","-85.79671","Modern 3 BD home with hot tub and spacious yard","6","Entire home","3.5","https://www.airbnb.com/rooms/52167754"
"Pell City, Alabama, United States","33.53444","-86.21288","Rustic Serenity on Logan Martin Lake","12","Entire home","5","https://www.airbnb.com/rooms/43768658"
