"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Birmingham, Alabama, United States","33.49467","-86.80111","Beautiful, Restored Historic Craftsman House!","16","Entire home","4.5","https://www.airbnb.com/rooms/50395142"
"Birmingham, Alabama, United States","33.37516","-86.76905","Convenience in Hoover. Great for Families/Groups.","15","Entire home","5","https://www.airbnb.com/rooms/49612320"
"Northport, Alabama, United States","33.22339","-87.57792","Walk to campus-Only 2.6 miles to Stadium!","4","Entire bungalow","5","https://www.airbnb.com/rooms/45527520"
"Orange Beach, Alabama, United States","30.268","-87.59","Phoenix Orange Beach by Brett Robinson Vacations 3 Bed 3 Bath Gulf Front Sleeps 12","12","Entire condo",,"https://www.airbnb.com/rooms/48042951"
"Gulf Shores, Alabama, United States","30.24851","-87.67518","15th-Floor Gulf-Front Condo w/Spacious Balcony, W/D, Grill, Shared Pool, Hot Tub","10","Entire condo",,"https://www.airbnb.com/rooms/52698540"
"Orange Beach, Alabama, United States","30.26695","-87.59191","Luxury Updated 3/3 Beachfront Corner Unit w/Pool","10","Entire condo","5","https://www.airbnb.com/rooms/41529455"
"Huntsville, Alabama, United States","34.76082","-86.66695","The American Oasis","16","Entire home","4","https://www.airbnb.com/rooms/48040520"
"Northport, Alabama, United States","33.28942","-87.63596","Comfy, Contemporary Stylish -Hotel Suite","4","Private room in home","5","https://www.airbnb.com/rooms/23110979"
"Equality, Alabama, United States","32.79514","-86.00989","Bolton Cove-11 Cricket Ln. Pool, beach, playground","10","Entire home","5","https://www.airbnb.com/rooms/46068531"
"Dadeville, Alabama, United States","32.76975","-85.8393","Connell Road","10","Entire home","4.5","https://www.airbnb.com/rooms/35124048"
"Gulf Shores, Alabama, United States","30.23078","-87.91394","Beach Front For An Awesome Memory Fill Beach Vacat","16","Entire home",,"https://www.airbnb.com/rooms/53699960"
"Orange Beach, Alabama, United States","30.27133","-87.57396","Bright and Spacious Getaway Suite in Beachfront Complex w/Shared Pool, Hot Tub","10","Entire condo",,"https://www.airbnb.com/rooms/52696640"
"Foley, Alabama, United States","30.356","-87.661","The Big Kahuna","16","Entire home","5","https://www.airbnb.com/rooms/52650083"
"Gulf Shores, Alabama, United States","30.24964","-87.67622","11th-Floor Oceanfront Condo w/Private Balcony, Shared Pool, Hot Tub, A/C, WiFi","8","Entire condo",,"https://www.airbnb.com/rooms/52712855"
"Gulf Shores, Alabama, United States","30.24775","-87.69407","Brand New Home w/ 2 Balconies, WiFi, AC & Laundry - Walk to the Beach","10","Entire home","5","https://www.airbnb.com/rooms/52712821"
"Dauphin Island, Alabama, United States","30.25123","-88.17125","New Dog-Friendly Home with Gulf Views - Internet, Washer & Dryer, Central AC","6","Entire home",,"https://www.airbnb.com/rooms/53715290"
"Orange Beach, Alabama, United States","30.27211","-87.56814","🌊☀Phoenix Orange Beach II 2301 - Beautiful Gulf Front Condo at BRAND NEW PhOB2☀🌊","16","Entire condo",,"https://www.airbnb.com/rooms/49477556"
"Gulf Shores, Alabama, United States","30.24856","-87.67545","Two Adjoining Gulf-Front Condos w/ Balconies, Gulf Views, AC, WiFi & Shared Pool","16","Entire condo","4","https://www.airbnb.com/rooms/50169787"
"Gulf Shores, Alabama, United States","30.24174","-87.73655","Sunny Home Near the Beach w/Balcony, Partial Beach Views, Shared Outdoor Pool","14","Entire home","5","https://www.airbnb.com/rooms/551153772009319550"
"Auburn, Alabama, United States","32.57876","-85.44191","Lovely 3 bedroom home minutes from campus","6","Entire home",,"https://www.airbnb.com/rooms/51482794"
"Gulf Shores, Alabama, United States","30.24615","-87.70295","SOPHUN VACATION RENTAL - A little bit of paradise.","6","Entire condo",,"https://www.airbnb.com/rooms/50632275"
"Orange Beach, Alabama, United States","30.25884","-87.6243","Steps Away.","12","Entire condo","5","https://www.airbnb.com/rooms/38384811"
"Gulf Shores, Alabama, United States","30.24215","-87.7315","Sunny 6BR Gulf Shores Pool, Direct Beach","16","Entire home","5","https://www.airbnb.com/rooms/22372267"
"Orange Beach, Alabama, United States","30.259","-87.625","Phoenix West II by Brett Robinson Vacations 3 Bed 4 Bath Gulf Front Sleeps 10","10","Entire condo",,"https://www.airbnb.com/rooms/48093255"
"Gulf Shores, Alabama, United States","30.23008","-87.8756","Bristol 607","8","Entire serviced apartment",,"https://www.airbnb.com/rooms/17041885"
"Gulf Shores, Alabama, United States","30.23152","-87.87532","Luxurious beach front 4 BR condo * use our chairs","11","Entire condo","5","https://www.airbnb.com/rooms/34647016"
"Gulf Shores, Alabama, United States","30.24853","-87.67364","Stunning 5BR home called Our Pointe of View Beautiful Gulf Front Views!","11","Entire home","4.5","https://www.airbnb.com/rooms/48664296"
"Gulf Shores, Alabama, United States","30.2312","-87.99098","Beach, Pools, Bay Best of all Worlds !","11","Entire home","4.5","https://www.airbnb.com/rooms/43487136"
"Gulf Shores, Alabama, United States","30.24286","-87.73504","Quiet and Attractive House Right Across the Street From the Beach w/Shared Pool","11","Entire home",,"https://www.airbnb.com/rooms/52671983"
"Cottondale, Alabama, United States","33.18662","-87.45474","The Pool House","6","Entire home","5","https://www.airbnb.com/rooms/20524499"
"Orange Beach, Alabama, United States","30.26777","-87.59314","Enclave 604- Beautiful Beach Front Unit with Large Terrace!","11","Entire condo","5","https://www.airbnb.com/rooms/9415497"
"Gulf Shores, Alabama, United States","30.233","-87.913","Large Home-1 min. to beach-Elevator-2 pools-6porch","16","Entire home","5","https://www.airbnb.com/rooms/34285096"
"Tuscaloosa, Alabama, United States","33.14352","-87.5675","Ubering Home","6","Entire home","4.5","https://www.airbnb.com/rooms/24523338"
"Chelsea, Alabama, United States","33.32093","-86.69488","LUXURY CHELSEA HOME FOR RENT !!!","6","Entire guest suite",,"https://www.airbnb.com/rooms/24445354"
"Anniston, Alabama, United States","33.6575","-85.82278","LUXURY VILLA. king sized beds. En suite facilities","14","Entire home","5","https://www.airbnb.com/rooms/39307517"
"Gulf Shores, Alabama, United States","30.23855","-87.76623","A family friendly cottage with something for all.","9","Entire cottage","5","https://www.airbnb.com/rooms/39731343"
"Orange Beach, Alabama, United States","30.268","-87.59","Phoenix Orange Beach by Brett Robinson Vacations 4 Bed 3 Bath Gulf Front Sleeps 14","14","Entire condo",,"https://www.airbnb.com/rooms/48043095"
"Orange Beach, Alabama, United States","30.27204","-87.56601","Phoenix VII-503-Spacious-Direct Gulf Front- Luxury","8","Entire condo",,"https://www.airbnb.com/rooms/39696830"
"Orange Beach, Alabama, United States","30.26318","-87.60935","Corner penthouse condo with Gulf views, balcony & shared pools, hot tubs","11","Entire condo","3.5","https://www.airbnb.com/rooms/52698351"
"Orange Beach, Alabama, United States","30.25834","-87.62535","Phoenix West II","10","Entire condo","5","https://www.airbnb.com/rooms/15257381"
"Orange Beach, Alabama, United States","30.26794","-87.5891","4 Bedroom Gulf Front - Phoenix Orange Beach 1006","14","Entire condo",,"https://www.airbnb.com/rooms/48483140"
"Orange Beach, Alabama, United States","30.2705","-87.57432","Large & Well-Appointed Condo in Beachfront Resort w/Shared Pool & Hot Tub + WiFi","10","Entire condo",,"https://www.airbnb.com/rooms/52696694"
"Orange Beach, Alabama, United States","30.26687","-87.59158","Luxurious second floor corner unit, sleeps 12","12","Entire condo","5","https://www.airbnb.com/rooms/21505809"
"Orange Beach, Alabama, United States","30.26244","-87.61325","Gulf-Front 14th-Floor Condo w/Private Balcony, Shared Pool, Hot Tub, Sauna, A/C","12","Entire condo","4","https://www.airbnb.com/rooms/52712858"
"Florence, Alabama, United States","34.83006","-87.58775","Bring Your Boat to Singing Rivermont House","10","Entire home","5","https://www.airbnb.com/rooms/34996248"
"Orange Beach, Alabama, United States","30.27128","-87.57376","Beautiful and Well-Appointed Condo w/Shared Pool and Hot Tub + Free WiFi","8","Entire condo",,"https://www.airbnb.com/rooms/52680558"
"Orange Beach, Alabama, United States","30.27215","-87.57752","The Palms301c Corner Beachfront 3/3 w/beach chairs","7","Entire condo","4.5","https://www.airbnb.com/rooms/43212952"
"Equality, Alabama, United States","32.796","-86.009","Bolton Cove-9 Cricket Ln. Pool, beach, playground","11","Entire home","4.5","https://www.airbnb.com/rooms/44998133"
"Dadeville, Alabama, United States","32.7148","-85.85412","Lake Martin 4BR home, amazing sunset views!","10","Entire home","5","https://www.airbnb.com/rooms/47001396"
"Orange Beach, Alabama, United States","30.25867","-87.62449","Phoenix West II 305- Beach Front View, Large Terrace, Lazy River!","10","Entire condo",,"https://www.airbnb.com/rooms/48971805"
"Orange Beach, Alabama, United States","30.26017","-87.62535","6th Floor Corner Four Bedroom! Phoenix West II Condo 601","10","Entire condo",,"https://www.airbnb.com/rooms/48491135"
"Dadeville, Alabama, United States","32.70756","-85.85445","Zola’s on the Water- 5b/3ba Lake  Martin home!","12","Entire home","5","https://www.airbnb.com/rooms/52512801"
"Gulf Shores, Alabama, United States","30.244","-87.73","Perky Pelican","12","Entire home",,"https://www.airbnb.com/rooms/30717643"
"Gulf Shores, Alabama, United States","30.25039","-87.6754","Two-Story Beachfront Condo w/Balcony, A/C, Free WiFi, Shared Pool, Hot Tub, W/D","9","Entire condo",,"https://www.airbnb.com/rooms/52682724"
"Gulf Shores, Alabama, United States","30.24549","-87.6978","Ocean Reef 802- Prime Location- 3 Story Townhouse","8","Entire townhouse",,"https://www.airbnb.com/rooms/39697417"
"Gulf Shores, Alabama, United States","30.24881","-87.69064","Gulf Shores, AL Luxury Condo, NEW BUILD! Rooftop Pool!","9","Entire condo",,"https://www.airbnb.com/rooms/48800429"
"Orange Beach, Alabama, United States","30.281","-87.57","Spacious Private Bayfront & Pet Friendly","12","Entire home","5","https://www.airbnb.com/rooms/50934724"
"Gulf Shores, Alabama, United States","30.24867","-87.67701","Beachfront Condo w/Incredible Views, Balcony, Wet Bar, Shared Pool, Hot Tub, Gym","8","Entire condo",,"https://www.airbnb.com/rooms/52682719"
"Orange Beach, Alabama, United States","30.25872","-87.62393","4BR 4.5BA Beach Front Condo! - Phoenix West II 1011 - Book Your Vacation Today!","12","Entire condo",,"https://www.airbnb.com/rooms/48487393"
"Gulf Shores, Alabama, United States","30.23514","-87.91447","Spacious Morgantown Beach Home with Balconies, Pools & Tennis","15","Entire home","4.5","https://www.airbnb.com/rooms/38421220"
"Florence, Alabama, United States","34.80699","-87.67796","Ashcraft Hall Historic Home","9","Entire place","5","https://www.airbnb.com/rooms/44555978"
"Gulf Shores, Alabama, United States","30.24625","-87.70131","New, Gulf-Front Condo w/ Oversize Balcony, Great View & Shared Pool/Hot Tub","8","Entire condo",,"https://www.airbnb.com/rooms/52687164"
"Riverside, Alabama, United States","33.64243","-86.16777","Cozy Lake Cottage with fantastic Panoramic views","10","Entire cottage","5","https://www.airbnb.com/rooms/51615696"
"Madison, Alabama, United States","34.67674","-86.75376","Look No Further! 4 Classy Units, Free Parking","16","Room in hotel",,"https://www.airbnb.com/rooms/49593482"
"Gulf Shores, Alabama, United States","30.25145","-87.801","Beautiful Sunsets And Sunrises-White Sandy Beach-M","16","Entire home",,"https://www.airbnb.com/rooms/53698787"
"Gulf Shores, Alabama, United States","30.24196","-87.73763","Waterfront gem with lovely views of Little Lagoon & The Pass, deck, pool, & WiFi","14","Entire home","4.5","https://www.airbnb.com/rooms/52699310"
"Tuscaloosa, Alabama, United States","33.137","-87.553","Southern Charmer","12","Entire home","5","https://www.airbnb.com/rooms/28865072"
"Jasper, Alabama, United States","34.00113","-87.22654","Lakeside Getaway","12","Entire home","4.5","https://www.airbnb.com/rooms/54149224"
"Northport, Alabama, United States","33.30253","-87.5687","Adorable home 10 minutes from U of A campus!","7","Entire home",,"https://www.airbnb.com/rooms/49596736"
"Gulf Shores, Alabama, United States","30.23936","-87.76125","Lagoon Front House w/ Beach access","10","Entire home","5","https://www.airbnb.com/rooms/11064864"
"Orange Beach, Alabama, United States","30.26342","-87.61169","""Sugar Suite"" at Phoenix IV","8","Entire condo",,"https://www.airbnb.com/rooms/50241201"
"Tuscaloosa, Alabama, United States","33.18933","-87.53194","Terrific Tuscaloosa Townhome 2 Miles to Stadium!","10","Entire home","5","https://www.airbnb.com/rooms/38151169"
"Orange Beach, Alabama, United States","30.27236","-87.57445","Turquoise C2106-Beach Front w/Large Terrace & Hot Tub, Saltwater Lazy River!","12","Entire condo","5","https://www.airbnb.com/rooms/3089381"
"Gulf Shores, Alabama, United States","30.24747","-87.69087","New Beachfront condo walking distance to all local hot spots!","9","Entire condo",,"https://www.airbnb.com/rooms/48800431"
"Gulf Shores, Alabama, United States","30.24379","-87.71006","Tropical Winds 304- Gulf Front- Prime Location","10","Entire condo",,"https://www.airbnb.com/rooms/39863697"
"Auburn, Alabama, United States","32.58138","-85.49055","QUITE but well thought out! 4 Bedroom CAVE !","8","Entire rental unit",,"https://www.airbnb.com/rooms/659927149293888300"
"Orange Beach, Alabama, United States","30.27216","-87.5761","Relaxing Three Bedroom Unit at Turquoise Place Right on the Gulf of Mexico Beach","8","Entire condo",,"https://www.airbnb.com/rooms/42688584"
