"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Hope, Alaska, United States","60.919","-149.62","Hope's Hideaway Lodge in Hope, Alaska","6","Entire cottage","5","https://www.airbnb.com/rooms/14045114"
"Anchorage, Alaska, United States","61.19093","-149.90416","Eagle's Nest","2","Entire rental unit",,"https://www.airbnb.com/rooms/36799912"
"Anchorage, Alaska, United States","61.15454","-149.89715","Spacious Home Near Airport & Downtown","8","Entire home",,"https://www.airbnb.com/rooms/53661715"
"Anchorage, Alaska, United States","61.21176","-149.88858","Downtown Lux - The Dark Horse House - 3 Bed/Bath","6","Entire home","5","https://www.airbnb.com/rooms/52767254"
"Anchorage, Alaska, United States","61.18655","-149.84508","BASE CAMP ANCHORAGE -  FOR DAY TRIPPING","6","Entire home","5","https://www.airbnb.com/rooms/24106436"
"Anchorage, Alaska, United States","61.1982","-149.86441","Quaint Home in the Center of Anchorage","8","Entire home","5","https://www.airbnb.com/rooms/27202543"
"Anchorage, Alaska, United States","61.20396","-149.89962","★Recently Updated★ Walk/bike to trails/Downtown","5","Entire home","5","https://www.airbnb.com/rooms/34788884"
"Anchorage, Alaska, United States","61.20155","-149.87342","Mid Century Time Capsule | with GE Wonder Kitchen!","6","Entire home","5","https://www.airbnb.com/rooms/50869884"
"Anchorage, Alaska, United States","61.09024","-149.81109","Alaska Glamping on the Creek","5","Camper/RV",,"https://www.airbnb.com/rooms/47200250"
"Anchorage, Alaska, United States","61.20369","-149.89951","✦Spacious✦Walk/Bike to Dtown & Trails / Duplex","8","Entire home","5","https://www.airbnb.com/rooms/35772604"
"Anchorage, Alaska, United States","61.20756","-149.89479","Awesome Downtown Home","4","Entire home","5","https://www.airbnb.com/rooms/8115870"
"Anchorage, Alaska, United States","61.2086","-149.89963","Downtown at your doorstep!","8","Entire home","5","https://www.airbnb.com/rooms/51522764"
"Anchorage, Alaska, United States","61.18298","-149.81856","Aurora Vista Anchorage Suite B","10","Entire townhouse","4","https://www.airbnb.com/rooms/50012254"
"Anchorage, Alaska, United States","61.18172","-149.90732","Spacious and Immaculate 3 BD  Duplex","4","Entire home","5","https://www.airbnb.com/rooms/4951288"
"Anchorage, Alaska, United States","61.21011","-149.88507","Quiet apartment near city center","4","Entire rental unit","5","https://www.airbnb.com/rooms/4438244"
"Anchorage, Alaska, United States","61.1467","-149.9018","Alaska Adventures Stay Suite","7","Entire rental unit","5","https://www.airbnb.com/rooms/30271490"
"Anchorage, Alaska, United States","61.21047","-149.8879","Lovely 2 Bedroom Townhome in Downtown Anchorage","4","Entire condo","5","https://www.airbnb.com/rooms/50467064"
"Anchorage, Alaska, United States","61.1824","-149.81859","Aurora Vista Anchorage Suite A - Upstairs","8","Entire rental unit","5","https://www.airbnb.com/rooms/8257537"
"Anchorage, Alaska, United States","61.09911","-149.8295","Spacious, peaceful & inviting home-away-from home","8","Entire home","5","https://www.airbnb.com/rooms/51970741"
"Anchorage, Alaska, United States","61.21562","-149.88398","°N Escapes: Designer Downtown 1-Bedroom Suite #3","2","Entire serviced apartment","5","https://www.airbnb.com/rooms/50549207"
"Anchorage, Alaska, United States","61.206","-149.892","Your Alaskan Winter Adventure Starts Here!","6","Entire home","5","https://www.airbnb.com/rooms/47527338"
"Anchorage, Alaska, United States","61.11555","-149.81731","Spacious Family Home w/ Deck + Million-Dollar View","7","Entire home","5","https://www.airbnb.com/rooms/45877672"
"Anchorage, Alaska, United States","61.204","-149.898","Chester Creek Gem","4","Entire home","5","https://www.airbnb.com/rooms/25207791"
"Anchorage, Alaska, United States","61.17025","-149.84793","ENTIRE 3 BR HOME /PEACEFUL  W/ ALL YOU NEED","7","Entire home","4.5","https://www.airbnb.com/rooms/44251383"
"Anchorage, Alaska, United States","61.19048","-149.85616","The Hideaway-- Alaskan Retreat w/watersport toys","10","Entire rental unit","5","https://www.airbnb.com/rooms/24059333"
"Anchorage, Alaska, United States","61.16965","-149.9003","Home Sweet Home HC friendly 3/3 prvt house","8","Entire home","5","https://www.airbnb.com/rooms/18252698"
"Hope, Alaska, United States","60.91828","-149.62262","The Cottage in Hope, AK on Bear Creek Pond & Creek","6","Entire cabin","4.5","https://www.airbnb.com/rooms/32818166"
"Anchorage, Alaska, United States","61.20852","-149.89954","Luxury DT Cottage - Free Parking - Self Check-In","8","Entire home","5","https://www.airbnb.com/rooms/44304345"
"Anchorage, Alaska, United States","61.17412","-149.831","Stunning AlaskanTownhouse 3BR/2BA w/Garage + wifi","4","Entire townhouse","5","https://www.airbnb.com/rooms/51910508"
"Anchorage, Alaska, United States","61.19779","-149.85522","4-bedroom fully furnished house in midtown","4","Entire home","5","https://www.airbnb.com/rooms/53189988"
"Anchorage, Alaska, United States","61.11","-149.83287","South Anchorage 4BR Modern Home","7","Entire home","5","https://www.airbnb.com/rooms/53361341"
"Anchorage, Alaska, United States","61.15927","-149.84625","Burlwood Dr.-3 bedroom home, 2 bath, 2 car garage","7","Entire home","5","https://www.airbnb.com/rooms/36880520"
"Anchorage, Alaska, United States","61.20323","-149.76226","The Lake House, Relaxing Midtown Retreat","8","Entire home","5","https://www.airbnb.com/rooms/42051249"
"Anchorage, Alaska, United States","61.11","-149.88","The Modern Moose A Ranch home close to airport","10","Entire home","5","https://www.airbnb.com/rooms/24658340"
"Anchorage, Alaska, United States","61.19155","-149.9057","EAGLE'S NEST","2","Entire rental unit",,"https://www.airbnb.com/rooms/51246499"
"Anchorage, Alaska, United States","61.13206","-149.72938","Log cabin retreat, with stunning views","3","Entire cabin","5","https://www.airbnb.com/rooms/14049254"
"Hope, Alaska, United States","60.90026","-149.62882","Alaska Forest & Trail - River Cabin 2","6","Entire cabin","5","https://www.airbnb.com/rooms/21646364"
"Anchorage, Alaska, United States","61.19071","-149.906","RavenSong One-Minutes from Airport and Hospitals","2","Entire rental unit",,"https://www.airbnb.com/rooms/32916739"
"Anchorage, Alaska, United States","61.17223","-149.83662","Joy's Home Beautiful New Townhome 5BR Sleep 11","11","Entire townhouse","5","https://www.airbnb.com/rooms/54054403"
"Anchorage, Alaska, United States","61.06687","-149.79163","Modern 2 room and stunning views","6","Entire condo",,"https://www.airbnb.com/rooms/41298245"
"Anchorage, Alaska, United States","61.20899","-149.90267","Spacious -3BR/2BA W/Sauna (Downtown)","6","Entire rental unit","5","https://www.airbnb.com/rooms/39654125"
