"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Anchorage, Alaska, United States","61.22165","-149.79799","Modern, cozy and close to downtown!","10","Entire home","5","https://www.airbnb.com/rooms/3513272"
"Anchorage, Alaska, United States","61.2062","-149.85977","Downtown Conveinient","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/25137394"
"Anchorage, Alaska, United States","61.1982","-149.86441","Quaint Home in the Center of Anchorage","8","Entire home","5","https://www.airbnb.com/rooms/27202543"
"Anchorage, Alaska, United States","61.09024","-149.81109","Alaska Glamping on the Creek","5","Camper/RV",,"https://www.airbnb.com/rooms/47200250"
"Anchorage, Alaska, United States","61.20149","-149.82734","Anchorage Wilderness Escape (shared home)","6","Private room in home","5","https://www.airbnb.com/rooms/18993618"
"Anchorage, Alaska, United States","61.18298","-149.81856","Aurora Vista Anchorage Suite B","10","Entire townhouse","4","https://www.airbnb.com/rooms/50012254"
"Anchorage, Alaska, United States","61.22203","-149.78448","Cozy Alaskan Home","2","Private room in home","5","https://www.airbnb.com/rooms/43603800"
"Anchorage, Alaska, United States","61.11","-149.83287","South Anchorage 4BR Modern Home","7","Entire home","5","https://www.airbnb.com/rooms/53361341"
"Anchorage, Alaska, United States","61.17025","-149.84793","ENTIRE 3 BR HOME /PEACEFUL  W/ ALL YOU NEED","7","Entire home","4.5","https://www.airbnb.com/rooms/44251383"
"Anchorage, Alaska, United States","61.11555","-149.81731","Spacious Family Home w/ Deck + Million-Dollar View","7","Entire home","5","https://www.airbnb.com/rooms/45877672"
"Anchorage, Alaska, United States","61.20117","-149.85441","Peyton's Place","4","Entire guesthouse","5","https://www.airbnb.com/rooms/21850445"
"Anchorage, Alaska, United States","61.18655","-149.84508","BASE CAMP ANCHORAGE -  FOR DAY TRIPPING","6","Entire home","5","https://www.airbnb.com/rooms/24106436"
"Anchorage, Alaska, United States","61.11103","-149.83209","Updated, Clean, 4 bedroom in South Anchorage","9","Entire home","4.5","https://www.airbnb.com/rooms/51092988"
"Anchorage, Alaska, United States","61.18492","-149.76996","Reflection Lake Rental Flat","6","Entire home","5","https://www.airbnb.com/rooms/34246294"
"Anchorage, Alaska, United States","61.11261","-149.8318","Comfortable, Quiet, Convenient","6","Entire home","5","https://www.airbnb.com/rooms/17483981"
"Anchorage, Alaska, United States","61.15927","-149.84625","Burlwood Dr.-3 bedroom home, 2 bath, 2 car garage","7","Entire home","5","https://www.airbnb.com/rooms/36880520"
"Anchorage, Alaska, United States","61.20405","-149.84053","Bradley's B&B","6","Entire townhouse","5","https://www.airbnb.com/rooms/9975577"
"Anchorage, Alaska, United States","61.09519","-149.84914","Delightful 3BR home located in South Anchorage :)","7","Entire home","5","https://www.airbnb.com/rooms/48126120"
"Anchorage, Alaska, United States","61.198","-149.766","Comfortable 4 bedroom home in a great neighborhood","10","Entire home","5","https://www.airbnb.com/rooms/49970416"
"Anchorage, Alaska, United States","61.17412","-149.831","Stunning AlaskanTownhouse 3BR/2BA w/Garage + wifi","4","Entire townhouse","5","https://www.airbnb.com/rooms/51910508"
"Anchorage, Alaska, United States","61.12651","-149.84674","Family Friendly Home in the Heart of Adventure","10","Entire home","5","https://www.airbnb.com/rooms/14558084"
"Anchorage, Alaska, United States","61.06687","-149.79163","Modern 2 room and stunning views","6","Entire condo",,"https://www.airbnb.com/rooms/41298245"
"Anchorage, Alaska, United States","61.21484","-149.79514","B&B in the U-Med District, shopping, parks, J-BER","11","Entire home","4.5","https://www.airbnb.com/rooms/48380568"
"Anchorage, Alaska, United States","61.11963","-149.78405","The Cabin in the heart of Anchorage","4","Entire home","5","https://www.airbnb.com/rooms/35673946"
"Anchorage, Alaska, United States","61.3125","-149.54654","Huge Beautiful 5 bedroom home in Eagle River","10","Entire home","5","https://www.airbnb.com/rooms/51311854"
"Anchorage, Alaska, United States","61.21885","-149.72399","Travel Package✅  2bdr unit with CAR Combo▪2️⃣in1️⃣","6","Entire guest suite",,"https://www.airbnb.com/rooms/51178906"
"Anchorage, Alaska, United States","61.10456","-149.73851","Birdhouse Chalet","10","Entire home",,"https://www.airbnb.com/rooms/42078606"
"Anchorage, Alaska, United States","61.10131","-149.84058","South Anchorage 4 Bedroom home -- 7+ beds avail","16","Entire home","5","https://www.airbnb.com/rooms/50940603"
"Anchorage, Alaska, United States","61.13202","-149.76178","Secluded lodge style home w/ huge wraparound porch","10","Entire home","5","https://www.airbnb.com/rooms/30299073"
"Anchorage, Alaska, United States","61.21436","-149.74656","Last Frontier Lodge - Big Group Friendly","16","Entire guest suite","5","https://www.airbnb.com/rooms/29618712"
"Anchorage, Alaska, United States","61.15345","-149.8124","House w/garage, pet friendly, 3-bd'rm + office.","4","Entire home","5","https://www.airbnb.com/rooms/51394174"
"Anchorage, Alaska, United States","61.16795","-149.82639","5 minutes to UMED with heated garage","6","Entire townhouse","5","https://www.airbnb.com/rooms/54083549"
"Anchorage, Alaska, United States","61.14057","-149.84153","Chucks Place","6","Entire home","5","https://www.airbnb.com/rooms/49109587"
"Anchorage, Alaska, United States","61.13206","-149.72938","Log cabin retreat, with stunning views","3","Entire cabin","5","https://www.airbnb.com/rooms/14049254"
"Anchorage, Alaska, United States","61.09996","-149.69114","Chugach Cabin Lodge at Flattop Mountain","10","Entire cabin",,"https://www.airbnb.com/rooms/24967133"
"Anchorage, Alaska, United States","61.18614","-149.85745","Stunning Midtown Home! Incredible Theater & Sauna!","14","Entire home",,"https://www.airbnb.com/rooms/54247781"
"Anchorage, Alaska, United States","61.088","-149.813","Log Cabin in South Anchorage - Entire Home","8","Entire cabin","5","https://www.airbnb.com/rooms/26720612"
"Anchorage, Alaska, United States","61.17223","-149.83662","Joy's Home Beautiful New Townhome 5BR Sleep 11","11","Entire townhouse","5","https://www.airbnb.com/rooms/54054403"
"Anchorage, Alaska, United States","61.21761","-149.73452","Cozy’s","4","Entire home","5","https://www.airbnb.com/rooms/48131139"
"Anchorage, Alaska, United States","61.07487","-149.71119","360 VIEWS! Private home in beautiful Bear Valley","7","Entire home","5","https://www.airbnb.com/rooms/49576467"
"Anchorage, Alaska, United States","61.07727","-149.76588","The Stoned Hen Cabin, 1 bed 1 bath rustic cabin.","2","Entire guesthouse","5","https://www.airbnb.com/rooms/50467414"
"Anchorage, Alaska, United States","61.21571","-149.7977","Spacious Comfortable Home Near Downtown","10","Entire home","4.5","https://www.airbnb.com/rooms/18543824"
"Anchorage, Alaska, United States","61.07654","-149.76139","Hillside Haven","8","Entire home","5","https://www.airbnb.com/rooms/24314068"
"Anchorage, Alaska, United States","61.1831","-149.78585","Checkmate House  (six bedroom)","15","Entire home","5","https://www.airbnb.com/rooms/44746910"
