"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Kennebunk, Maine, United States","43.36369","-70.48694","Beautiful family home, walk to town and beaches","8","Entire home","5","https://www.airbnb.com/rooms/41604844"
"Zakopane, Małopolskie, Poland","49.29016","19.96513","Willa Storczyk | Asnyka | Centrum","15","Entire home",,"https://www.airbnb.com/rooms/49751452"
"Cleveland, Ohio, United States","41.50761","-81.67856","Industrial Loft Apartments in the Beautiful Superior Building! 108","4","Entire condo","4.5","https://www.airbnb.com/rooms/47860766"
"Long Marston, England, United Kingdom","53.94931","-1.29914","The Granary, near York with Hot Tub","12","Entire home","5","https://www.airbnb.com/rooms/36993336"
"Bromfield Industrial Estate, Cymru, United Kingdom","53.1103","-3.20226","Top Y Nant","6","Entire home","5","https://www.airbnb.com/rooms/45341573"
"Kuta Utara, Bali, Indonesia","-8.65034","115.1312","Trendy Home in the Heart of Batu Bolong - CHSE","8","Entire villa","5","https://www.airbnb.com/rooms/29525944"
"Marathon, Florida, United States","24.73","-81.04455","P60 - 201 East Bruce Court","8","Entire home","5","https://www.airbnb.com/rooms/49111216"
"Newquay, England, United Kingdom","50.41914","-5.09301","Fistral View - 3 Cribbar (BCCRIB03)","5","Entire rental unit","5","https://www.airbnb.com/rooms/40933642"
"Culver City, California, United States","33.98999","-118.42995","Peaceful Culver City Oasis","2","Private room in home","5","https://www.airbnb.com/rooms/22850491"
"Reno, Nevada, United States","39.45058","-119.73284","Lux Mt. View 30min to Tahoe Sleep22 5Beds 3.5Bath","16","Entire home","5","https://www.airbnb.com/rooms/53836563"
"Avignon, Provence-Alpes-Côte d'Azur, France","43.963","4.817","Provence, Avignon, belle maison - piscine chauffée","9","Entire home","5","https://www.airbnb.com/rooms/31398313"
"Talskiddy, England, United Kingdom","50.45158","-4.94542","Primrose Cottage","4","Entire home",,"https://www.airbnb.com/rooms/46519500"
"Lieksa, Finland","63.156","29.84","PielisLinna / SuomenSatu Koli","6","Entire cabin","5","https://www.airbnb.com/rooms/3758090"
"North Cape May, New Jersey, United States","38.97504","-74.95842","Spacious North Cape May Home  Block to the Beach","6","Entire home","5","https://www.airbnb.com/rooms/39055264"
"New York, United States","40.786","-73.972","Close to Park, Private, Modern&Safe 2B2B  W/Gym","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/25308697"
"Koloa, Hawaii, United States","21.876","-159.442","Rusty Sunrise","10","Entire home",,"https://www.airbnb.com/rooms/24382028"
"Horton in Ribblesdale, near Settle, United Kingdom","54.14753","-2.2961","Three Peaks House (UK2071)","6","Entire home","5","https://www.airbnb.com/rooms/30910974"
"Ceglie Messapica, Puglia, Italy, Italy","40.67234","17.49005","HelloApulia Trulli Oleandro: Complex of Trulli with Pool","12","Trullo",,"https://www.airbnb.com/rooms/17195466"
"Wardlow, near Buxton, England, United Kingdom","53.2682","-1.73009","Manor Cottage (UK4082)","8","Entire home","5","https://www.airbnb.com/rooms/30813392"
"Donostia, Spain","43.31466","-2.00091","Mayflower by FeelFree Rentals","8","Entire rental unit","5","https://www.airbnb.com/rooms/30333326"
"Montville, Queensland, Australia","-26.71255","152.89152","The Lake House and Ocean View Villa","8","Entire home","4.5","https://www.airbnb.com/rooms/53013161"
"San Diego, California, United States","32.79138","-117.23326","Modern and Spacious Home, 1 block from the bay.","8","Entire home",,"https://www.airbnb.com/rooms/39392812"
"Standon, England, United Kingdom","52.91212","-2.27884","The Old Stables (26063)","8","Entire home","5","https://www.airbnb.com/rooms/40965315"
"Greater London, England, United Kingdom","51.53595","-0.10047","Beautiful & Stylish 3 Bed House in Angel sleeps 6","6","Entire home","5","https://www.airbnb.com/rooms/30496091"
"Robin Hood's Bay, United Kingdom","54.43006","-0.5335","Green Cottage","4","Entire home",,"https://www.airbnb.com/rooms/21227424"
"Attersee am Attersee, Oberösterreich, Austria","47.915","13.537","B & B  Attersee","9","Entire home","5","https://www.airbnb.com/rooms/30731832"
"Paris, Île-de-France, France","48.86074","2.34075","Sublime apartment Louvre Museum","8","Entire rental unit","4.5","https://www.airbnb.com/rooms/46084501"
"Denver, Colorado, United States","39.66193","-105.0551","Comfy Mod SW Denver Near Red Rocks, Mtns Hot tub.","8","Entire home","5","https://www.airbnb.com/rooms/21752804"
"Perisher Valley, New South Wales, Australia","-36.40846","148.41319","On Snow Perisher Accommodation - Chez Jean Unit 5","6","Entire bungalow","5","https://www.airbnb.com/rooms/19660493"
"Greater London, England, United Kingdom","51.51998","-0.15983","UNIQUE FLAT MARBLE ARCH","4","Entire rental unit","5","https://www.airbnb.com/rooms/31777113"
"Haghorst, Noord-Brabant, Netherlands","51.508","5.224","Landelijke vakantiehoeve de Berghegge","16","Entire home","5","https://www.airbnb.com/rooms/17692059"
"Woodside, California, United States","37.43118","-122.24914","Secluded, Modern, sunny and gated estate. 2 BR +","6","Entire home","5","https://www.airbnb.com/rooms/26928860"
"Crimscote, near Newbold, United Kingdom","52.12546","-1.65806","The Old Workshop  (29173)","8","Entire home","5","https://www.airbnb.com/rooms/30911313"
"Alvor, Faro, Portugal","37.12577","-8.56876","*5 Star Luxury Mansion* | sea-view | heated pool","8","Entire villa","5","https://www.airbnb.com/rooms/24386817"
"Dean, near Chadlington, United Kingdom","51.90026","-1.5053","South View Cottage (26617)","5","Entire home","5","https://www.airbnb.com/rooms/30858417"
"New York, United States","40.74368","-73.97919","Quiet Apartment for Large Groups","10","Entire rental unit","5","https://www.airbnb.com/rooms/35570674"
"New Orleans, Louisiana, United States","29.95949","-90.09044","*Elegant* 5 Bedroom Home near *French Quarter*","10","Entire home","4.5","https://www.airbnb.com/rooms/40735949"
"Steading, Berwick-upon-Tweed, United Kingdom","55.7345","-2.03224","Murton Cottage (MSC)","6","Entire home","5","https://www.airbnb.com/rooms/30881061"
"Paignton, England, United Kingdom","50.4429","-3.55751","16 Belvedere Court (BCBE16B)","2","Entire rental unit","5","https://www.airbnb.com/rooms/40940360"
"Aberystwyth, United Kingdom","52.42253","-4.08178","Cliff Railway Apartment (CC621043)","4","Entire home","5","https://www.airbnb.com/rooms/30823063"
"Cornwall, England, United Kingdom","50.33564","-4.63495","Little Quoin (EC96568)","4","Entire home",,"https://www.airbnb.com/rooms/51645641"
"Ashburnham, Battle, United Kingdom","50.92993","0.37872","Swallows Barn (PLLU)","4","Entire home","5","https://www.airbnb.com/rooms/30890025"
"Kuta Utara, Bali, Indonesia","-8.6761","115.16395","Seminyak Ultra-luxe 6/7BR dream home, top location","16","Entire villa","5","https://www.airbnb.com/rooms/31106594"
"Spearfish, South Dakota, United States","44.47813","-103.88667","Tinton Road Home Away From Home","7","Entire home","5","https://www.airbnb.com/rooms/48999245"
"France Lynch, England, United Kingdom","51.72875","-2.12637","Stunning Cotswold Vicarage in beautiful setting","8","Entire home","5","https://www.airbnb.com/rooms/50951947"
"Cancún, Quintana Roo, Mexico","21.13478","-86.75641","Casa Armonia Amazing waterfront non smoking house","10","Entire home","5","https://www.airbnb.com/rooms/22595632"
"São Sebastião, São Paulo, Brazil","-23.799","-45.547","Casa em condomínio fechado Paúba 4 suítes","16","Entire home",,"https://www.airbnb.com/rooms/746932494902791700"
"Covina, California, United States","34.07065","-117.84993","5ac LUX mountain-view villa minutes drive to I-10","4","Entire guesthouse","5","https://www.airbnb.com/rooms/28107404"
"VENCE, Provence-Alpes-Côte d'Azur, France","43.70313","7.13394","BASTIDE DE L ORANGERAIE LUXE PISCINE CLIMATISATION","10","Entire villa","5","https://www.airbnb.com/rooms/19444212"
"Elk Rapids, Michigan, United States","44.89416","-85.42254","The Bayshore House on East Grand Traverse Bay","10","Entire home","5","https://www.airbnb.com/rooms/15840761"
"Whitley Bay, England, United Kingdom","55.04867","-1.45011","Bay View (UK3292)","4","Entire home",,"https://www.airbnb.com/rooms/41484785"
"Fortingall, near Aberfeldy, Scotland, United Kingdom","56.60079","-4.03519","Ardchoille Cottage (UK10285)","6","Entire home",,"https://www.airbnb.com/rooms/40932817"
"Palm Desert, California, United States","33.78165","-116.38519","Stagecoach weekend - Shadowridge - Villages 2Br","8","Entire villa",,"https://www.airbnb.com/rooms/49400384"
"Bontnewydd, Wales, United Kingdom","53.11859","-4.26756","Tyddyn Du","6","Entire home",,"https://www.airbnb.com/rooms/45339961"
"Poundstock, Bude, United Kingdom","50.77423","-4.51863","HOMELEIGH (23864)","6","Entire home","5","https://www.airbnb.com/rooms/28439668"
"Ubud, Bali, Indonesia","-8.497","115.267","Luxury 3 BR Villa Matha_Few mints to Ubud Center","6","Entire villa","5","https://www.airbnb.com/rooms/20487050"
"Rome, Lazio, Italy","41.906","12.483","Thebestinrome Vite Exclusive","8","Entire rental unit","5","https://www.airbnb.com/rooms/17823804"
"Le Touquet-Paris-Plage, Hauts-de-France, France","50.51448","1.58335","**Beach, Dunes&Sea** Exceptional Panoramic Views","14","Entire home","4.5","https://www.airbnb.com/rooms/8954946"
"Anaheim, California, United States","33.81012","-117.91818","❤️Disney Escape❤️ 🌊🕹👾 Heated Pool, Arcade, and More!","9","Entire home","5","https://www.airbnb.com/rooms/35115981"
"Los Altos Hills, California, United States","37.34199","-122.11106","Live in a Work of Art, Design by Aaron Green","4","Entire home",,"https://www.airbnb.com/rooms/7929353"
"Dublin 2, County Dublin, Ireland","53.34486","-6.26487","Modern 3 bed in Templebar","6","Entire rental unit","5","https://www.airbnb.com/rooms/30170582"
"Palm Cove, Queensland, Australia","-16.745","145.671","5301 Drift Condos - 3 Bedroom Beachfront Apartment","6","Entire rental unit","5","https://www.airbnb.com/rooms/17718770"
"Brooklyn, New York, United States","40.71555","-73.95347","Art & Design Private Oasis in Prime Williamsburg","3","Entire condo","5","https://www.airbnb.com/rooms/24805249"
"Perros-Guirec, Brittany, France","48.81686","-3.46841","Petite maison , jardin , 800m plage","4","Entire townhouse","5","https://www.airbnb.com/rooms/3148731"
"Somerford Keynes, Lower Mill Estate, Cotswolds, United Kingdom","51.64771","-1.96733","Thistledown, Lakeside family friendly property on a nature reserve (HM25)","8","Entire home","4.5","https://www.airbnb.com/rooms/26126771"
"Shingle Street, United Kingdom","52.0336","1.45397","6 Coastguard Cottages","4","Entire home","4.5","https://www.airbnb.com/rooms/24954999"
"Bergamo, Lombardia, Italy","45.69163","9.65178","CityWalls Guest House Room 2","2","Room in bed and breakfast","5","https://www.airbnb.com/rooms/29788043"
"Zephyr Cove, Nevada, United States","38.999","-119.958","Beachfront Tahoe Home with panoramic Views of Lake Tahoe","9","Entire home","5","https://www.airbnb.com/rooms/39752700"
"Milano, Lombardia, Italy","45.46368","9.18544","Luxury Apartment in the Heart of Milan","8","Entire rental unit","5","https://www.airbnb.com/rooms/49237646"
"Reggio Calabria, Calabria, Italy","38.11414","15.65309","Cozy flat in the city center","4","Entire rental unit","4.5","https://www.airbnb.com/rooms/38154230"
"Cape May, New Jersey, United States","38.93567","-74.90497","Lokal Hotel Cape May Room 103 - 2 Bedroom","5","Room in boutique hotel","5","https://www.airbnb.com/rooms/35709557"
"Marathon, Florida, United States","24.69992","-81.0845","W10 - NEW 102 Calle Ensueno","10","Entire home","5","https://www.airbnb.com/rooms/39647771"
"New York, United States","40.7557","-73.98375","Studio with Office, Rooftop Lounge","3","Entire rental unit","5","https://www.airbnb.com/rooms/26953727"
"Longnor, England, United Kingdom","53.17749","-1.85035","The Carthouse - UK34671 (UK34671)","6","Entire home","5","https://www.airbnb.com/rooms/51568974"
"Salem, Massachusetts, United States","42.50752","-70.88944","Pet-friendly Home in Salem, Steps from the Ocean","3","Entire home","5","https://www.airbnb.com/rooms/53954965"
"Anaheim, California, United States","33.81332","-117.92152","🌊Ultimate Vacation 🌊⛳️🏓🕹Pool, Golf,  Arcade & more!","8","Entire home","5","https://www.airbnb.com/rooms/23110271"
"Paris, Île-de-France, France","48.85704","2.30866","My Maison - Invalides - 3 Pieces - Supérieur","6","Entire serviced apartment","5","https://www.airbnb.com/rooms/53268041"
"Greater London, England, United Kingdom","51.51059","-0.17754","Charming property overlooking Hyde park","4","Entire rental unit","5","https://www.airbnb.com/rooms/52834117"
"Saugatuck, Michigan, United States","42.654","-86.2","Lay By The Bay","11","Entire villa","5","https://www.airbnb.com/rooms/19969479"
"Carovigno, Italy","40.736","17.679","Villa Skyler","8","Entire villa",,"https://www.airbnb.com/rooms/40048106"
"Sarasota, Florida, United States","27.21587","-82.51413","The hidden Gem of Siesta Key! 87","6","Entire home","5","https://www.airbnb.com/rooms/36268234"
"Dallas, Texas, United States","32.80875","-96.78477","California Vibes in heart of Dallas, heated pool","8","Entire home","5","https://www.airbnb.com/rooms/43940421"
"Argegno, Lombardia, Italy","45.942","9.126","Villa Castello with jacuzzi & priceless view","8","Entire villa","5","https://www.airbnb.com/rooms/36999681"
"Eastham, Massachusetts, United States","41.84391","-70.00274","Joe's Beach House, a Modern, Spacious Get-a-Way","10","Entire home","5","https://www.airbnb.com/rooms/42033768"
"Amalfi, Campania, Italy","40.6364","14.5938","Amalfi Coast Villa Knight","13","Entire villa","5","https://www.airbnb.com/rooms/15351326"
"Tamarin, Rivière Noire District, Mauritius","-20.34495","57.36432","Marguery Superior Pool Villa 2 bedroom","4","Entire villa",,"https://www.airbnb.com/rooms/19004078"
"Loro Ciuffenna, Italy","43.61572","11.59257","Il Roseto: your Villa in Tuscan Countryside","8","Farm stay","5","https://www.airbnb.com/rooms/24463866"
"Glendale, California, United States","34.17212","-118.2183","Glendale Hills LUXURY with 360 degree VIEWS!","8","Entire home","5","https://www.airbnb.com/rooms/46431101"
"Bordeaux, Nouvelle-Aquitaine, France","44.85015","-0.56931","THE QUAI 19th | Near the quais des Chartrons","4","Entire rental unit","5","https://www.airbnb.com/rooms/48842235"
"Fairplay, Colorado, United States","39.3309","-106.06126","Spacious cabin near Breckenridge, 4 brms, 2.5 bath","6","Entire cabin","5","https://www.airbnb.com/rooms/40888035"
"Belleair Beach, Florida, United States","27.926","-82.843","Aldea 18 - Gulf Front Paradise","4","Entire rental unit",,"https://www.airbnb.com/rooms/52169124"
"Coggeshall, near Braintree, United Kingdom","51.87104","0.60741","Tatters Barn (UKC690)","4","Entire home","5","https://www.airbnb.com/rooms/30859505"
"Zephyr Cove-Round Hill Village, Nevada, United States","38.998","-119.957","Beautiful Beachfront Lake Tahoe Home","10","Entire home","5","https://www.airbnb.com/rooms/21529579"
"Dorset, England, United Kingdom","50.75259","-1.80663","Luxury House in a  Wonderful Location - With Pool","8","Entire villa","5","https://www.airbnb.com/rooms/52294885"
"Kihei, Hawaii, United States","20.695","-156.442","WEK 34A Experience a Little Piece of Paradise at this 1BR/2BA Unit in Wailea","4","Entire condo","5","https://www.airbnb.com/rooms/40311744"
"New York, United States","40.72874","-74.00318","Sunny and Stylish West Village Flat","2","Entire rental unit","5","https://www.airbnb.com/rooms/39316302"
"Santa Rosa Beach, Florida, United States","30.306","-86.09","Location! Location! Location! GULF VIEWS, Steps to","13","Entire home","5","https://www.airbnb.com/rooms/48637292"
"Breuil-Cervinia, Valle d'Aosta, Italy","45.93808","7.62949","Maison Rêve Blanc - ski-in/ski-out in front of  to the lifts, shopping, eating with garage","8","Entire condo","5","https://www.airbnb.com/rooms/29354531"
"Fasano, Apulia, Italy","40.80331","17.47071","Torretta Macramè","6","Entire villa",,"https://www.airbnb.com/rooms/46720880"
"Saint Augustine, Florida, United States","29.79345","-81.26091","Large Ocean Beach House with Pool for 12","12","Entire home","5","https://www.airbnb.com/rooms/8113621"
"Los Angeles, California, United States","34.14462","-118.41346","Sun-Filled Pool Retreat in Vibrant Studio City","6","Entire home","5","https://www.airbnb.com/rooms/24886748"
"Greater London, England, United Kingdom","51.526","-0.077","SPOTLESS 2-BEDROOM 1000sqft LOFT | 1G WIFI","10","Entire serviced apartment","5","https://www.airbnb.com/rooms/46193446"
"South Lake Tahoe, California, United States","38.93928","-119.97832","Lake Tahoe Vac Resort (1Br)- 5 Minutes to Heavenly","4","Entire condo",,"https://www.airbnb.com/rooms/35572310"
"Machrihanish, Scotland, United Kingdom","55.42375","-5.72516","High Trodigal (30648)","2","Entire home",,"https://www.airbnb.com/rooms/49518417"
"New York, United States","40.73653","-73.98307","Gramercy Duplex garden home","6","Entire rental unit","5","https://www.airbnb.com/rooms/21518467"
"New Orleans, Louisiana, United States","29.95048","-90.12746","Gorgeous & Elegant Home In Uptown New Orleans!","10","Entire home","5","https://www.airbnb.com/rooms/53344688"
"San Francisco, California, United States","37.7563","-122.43416","Home in the Castro","6","Entire home","5","https://www.airbnb.com/rooms/2739477"
"Blue Ridge, Georgia, United States","34.84849","-84.3566","7 bedrooms|POOL|hot tub|theater|sleeps 19","16","Entire cabin",,"https://www.airbnb.com/rooms/742574515648264600"
"Palo Alto, California, United States","37.45094","-122.15999","Palo Alto Modern Retreat","6","Entire home","5","https://www.airbnb.com/rooms/27696747"
"Elexalde, Euskadi, Spain","43.39032","-2.96388","Barrika amazing design house with pool EBI 678","8","Entire home","5","https://www.airbnb.com/rooms/24886464"
"New Orleans, Louisiana, United States","29.96443","-90.03713","Radiant Retreat near Frenchmen | Private Pool","10","Entire townhouse","5","https://www.airbnb.com/rooms/49128823"
"Saugatuck, Michigan, United States","42.66383","-86.1915","Pure Michigan Brown Cottage Retreat LGBTQ Friendly","4","Entire cottage","5","https://www.airbnb.com/rooms/36040974"
"Cape May, New Jersey, United States","38.93542","-74.90644","Lokal Hotel Cape May Room 202 - Two Bedroom Suite","5","Room in boutique hotel","5","https://www.airbnb.com/rooms/35709997"
"Malibu, California, United States","34.06188","-118.74383","The Vista Malibu Mountaintop Retreat Villa & Garden","9","Entire villa","5","https://www.airbnb.com/rooms/19588463"
"Cesena, Emilia-Romagna, Italy","44.106","12.295","VILLA SOFIA 12, Emma Villas Exclusive","12","Entire villa",,"https://www.airbnb.com/rooms/30171192"
"Bimini, Bahamas","25.70169","-79.30423","Bimini House on the Beach","8","Entire home","4.5","https://www.airbnb.com/rooms/5488081"
"Madrid, Comunidad de Madrid, Spain","40.42192","-3.68495","LUXURY in Puerta Alcalá, Recoletos, Retiro & Patio","7","Entire rental unit","5","https://www.airbnb.com/rooms/37821999"
"Lewiston, Michigan, United States","44.85522","-84.29913","Newly Remodeled Home on Little Wolf Lake","12","Entire home",,"https://www.airbnb.com/rooms/52529919"
"Westerly, Rhode Island, United States","41.3274","-71.78555","Beachfront cottage for off-season relaxation","8","Entire cottage",,"https://www.airbnb.com/rooms/12728582"
"Austin, Texas, United States","30.34137","-97.64629","House on the Hill with Heated Pool","8","Entire home","5","https://www.airbnb.com/rooms/27336723"
"Pontassieve, Toscana, Italy","43.85248","11.46391","Wonderful manor house, recently renovated, with private garden and swimming pool, located in the Val di Sieve area, in the province of Florence.","12","Entire villa",,"https://www.airbnb.com/rooms/49355976"
"Bishop Auckland, United Kingdom","54.64973","-1.78173","The Barn at Toft Hill Hall (UKC2787)","6","Entire home",,"https://www.airbnb.com/rooms/30904987"
"Healdsburg, California, United States","38.609","-122.869","Luxurious Cloud Suite in downtown Healdsburg","2","Entire serviced apartment","5","https://www.airbnb.com/rooms/23271916"
"Eastsound, Washington, United States","48.67058","-122.87203","Orcas Stunner - breathtaking water vistas","6","Entire home","5","https://www.airbnb.com/rooms/51803467"
"Cannon Beach, Oregon, United States","45.90969","-123.96681","The Viewpoint","12","Entire home","5","https://www.airbnb.com/rooms/30061995"
"Dona Paula Beach, Goa, India","15.45269","73.83286","Seaside Private Pool Villa in North Goa","12","Entire villa","5","https://www.airbnb.com/rooms/48252497"
"Los Angeles, California, United States","33.99669","-118.47066","Luxurious Venice Pad with Amazing Rooftop Deck!!","6","Entire home","5","https://www.airbnb.com/rooms/42227721"
"Princeville, Hawaii, United States","22.2271","-159.47936","Executive 2 bdrm - Panoramic Ocean Views","6","Entire condo","5","https://www.airbnb.com/rooms/52774718"
"Toronto, Ontario, Canada","43.64305","-79.38267","Signature View of CN Tower in Lux Toronto Condo","5","Entire condo","5","https://www.airbnb.com/rooms/43932708"
"Arkleby, near Aspatria, United Kingdom","54.74216","-3.33456","Holmegarth (UKC3324)","4","Entire home","4.5","https://www.airbnb.com/rooms/30887701"
"Paris, Île-de-France, France","48.875","2.348","Beautiful apartment - Paris 9th","5","Entire rental unit","5","https://www.airbnb.com/rooms/44425975"
"Saint-Cast-le-Guildo, Bretagne, France","48.60462","-2.23377","LA VILLA DU BAY -heated pool, at 500m of the beach","13","Entire home","5","https://www.airbnb.com/rooms/50931177"
"Bédoin, Provence-Alpes-Côte d'Azur, France","44.11874","5.22197","★Contemporary house Pool & Hot Tub★ BERSY LUXURY PROPERTIES® ★ At the foot of Mont Ventoux★","6","Entire villa","5","https://www.airbnb.com/rooms/52306433"
"London, England, United Kingdom","51.51","-0.154","47 Park Street Luxury One Bedroom Apartment","4","Entire serviced apartment","5","https://www.airbnb.com/rooms/37873912"
"Ticknall, near Derby, England, United Kingdom","52.80833","-1.46865","The Retreat - UKC3845 (UKC3845)","4","Entire home",,"https://www.airbnb.com/rooms/41136756"
"San Ginese di Compito, Lucca, Italy","43.808","10.583","Stunning Tuscan Villa with Private Pool","13","Entire villa","5","https://www.airbnb.com/rooms/3779917"
"Oak Island, North Carolina, United States","33.904","-78.083","A Perfect View","12","Entire home","4.5","https://www.airbnb.com/rooms/30946486"
"Paris, Île-de-France, France","48.8659","2.30477","Champs Elysées!Montaigne, New&Luxurious 6pers flat","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/46501825"
"Fontane Bianche, Sicily, Italy","36.96496","15.21044","Beach front villa in Fontane Bianche","6","Entire villa",,"https://www.airbnb.com/rooms/36539316"
"Tabanan, Bali, Indonesia","-8.563","115.038","Luxury Unique Cloud Villa Ocean View","7","Entire villa","5","https://www.airbnb.com/rooms/37959280"
"Kapolei, Hawaii, United States","21.3398","-158.12261","Disney Aulani Deluxe Ocean View Studio","4","Entire condo",,"https://www.airbnb.com/rooms/52174990"
"Mount Vernon, Texas, United States","33.08034","-95.20403","Huge LakeHouse","16","Entire home","5","https://www.airbnb.com/rooms/20599929"
"Hilton Head Island, South Carolina, United States","32.13642","-80.76262","2-Bdrm/2-Bath Condo on Beach","8","Entire condo",,"https://www.airbnb.com/rooms/13494910"
"Monticchiello, Toscana, Italy","43.06716","11.72595","Villa in UNESCO heritage, pool and Jacuzzi","6","Entire home","5","https://www.airbnb.com/rooms/11120891"
"Shell, Wyoming, United States","44.5505","-107.74981","Picturesque log home near Shell Canyon sleeps 12","12","Entire home","5","https://www.airbnb.com/rooms/27131441"
"Littleton, Massachusetts, United States","42.51559","-71.4556","Orchards retreat","9","Entire home","5","https://www.airbnb.com/rooms/24543795"
"Madrid, Comunidad de Madrid, Spain","40.422","-3.69","Luxury Brand New Apt in the Golden Mile of Madrid","6","Entire rental unit","5","https://www.airbnb.com/rooms/26230020"
"Lecci, Corse, France","41.62353","9.34162","Villa avec vue exceptionnelle, domaine Cala-Rossa","8","Entire home","5","https://www.airbnb.com/rooms/33956425"
"Dillon Beach, California, United States","38.256","-122.965","Abalone Alcove!  Hot Tub!  Pool Table!  AMAZING VIEWS! Fast WiFi!!  Dog Friendly!","6","Entire home","4.5","https://www.airbnb.com/rooms/1095095"
"Los Angeles, California, United States","34.14614","-118.50603","Private Home- Huge backyard and Pool","8","Entire villa","5","https://www.airbnb.com/rooms/52167313"
"Olmeto, Corse, France","41.69065","8.91499","CASA NINA accès plage , piscine chauffée","12","Entire villa","5","https://www.airbnb.com/rooms/4972237"
"Gatlinburg, Tennessee, United States","35.73284","-83.51849","BOOK FOR NEW YEARS 12-30 TO 1-6-2023 GREAT RESORT","8","Private room in resort",,"https://www.airbnb.com/rooms/38729818"
