"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Valdez, Alaska, United States","61.12738","-146.35751","All Seasons Lodging Apartment 2","6","Entire rental unit","5","https://www.airbnb.com/rooms/53110746"
"Soldotna, Alaska, United States","60.46113","-151.18444","Close to the Kenai","16","Entire home","4.5","https://www.airbnb.com/rooms/16688243"
"Soldotna, Alaska, United States","60.47461","-150.98197","Bank Fishing Kenai River-Wolves Den Room-1King bed","2","Private room in nature lodge",,"https://www.airbnb.com/rooms/19313756"
"Juneau, Alaska, United States","58.28856","-134.42602","The Salty Suite","6","Entire home","5","https://www.airbnb.com/rooms/18432386"
"Anchor Point, Alaska, United States","59.91199","-151.76167","Beach Front Lodge","4","Private room in nature lodge",,"https://www.airbnb.com/rooms/48848033"
"Anchor Point, Alaska, United States","59.80498","-151.83507","Captain Cook Lodge","8","Entire cabin","4.5","https://www.airbnb.com/rooms/3985080"
"Valdez, Alaska, United States","61.13595","-146.35181","Klondike Cottage || 3 Bed 2 Bath","8","Entire home","5","https://www.airbnb.com/rooms/17451936"
"Seward, Alaska, United States","60.19048","-149.36921","Homestead Hideaway","6","Entire home","5","https://www.airbnb.com/rooms/43500622"
"Juneau, Alaska, United States","58.40948","-134.59082","Cassiar Retreat","12","Entire home","5","https://www.airbnb.com/rooms/32292304"
"Kennecott, Alaska, United States","61.48716","-142.88693","Kennecott Guesthouse North","5","Entire rental unit",,"https://www.airbnb.com/rooms/54395845"
"Halibut Cove, Alaska, United States","59.5939","-151.22399","Private Cabin","4","Entire cabin","4.5","https://www.airbnb.com/rooms/26560527"
"Anchorage, Alaska, United States","61.3125","-149.54654","Huge Beautiful 5 bedroom home in Eagle River","10","Entire home","5","https://www.airbnb.com/rooms/51311854"
"Seward, Alaska, United States","60.18006","-149.38339","Bell In The Woods B&B / Mt. Eva Suite (Queen)","4","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/49001305"
"McCarthy, Alaska, United States","61.4334","-142.92485","McCarthy Guesthouse - Spruce Moose","5","Entire rental unit","4.5","https://www.airbnb.com/rooms/9329010"
"Seward, Alaska, United States","60.10415","-149.43697","Newly update cottage located in the heart of town.","4","Entire home","5","https://www.airbnb.com/rooms/7290669"
"Kenai, Alaska, United States","60.56488","-151.20735","The Magic House in the Heart of Kenai","8","Entire chalet","5","https://www.airbnb.com/rooms/23734156"
"Kenai, Alaska, United States","60.53633","-151.15103","Beautiful Kenai River Cabin","6","Entire cabin","5","https://www.airbnb.com/rooms/20967327"
"Seward, Alaska, United States","60.10874","-149.43525","Waterfront Suite with Mountain & Bay Views","5","Entire rental unit","5","https://www.airbnb.com/rooms/31178705"
"Anchorage, Alaska, United States","61.20899","-149.90267","Spacious -3BR/2BA W/Sauna (Downtown)","6","Entire rental unit","5","https://www.airbnb.com/rooms/39654125"
"Anchorage, Alaska, United States","61.21484","-149.79514","B&B in the U-Med District, shopping, parks, J-BER","11","Entire home","4.5","https://www.airbnb.com/rooms/48380568"
"Seward, Alaska, United States","60.18145","-149.38284","Bell In The Woods B&B / Mt. Benson Suite (King)","6","Private room in bed and breakfast","5","https://www.airbnb.com/rooms/49001520"
"Wasilla, Alaska, United States","61.59318","-149.63017","Lakefront Perfect for Families/Corporate Rentals","9","Entire home","5","https://www.airbnb.com/rooms/32821855"
"Anchorage, Alaska, United States","61.1593","-149.9408","Digital house 5 minutes to Airport!","4","Private room in home","5","https://www.airbnb.com/rooms/11803769"
"Homer, Alaska, United States","59.65002","-151.61116","Moose Caboose (U & L) - Alaska Adventure Cabins","5","Entire cabin",,"https://www.airbnb.com/rooms/42002458"
"Juneau, Alaska, United States","58.35074","-134.65245","Tranquil Beach-front Retreat with Private Entrance","2","Private room in home","5","https://www.airbnb.com/rooms/24896707"
