"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Tremont, Maine, United States","44.24364","-68.35502","Tidewatch- harborside cottage, unparalleled views","8","Entire home","5","https://www.airbnb.com/rooms/48182943"
"Duluth, Minnesota, United States","46.78382","-92.10916","Fabulous Duluth Home with views of Lake Superior","6","Entire home","5","https://www.airbnb.com/rooms/25114282"
"Newport, Rhode Island, United States","41.47342","-71.31566","At Home In Newport","5","Entire home","5","https://www.airbnb.com/rooms/20146408"
"Portesham, England, United Kingdom","50.67122","-2.56529","Olive Tree Cottage","6","Entire home","5","https://www.airbnb.com/rooms/49939019"
"New Orleans, Louisiana, United States","29.95949","-90.09044","*Elegant* 5 Bedroom Home near *French Quarter*","10","Entire home","4.5","https://www.airbnb.com/rooms/40735949"
"Russell, Northland, New Zealand","-35.26344","174.12306","The Strand","7","Entire home","5","https://www.airbnb.com/rooms/20804772"
"St. Pete Beach, Florida, United States","27.72181","-82.74137","Amazing 2 Beach Front Units. Pool, Bar, Parking!","8","Private room in resort",,"https://www.airbnb.com/rooms/46057290"
"Cleveleys, England, United Kingdom","53.88084","-3.04729","Seaview House (UK35035)","8","Entire home",,"https://www.airbnb.com/rooms/51569167"
"Rome, Lazio, Italy","41.9","12.462","BigFamilyFlats-Sistine Chapel 1 Apt-20 pax/8 rooms","16","Entire rental unit","5","https://www.airbnb.com/rooms/17931967"
"Bedfield, England, United Kingdom","52.04558","0.62126","2 Mill Farm","5","Entire home",,"https://www.airbnb.com/rooms/50059871"
"New York, United States","40.76007","-73.99137","Great Location w/ Backyard Short Walk to Times Sq","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/44101621"
"Tenby, United Kingdom","51.67184","-4.69468","Island View","6","Entire rental unit","4.5","https://www.airbnb.com/rooms/41761334"
"Sant Josep de sa Talaia, Illes Balears, Spain","38.89149","1.40806","Tropicana Ibiza - Junior Suite - Playa den Bossa","2","Room in serviced apartment","5","https://www.airbnb.com/rooms/33209694"
"Skeldergate, York, United Kingdom","53.95551","-1.08288","Jorvik- Woodsmill Quay (IKA)","3","Entire home","5","https://www.airbnb.com/rooms/30823017"
"Whitby, United Kingdom","54.48714","-0.61591","Midships Cottage","4","Entire home",,"https://www.airbnb.com/rooms/23268028"
