"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Twain Harte, California, United States","38.04243","-120.24902","THE CABIN - Beautiful Twain Harte Home- Brentwood","7","Entire cabin","4.5","https://www.airbnb.com/rooms/26363095"
"Camp Connell, California, United States","38.30551","-120.26845","Nature - Nurture - Adventure","8","Entire cabin","5","https://www.airbnb.com/rooms/3543720"
"Angels Camp, California, United States","38.07037","-120.55713","Angels Camp 2 Bedroom Condo with Twin Beds","6","Entire condo",,"https://www.airbnb.com/rooms/14614356"
"Angels Camp, California, United States","38.07132","-120.55643","Angels Camp 2 Bedroom Condo","6","Entire condo",,"https://www.airbnb.com/rooms/15431286"
"Arnold, California, United States","38.2477","-120.34332","Beautiful weather! 4 Bdr 3 Bath + Rec room","10","Entire cabin","5","https://www.airbnb.com/rooms/28469859"
"Arnold, California, United States","38.26189","-120.32171","Hugging Trees - 4 Bedroom 4 Bath W/ Game Room, Sleeps 12","12","Entire cabin","4.5","https://www.airbnb.com/rooms/19266850"
"Arnold, California, United States","38.25272","-120.36238","Family-Friendly Home with Deck, Fireplace, Washer/Dryer, & Free WiFi","8","Entire home","4.5","https://www.airbnb.com/rooms/53969177"
"Arnold, California, United States","38.24597","-120.36291","NEW GAME ROOM! Buddy's Barn--An Oasis in the Woods","7","Entire cabin","5","https://www.airbnb.com/rooms/49801509"
"Arnold, California, United States","38.23791","-120.35503","Family Friendly Cabin 3br/2bath - 35 min to Bear!","6","Entire cabin","5","https://www.airbnb.com/rooms/46858819"
"Dorrington, California, United States","38.28998","-120.27905","Suite Sierra -A hikers delight right in the backyard! Scenic as can be!","10","Entire cabin","4.5","https://www.airbnb.com/rooms/36202797"
"Arnold, California, United States","38.23216","-120.37157","Family-friendly vacation spot with large deck, grill, Wii & fast WiFi","8","Entire cabin","4.5","https://www.airbnb.com/rooms/47920636"
"Murphys, California, United States","38.14039","-120.45424","Quaint 2 Bedroom residential home with wood stove","5","Entire home","5","https://www.airbnb.com/rooms/53213570"
"Arnold, California, United States","38.23969","-120.37437","Dacha Galina - Cute cottage, walk to Lakemont Pines Lake W/free lake access","6","Entire cabin",,"https://www.airbnb.com/rooms/50691539"
"Long Barn, California, United States","38.15637","-120.05711","Family Friendly Cabin mins from Pinecrest & Dodge","8","Entire cabin","5","https://www.airbnb.com/rooms/48196991"
"Murphys, California, United States","38.18364","-120.42394","Murphys Hideaway-New Kitchen/Bath-Views & Wildlife","6","Entire home","5","https://www.airbnb.com/rooms/17589153"
"Angels Camp, California, United States","38.06361","-120.55345","Mark Twain Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/49693167"
"Kirkwood, California, United States","38.68398","-120.06892","On Meadow Condo 1 room  w/bath","2","Private room in rental unit","5","https://www.airbnb.com/rooms/2082986"
"Twain Harte, California, United States","38.04745","-120.22787","Serenity in the Cedars 2","8","Entire home","5","https://www.airbnb.com/rooms/19893987"
"Twain Harte, California, United States","38.03639","-120.2597","The Lazy Z Resort - Sugar Pine Cabin 3","6","Entire cabin","5","https://www.airbnb.com/rooms/11208850"
"Angels Camp, California, United States","38.06651","-120.55527","Lovely Cottage in golf community- Bret Harte","5","Entire home","5","https://www.airbnb.com/rooms/37997816"
"Cold Springs, California, United States","38.15283","-120.06018","Modern cabin-15 mins from Dodge Ridge ski resort.","8","Entire home","5","https://www.airbnb.com/rooms/30269045"
"Pioneer, California, United States","38.48973","-120.52288","5 Bedroom 3 full baths sleeps 12","12","Entire cabin","4.5","https://www.airbnb.com/rooms/2664804"
"Sonora, California, United States","38.02677","-120.42821","Three - Bedroom home well kept/beautiful scenery","6","Entire home","5","https://www.airbnb.com/rooms/53082682"
"Twain Harte, California, United States","38.03808","-120.25993","The Lazy Z Resort - Juniper Cabin 5","8","Entire cabin","4.5","https://www.airbnb.com/rooms/11210449"
"Pinecrest, California, United States","38.233","-119.976","Pinecrest High Sierra Retreat view of Leland lake.","7","Entire townhouse","5","https://www.airbnb.com/rooms/43973228"
"Murphys, California, United States","38.13027","-120.45435","NEW! Murphys Workspace Hub < 1 Mi to Main Street!","7","Entire home","4","https://www.airbnb.com/rooms/48995763"
"Murphys, California, United States","38.14505","-120.46635","The Gathering Place","7","Entire home","5","https://www.airbnb.com/rooms/22105410"
"Twain Harte, California, United States","38.01236","-120.21767","Cozy Cabin in Twain Harte","6","Entire cabin","5","https://www.airbnb.com/rooms/46795737"
"Arnold, California, United States","38.25203","-120.33375","Tranquil Woodland Home, Pet Friendly and Fun!","6","Entire home","5","https://www.airbnb.com/rooms/6957824"
"Sonora, California, United States","37.96351","-120.28586","Woodham Dairy Farmhouse","4","Farm stay","5","https://www.airbnb.com/rooms/43848593"
"Pollock Pines, California, United States","38.72541","-120.58727","Papa's Mountain Cabin in the Woods","6","Entire home","5","https://www.airbnb.com/rooms/34153040"
"Camp Connell, California, United States","38.30824","-120.26315","Bigfoot Retreat","10","Entire cabin",,"https://www.airbnb.com/rooms/52775767"
"Cold Springs, California, United States","38.16223","-120.05394","Nicks Cabin, rustic luxury mins. to Dodge Ridge","9","Entire cabin","4.5","https://www.airbnb.com/rooms/7401621"
"Murphys, California, United States","38.138","-120.529","Private, Picturesque Gold Country Getaway","7","Entire home","5","https://www.airbnb.com/rooms/45898511"
"Murphys, California, United States","38.14024","-120.46049","The Lucky Acorn- an easy stroll to Main Street!","4","Entire townhouse","5","https://www.airbnb.com/rooms/42584792"
"Arnold, California, United States","38.25501","-120.33081","Hennessy's Laughing Bear Lodge -Cute 3 bedroom 2 Bath Cabin in the Mountains with access to Blue Lake Springs Recreation Area!","10","Entire cabin","4","https://www.airbnb.com/rooms/29816425"
"Arnold, California, United States","38.24371","-120.33208","Cameron's Catch - Free lake / recreation access in Pinebrook- 2 BR/2 BA plus loft - pet friendly","10","Entire cabin","5","https://www.airbnb.com/rooms/19266857"
