"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Big Creek, California, United States","37.19324","-119.26014","Oak Cabin at Camp Sierra, near Shaver Lake","6","Entire cabin","5","https://www.airbnb.com/rooms/49719900"
"Big Creek, California, United States","37.19235","-119.26155","Ponderosa Cabin at Camp Sierra, near Shaver Lake","14","Entire cabin","4.5","https://www.airbnb.com/rooms/49595458"
"Big Creek, California, United States","37.19097","-119.25989","Shadrack 2 Cabin in Camp Sierra, near Shaver Lake","6","Entire cabin","5","https://www.airbnb.com/rooms/51174193"
"Big Creek, California, United States","37.19065","-119.26085","Abednego A Cabin at Camp Sierra, near Shaver Lake","5","Entire cabin",,"https://www.airbnb.com/rooms/51174611"
"Big Creek, California, United States","37.18942","-119.26007","Meshack Cabin at Camp Sierra, near Shaver Lake","6","Entire cabin","5","https://www.airbnb.com/rooms/49817623"
"Big Creek, California, United States","37.19231","-119.26124","Abednego B cabin at Camp Sierra, near Shaver Lake","5","Entire cabin","5","https://www.airbnb.com/rooms/51608119"
"Lakeshore, California, United States","37.254","-119.17","Spacious Condo with Pool & Hot Tub - Close to Huntington Lake & China Peak","8","Entire condo","4","https://www.airbnb.com/rooms/22114274"
"Shaver Lake, California, United States","37.19887","-119.20134","Log-Style Home with Spacious Deck, Close to China Peak Mountain!","12","Entire home","4.5","https://www.airbnb.com/rooms/36359902"
"Big Creek, California, United States","37.20416","-119.23828","Shadrack 1 Cabin in Camp Sierra, near Shaver Lake","7","Entire cabin","5","https://www.airbnb.com/rooms/51149681"
"Big Creek, California, United States","37.19361","-119.26003","Fir Cabin at Camp Sierra, near Shaver Lake","6","Entire cabin","5","https://www.airbnb.com/rooms/49718845"
"Lakeshore, California, United States","37.199","-119.2","Cozy Mountain Home with 2 Decks & Woodland Views - Close to Skiing & the Lake","11","Entire home","4.5","https://www.airbnb.com/rooms/22114086"
"Bakersfield, California, United States","35.40223","-118.83902","Rio Bravo Country Club Beautiful Custom Home","6","Entire home","5","https://www.airbnb.com/rooms/41775428"
"Bakersfield, California, United States","35.39246","-118.89701","Brand new cozy home in far East Bakersfield","8","Entire home","4.5","https://www.airbnb.com/rooms/38019434"
"Lakeshore, California, United States","37.25676","-119.17058","Bright & spacious condo, w/wood stove, filtered lake views -close to China Peak!","7","Entire condo","3","https://www.airbnb.com/rooms/38213822"
"Lakeshore, California, United States","37.254","-119.168","Custom-Built Log Cabin w/ Huge Deck & Great Location Steps from Huntington Lake","8","Entire cabin","4.5","https://www.airbnb.com/rooms/22114561"
"Lakeshore, California, United States","37.255","-119.171","Cozy Condo with WiFi, Pool & Hot Tub - Walk to the Marina on Huntington Lake","4","Entire condo","4.5","https://www.airbnb.com/rooms/22114179"
"Shaver Lake, California, United States","37.25572","-119.16878","The Lake House - 2bd/2bth condo at Huntington Lake","6","Entire condo","5","https://www.airbnb.com/rooms/54126916"
"Lakeshore, California, United States","37.256","-119.171","Cozy Family-Friendly Condo with Furnished Loft, Wood Fireplace, & Lake Views","6","Entire condo","4.5","https://www.airbnb.com/rooms/22113786"
"Bakersfield, California, United States","35.36271","-119.04532","5-BEDROOM, 3 BATH HOME WITH POOL AND BARBECUE","8","Entire home",,"https://www.airbnb.com/rooms/51785954"
"Big Creek, California, United States","37.2039","-119.23904","King Cabin at Camp Sierra, near Shaver Lake","5","Entire cabin","5","https://www.airbnb.com/rooms/50729366"
"Bakersfield, California, United States","35.40247","-118.94044","Stunning custom home resort style getaway!","6","Entire home","4.5","https://www.airbnb.com/rooms/47038464"
"Lakeshore, California, United States","37.256","-119.17","Spacious Home Near Huntington Lake & Skiing - Deck with Forest/Mountain Views","9","Entire condo","4.5","https://www.airbnb.com/rooms/22113720"
"Bakersfield, California, United States","35.40775","-118.94561","Gracias Oasis","6","Entire home","5","https://www.airbnb.com/rooms/41694706"
"Big Creek, California, United States","37.2564","-119.17206","Beautiful Lake Home w/Great Views of Huntington Lake, Private W/D, 2 Large Decks","8","Entire condo",,"https://www.airbnb.com/rooms/53309710"
"Bakersfield, California, United States","35.319","-119.128","Cozy 4 BR/2bath Near Belcourt Seven Oaks","10","Entire home","5","https://www.airbnb.com/rooms/48364959"
"Lakeshore, California, United States","37.25585","-119.16929","Three-story condo with mountain views, balcony, gas grill, washer/dryer & WiFi","6","Entire condo","4","https://www.airbnb.com/rooms/47097516"
"Lakeshore, California, United States","37.25281","-119.17096","Kokanee Lodge","13","Entire cabin","5","https://www.airbnb.com/rooms/18675726"
"Bakersfield, California, United States","35.40566","-119.14961","The Mirage  Beautiful pool.","9","Entire home","4.5","https://www.airbnb.com/rooms/51923711"
"Lakeshore, California, United States","37.199","-119.2","Spacious cabin-style home with deck, near dining, slopes & lake - dog-friendly","10","Entire cabin","5","https://www.airbnb.com/rooms/22113112"
"Lakeshore, California, United States","37.254","-119.169","All-Seasons Condo with Deck - Walk to Pool, Hot Tub, & Huntington Lake","6","Entire condo","4","https://www.airbnb.com/rooms/22114244"
"Bakersfield, California, United States","35.35274","-119.09326","Kroll Cottage - Lakefront Luxury - AirBnB Luxe","4","Entire townhouse","5","https://www.airbnb.com/rooms/52882039"
