"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Groveland, California, United States","37.84941","-120.18835","Lake front Vacation Cabin","10","Entire home","5","https://www.airbnb.com/rooms/14781337"
"Groveland, California, United States","37.859","-120.214","Serenity View, Peaceful & Cheerful 3BD Cabin.","10","Entire cabin","5","https://www.airbnb.com/rooms/45116642"
"Twain Harte, California, United States","38.04893","-120.22251","Sanctuary in the Pines~cabin nestled in the woods.","6","Entire cabin",,"https://www.airbnb.com/rooms/53721994"
"Twain Harte, California, United States","38.04243","-120.24902","THE CABIN - Beautiful Twain Harte Home- Brentwood","7","Entire cabin","4.5","https://www.airbnb.com/rooms/26363095"
"Groveland, California, United States","37.85949","-120.21714","Serenity Corner in Pine Mountain Lake","12","Entire home","5","https://www.airbnb.com/rooms/54095722"
"Groveland, California, United States","37.85734","-120.18464","New! Private Yosemite Getaway 2 Ensuites Game Room","10","Entire cabin","5","https://www.airbnb.com/rooms/51924545"
"Groveland, California, United States","37.84883","-120.18885","My Huckleberry Hideaway-Yosemite gateway-PML","10","Entire home","5","https://www.airbnb.com/rooms/48470696"
"Mi-Wuk Village, California, United States","38.06839","-120.17436","Spacious Forest Get-a-way","12","Entire cabin","5","https://www.airbnb.com/rooms/35058538"
"Groveland, California, United States","37.85473","-120.19372","Beautiful home w/ wraparound deck & shared pool - walk to Pine Mountain Lake!","14","Entire home","4","https://www.airbnb.com/rooms/48397549"
"Groveland, California, United States","37.85363","-120.1809","Yosemite, Hikes and Lake Fun - 16 Beds - 3200 SQFT","16","Entire home","5","https://www.airbnb.com/rooms/33231747"
"Mi-Wuk Village, California, United States","38.06035","-120.18489","Comfortable Vintage Sierra Cabin","8","Entire cabin","5","https://www.airbnb.com/rooms/53723722"
"Groveland, California, United States","37.866","-120.184","Just Flying in for the Day? ""Hemlock Haven"" is a Stunning Home, Located at the Pine Mountain Lake Airport - Hanger with Taxiway Access Available!","10","Entire home","4","https://www.airbnb.com/rooms/45657359"
"Groveland, California, United States","37.84305","-120.1855","Bright Home W/ Free WiFi, Pool Table, & Home Theater - Walk to Big Creek Trail!","10","Entire home","4.5","https://www.airbnb.com/rooms/49753597"
"Groveland, California, United States","37.876","-119.859","Two Bedroom Family Cabin","6","Private room in nature lodge","5","https://www.airbnb.com/rooms/41404019"
"Soulsbyville, California, United States","37.99354","-120.25196","Ridgetop Retreat--Explore Gold Country & Sierras","14","Entire home","5","https://www.airbnb.com/rooms/52906747"
