"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"McKinleyville, California, United States","40.89383","-123.99704","River View Retreat Home w / sauna and hot tub","7","Entire home","5","https://www.airbnb.com/rooms/38903278"
"Nantucket, Massachusetts, United States","41.27223","-70.10665","""Sweet Pea"" - Newly Renovated Home Close to Town","14","Entire home","5","https://www.airbnb.com/rooms/51517081"
"London, England, United Kingdom","51.51","-0.154","47 Park Street Luxury One Bedroom Apartment","4","Entire serviced apartment","5","https://www.airbnb.com/rooms/37873912"
"Palo Alto, California, United States","37.45094","-122.15999","Palo Alto Modern Retreat","6","Entire home","5","https://www.airbnb.com/rooms/27696747"
"Cedarville, Michigan, United States","45.9886","-84.32353","Les Cheneaux Lake Cottage","12","Entire cottage","5","https://www.airbnb.com/rooms/36942700"
"Mount Desert, Maine, United States","44.363","-68.392","Tern II Oceanfront Cottage","8","Entire home","5","https://www.airbnb.com/rooms/20882766"
"Staffin, Scotland, United Kingdom","57.63787","-6.24024","Hirta Cottage (UK35406)","6","Entire home","5","https://www.airbnb.com/rooms/52180444"
"Kildwick, United Kingdom","53.91172","-1.97043","T'Lasses Cottage","4","Entire home","5","https://www.airbnb.com/rooms/25959847"
"Nasugbu, Calabarzon, Philippines","14.11757","120.61274","Maya Maya Whitehouse","16","Entire bungalow","5","https://www.airbnb.com/rooms/26818045"
"Hyères, Provence-Alpes-Côte d'Azur, France","43.0939","6.11392","Villa classée 5 * vue sur la Presqu’île de Giens","8","Entire villa","5","https://www.airbnb.com/rooms/33803818"
"Cornwall, England, United Kingdom","50.33456","-5.16202","Little Foxes (UK11767)","2","Entire home","5","https://www.airbnb.com/rooms/40932480"
"Zürich, Switzerland","47.37247","8.52614","Downtown Exclusive 2-BR Apartment with Terrace","5","Entire rental unit","5","https://www.airbnb.com/rooms/35512110"
"Podstrana, Splitsko-dalmatinska županija, Croatia","43.48897","16.54435","*SEA MELODY* 100 m SEA, a million-dollar view!!!","11","Entire home","5","https://www.airbnb.com/rooms/52685380"
"Llanrhidian, Wales, United Kingdom","51.61923","-4.14672","The Old Barn","6","Entire home","4.5","https://www.airbnb.com/rooms/48693063"
"Telluride, Colorado, United States","37.93817","-107.81773","Pacific Street Townhome 522A","6","Entire townhouse","4.5","https://www.airbnb.com/rooms/25668958"
"Reepham, United Kingdom","52.76336","1.09037","The Cowshed (UKC3369)","4","Entire home",,"https://www.airbnb.com/rooms/30906276"
"Newquay, England, United Kingdom","50.41914","-5.09301","Fistral View - 3 Cribbar (BCCRIB03)","5","Entire rental unit","5","https://www.airbnb.com/rooms/40933642"
"Reno, Nevada, United States","39.45058","-119.73284","Lux Mt. View 30min to Tahoe Sleep22 5Beds 3.5Bath","16","Entire home","5","https://www.airbnb.com/rooms/53836563"
"Noosa Heads, Queensland, Australia","-26.3943","153.09272","Prime Location, Views & Sunsets, Walk to Beach","8","Entire home","5","https://www.airbnb.com/rooms/53223000"
"Paris, Île-de-France, France","48.86811","2.28965","Maison Boissiere | Deluxe apartment Arc de Triomphe","4","Entire rental unit","5","https://www.airbnb.com/rooms/53638244"
"Koloa, Hawaii, United States","21.876","-159.442","Rusty Sunrise","10","Entire home",,"https://www.airbnb.com/rooms/24382028"
"Horton in Ribblesdale, near Settle, United Kingdom","54.14753","-2.2961","Three Peaks House (UK2071)","6","Entire home","5","https://www.airbnb.com/rooms/30910974"
"Burleigh Heads, Queensland, Australia","-28.09356","153.44452","Burleigh Heads house with pool - walk to the beach","6","Entire home","5","https://www.airbnb.com/rooms/20679821"
"Helwith, near Marske, United Kingdom","54.42961","-1.8896","Helwith Cottage (UKC3455)","4","Entire home",,"https://www.airbnb.com/rooms/30909586"
"Nashville, Tennessee, United States","36.16446","-86.78001","Spacious Getaway at Woolworth On Ave Of The Arts 21","8","Entire rental unit","5","https://www.airbnb.com/rooms/48764833"
"Princeville, Hawaii, United States","22.21903","-159.48294","PARADISE DELIVERED - RAINBOWS, WATERFALLS, SUNSETS","5","Entire condo","5","https://www.airbnb.com/rooms/21306657"
"Greater London, England, United Kingdom","51.51551","-0.12177","ARTISTIC SPLIT-LEVEL 1.5 BEDROOM APARTMENT IN HOLBORN","4","Entire rental unit","5","https://www.airbnb.com/rooms/53424075"
"Cancún, Quintana Roo, Mexico","21.13478","-86.75641","Casa Armonia Amazing waterfront non smoking house","10","Entire home","5","https://www.airbnb.com/rooms/22595632"
"VENCE, Provence-Alpes-Côte d'Azur, France","43.70313","7.13394","BASTIDE DE L ORANGERAIE LUXE PISCINE CLIMATISATION","10","Entire villa","5","https://www.airbnb.com/rooms/19444212"
"Wellfleet, Massachusetts, United States","41.91407","-70.02173","Wellfleet Retreat On Fox Island Marsh Near The Bay","8","Entire home","5","https://www.airbnb.com/rooms/41799992"
"London, United Kingdom","51.493","-0.187","Stylish, Spacious, Family Apt in Kensington with Courtyard","6","Entire rental unit","5","https://www.airbnb.com/rooms/12364001"
"Ceglie Messapica, Puglia, Italy, Italy","40.624","17.566","Trulli Itaka, now with 15% discount","8","Trullo","4.5","https://www.airbnb.com/rooms/16306266"
"Maleny, Queensland, Australia","-26.78243","152.84519","Magnolia","10","Entire home","5","https://www.airbnb.com/rooms/21867168"
"Wimberley, Texas, United States","30.01436","-98.06212","Star Ranch- Exquisite Acreage","12","Entire home","4.5","https://www.airbnb.com/rooms/21405824"
"San Diego, California, United States","32.74566","-117.18146","Penthouse ~Amazing Views ~Modern Gem ~Close to All","7","Entire condo","5","https://www.airbnb.com/rooms/30209898"
"Bondi, New South Wales, Australia","-33.89523","151.2696","Spectacular 2 bedroom penthouse apartment in Bondi","4","Entire rental unit",,"https://www.airbnb.com/rooms/45930409"
"Whitewood, South Dakota, United States","44.49839","-103.4546","Rally Rental close to The Full Throttle Saloon","10","Entire home","5","https://www.airbnb.com/rooms/37917308"
"Joucas, Provence-Alpes-Côte d'Azur, France","43.91978","5.25227","THE BASTIDE: VILLA WITH PRIVATE GARDEN AND POOL","6","Entire home",,"https://www.airbnb.com/rooms/47109483"
"Cancún, Quintana Roo, Mexico","21.1164","-86.75692","Cancun Luxury Beachfront  Villa","10","Entire villa","5","https://www.airbnb.com/rooms/53163271"
"Kilmersdon, England, United Kingdom","51.26665","-2.44343","Beautifully renovated barns in a tranquil valley","16","Barn","5","https://www.airbnb.com/rooms/15748378"
"Palm Desert, California, United States","33.78165","-116.38519","Stagecoach weekend - Shadowridge - Villages 2Br","8","Entire villa",,"https://www.airbnb.com/rooms/49400384"
"Miami, Florida, United States","25.949","-80.165","Kayak in a Pvt Lakefront Villa |Pool+FirePit+Grill","16","Entire villa","5","https://www.airbnb.com/rooms/53282464"
"Fortingall, near Aberfeldy, Scotland, United Kingdom","56.60079","-4.03519","Ardchoille Cottage (UK10285)","6","Entire home",,"https://www.airbnb.com/rooms/40932817"
"Porthcurno, England, United Kingdom","50.04269","-5.65224","Cove View (BCCYAN07)","3","Entire rental unit","4.5","https://www.airbnb.com/rooms/41896733"
"Kapolei, Hawaii, United States","21.33408","-158.12172","**Ko Olina Beach Villa Frontal Oceanview 2 bd/2 ba","4","Entire condo","5","https://www.airbnb.com/rooms/15633180"
"San Francisco, California, United States","37.75646","-122.45623","San Francisco Mid-Century House - Two Car Parking","8","Entire home","5","https://www.airbnb.com/rooms/6376338"
"Palm Cove, Queensland, Australia","-16.745","145.671","5301 Drift Condos - 3 Bedroom Beachfront Apartment","6","Entire rental unit","5","https://www.airbnb.com/rooms/17718770"
"Bontnewydd, Wales, United Kingdom","53.11859","-4.26756","Tyddyn Du","6","Entire home",,"https://www.airbnb.com/rooms/45339961"
"Chilmark, Massachusetts, United States","41.35424","-70.75825","Charming 1BR Cottage w/ Ocean View, Close to Beach","2","Entire cottage","5","https://www.airbnb.com/rooms/45653478"
"Honolulu, Hawaii, United States","21.28327","-157.83909","Beachfront Condo Ilikai Collection # 11. Sleeps 6.","6","Entire rental unit","5","https://www.airbnb.com/rooms/19223735"
"Poundstock, Bude, United Kingdom","50.77423","-4.51863","HOMELEIGH (23864)","6","Entire home","5","https://www.airbnb.com/rooms/28439668"
"Las Vegas, Nevada, United States","36.10877","-115.16962","2 BDRM 2 KING PRMR SUITE SOFABED NO RESORT FEES!","8","Room in boutique hotel","5","https://www.airbnb.com/rooms/36915351"
"Dublin 2, County Dublin, Ireland","53.34486","-6.26487","Modern 3 bed in Templebar","6","Entire rental unit","5","https://www.airbnb.com/rooms/30170582"
"Ubud, Bali, Indonesia","-8.497","115.267","Luxury 3 BR Villa Matha_Few mints to Ubud Center","6","Entire villa","5","https://www.airbnb.com/rooms/20487050"
"Cala D'or, Illes Balears, Spain","39.373","3.225","Marina View Villa","10","Entire villa","5","https://www.airbnb.com/rooms/33416090"
"Kilnsey near Grassington, United Kingdom","54.10688","-2.03947","Sikes Laithe (CC212154)","8","Entire home","4.5","https://www.airbnb.com/rooms/30909531"
"Brooklyn, New York, United States","40.71555","-73.95347","Art & Design Private Oasis in Prime Williamsburg","3","Entire condo","5","https://www.airbnb.com/rooms/24805249"
"Ceglie Messapica, Puglia, Italy, Italy","40.67234","17.49005","HelloApulia Trulli Oleandro: Complex of Trulli with Pool","12","Trullo",,"https://www.airbnb.com/rooms/17195466"
"Shingle Street, United Kingdom","52.0336","1.45397","6 Coastguard Cottages","4","Entire home","4.5","https://www.airbnb.com/rooms/24954999"
"Bergamo, Lombardia, Italy","45.69163","9.65178","CityWalls Guest House Room 2","2","Room in bed and breakfast","5","https://www.airbnb.com/rooms/29788043"
"Milano, Lombardia, Italy","45.46368","9.18544","Luxury Apartment in the Heart of Milan","8","Entire rental unit","5","https://www.airbnb.com/rooms/49237646"
"Honolulu, Hawaii, United States","21.27586","-157.82306","Luxury Oceanfront at Waikiki Beach Tower - WBT 501","6","Entire condo","5","https://www.airbnb.com/rooms/48188721"
"Sandwich, Massachusetts, United States","41.76879","-70.48809","Bliss By the Beach - Contemporary Beach House","10","Entire home","5","https://www.airbnb.com/rooms/51978041"
"Paris, Île-de-France, France","48.883","2.329","Le Celeste, 2 balconies with a view on Montmartre","4","Entire rental unit","5","https://www.airbnb.com/rooms/24705472"
"Thimbleby, near Osmotherley, United Kingdom","54.35516","-1.3077","Old Reading Room (ITZ)","5","Entire home",,"https://www.airbnb.com/rooms/30832334"
"Playa Venao, Provincia de Los Santos, Panama","7.432","-80.189","Bright & Spacious 3BR @BlueVenao Villa #1","5","Entire villa","4.5","https://www.airbnb.com/rooms/32740042"
"Hampshire, England, United Kingdom","50.84956","-1.75817","New Forest Country Home with Hot Tub & Open Fire.","14","Entire guest suite","5","https://www.airbnb.com/rooms/37179787"
"Palm Cove, Queensland, Australia","-16.74823","145.67193","5202 Drift - Luxury 3 Bedroom Beachfront Condo","6","Entire condo","5","https://www.airbnb.com/rooms/51109479"
"Soorts-Hossegor, Nouvelle-Aquitaine, France","43.66837","-1.43783","Villa jardin piscine et la plage a 2 minutes","14","Entire villa",,"https://www.airbnb.com/rooms/52023139"
"Oxon Hill, Maryland, United States","38.783","-77.015","✦✦SPACIOUS 3 Bedroom Deluxe Suite✦✦","6","Entire guest suite","5","https://www.airbnb.com/rooms/45543156"
