"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"Tahoe City, California, United States","39.19833","-120.10628","Cozy A-Frame Lake Tahoe Getaway","8","Entire cabin","5","https://www.airbnb.com/rooms/45319441"
"Truckee, California, United States","39.27543","-120.12369","2br ski-in-ski-out at Northstar","6","Entire serviced apartment",,"https://www.airbnb.com/rooms/54006129"
"Carnelian Bay, California, United States","39.21174","-120.09409","Knotty Pine Lodge - Beautifully Updated Tahoe Cabin, Pet Friendly, Wood Fireplace","8","Entire cabin","4.5","https://www.airbnb.com/rooms/46395482"
"Carnelian Bay, California, United States","39.23083","-120.07604","Morway Cabin","8","Entire cabin","5","https://www.airbnb.com/rooms/7841150"
"Truckee, California, United States","39.27537","-120.12159","Luxury 3BD Village at Northstar Residence w/ Ski V","10","Entire condo",,"https://www.airbnb.com/rooms/53752778"
"Glenbrook, Nevada, United States","39.00014","-119.95265","225-Castle on the Lake, A Perfect Getaway at Tahoe","10","Castle","4.5","https://www.airbnb.com/rooms/45678272"
"Truckee, California, United States","39.34363","-120.26019","Exclusive Mountaintop Estate with Tahoe Donner Amenities, Secluded, Private Hot tub","10","Entire home","4.5","https://www.airbnb.com/rooms/40681718"
"South Lake Tahoe, California, United States","38.93807","-119.97741","Brand new luxury cozy oasis close to everything!","6","Entire home","5","https://www.airbnb.com/rooms/53157561"
"South Lake Tahoe, California, United States","38.944","-119.988","Fall Retreat in your Private Lakefront Home!","6","Entire home","5","https://www.airbnb.com/rooms/8578464"
"Tahoe City, California, United States","39.184","-120.118","Castaway Chalet! St Francis Lake view townhome - HOA hot tub,pool, beach, tennis","8","Entire townhouse","4.5","https://www.airbnb.com/rooms/21998477"
"Truckee, California, United States","39.27653","-120.12129","Luxury 3BD Village at Northstar Residence - Close","6","Entire condo",,"https://www.airbnb.com/rooms/37358914"
"Tahoe City, California, United States","39.14157","-120.15671","Nice 4 bedroom 2 bath home - great location near Sunnyside.  Private Beach access.","9","Entire home",,"https://www.airbnb.com/rooms/53081177"
"Truckee, California, United States","39.34749","-120.26407","Modern family friendly house with view","7","Entire home","4.5","https://www.airbnb.com/rooms/50197571"
"Tahoe Vista, California, United States","39.24348","-120.032","Tahoe Time on North Shore - Charming 4 BR Cabin w/ Private Hot Tub + Easy Walk to Beach + Pet Friendly","8","Entire home","5","https://www.airbnb.com/rooms/37491674"
"Carnelian Bay, California, United States","39.23811","-120.0686","Dog-friendly cabin with private hot tub, fireplace, near skiing & the beach","10","Entire home","4.5","https://www.airbnb.com/rooms/29904584"
"Tahoe City, California, United States","39.158","-120.144","Bearing Ranch - Dog Friendly- Private Beach - Walk to Tahoe City","8","Entire home","4.5","https://www.airbnb.com/rooms/24495786"
"Olympic Valley, California, United States","39.19792","-120.23684","Palisades Tahoe Tram Condominium #3","6","Entire condo","5","https://www.airbnb.com/rooms/9195430"
"Tahoe City, California, United States","39.148","-120.155","Marie's Getaway * Private Beach * HOT TUB","8","Entire home","5","https://www.airbnb.com/rooms/13127371"
"Tahoe Vista, California, United States","39.25626","-120.06416","Cabin In The Woods Tahoe Vista/Kings Beach w/Wifi","8","Entire cabin","5","https://www.airbnb.com/rooms/18615044"
"Kings Beach, California, United States","39.24","-120.016","Beaver Lake View- Hot Tub- Walk to Lake- Pet Friendly","8","Entire home","4.5","https://www.airbnb.com/rooms/13298261"
"Tahoe City, California, United States","39.19543","-120.11111","Highlands Lodge: Spacious Family and Dog Friendly","10","Entire home","5","https://www.airbnb.com/rooms/7855864"
"Truckee, California, United States","39.34318","-120.2444","Cozy A-Frame Tahoe Donner Cabin - Family Friendly","8","Entire cabin","5","https://www.airbnb.com/rooms/37568667"
"Olympic Valley, California, United States","39.20335","-120.20824","Squaw Creek Barrel | Relax in Private Hot Tub","10","Entire home","4.5","https://www.airbnb.com/rooms/35199415"
"South Lake Tahoe, California, United States","38.90119","-119.96241","Grandma’s family home! Views, hot tub, 4 bedroom.","10","Entire home","5","https://www.airbnb.com/rooms/41361814"
"South Lake Tahoe, California, United States","38.85593","-120.00694","NEW, Family Friendly, Large Luxurious, Hot Tub &AC","10","Entire home","5","https://www.airbnb.com/rooms/25893822"
"Carnelian Bay, California, United States","39.228","-120.085","Olive Branch - Luxury 4 BR w/ Private Hot Tub & Short Walk to Lake + Pet-Friendly!","10","Entire home","4.5","https://www.airbnb.com/rooms/5352820"
"Tahoe City, California, United States","39.17373","-120.14104","Sunny Lake Tahoe Chalet,","7","Entire home","5","https://www.airbnb.com/rooms/4581868"
"Truckee, California, United States","39.32355","-120.17897","Cozy & contemporary townhome w/ two decks - close to town & outdoor fun","8","Entire townhouse","5","https://www.airbnb.com/rooms/45799141"
"South Lake Tahoe, California, United States","38.87901","-120.06809","Fallen Leaf Relief - Beautiful Large Home","14","Entire home","5","https://www.airbnb.com/rooms/38642441"
"Olympic Valley, California, United States","39.17492","-120.23508","Big John- Ski Shuttle to Lifts- Steps from Five Lakes Trailhead- Fireplace","6","Entire home",,"https://www.airbnb.com/rooms/48547656"
"Olympic Valley, California, United States","39.17307","-120.23891","Alpine Adventure- 1/2 Mile to Ski Lifts- Hot Tub- Pet Friendly","10","Entire home",,"https://www.airbnb.com/rooms/33160579"
"Incline Village, Nevada, United States","39.25","-119.959","Beautiful Mountain Home with AC! (805JE)","8","Entire home","5","https://www.airbnb.com/rooms/33274023"
"Tahoe City, California, United States","39.18188","-120.1277","Rocky Ridge #45","9","Entire condo","4.5","https://www.airbnb.com/rooms/41615439"
"Tahoe City, California, United States","39.191","-120.1","Skyland Jewel at Dollar Point on North Shore - Tahoe City Luxury 3BR - Easy Winter Access","6","Entire home","5","https://www.airbnb.com/rooms/18947198"
